연도,시군,경영체수,남,여,전업,겸업,고령자_65세이상,재배면적_ha,노지_ha,시설_ha,출처
2018,도전체,50808,37832,12976,33387,17421,18537,,,,AgriX
2018,제주시,28211,20266,7945,16798,11413,10115,,,,AgriX
2018,서귀포시,22597,17566,5031,16589,6008,8422,,,,AgriX
2020,도전체,53248,39388,13860,33746,19502,20145,,,,AgriX
2020,제주시,30030,21486,8544,17141,12889,11021,,,,AgriX
2020,서귀포시,23218,17902,5316,16605,6613,9124,,,,AgriX
2022,도전체,54408,39879,14529,33347,21061,21429,,,,AgriX
2022,제주시,30921,21979,8942,17012,13909,11718,,,,AgriX
2022,서귀포시,23487,17900,5587,16335,7152,9711,,,,AgriX
2024,도전체,54724,39798,14926,32533,22191,22786,40818.49,34615.61,6202.88,AgriX
2024,제주시,31208,22065,9143,16517,14691,12455,20172.50,18396.42,1776.08,AgriX
2024,서귀포시,23516,17733,5783,16016,7500,10331,20645.99,16219.19,4426.80,AgriX
2025,도전체,54773,39639,15134,31242,23531,23717,38762.90,32404.44,6358.47,AgriX
2025,제주시,31421,22128,9293,15929,15492,13030,19024.64,17171.10,1853.54,AgriX
2025,서귀포시,23352,17511,5841,15313,8039,10687,19738.26,15233.34,4504.93,AgriX
