파일명,컬럼명,설명,단위,출처,출처_페이지,비고
population_by_eupmyeon,연도,기준 연도,년,통계연보 3.인구,,
population_by_eupmyeon,시군,행정시,-,통계연보 3.인구,,
population_by_eupmyeon,읍면동,읍·면·동,-,통계연보 3.인구,,
population_by_eupmyeon,세대수,주민등록 세대수,세대,통계연보 3.인구,,외국인 제외
population_by_eupmyeon,인구수,총 등록인구,명,통계연보 3.인구,,외국인 포함
population_by_eupmyeon,남자인구,남자 인구,명,통계연보 3.인구,,
population_by_eupmyeon,여자인구,여자 인구,명,통계연보 3.인구,,
population_by_eupmyeon,한국인인구,한국인 인구,명,통계연보 3.인구,,
population_by_eupmyeon,외국인인구,외국인 인구,명,통계연보 3.인구,,읍면동 단위는 2016~ 미공표 → NaN
population_by_eupmyeon,세대당인구,세대당 평균 인구,명/세대,통계연보 3.인구,,
population_by_eupmyeon,고령자65세이상,65세 이상 인구,명,통계연보 3.인구,,
population_by_eupmyeon,평균연령,평균 연령,세,통계연보 3.인구,,
population_yearly_total,연도,연도,년,2025 주요행정통계,p.23,
population_yearly_total,제주시인구,제주시 등록인구,명,2025 주요행정통계,p.23,
population_yearly_total,서귀포시인구,서귀포시 등록인구,명,2025 주요행정통계,p.23,
population_yearly_total,도전체인구,도전체 등록인구,명,2025 주요행정통계,p.23,외국인 포함
population_yearly_total,제주시세대수,제주시 세대수,세대,2025 주요행정통계,p.23,외국인 제외
population_yearly_total,서귀포시세대수,서귀포시 세대수,세대,2025 주요행정통계,p.23,
population_yearly_total,도전체세대수,도전체 세대수,세대,2025 주요행정통계,p.23,
population_yearly_total,세대당인구,세대당 평균 인구(계산),명/세대,계산값,,
farm_household_yearly,연도,연도,년,통계연보 6.농림수산업,시트1,
farm_household_yearly,시군,도전체/제주시/서귀포시,-,통계연보 6,,
farm_household_yearly,농가수,농가 호수,가구,통계청 농림어업조사,,2020년은 농림어업총조사
farm_household_yearly,전업농가,전업농가,가구,통계청,,
farm_household_yearly,겸업농가,겸업농가,가구,통계청,,
farm_household_yearly,농가인구,농가 인구,명,통계청,,
farm_household_yearly,농가남자,농가 남자,명,통계청,,
farm_household_yearly,농가여자,농가 여자,명,통계청,,
farmland_area_yearly,연도,연도,년,통계연보 6,시트3,
farmland_area_yearly,시군,도전체/시별,-,통계연보 6,,
farmland_area_yearly,경지면적_합계_ha,전체 경지면적,ha,농업면적조사,,
farmland_area_yearly,논_ha,논 면적,ha,농업면적조사,,제주는 매우 소량
farmland_area_yearly,밭_ha,밭 면적,ha,농업면적조사,,
farmland_area_yearly,가구당경지면적_a,가구당 경지면적,a,통계연보 6,,
farmland_area_yearly,과수원_ha,과수원 면적(미수록),ha,-,,후속 보완(지목 통계 활용 가능)
farmland_area_yearly,시설재배_ha,시설재배 면적(미수록),ha,-,,후속 보완
crop_cultivation_area,연도,연도,년,복수,,
crop_cultivation_area,분류,작물 분류,-,-,,
crop_cultivation_area,작물명,작물명,-,-,,
crop_cultivation_area,재배면적_ha,재배 면적,ha,통계청·도청,,
crop_cultivation_area,생산량_t,생산량,톤,통계청·도청,,
crop_cultivation_area,출처,데이터 출처,-,-,,
