연도,시군,읍면동,세대수,인구수,남자인구,여자인구,한국인인구,외국인인구,세대당인구,고령자65세이상,평균연령
2024,제주시,한림읍,10633,24245,13275,10970,20473,3772,1.925,5184,49.3
2024,제주시,애월읍,18161,39489,20289,19200,38117,1372,2.099,7582,45.8
2024,제주시,구좌읍,8087,16013,8371,7642,15177,836,1.877,4404,51.6
2024,제주시,조천읍,12210,26644,13602,13042,25880,764,2.12,5595,46.7
2024,제주시,한경면,5159,10107,5118,4989,9561,546,1.853,2877,51.8
2024,제주시,추자면,957,1829,1124,705,1554,275,1.624,629,57.3
2024,제주시,우도면,842,1606,854,752,1572,34,1.867,468,52.5
2024,제주시,일도1동,1281,2231,1169,1062,2120,111,1.655,710,54.0
2024,제주시,일도2동,13551,31591,15436,16155,31170,421,2.3,6311,44.9
2024,제주시,이도1동,4079,7864,3894,3970,7689,175,1.885,1643,45.8
2024,제주시,이도2동,20936,47901,23242,24659,47094,807,2.249,7098,42.0
2024,제주시,삼도1동,6042,12972,6318,6654,12745,227,2.109,2878,46.6
2024,제주시,삼도2동,4110,8093,4249,3844,7692,401,1.872,1802,47.6
2024,제주시,용담1동,3367,6565,3414,3151,6446,119,1.914,1651,49.5
2024,제주시,용담2동,6448,14031,7060,6971,13753,278,2.133,3318,47.5
2024,제주시,건입동,4169,8905,4539,4366,8596,309,2.062,2277,48.5
2024,제주시,화북동,9729,23479,11705,11774,23075,404,2.372,3854,43.1
2024,제주시,삼양동,10333,26537,13252,13285,26245,292,2.54,3303,39.6
2024,제주시,봉개동,2405,5261,2726,2535,5150,111,2.141,1033,44.7
2024,제주시,아라동,17718,41831,20581,21250,40675,1156,2.296,4446,39.0
2024,제주시,오라동,6467,16304,8177,8127,16038,266,2.48,1944,39.8
2024,제주시,연동,22356,44762,21946,22816,42629,2133,1.907,5849,42.2
2024,제주시,노형동,24184,57328,28002,29326,54892,2436,2.27,6456,40.8
2024,제주시,외도동,9071,22747,11343,11404,22399,348,2.469,2511,39.5
2024,제주시,이호동,1957,4574,2391,2183,4344,230,2.22,855,46.0
2024,제주시,도두동,1594,3415,1790,1625,3262,153,2.046,573,44.7
2024,제주시,"주:1)작성기준년도의세대및인구를작성,외국인세대제외",,,,,,,,,
2024,제주시,2)2016년부터외국인제외(읍면동별외국인현황공표되지않고있음),,,,,,,,,
2024,서귀포시,대정읍,10850,23979,11819,12160,22006,1973,2.028,4919,46.3
2024,서귀포시,남원읍,8900,19160,10097,9063,18124,1036,2.036,5226,51.3
2024,서귀포시,성산읍,8154,16851,9249,7602,14994,1857,1.839,4394,51.9
2024,서귀포시,안덕면,6497,13174,6774,6400,12375,799,1.905,2926,48.2
2024,서귀포시,표선면,6377,13300,6870,6430,12762,538,2.001,3234,48.7
2024,서귀포시,송산동,1895,4305,2433,1872,3814,491,2.013,1116,50.9
2024,서귀포시,정방동,1336,2260,1141,1119,2122,138,1.588,595,51.5
2024,서귀포시,중앙동,1858,3214,1516,1698,3113,101,1.675,1002,52.7
2024,서귀포시,천지동,2009,3562,1809,1753,3394,168,1.689,912,50.8
2024,서귀포시,효돈동,2441,5442,2729,2713,5342,100,2.188,1472,49.4
2024,서귀포시,영천동,2516,5413,2795,2618,5124,289,2.037,1464,51.2
2024,서귀포시,동홍동,9993,23948,11675,12273,22877,1071,2.289,4019,43.8
2024,서귀포시,서홍동,4630,11333,5611,5722,11122,211,2.402,1801,41.8
2024,서귀포시,대륜동,6933,15331,7738,7593,15082,249,2.175,2880,44.5
2024,서귀포시,대천동,6554,14043,7144,6899,13710,333,2.092,2439,43.2
2024,서귀포시,중문동,6059,12602,6391,6211,12247,355,2.021,2293,44.8
2024,서귀포시,예래동,2014,4117,2104,2013,3812,305,1.893,1042,50.3
2024,서귀포시,"주:1)작성기준년도의세대및인구를작성,외국인세대제외",,,,,,,,,
2024,서귀포시,2)2016년부터외국인제외(읍면동별외국인현황공표되지않고있음),,,,,,,,,
