시군,읍면동,연도,농가인구
제주도,계,2015,74981
제주도,계,2016,75423
제주도,계,2017,74816
제주도,계,2018,75409
제주도,계,2019,76092
제주도,계,2020,77780
제주도,계,2021,78030
제주도,계,2022,79230
제주시,소계,2015,39819
제주시,소계,2016,40468
제주시,소계,2017,40470
제주시,소계,2018,40983
제주시,소계,2019,41678
제주시,소계,2020,42791
제주시,소계,2021,42917
제주시,소계,2022,43908
제주시,제주동,2015,18251
제주시,제주동,2016,18933
제주시,제주동,2017,19332
제주시,제주동,2018,19664
제주시,제주동,2019,20279
제주시,제주동,2020,21149
제주시,제주동,2021,21355
제주시,제주동,2022,22236
제주시,구좌읍,2015,4198
제주시,구좌읍,2016,4161
제주시,구좌읍,2017,4073
제주시,구좌읍,2018,4119
제주시,구좌읍,2019,4108
제주시,구좌읍,2020,4111
제주시,구좌읍,2021,4090
제주시,구좌읍,2022,4076
제주시,애월읍,2015,5799
제주시,애월읍,2016,5817
제주시,애월읍,2017,5717
제주시,애월읍,2018,5770
제주시,애월읍,2019,5817
제주시,애월읍,2020,5939
제주시,애월읍,2021,5922
제주시,애월읍,2022,5992
제주시,조천읍,2015,3898
제주시,조천읍,2016,3902
제주시,조천읍,2017,3831
제주시,조천읍,2018,3888
제주시,조천읍,2019,3900
제주시,조천읍,2020,3967
제주시,조천읍,2021,3897
제주시,조천읍,2022,3978
제주시,한림읍,2015,3981
제주시,한림읍,2016,3968
제주시,한림읍,2017,3855
제주시,한림읍,2018,3879
제주시,한림읍,2019,3873
제주시,한림읍,2020,3881
제주시,한림읍,2021,3896
제주시,한림읍,2022,3879
제주시,한경면,2015,3182
제주시,한경면,2016,3181
제주시,한경면,2017,3151
제주시,한경면,2018,3148
제주시,한경면,2019,3173
제주시,한경면,2020,3228
제주시,한경면,2021,3235
제주시,한경면,2022,3214
제주시,추자면,2015,7
제주시,추자면,2016,14
제주시,추자면,2017,14
제주시,추자면,2018,10
제주시,추자면,2019,11
제주시,추자면,2020,11
제주시,추자면,2021,11
제주시,추자면,2022,17
제주시,우도면,2015,503
제주시,우도면,2016,492
제주시,우도면,2017,497
제주시,우도면,2018,505
제주시,우도면,2019,517
제주시,우도면,2020,505
제주시,우도면,2021,511
제주시,우도면,2022,516
서귀포시,소계,2015,35162
서귀포시,소계,2016,34955
서귀포시,소계,2017,34346
서귀포시,소계,2018,34426
서귀포시,소계,2019,34414
서귀포시,소계,2020,34989
서귀포시,소계,2021,35113
서귀포시,소계,2022,35322
서귀포시,서귀포동,2015,13931
서귀포시,서귀포동,2016,13700
서귀포시,서귀포동,2017,13692
서귀포시,서귀포동,2018,13763
서귀포시,서귀포동,2019,13902
서귀포시,서귀포동,2020,14288
서귀포시,서귀포동,2021,14332
서귀포시,서귀포동,2022,14470
서귀포시,남원읍,2015,6650
서귀포시,남원읍,2016,6672
서귀포시,남원읍,2017,6424
서귀포시,남원읍,2018,6454
서귀포시,남원읍,2019,6415
서귀포시,남원읍,2020,6425
서귀포시,남원읍,2021,6419
서귀포시,남원읍,2022,6439
서귀포시,대정읍,2015,4532
서귀포시,대정읍,2016,4536
서귀포시,대정읍,2017,4446
서귀포시,대정읍,2018,4435
서귀포시,대정읍,2019,4372
서귀포시,대정읍,2020,4363
서귀포시,대정읍,2021,4415
서귀포시,대정읍,2022,4404
서귀포시,성산읍,2015,3570
서귀포시,성산읍,2016,3638
서귀포시,성산읍,2017,3570
서귀포시,성산읍,2018,3581
서귀포시,성산읍,2019,3605
서귀포시,성산읍,2020,3672
서귀포시,성산읍,2021,3729
서귀포시,성산읍,2022,3807
서귀포시,안덕면,2015,3205
서귀포시,안덕면,2016,3174
서귀포시,안덕면,2017,3048
서귀포시,안덕면,2018,3020
서귀포시,안덕면,2019,2983
서귀포시,안덕면,2020,3052
서귀포시,안덕면,2021,3011
서귀포시,안덕면,2022,3004
서귀포시,표선면,2015,3274
서귀포시,표선면,2016,3235
서귀포시,표선면,2017,3166
서귀포시,표선면,2018,3173
서귀포시,표선면,2019,3137
서귀포시,표선면,2020,3189
서귀포시,표선면,2021,3207
서귀포시,표선면,2022,3198
