시군,읍면동,계,식량작물,채소류,과실류,특용작물,사료작물,기타
제주도,계,60952,14902,19632,20422,985,4094,917
제주시,소계,29504,7618,11703,7263,456,2042,422
제주시,제주동,4805,495,3093,1086,25,54,52
제주시,구좌읍,4853,1372,2526,906,25,7,17
제주시,애월읍,7312,2741,3522,147,74,702,126
제주시,조천읍,4147,471,1371,1507,212,501,85
제주시,한림읍,4132,1076,609,1819,65,513,50
제주시,한경면,4255,1463,582,1798,55,265,92
서귀포시,소계,31161,7204,7840,13158,414,2050,495
서귀포시,서귀포동,4881,214,155,4246,52,29,185
서귀포시,남원읍,5114,65,265,4411,66,183,124
서귀포시,대정읍,7456,2125,2737,1583,107,852,52
서귀포시,성산읍,5379,1790,2297,1174,80,12,26
서귀포시,안덕면,3080,1278,321,1058,59,287,77
서귀포시,표선면,5251,1732,2065,686,50,687,31
기타,"기타(우도,가파도)",287,80,89,1,115,2,0
