연도,레이어,시군,읍면동,면적_ha
2000,EGIS:landcover_lv2_2000,서귀포시,남원읍,795.85
2000,EGIS:landcover_lv2_2000,서귀포시,대정읍,144.38
2000,EGIS:landcover_lv2_2000,서귀포시,서귀포동,868.53
2000,EGIS:landcover_lv2_2000,서귀포시,성산읍,62.86
2000,EGIS:landcover_lv2_2000,서귀포시,안덕면,143.72
2000,EGIS:landcover_lv2_2000,서귀포시,표선면,329.71
2000,EGIS:landcover_lv2_2000,제주시,구좌읍,17.68
2000,EGIS:landcover_lv2_2000,제주시,애월읍,157.07
2000,EGIS:landcover_lv2_2000,제주시,제주동,217.26
2000,EGIS:landcover_lv2_2000,제주시,조천읍,72.41
2000,EGIS:landcover_lv2_2000,제주시,한경면,147.82
2000,EGIS:landcover_lv2_2000,제주시,한림읍,107.15
2007,EGIS:landcover_lv2_2007,서귀포시,남원읍,865.04
2007,EGIS:landcover_lv2_2007,서귀포시,대정읍,460.35
2007,EGIS:landcover_lv2_2007,서귀포시,서귀포동,936.84
2007,EGIS:landcover_lv2_2007,서귀포시,성산읍,65.56
2007,EGIS:landcover_lv2_2007,서귀포시,안덕면,143.33
2007,EGIS:landcover_lv2_2007,서귀포시,표선면,374.16
2007,EGIS:landcover_lv2_2007,제주시,구좌읍,17.91
2007,EGIS:landcover_lv2_2007,제주시,애월읍,165.39
2007,EGIS:landcover_lv2_2007,제주시,제주동,103.96
2007,EGIS:landcover_lv2_2007,제주시,조천읍,68.55
2007,EGIS:landcover_lv2_2007,제주시,한경면,428.87
2007,EGIS:landcover_lv2_2007,제주시,한림읍,116.05
2013,EGIS:landcover_lv3_7th,서귀포시,남원읍,1391.25
2013,EGIS:landcover_lv3_7th,서귀포시,대정읍,309.27
2013,EGIS:landcover_lv3_7th,서귀포시,서귀포동,1133.5
2013,EGIS:landcover_lv3_7th,서귀포시,성산읍,179.23
2013,EGIS:landcover_lv3_7th,서귀포시,안덕면,206.14
2013,EGIS:landcover_lv3_7th,서귀포시,표선면,541.49
2013,EGIS:landcover_lv3_7th,제주시,구좌읍,60.05
2013,EGIS:landcover_lv3_7th,제주시,애월읍,361.2
2013,EGIS:landcover_lv3_7th,제주시,제주동,297.74
2013,EGIS:landcover_lv3_7th,제주시,조천읍,226.66
2013,EGIS:landcover_lv3_7th,제주시,한경면,347.94
2013,EGIS:landcover_lv3_7th,제주시,한림읍,220.3
2018,EGIS:landcover_lv3_9th,서귀포시,남원읍,1391.54
2018,EGIS:landcover_lv3_9th,서귀포시,대정읍,313.57
2018,EGIS:landcover_lv3_9th,서귀포시,서귀포동,1133.19
2018,EGIS:landcover_lv3_9th,서귀포시,성산읍,180.35
