연도,레이어,시군,법정리,면적_ha
2000,EGIS:landcover_lv2_2000,서귀포시,가시리,75.679
2000,EGIS:landcover_lv2_2000,서귀포시,감산리,4.888
2000,EGIS:landcover_lv2_2000,서귀포시,강정동,226.166
2000,EGIS:landcover_lv2_2000,서귀포시,고성리,2.041
2000,EGIS:landcover_lv2_2000,서귀포시,구억리,9.451
2000,EGIS:landcover_lv2_2000,서귀포시,난산리,2.913
2000,EGIS:landcover_lv2_2000,서귀포시,남원리,73.267
2000,EGIS:landcover_lv2_2000,서귀포시,대포동,18.289
2000,EGIS:landcover_lv2_2000,서귀포시,덕수리,28.387
2000,EGIS:landcover_lv2_2000,서귀포시,도순동,50.718
2000,EGIS:landcover_lv2_2000,서귀포시,동광리,4.342
2000,EGIS:landcover_lv2_2000,서귀포시,동일리,11.063
2000,EGIS:landcover_lv2_2000,서귀포시,동홍동,28.1
2000,EGIS:landcover_lv2_2000,서귀포시,무릉리,31.109
2000,EGIS:landcover_lv2_2000,서귀포시,법환동,37.071
2000,EGIS:landcover_lv2_2000,서귀포시,보목동,47.299
2000,EGIS:landcover_lv2_2000,서귀포시,보성리,20.299
2000,EGIS:landcover_lv2_2000,서귀포시,사계리,8.847
2000,EGIS:landcover_lv2_2000,서귀포시,삼달리,4.418
2000,EGIS:landcover_lv2_2000,서귀포시,상모리,5.54
2000,EGIS:landcover_lv2_2000,서귀포시,상예동,37.848
2000,EGIS:landcover_lv2_2000,서귀포시,상창리,30.195
2000,EGIS:landcover_lv2_2000,서귀포시,상천리,0.058
2000,EGIS:landcover_lv2_2000,서귀포시,상효동,48.146
2000,EGIS:landcover_lv2_2000,서귀포시,색달동,12.254
2000,EGIS:landcover_lv2_2000,서귀포시,서광리,50.458
2000,EGIS:landcover_lv2_2000,서귀포시,서호동,9.63
2000,EGIS:landcover_lv2_2000,서귀포시,서홍동,24.621
2000,EGIS:landcover_lv2_2000,서귀포시,성읍리,12.858
2000,EGIS:landcover_lv2_2000,서귀포시,세화리,82.687
2000,EGIS:landcover_lv2_2000,서귀포시,수망리,13.085
2000,EGIS:landcover_lv2_2000,서귀포시,수산리,17.172
2000,EGIS:landcover_lv2_2000,서귀포시,시흥리,0.018
2000,EGIS:landcover_lv2_2000,서귀포시,신도리,3.857
