관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD간드락,2021-01-01,S11,18.97,93.21,22.02,16.77,364,1025.06,12.4,2021-01
JD간드락,2021-02-01,S11,17.73,94.45,20.78,16.83,389,1022.68,12.79,2021-02
JD간드락,2021-03-01,S11,17.07,95.11,20.12,16.86,394,1020.78,12.88,2021-03
JD간드락,2021-04-01,S11,16.66,95.52,19.73,16.89,392,1019.93,12.93,2021-04
JD간드락,2021-05-01,S11,16.27,95.91,19.35,16.91,395,1016.0,12.94,2021-05
JD간드락,2021-06-01,S11,16.16,96.03,19.24,16.93,403,1009.84,12.96,2021-06
JD간드락,2021-07-01,S11,16.18,96.0,19.26,16.93,403,1010.25,12.96,2021-07
JD간드락,2021-08-01,S11,16.52,95.66,19.6,16.95,395,1010.71,12.89,2021-08
JD간드락,2021-09-01,S11,21.74,90.44,24.82,16.78,334,1014.73,12.82,2021-09
JD간드락,2021-10-01,S11,29.93,82.25,32.96,16.43,238,1023.06,12.85,2021-10
JD간드락,2021-11-01,S11,27.64,84.54,30.62,16.46,291,1022.96,12.75,2021-11
JD간드락,2021-12-01,S11,23.2,88.98,26.18,16.68,334,1027.59,12.44,2021-12
JD간드락,2022-01-01,S11,19.66,92.52,22.64,16.83,371,1027.42,12.16,2022-01
JD간드락,2022-02-01,S11,17.72,94.93,20.75,16.86,376,1165.05,12.39,2022-02
JD간드락,2022-03-01,S11,16.65,95.53,19.92,16.9,352,1018.87,12.7,2022-03
JD간드락,2022-04-01,S11,16.34,95.84,19.66,16.94,358,1018.61,12.87,2022-04
JD간드락,2022-05-01,S11,16.21,95.97,19.53,16.96,354,1014.94,12.94,2022-05
JD간드락,2022-06-01,S11,15.77,96.41,19.09,16.87,345,1009.34,12.96,2022-06
JD간드락,2022-07-01,S11,14.97,97.21,18.29,16.81,346,1007.93,12.96,2022-07
JD간드락,2022-08-01,S11,15.83,96.35,19.15,16.89,349,1009.93,12.97,2022-08
JD간드락,2022-09-01,S11,19.07,93.11,22.39,16.93,330,1013.3,12.82,2022-09
JD간드락,2022-10-01,S11,21.32,90.86,24.64,16.95,326,1023.09,12.84,2022-10
JD간드락,2022-11-01,S11,19.53,92.65,22.86,16.99,328,1022.42,12.7,2022-11
JD간드락,2022-12-01,S11,17.87,94.31,21.2,16.99,333,1026.06,12.28,2022-12
JD간드락,2023-01-01,S11,16.74,95.44,20.12,16.96,336,1025.97,12.26,2023-01
JD간드락,2023-02-01,S11,16.27,95.91,19.65,17.02,337,1026.43,12.5,2023-02
JD간드락,2023-03-01,S11,16.11,96.07,19.49,17.05,340,1022.16,12.81,2023-03
JD간드락,2023-04-01,S11,15.88,96.3,19.25,17.03,338,1016.95,12.85,2023-04
JD간드락,2023-05-01,S11,16.57,95.61,19.94,17.08,332,1014.57,12.93,2023-05
JD간드락,2023-06-01,S11,17.87,94.31,21.22,17.16,322,1009.97,13.07,2023-06
JD간드락,2023-07-01,S11,19.11,93.07,22.46,17.2,318,1010.21,13.17,2023-07
JD간드락,2023-08-01,S11,20.85,91.33,24.21,17.32,316,1007.28,13.16,2023-08
JD간드락,2023-09-01,S11,22.03,90.15,25.61,17.02,325,1013.62,13.16,2023-09
JD간드락,2023-10-01,S11,21.69,90.49,25.27,17.05,321,1020.28,13.11,2023-10
JD간드락,2023-11-01,S11,19.75,92.43,23.33,17.1,323,1023.12,13.03,2023-11
JD간드락,2023-12-01,S11,18.19,93.99,21.77,17.08,316,1025.32,12.94,2023-12
JD간드락,2024-01-01,S11,17.38,94.8,20.96,17.08,310,1025.77,12.95,2024-01
JD간드락,2024-02-01,S11,17.54,94.64,21.12,17.13,313,1024.07,12.96,2024-02
JD간드락,2024-03-01,S11,19.0,93.18,22.58,17.13,314,1020.11,13.07,2024-03
JD간드락,2024-04-01,S11,19.3,92.88,22.88,17.14,315,1015.18,13.13,2024-04
JD간드락,2024-05-01,S11,18.58,93.6,22.16,17.16,308,1015.94,13.19,2024-05
JD간드락,2024-06-01,S11,18.13,94.05,21.69,17.17,303,1010.94,13.2,2024-06
JD간드락,2024-07-01,S11,18.91,93.27,22.46,17.16,304,1010.31,13.23,2024-07
JD간드락,2024-08-01,S11,18.88,93.3,22.43,17.18,307,1009.76,13.23,2024-08
JD간드락,2024-09-01,S11,18.11,94.07,21.69,17.19,304,1014.68,13.18,2024-09
JD간드락,2024-10-01,S11,19.33,92.85,22.91,17.16,299,1021.15,13.1,2024-10
JD간드락,2024-11-01,S11,24.61,87.57,28.19,16.97,314,1024.03,13.06,2024-11
JD간드락,2024-12-01,S11,24.88,87.3,28.46,17.0,322,1026.21,13.02,2024-12
JD간드락,2025-01-01,S11,21.62,90.56,25.2,17.11,309,1026.49,13.04,2025-01
JD간드락,2025-02-01,S11,19.17,93.01,22.75,17.14,309,1027.05,13.06,2025-02
