관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD고산3,2019-11-01,S11,0.15,16.85,14.59,17.49,241,1028.59,12.83,2019-11
JD고산3,2019-12-01,S11,-0.16,17.16,14.28,17.48,247,1026.37,12.98,2019-12
JD고산3,2020-01-01,S11,-0.52,17.52,13.92,17.47,260,1023.99,12.93,2020-01
JD고산3,2020-02-01,S11,-0.83,17.83,13.61,17.48,260,1026.19,12.96,2020-02
JD고산3,2020-03-01,S11,-0.88,17.88,13.56,17.47,262,1020.12,13.01,2020-03
JD고산3,2020-04-01,S11,-1.13,18.13,13.31,17.47,256,1020.49,13.06,2020-04
JD고산3,2020-05-01,S11,-1.03,18.03,13.41,17.5,240,1012.88,12.89,2020-05
JD고산3,2020-06-01,S11,-0.72,17.72,13.73,17.5,271,1008.94,12.85,2020-06
JD고산3,2020-07-01,S11,0.01,16.99,14.48,17.44,346,1009.21,13.04,2020-07
JD고산3,2020-08-01,S11,-0.2,17.2,14.27,17.44,306,1011.45,13.07,2020-08
JD고산3,2020-09-01,S11,0.53,16.47,15.0,17.47,283,1013.57,13.03,2020-09
JD고산3,2020-10-01,S11,0.36,16.64,14.83,17.35,348,1022.25,13.02,2020-10
JD고산3,2020-11-01,S11,0.28,16.72,14.75,17.39,306,1027.09,12.99,2020-11
JD고산3,2020-12-01,S11,-0.54,17.54,13.93,17.41,286,1028.75,12.95,2020-12
JD고산3,2021-01-01,S11,-1.0,18.0,13.47,17.48,256,1027.24,12.95,2021-01
JD고산3,2021-02-01,S11,-1.22,18.22,13.25,17.49,251,1024.76,13.0,2021-02
JD고산3,2021-03-01,S11,-0.9,17.9,13.57,17.5,255,1022.91,13.04,2021-03
JD고산3,2021-04-01,S11,-0.38,17.38,14.09,17.45,326,1021.99,13.09,2021-04
JD고산3,2021-05-01,S11,-0.57,17.57,14.12,17.59,285,1012.81,13.12,2021-05
JD고산3,2021-06-01,S11,-0.5,17.5,14.25,17.63,286,1009.86,13.15,2021-06
JD고산3,2021-07-01,S11,-0.19,17.19,14.56,17.6,310,1010.01,13.13,2021-07
JD고산3,2021-08-01,S11,-0.51,17.51,14.24,17.6,293,1010.35,13.09,2021-08
JD고산3,2021-09-01,S11,-0.22,17.22,14.53,17.6,317,1014.05,13.04,2021-09
JD고산3,2021-10-01,S11,-0.31,17.31,14.44,17.55,331,1022.55,13.02,2021-10
JD고산3,2021-11-01,S11,-0.78,17.78,14.04,17.6,293,1022.94,12.97,2021-11
JD고산3,2021-12-01,S11,-1.08,18.08,13.74,17.64,257,1027.59,12.94,2021-12
JD고산3,2022-01-01,S11,-1.31,18.31,13.51,17.67,225,1026.76,12.94,2022-01
JD고산3,2022-02-01,S11,-1.56,18.56,13.26,17.67,248,1028.53,12.99,2022-02
JD고산3,2022-03-01,S11,-1.76,18.76,13.06,17.69,635,1020.47,13.03,2022-03
JD고산3,2022-04-01,S11,-1.76,18.76,13.06,17.7,526,1019.92,13.09,2022-04
JD고산3,2022-05-01,S11,-1.72,18.72,13.1,17.69,600,1016.16,13.15,2022-05
