관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD김녕2,2021-01-01,S11,0.92,35.53,9.86,15.22,767,1025.86,13.09,2021-01
JD김녕2,2021-02-01,S11,0.92,35.53,9.86,15.23,762,1023.37,13.16,2021-02
JD김녕2,2021-03-01,S11,0.95,35.51,9.89,15.23,774,1021.47,13.17,2021-03
JD김녕2,2021-04-01,S11,0.97,35.48,9.92,15.24,771,1020.62,13.22,2021-04
JD김녕2,2021-05-01,S11,1.0,35.45,9.97,15.24,771,1012.35,13.3,2021-05
JD김녕2,2021-06-01,S11,1.1,35.35,10.07,15.26,753,1010.14,13.3,2021-06
JD김녕2,2021-07-01,S11,1.16,35.29,10.11,15.27,748,1010.41,13.28,2021-07
JD김녕2,2021-08-01,S11,1.31,35.14,10.26,15.28,714,1010.66,13.25,2021-08
JD김녕2,2021-09-01,S11,1.63,34.82,10.58,15.3,770,1014.86,13.2,2021-09
JD김녕2,2021-10-01,S11,1.41,35.04,10.37,15.29,803,1023.07,13.21,2021-10
JD김녕2,2021-11-01,S11,1.08,35.37,10.07,15.29,831,1023.16,13.17,2021-11
JD김녕2,2021-12-01,S11,0.92,35.53,9.91,15.28,832,1027.86,13.14,2021-12
JD김녕2,2022-01-01,S11,0.88,35.57,9.87,15.29,830,1027.29,13.17,2022-01
JD김녕2,2022-02-01,S11,0.83,35.62,9.75,15.3,823,1028.98,13.23,2022-02
JD김녕2,2022-03-01,S11,0.9,35.55,9.81,15.3,816,1021.14,13.23,2022-03
JD김녕2,2022-04-01,S11,0.89,35.56,9.82,15.29,784,1020.8,13.26,2022-04
JD김녕2,2022-05-01,S11,1.02,35.43,9.95,15.27,763,1016.99,13.29,2022-05
JD김녕2,2022-06-01,S11,1.15,35.3,10.08,15.25,748,1011.48,13.3,2022-06
JD김녕2,2022-07-01,S11,1.14,35.31,10.14,15.28,733,1009.44,13.28,2022-07
JD김녕2,2022-08-01,S11,1.13,35.32,10.29,15.33,699,1010.79,13.28,2022-08
JD김녕2,2022-09-01,S11,1.38,35.07,10.54,15.35,697,1014.31,13.22,2022-09
JD김녕2,2022-10-01,S11,1.08,35.37,10.24,15.35,783,1024.14,13.21,2022-10
JD김녕2,2022-11-01,S11,1.02,35.43,10.17,15.35,788,1023.66,13.14,2022-11
JD김녕2,2022-12-01,S11,0.81,35.64,9.97,15.35,779,1027.38,13.11,2022-12
JD김녕2,2023-01-01,S11,0.85,35.6,10.01,15.35,770,1027.34,13.13,2023-01
JD김녕2,2023-02-01,S11,0.87,35.59,10.04,15.37,765,1027.76,13.18,2023-02
JD김녕2,2023-03-01,S11,0.84,35.61,10.01,15.38,761,1023.44,13.23,2023-03
JD김녕2,2023-04-01,S11,0.91,35.54,10.08,15.37,763,1018.29,13.26,2023-04
JD김녕2,2023-05-01,S11,1.13,35.32,10.3,15.38,736,1016.22,13.25,2023-05
JD김녕2,2023-06-01,S11,1.24,35.21,10.43,15.42,788,1010.93,13.29,2023-06
JD김녕2,2023-07-01,S11,1.43,35.02,10.63,15.45,792,1011.25,13.27,2023-07
JD김녕2,2023-08-01,S11,1.35,35.1,10.56,15.44,793,1008.22,13.26,2023-08
JD김녕2,2023-09-01,S11,1.31,35.14,10.52,15.45,789,1015.3,13.24,2023-09
JD김녕2,2023-10-01,S11,1.16,35.29,10.35,15.45,785,1021.86,13.21,2023-10
JD김녕2,2023-11-01,S11,0.98,35.47,10.15,15.46,777,1024.72,13.14,2023-11
JD김녕2,2023-12-01,S11,0.69,35.76,10.04,15.49,768,1027.06,13.07,2023-12
JD김녕2,2024-01-01,S11,0.6,35.85,10.06,15.51,757,1027.31,13.11,2024-01
JD김녕2,2024-02-01,S11,0.91,35.54,10.25,15.54,719,1025.64,13.11,2024-02
JD김녕2,2024-03-01,S11,1.17,35.28,10.39,15.54,723,1021.44,13.21,2024-03
JD김녕2,2024-04-01,S11,1.1,35.35,10.29,15.56,713,1016.36,13.25,2024-04
JD김녕2,2024-05-01,S11,1.12,35.33,10.31,15.58,693,1016.77,13.3,2024-05
JD김녕2,2024-06-01,S11,1.16,35.29,10.35,15.63,684,1011.5,13.28,2024-06
JD김녕2,2024-07-01,S11,1.27,35.18,10.48,15.7,644,1010.65,13.27,2024-07
JD김녕2,2024-08-01,S11,1.22,35.23,10.46,15.73,639,1009.86,13.24,2024-08
JD김녕2,2024-09-01,S11,1.14,35.31,10.41,15.8,631,1014.84,13.17,2024-09
JD김녕2,2024-10-01,S11,1.15,35.3,10.41,15.86,618,1021.26,13.1,2024-10
JD김녕2,2024-11-01,S11,1.42,35.03,10.68,16.24,582,1024.19,13.08,2024-11
JD김녕2,2024-12-01,S11,1.05,35.4,10.31,16.34,506,1026.41,13.07,2024-12
JD김녕2,2025-01-01,S11,0.98,35.48,10.24,16.45,332,1026.8,13.1,2025-01
JD김녕2,2025-02-01,S11,0.84,35.61,10.11,16.61,380,1027.28,13.13,2025-02
JD김녕2,2025-03-01,S11,0.95,35.51,10.26,15.99,680,1021.49,13.17,2025-03
JD김녕2,2025-04-01,S11,0.93,35.52,10.27,16.14,674,1015.77,13.23,2025-04
JD김녕2,2025-05-01,S11,0.97,35.48,10.28,16.61,655,1014.58,13.22,2025-05
JD김녕2,2025-06-01,S11,1.07,35.38,10.38,15.27,647,1011.02,13.25,2025-06
JD김녕2,2025-07-01,S11,1.16,35.29,10.54,15.27,658,1009.89,13.22,2025-07
JD김녕2,2025-08-01,S11,1.07,35.38,10.4,15.27,672,1012.31,13.2,2025-08
JD김녕2,2025-09-01,S11,1.19,35.26,10.52,15.28,660,1015.4,13.16,2025-09
JD김녕2,2025-10-01,S11,1.23,35.22,10.63,15.29,669,1021.26,13.12,2025-10
JD김녕2,2025-11-01,S11,1.06,35.39,10.46,15.28,734,1024.67,13.14,2025-11
JD김녕2,2025-12-01,S11,0.95,35.5,10.35,15.27,745,1025.86,13.1,2025-12
JD김녕2,2026-01-01,S11,0.85,35.6,10.25,15.27,741,1025.76,13.12,2026-01
