관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD삼양2,2021-01-01,S11,7.24,67.85,23.52,15.15,84,1026.94,12.69,2021-01
JD삼양2,2021-02-01,S11,6.09,68.99,22.37,16.95,88,1024.42,12.79,2021-02
JD삼양2,2021-03-01,S11,5.66,69.42,21.94,17.41,89,1022.44,13.02,2021-03
JD삼양2,2021-04-01,S11,5.58,69.5,21.88,17.72,88,1021.51,12.89,2021-04
JD삼양2,2021-05-01,S11,5.59,69.5,21.95,17.83,85,1013.34,12.92,2021-05
JD삼양2,2021-06-01,S11,5.8,69.28,22.16,17.53,81,1011.44,12.97,2021-06
JD삼양2,2021-07-01,S11,5.67,69.41,22.03,17.3,84,1012.8,12.98,2021-07
JD삼양2,2021-08-01,S11,6.64,68.45,23.0,17.1,78,1013.0,12.94,2021-08
JD삼양2,2021-09-01,S11,12.1,62.98,28.46,16.67,88,1018.87,12.87,2021-09
JD삼양2,2021-10-01,S11,18.69,56.39,35.05,16.73,85,1028.38,12.87,2021-10
JD삼양2,2021-11-01,S11,15.87,59.21,32.21,16.94,84,1028.86,12.82,2021-11
JD삼양2,2021-12-01,S11,11.46,63.62,27.76,16.94,72,1035.0,12.71,2021-12
JD삼양2,2022-01-01,S11,8.06,67.02,24.36,17.04,74,1036.23,12.72,2022-01
JD삼양2,2022-02-01,S11,6.04,69.04,22.34,17.12,85,1039.99,12.77,2022-02
JD삼양2,2022-03-01,S11,5.05,70.03,21.35,17.09,92,1033.87,12.83,2022-03
JD삼양2,2022-04-01,S11,5.04,70.04,21.21,17.0,92,1036.45,12.89,2022-04
JD삼양2,2022-05-01,S11,5.16,69.92,21.29,16.92,90,1035.02,12.95,2022-05
JD삼양2,2022-06-01,S11,4.97,70.11,21.1,16.87,93,1031.35,12.96,2022-06
JD삼양2,2022-07-01,S11,4.79,70.29,20.92,16.82,93,1032.35,12.97,2022-07
JD삼양2,2022-08-01,S11,5.43,69.65,21.56,16.74,82,1036.43,12.96,2022-08
JD삼양2,2022-09-01,S11,9.81,65.27,25.94,16.76,80,1045.31,12.85,2022-09
JD삼양2,2022-10-01,S11,11.79,63.29,27.92,16.84,80,1052.36,12.87,2022-10
JD삼양2,2022-11-01,S11,9.57,65.51,25.61,16.66,76,1053.93,12.79,2022-11
JD삼양2,2022-12-01,S11,6.95,68.13,23.33,16.47,75,1043.38,12.63,2022-12
JD삼양2,2023-01-01,S11,5.23,69.85,21.5,16.33,85,1046.58,12.63,2023-01
JD삼양2,2023-02-01,S11,4.7,70.38,20.97,16.23,88,1047.06,12.74,2023-02
JD삼양2,2023-03-01,S11,4.92,70.16,21.2,16.14,80,1026.38,12.83,2023-03
JD삼양2,2023-04-01,S11,4.9,70.18,21.17,16.08,79,1018.37,12.85,2023-04
JD삼양2,2023-05-01,S11,6.69,68.39,22.94,15.92,71,1016.24,12.88,2023-05
JD삼양2,2023-06-01,S11,8.77,66.31,25.02,15.8,71,1011.27,12.94,2023-06
JD삼양2,2023-07-01,S11,10.57,64.51,26.82,15.72,72,1011.65,12.94,2023-07
JD삼양2,2023-08-01,S11,11.41,63.67,27.66,15.64,74,1008.91,12.92,2023-08
JD삼양2,2023-09-01,S11,12.13,62.95,28.38,15.57,73,1016.13,12.91,2023-09
JD삼양2,2023-10-01,S11,11.3,63.78,27.55,15.52,70,1023.0,12.87,2023-10
JD삼양2,2023-11-01,S11,9.09,65.99,25.34,15.5,67,1026.09,12.75,2023-11
JD삼양2,2023-12-01,S11,7.06,68.02,23.38,15.48,70,1028.53,12.55,2023-12
JD삼양2,2024-01-01,S11,6.02,69.06,22.34,15.48,76,1029.06,12.6,2024-01
JD삼양2,2024-02-01,S11,6.88,68.2,23.2,15.46,70,1027.38,12.54,2024-02
JD삼양2,2024-03-01,S11,9.26,65.82,25.58,15.45,72,1023.24,12.76,2024-03
JD삼양2,2024-04-01,S11,9.86,65.22,26.16,15.44,72,1018.18,12.83,2024-04
JD삼양2,2024-05-01,S11,8.68,66.4,24.98,15.41,70,1018.8,12.91,2024-05
JD삼양2,2024-06-01,S11,8.14,66.94,24.44,15.38,69,1013.54,12.91,2024-06
JD삼양2,2024-07-01,S11,9.16,65.92,25.46,15.34,70,1012.82,12.92,2024-07
JD삼양2,2024-08-01,S11,8.63,66.45,24.92,15.32,71,1012.15,12.94,2024-08
JD삼양2,2024-09-01,S11,7.84,67.24,24.13,15.3,72,1017.16,12.88,2024-09
JD삼양2,2024-10-01,S11,9.88,65.2,26.17,15.3,73,1023.71,12.76,2024-10
JD삼양2,2024-11-01,S11,14.74,60.34,31.03,15.44,85,1026.65,12.73,2024-11
JD삼양2,2024-12-01,S11,14.3,60.78,30.59,15.44,81,1028.94,12.63,2024-12
JD삼양2,2025-01-01,S11,10.96,64.12,27.25,15.32,70,1029.27,12.65,2025-01
JD삼양2,2025-02-01,S11,8.34,66.74,24.63,15.33,68,1029.87,12.67,2025-02
JD삼양2,2025-03-01,S11,6.83,68.25,23.12,15.33,75,1024.03,12.74,2025-03
JD삼양2,2025-04-01,S11,5.99,69.09,22.28,15.35,80,1018.18,12.87,2025-04
JD삼양2,2025-05-01,S11,5.49,69.59,21.79,15.37,81,1017.06,12.88,2025-05
JD삼양2,2025-06-01,S11,5.29,69.79,21.6,15.39,81,1013.55,12.92,2025-06
JD삼양2,2025-07-01,S11,5.59,69.49,21.9,15.4,76,1012.42,12.91,2025-07
JD삼양2,2025-08-01,S11,6.13,68.95,22.44,15.4,72,1015.0,12.91,2025-08
JD삼양2,2025-09-01,S11,6.03,69.05,22.34,15.4,73,1018.13,12.86,2025-09
JD삼양2,2025-10-01,S11,7.37,67.71,23.7,15.4,72,1024.03,12.78,2025-10
JD삼양2,2025-11-01,S11,6.59,68.49,22.93,15.41,72,1027.48,12.76,2025-11
JD삼양2,2025-12-01,S11,5.57,69.51,21.91,15.42,76,1028.63,12.69,2025-12
JD삼양2,2026-01-01,S11,4.82,70.26,21.16,15.45,84,1028.68,12.63,2026-01
