관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD상모2,2021-01-01,S11,7.91,15.19,13.93,18.54,170.0,1025.16,12.74,2021-01
JD상모2,2021-02-01,S11,7.79,15.31,13.81,18.56,171.0,1022.38,12.85,2021-02
JD상모2,2021-03-01,S11,7.66,15.44,13.68,18.55,171.0,1020.42,12.92,2021-03
JD상모2,2021-04-01,S11,7.39,15.71,13.43,18.53,171.0,1019.4,12.96,2021-04
JD상모2,2021-05-01,S11,7.23,15.87,13.28,18.53,171.0,1011.69,12.98,2021-05
JD상모2,2021-06-01,S11,7.68,15.42,13.73,18.54,171.0,1009.08,13.01,2021-06
JD상모2,2021-07-01,S11,7.69,15.41,13.74,18.56,172.0,1009.3,12.96,2021-07
JD상모2,2021-08-01,S11,7.94,15.16,14.1,18.49,169.0,1009.26,12.95,2021-08
JD상모2,2021-09-01,S11,8.67,14.43,15.03,18.47,165.0,1012.28,12.99,2021-09
JD상모2,2021-10-01,S11,5.62,17.48,11.93,18.39,,1020.7,13.08,2021-10
JD상모2,2021-11-01,S11,6.02,17.08,12.35,18.47,169.0,1021.12,13.0,2021-11
JD상모2,2021-12-01,S11,6.92,16.18,13.3,18.6,167.0,1025.67,12.93,2021-12
JD상모2,2022-01-01,S11,6.94,16.16,13.35,18.66,166.0,1024.67,12.98,2022-01
JD상모2,2022-02-01,S11,6.1,17.0,12.51,18.59,167.0,1026.59,13.05,2022-02
JD상모2,2022-03-01,S11,5.71,17.39,12.13,18.51,166.0,1018.76,13.04,2022-03
JD상모2,2022-04-01,S11,5.54,17.56,11.99,19.29,,1018.41,13.12,2022-04
JD상모2,2022-05-01,S11,5.5,17.6,11.9,19.79,,1014.63,13.15,2022-05
JD상모2,2022-06-01,S11,6.07,17.03,12.48,19.6,213.0,1009.41,13.11,2022-06
JD상모2,2022-07-01,S11,6.61,16.49,13.04,19.36,137.0,1007.77,13.09,2022-07
JD상모2,2022-08-01,S11,6.95,16.15,13.42,19.16,136.0,1009.98,12.92,2022-08
JD상모2,2022-09-01,S11,6.84,16.26,13.44,19.64,193.0,1012.43,12.43,2022-09
JD상모2,2022-10-01,S11,3.38,19.72,10.0,19.41,157.0,1022.72,13.16,2022-10
JD상모2,2022-11-01,S11,4.17,18.93,10.79,18.6,167.0,822.84,13.09,2022-11
JD상모2,2022-12-01,S11,5.54,17.56,12.16,18.49,169.0,769.2,12.99,2022-12
JD상모2,2023-01-01,S11,5.7,17.4,12.31,18.51,172.0,769.26,12.98,2023-01
JD상모2,2023-02-01,S11,5.85,17.25,12.47,18.55,171.0,769.42,13.04,2023-02
JD상모2,2023-03-01,S11,5.61,17.49,12.25,18.52,171.0,766.5,13.14,2023-03
JD상모2,2023-04-01,S11,5.95,17.15,12.62,18.48,174.0,762.73,13.15,2023-04
JD상모2,2023-05-01,S11,7.09,16.01,13.76,18.38,230.0,761.39,13.09,2023-05
JD상모2,2023-06-01,S11,7.58,15.52,14.25,18.44,173.0,757.84,12.92,2023-06
JD상모2,2023-07-01,S11,8.5,14.6,15.16,18.42,174.0,758.45,12.79,2023-07
JD상모2,2023-08-01,S11,8.23,14.87,14.88,18.53,176.0,755.79,12.75,2023-08
JD상모2,2023-09-01,S11,8.88,14.22,15.48,18.41,178.0,1011.37,12.87,2023-09
JD상모2,2023-10-01,S11,5.47,17.63,12.04,18.1,177.0,1021.58,12.99,2023-10
JD상모2,2023-11-01,S11,7.19,15.91,13.75,18.38,176.0,1024.83,12.91,2023-11
JD상모2,2023-12-01,S11,7.79,15.31,14.37,18.54,177.0,1027.2,12.82,2023-12
JD상모2,2024-01-01,S11,7.64,15.46,14.23,18.6,177.0,1027.32,12.84,2024-01
JD상모2,2024-02-01,S11,7.56,15.55,14.18,18.57,178.0,1025.26,12.75,2024-02
JD상모2,2024-03-01,S11,7.22,15.88,13.86,18.58,178.0,1021.55,12.88,2024-03
JD상모2,2024-04-01,S11,7.29,15.81,13.96,18.53,176.0,1016.39,13.08,2024-04
JD상모2,2024-05-01,S11,7.58,15.52,14.22,18.49,178.0,1017.03,13.06,2024-05
JD상모2,2024-06-01,S11,7.67,15.43,14.31,18.45,191.0,1011.83,12.94,2024-06
JD상모2,2024-07-01,S11,9.14,13.96,15.78,18.5,180.0,1011.55,12.7,2024-07
JD상모2,2024-08-01,S11,7.72,15.39,14.35,18.55,179.0,1009.95,12.81,2024-08
JD상모2,2024-09-01,S11,6.57,16.53,13.18,18.41,178.0,1014.62,12.7,2024-09
JD상모2,2024-10-01,S11,6.24,16.86,12.86,18.4,177.0,1020.85,12.88,2024-10
JD상모2,2024-11-01,S11,8.04,15.06,14.66,18.47,195.0,1024.05,12.5,2024-11
JD상모2,2024-12-01,S11,7.15,15.95,13.76,18.57,179.0,1026.81,12.59,2024-12
JD상모2,2025-01-01,S11,6.54,16.56,13.15,18.49,178.0,1027.21,12.95,2025-01
JD상모2,2025-02-01,S11,6.87,16.23,13.45,18.54,179.0,1027.57,12.92,2025-02
JD상모2,2025-03-01,S11,6.74,16.36,13.31,18.53,179.0,1021.69,12.82,2025-03
JD상모2,2025-04-01,S11,6.07,17.03,12.64,18.43,180.0,1016.43,13.04,2025-04
JD상모2,2025-05-01,S11,7.11,15.99,13.71,18.41,179.0,1015.2,13.15,2025-05
JD상모2,2025-06-01,S11,7.06,16.04,13.66,18.5,178.0,1012.35,13.15,2025-06
JD상모2,2025-07-01,S11,6.39,16.71,12.96,18.5,180.0,1011.88,13.15,2025-07
JD상모2,2025-08-01,S11,6.17,16.93,12.78,18.47,180.0,1010.4,13.11,2025-08
JD상모2,2025-09-01,S11,5.67,17.43,12.33,18.4,180.0,1010.12,13.11,2025-09
