관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD서호,2021-01-01,S11,33.33,35.97,15.63,15.67,129,1023.34,13.04,2021-01
JD서호,2021-02-01,S11,32.16,37.15,14.47,15.77,129,1020.68,13.09,2021-02
JD서호,2021-03-01,S11,31.34,37.96,13.65,15.89,144,1019.07,13.12,2021-03
JD서호,2021-04-01,S11,31.92,37.38,14.1,16.11,156,1018.36,13.17,2021-04
JD서호,2021-05-01,S11,32.89,36.41,15.01,15.67,116,1010.72,13.19,2021-05
JD서호,2021-06-01,S11,33.4,35.9,15.5,15.68,119,1008.58,13.21,2021-06
JD서호,2021-07-01,S11,34.33,34.97,16.43,15.5,108,1009.01,13.19,2021-07
JD서호,2021-08-01,S11,34.84,34.46,16.94,15.47,107,1009.17,13.17,2021-08
JD서호,2021-09-01,S11,37.83,31.47,19.93,16.0,152,1012.67,13.16,2021-09
JD서호,2021-10-01,S11,37.74,31.56,19.82,15.66,113,1020.56,13.14,2021-10
JD서호,2021-11-01,S11,35.91,33.39,17.96,15.32,94,1020.7,13.09,2021-11
JD서호,2021-12-01,S11,34.61,34.69,16.66,15.35,94,1024.82,13.06,2021-12
JD서호,2022-01-01,S11,32.84,36.46,14.88,15.61,121,1023.58,13.07,2022-01
JD서호,2022-02-01,S11,31.62,37.68,13.66,16.15,136,1025.33,13.1,2022-02
JD서호,2022-03-01,S11,30.69,38.61,12.73,16.41,129,1017.92,13.14,2022-03
JD서호,2022-04-01,S11,29.98,39.32,12.0,16.5,127,1017.78,13.18,2022-04
JD서호,2022-05-01,S11,28.67,40.63,11.25,16.17,132,1013.94,13.22,2022-05
JD서호,2022-06-01,S11,28.51,40.79,11.12,16.22,164,1009.16,13.2,2022-06
JD서호,2022-07-01,S11,28.87,40.43,11.48,16.36,175,1008.58,13.2,2022-07
JD서호,2022-08-01,S11,30.36,38.94,12.97,16.29,161,1014.85,13.2,2022-08
JD서호,2022-09-01,S11,33.64,35.66,16.41,15.68,122,1014.13,13.16,2022-09
JD서호,2022-10-01,S11,33.58,35.75,16.44,15.37,93,1025.06,13.12,2022-10
JD서호,2022-11-01,S11,32.44,36.86,15.18,15.63,109,1018.24,13.02,2022-11
JD서호,2022-12-01,S11,31.04,38.26,13.8,15.88,120,1021.91,13.05,2022-12
JD서호,2023-01-01,S11,30.4,38.9,13.17,15.91,128,1022.03,13.06,2023-01
JD서호,2023-02-01,S11,30.09,39.21,12.86,15.93,139,1022.21,13.12,2023-02
JD서호,2023-03-01,S11,29.48,39.82,12.25,15.95,139,1018.78,13.21,2023-03
JD서호,2023-04-01,S11,30.28,39.02,13.05,16.23,156,1014.08,13.2,2023-04
JD서호,2023-05-01,S11,34.27,35.03,17.03,15.91,129,1012.56,13.2,2023-05
JD서호,2023-06-01,S11,35.73,33.57,18.49,15.72,115,1007.66,13.16,2023-06
JD서호,2023-07-01,S11,37.07,32.23,19.83,16.04,131,1008.76,13.14,2023-07
JD서호,2023-08-01,S11,37.88,31.42,20.64,15.81,113,1005.06,13.23,2023-08
JD서호,2023-09-01,S11,38.17,31.13,20.93,15.85,118,1012.11,13.22,2023-09
JD서호,2023-10-01,S11,36.97,32.33,19.72,15.42,92,1018.31,13.18,2023-10
JD서호,2023-11-01,S11,35.59,33.71,18.34,15.37,89,1021.4,13.1,2023-11
JD서호,2023-12-01,S11,34.12,35.18,16.87,15.52,98,1023.79,13.02,2023-12
JD서호,2024-01-01,S11,32.86,36.44,15.63,15.86,128,1023.68,13.07,2024-01
JD서호,2024-02-01,S11,32.4,36.9,15.21,16.05,137,1022.12,13.13,2024-02
JD서호,2024-03-01,S11,32.1,37.21,14.92,16.1,138,1018.36,13.22,2024-03
JD서호,2024-04-01,S11,32.98,36.32,15.81,16.29,145,1013.74,13.25,2024-04
JD서호,2024-05-01,S11,34.83,34.47,17.62,15.79,111,1014.16,13.17,2024-05
JD서호,2024-06-01,S11,35.81,33.49,18.59,15.62,107,1009.16,13.11,2024-06
JD서호,2024-07-01,S11,37.54,31.76,20.32,15.89,118,1009.31,13.09,2024-07
JD서호,2024-08-01,S11,36.85,32.45,19.63,15.45,92,1007.45,13.18,2024-08
JD서호,2024-09-01,S11,35.89,33.41,18.67,15.4,87,1012.29,13.14,2024-09
JD서호,2024-10-01,S11,35.27,34.03,18.05,15.44,85,1017.99,13.09,2024-10
JD서호,2024-11-01,S11,35.26,34.04,18.07,15.52,90,1020.82,13.02,2024-11
JD서호,2024-12-01,S11,34.46,34.84,17.27,15.47,90,1022.67,13.07,2024-12
JD서호,2025-01-01,S11,33.39,35.91,16.2,15.66,110,1022.74,13.1,2025-01
JD서호,2025-02-01,S11,32.45,36.85,15.28,15.97,137,1022.92,13.11,2025-02
JD서호,2025-03-01,S11,31.7,37.6,14.54,16.03,142,1017.75,13.15,2025-03
JD서호,2025-04-01,S11,31.58,37.72,14.43,16.2,156,1012.81,13.19,2025-04
JD서호,2025-05-01,S11,33.71,35.6,16.55,16.16,142,1011.85,13.21,2025-05
JD서호,2025-06-01,S11,34.52,34.78,17.34,15.58,108,1008.86,13.22,2025-06
JD서호,2025-07-01,S11,33.91,35.39,16.76,15.55,105,1007.57,13.21,2025-07
JD서호,2025-08-01,S11,32.42,36.88,15.39,16.07,145,1010.37,13.15,2025-08
JD서호,2025-09-01,S11,33.05,36.25,15.99,16.44,150,1013.13,13.15,2025-09
JD서호,2025-10-01,S11,34.1,35.2,17.04,15.67,104,1018.56,13.08,2025-10
JD서호,2025-11-01,S11,33.02,36.28,15.95,15.76,117,1022.03,13.03,2025-11
JD서호,2025-12-01,S11,31.98,37.32,14.89,15.95,127,1022.9,13.01,2025-12
JD서호,2026-01-01,S11,31.53,37.78,14.44,15.88,118,1022.88,13.0,2026-01
