관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD신도2,2021-01-01,S11,0.42,32.82,30.59,17.83,494,1029.98,12.12,2021-01
JD신도2,2021-02-01,S11,0.37,32.87,30.54,18.18,515,1027.27,11.92,2021-02
JD신도2,2021-03-01,S11,0.36,32.88,30.58,18.31,513,1025.34,12.39,2021-03
JD신도2,2021-04-01,S11,0.66,32.58,30.87,18.07,502,1024.24,11.94,2021-04
JD신도2,2021-05-01,S11,0.7,32.54,30.91,17.73,493,1016.47,13.06,2021-05
JD신도2,2021-06-01,S11,1.03,32.21,31.24,17.93,476,1013.94,13.08,2021-06
JD신도2,2021-07-01,S11,1.14,32.1,31.35,18.04,486,1014.21,13.05,2021-07
JD신도2,2021-08-01,S11,1.1,32.14,31.31,17.65,481,1014.48,13.02,2021-08
JD신도2,2021-09-01,S11,1.59,31.65,31.8,17.62,492,1018.1,12.98,2021-09
JD신도2,2021-10-01,S11,0.45,32.79,30.67,17.43,592,1026.45,12.97,2021-10
JD신도2,2021-11-01,S11,0.46,32.78,30.69,17.5,553,1026.79,12.9,2021-11
JD신도2,2021-12-01,S11,0.35,32.89,30.58,17.71,516,1031.28,12.96,2021-12
JD신도2,2022-01-01,S11,0.18,33.06,30.35,18.23,542,1029.51,13.11,2022-01
JD신도2,2022-02-01,S11,-0.21,33.45,29.88,17.88,538,1030.21,13.14,2022-02
JD신도2,2022-03-01,S11,-0.46,33.7,29.65,17.96,541,1022.14,13.18,2022-03
JD신도2,2022-04-01,S11,-0.31,33.55,29.88,17.81,587,1021.67,13.23,2022-04
JD신도2,2022-05-01,S11,-0.31,33.55,29.88,17.58,604,1017.95,13.29,2022-05
JD신도2,2022-06-01,S11,-0.2,33.44,30.0,17.75,622,1012.42,13.28,2022-06
JD신도2,2022-07-01,S11,0.27,32.97,30.46,17.62,601,1010.77,13.28,2022-07
JD신도2,2022-08-01,S11,0.72,32.52,30.91,17.54,585,1012.95,13.26,2022-08
JD신도2,2022-09-01,S11,1.31,31.93,31.5,17.52,681,1015.63,13.23,2022-09
JD신도2,2022-10-01,S11,-0.48,33.72,29.71,17.34,704,1025.9,13.2,2022-10
JD신도2,2022-11-01,S11,-0.54,33.78,29.68,17.51,691,1025.35,13.17,2022-11
