관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD용수1,2021-01-01,S11,2.29,8.69,19.06,17.42,192,1027.15,13.08,2021-01
JD용수1,2021-02-01,S11,2.4,8.58,19.17,17.43,192,1024.58,13.15,2021-02
JD용수1,2021-03-01,S11,2.36,8.62,19.12,17.43,192,1022.64,13.19,2021-03
JD용수1,2021-04-01,S11,2.26,8.72,19.02,17.42,192,1021.57,13.23,2021-04
JD용수1,2021-05-01,S11,1.61,9.38,18.37,17.43,193,1013.64,13.25,2021-05
JD용수1,2021-06-01,S11,1.69,9.29,18.45,17.42,196,1011.06,13.28,2021-06
JD용수1,2021-07-01,S11,1.95,9.03,18.71,17.43,195,1011.19,13.25,2021-07
JD용수1,2021-08-01,S11,2.62,8.37,19.38,17.43,193,1011.55,13.23,2021-08
JD용수1,2021-09-01,S11,2.05,8.93,18.81,17.42,199,1015.26,13.2,2021-09
JD용수1,2021-10-01,S11,0.59,10.39,17.33,17.4,203,1023.8,13.18,2021-10
JD용수1,2021-11-01,S11,1.61,9.37,18.32,17.42,197,1024.18,13.11,2021-11
JD용수1,2021-12-01,S11,2.15,8.83,18.86,17.43,193,1028.83,13.05,2021-12
JD용수1,2022-01-01,S11,2.13,8.85,18.84,17.44,193,1027.98,13.06,2022-01
JD용수1,2022-02-01,S11,1.7,9.28,18.41,17.44,193,1029.76,13.1,2022-02
JD용수1,2022-03-01,S11,1.4,9.58,18.01,17.43,194,1021.63,13.15,2022-03
JD용수1,2022-04-01,S11,1.42,9.56,17.99,17.43,194,1021.02,13.21,2022-04
JD용수1,2022-05-01,S11,1.16,9.82,17.78,17.43,194,1017.21,13.26,2022-05
JD용수1,2022-06-01,S11,1.34,9.64,17.93,17.45,195,1011.34,13.21,2022-06
JD용수1,2022-07-01,S11,1.67,9.31,17.94,17.54,195,1009.36,13.12,2022-07
JD용수1,2022-08-01,S11,1.2,9.78,17.46,17.55,198,1011.52,13.14,2022-08
JD용수1,2022-09-01,S11,1.61,9.37,17.87,17.55,207,1014.36,13.08,2022-09
JD용수1,2022-10-01,S11,-1.32,12.3,14.94,17.56,210,1024.63,13.1,2022-10
JD용수1,2022-11-01,S11,-0.04,11.02,16.22,17.56,243,1024.13,13.01,2022-11
JD용수1,2022-12-01,S11,1.78,9.2,18.04,17.57,249,1028.36,12.72,2022-12
JD용수1,2023-01-01,S11,1.68,9.3,17.94,17.57,202,1028.38,12.68,2023-01
JD용수1,2023-02-01,S11,1.4,9.58,17.66,17.58,199,1028.72,12.85,2023-02
JD용수1,2023-03-01,S11,0.4,10.58,16.66,17.58,206,1024.56,13.03,2023-03
JD용수1,2023-04-01,S11,1.33,9.65,17.59,17.58,204,1019.29,13.02,2023-04
JD용수1,2023-05-01,S11,1.72,9.26,17.98,17.58,205,1017.19,13.03,2023-05
JD용수1,2023-06-01,S11,1.83,9.15,18.09,17.59,214,1012.32,13.05,2023-06
JD용수1,2023-07-01,S11,2.24,8.74,18.5,17.6,218,1012.66,13.03,2023-07
JD용수1,2023-08-01,S11,1.7,9.28,17.96,17.59,213,1009.43,13.09,2023-08
JD용수1,2023-09-01,S11,1.46,9.52,17.72,17.59,219,1016.6,13.09,2023-09
JD용수1,2023-10-01,S11,-0.59,11.57,15.67,17.59,229,1023.4,13.07,2023-10
JD용수1,2023-11-01,S11,1.3,9.68,17.56,17.6,248,1026.61,12.92,2023-11
JD용수1,2023-12-01,S11,1.78,9.2,18.04,17.74,198,1028.95,12.49,2023-12
JD용수1,2024-01-01,S11,2.23,8.75,18.49,18.02,197,1029.18,12.64,2024-01
JD용수1,2024-02-01,S11,2.33,8.65,18.59,19.42,199,1027.08,12.53,2024-02
JD용수1,2024-03-01,S11,2.21,8.77,18.47,18.92,202,1023.26,12.83,2024-03
JD용수1,2024-04-01,S11,2.11,8.87,18.37,18.14,196,1017.95,12.94,2024-04
JD용수1,2024-05-01,S11,1.66,9.32,17.92,18.07,196,1018.6,13.05,2024-05
JD용수1,2024-06-01,S11,1.34,9.64,17.6,17.9,199,1013.29,12.95,2024-06
JD용수1,2024-07-01,S11,2.11,8.87,18.39,17.68,220,1012.6,12.97,2024-07
JD용수1,2024-08-01,S11,1.26,9.72,17.54,17.66,215,1011.36,13.08,2024-08
JD용수1,2024-09-01,S11,1.14,9.84,17.41,17.66,213,1016.12,13.04,2024-09
JD용수1,2024-10-01,S11,2.06,8.92,18.32,17.67,206,1022.56,12.93,2024-10
