관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD위미2,2021-01-01,S11,13.98,62.73,32.9,13.12,64,1027.03,13.0,2021-01
JD위미2,2021-02-01,S11,12.48,64.23,31.44,13.06,64,1024.28,13.06,2021-02
JD위미2,2021-03-01,S11,11.61,65.1,30.57,13.03,64,1022.58,13.07,2021-03
JD위미2,2021-04-01,S11,11.59,65.12,30.55,12.99,64,1021.76,13.13,2021-04
JD위미2,2021-05-01,S11,13.61,63.1,32.57,12.94,64,1013.96,13.1,2021-05
JD위미2,2021-06-01,S11,14.95,61.76,34.11,14.51,71,994.42,13.08,2021-06
JD위미2,2021-07-01,S11,16.32,60.39,35.78,16.2,79,981.79,13.09,2021-07
JD위미2,2021-08-01,S11,16.92,59.79,36.4,16.2,79,983.76,13.06,2021-08
JD위미2,2021-09-01,S11,20.98,55.73,40.46,16.05,86,984.85,13.07,2021-09
JD위미2,2021-10-01,S11,23.16,53.55,42.65,16.14,82,987.85,13.12,2021-10
JD위미2,2021-11-01,S11,19.99,56.72,39.48,16.2,81,991.26,13.09,2021-11
JD위미2,2021-12-01,S11,17.37,59.34,36.6,16.2,81,1013.75,13.05,2021-12
JD위미2,2022-01-01,S11,14.98,61.73,34.21,16.2,81,1026.7,13.06,2022-01
JD위미2,2022-02-01,S11,12.94,63.77,32.44,16.21,80,1028.6,13.09,2022-02
JD위미2,2022-03-01,S11,11.72,65.0,31.16,16.22,80,1021.13,13.1,2022-03
JD위미2,2022-04-01,S11,11.2,65.51,30.42,16.23,80,1021.05,13.16,2022-04
JD위미2,2022-05-01,S11,10.85,65.86,30.05,16.23,80,1017.07,13.16,2022-05
JD위미2,2022-06-01,S11,10.77,65.94,29.94,16.23,80,1011.92,13.08,2022-06
JD위미2,2022-07-01,S11,10.78,65.93,29.95,16.23,81,1009.44,13.11,2022-07
JD위미2,2022-08-01,S11,11.46,65.25,30.63,16.23,80,1011.08,13.15,2022-08
JD위미2,2022-09-01,S11,15.32,61.39,34.49,16.21,80,1013.56,13.07,2022-09
JD위미2,2022-10-01,S11,16.74,59.97,35.91,16.2,81,1023.13,13.11,2022-10
JD위미2,2022-11-01,S11,15.15,61.56,34.32,16.2,81,1023.2,13.05,2022-11
JD위미2,2022-12-01,S11,13.57,63.14,32.73,16.21,81,1025.57,13.04,2022-12
JD위미2,2023-01-01,S11,12.47,64.24,31.63,16.23,80,1001.61,13.02,2023-01
JD위미2,2023-02-01,S11,12.89,63.82,32.05,16.23,80,885.37,13.07,2023-02
JD위미2,2023-03-01,S11,12.62,64.1,31.8,16.25,80,865.68,13.11,2023-03
JD위미2,2023-04-01,S11,11.84,64.87,31.11,16.25,81,932.63,13.12,2023-04
JD위미2,2023-05-01,S11,14.62,62.09,33.89,16.22,81,999.37,13.06,2023-05
JD위미2,2023-06-01,S11,18.2,58.51,37.47,16.21,81,997.53,12.99,2023-06
JD위미2,2023-07-01,S11,19.9,56.81,39.17,16.22,81,994.14,13.0,2023-07
JD위미2,2023-08-01,S11,20.73,55.98,39.98,16.22,82,956.09,13.08,2023-08
JD위미2,2023-09-01,S11,20.52,56.19,39.72,16.22,82,901.24,13.08,2023-09
JD위미2,2023-10-01,S11,18.62,58.1,37.82,16.22,82,1013.0,13.11,2023-10
JD위미2,2023-11-01,S11,17.03,59.68,36.23,16.23,82,1019.78,13.06,2023-11
JD위미2,2023-12-01,S11,15.28,61.43,34.48,16.23,82,1013.0,13.01,2023-12
JD위미2,2024-01-01,S11,13.68,63.03,32.88,16.25,81,1013.0,13.02,2024-01
JD위미2,2024-02-01,S11,12.57,64.14,31.77,16.27,81,1013.0,12.96,2024-02
JD위미2,2024-03-01,S11,12.78,63.93,31.95,16.29,79,1014.83,13.02,2024-03
JD위미2,2024-04-01,S11,15.2,61.51,34.32,16.32,74,1016.66,12.98,2024-04
JD위미2,2024-05-01,S11,17.71,59.0,36.83,16.31,75,1017.25,13.02,2024-05
JD위미2,2024-06-01,S11,18.64,58.07,37.76,16.31,76,1012.36,12.83,2024-06
JD위미2,2024-07-01,S11,21.15,55.56,40.27,16.32,77,1012.48,12.35,2024-07
JD위미2,2024-08-01,S11,19.77,56.94,38.89,16.32,78,1010.97,12.77,2024-08
JD위미2,2024-09-01,S11,17.69,59.02,36.81,16.32,78,1016.09,12.97,2024-09
JD위미2,2024-10-01,S11,16.41,60.3,35.53,16.32,78,1022.05,12.9,2024-10
JD위미2,2024-11-01,S11,16.57,60.14,35.72,16.31,78,1024.99,12.92,2024-11
JD위미2,2024-12-01,S11,16.38,60.33,35.54,16.32,78,1027.28,12.97,2024-12
JD위미2,2025-01-01,S11,15.22,61.5,34.38,16.32,78,1028.23,12.98,2025-01
JD위미2,2025-02-01,S11,13.97,62.74,33.13,16.33,78,1028.59,12.99,2025-02
