관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD일과2,2021-01-01,S11,3.04,6.97,22.59,17.97,35135,1028.24,13.05,2021-01
JD일과2,2021-02-01,S11,3.18,6.82,22.73,17.63,36369,1025.65,13.09,2021-02
JD일과2,2021-03-01,S11,2.78,7.22,22.33,17.06,37230,1023.73,13.13,2021-03
JD일과2,2021-04-01,S11,2.95,7.05,22.5,16.82,36047,1022.79,13.18,2021-04
JD일과2,2021-05-01,S11,3.0,7.0,22.55,16.8,36258,1015.05,13.22,2021-05
JD일과2,2021-06-01,S11,3.23,6.77,22.78,16.94,33465,1012.47,13.26,2021-06
JD일과2,2021-07-01,S11,3.26,6.74,22.81,17.44,34133,1012.68,13.26,2021-07
JD일과2,2021-08-01,S11,3.18,6.82,22.73,18.8,35723,1013.0,13.22,2021-08
JD일과2,2021-09-01,S11,3.39,6.61,23.0,19.05,31367,1015.99,13.19,2021-09
JD일과2,2021-10-01,S11,2.91,7.15,21.92,19.66,39113,1023.71,13.16,2021-10
JD일과2,2021-11-01,S11,2.82,7.18,21.74,19.55,37422,1023.97,13.1,2021-11
JD일과2,2021-12-01,S11,2.76,7.24,21.68,18.92,38262,1028.72,13.05,2021-12
JD일과2,2022-01-01,S11,2.69,7.31,21.61,18.25,38361,1027.99,13.04,2022-01
JD일과2,2022-02-01,S11,2.54,7.46,21.46,17.59,38464,1029.99,13.08,2022-02
JD일과2,2022-03-01,S11,2.58,7.42,21.51,17.03,37928,1022.1,13.12,2022-03
JD일과2,2022-04-01,S11,2.56,7.44,21.53,16.76,37018,1021.66,13.17,2022-04
JD일과2,2022-05-01,S11,2.56,7.44,21.53,16.82,36204,1017.96,13.21,2022-05
JD일과2,2022-06-01,S11,2.82,7.18,21.79,16.97,36238,1012.5,13.21,2022-06
JD일과2,2022-07-01,S11,3.23,6.77,22.2,17.42,35706,1010.74,13.21,2022-07
JD일과2,2022-08-01,S11,3.37,6.63,22.34,17.94,32486,1012.91,13.2,2022-08
JD일과2,2022-09-01,S11,3.37,6.63,22.34,18.81,36089,1015.37,13.15,2022-09
JD일과2,2022-10-01,S11,2.7,7.3,21.67,19.53,40618,1025.62,13.13,2022-10
JD일과2,2022-11-01,S11,2.92,7.08,21.88,19.45,39986,1025.1,13.09,2022-11
JD일과2,2022-12-01,S11,2.58,7.42,21.54,19.06,39907,1029.31,13.04,2022-12
JD일과2,2023-01-01,S11,2.48,7.52,21.44,18.33,39381,1029.31,13.04,2023-01
JD일과2,2023-02-01,S11,3.11,6.89,22.07,17.84,39169,1029.51,13.07,2023-02
JD일과2,2023-03-01,S11,2.67,7.33,21.63,17.44,39666,1025.4,13.12,2023-03
JD일과2,2023-04-01,S11,2.95,7.05,21.91,17.06,39492,1020.14,13.15,2023-04
JD일과2,2023-05-01,S11,3.4,6.6,22.33,17.0,33060,1018.03,13.18,2023-05
JD일과2,2023-06-01,S11,3.47,6.53,22.33,16.97,31902,1013.03,13.2,2023-06
JD일과2,2023-07-01,S11,3.54,6.46,22.4,17.08,27209,1013.47,13.19,2023-07
JD일과2,2023-08-01,S11,3.3,6.7,22.16,18.38,35706,1009.86,13.18,2023-08
JD일과2,2023-09-01,S11,3.45,6.55,22.31,18.95,27982,1016.97,13.15,2023-09
JD일과2,2023-10-01,S11,3.23,6.77,22.08,18.97,31649,1023.62,13.12,2023-10
JD일과2,2023-11-01,S11,2.93,7.07,21.75,18.99,33721,1026.85,13.07,2023-11
JD일과2,2023-12-01,S11,2.81,7.19,21.63,18.61,33926,1029.2,13.0,2023-12
JD일과2,2024-01-01,S11,2.72,7.28,21.54,18.05,34617,1029.36,13.02,2024-01
JD일과2,2024-02-01,S11,2.78,7.22,21.6,17.55,35190,1027.24,13.03,2024-02
JD일과2,2024-03-01,S11,2.73,7.27,21.55,17.1,35736,1023.49,13.08,2024-03
JD일과2,2024-04-01,S11,2.87,7.13,21.65,16.82,34269,1018.27,13.13,2024-04
JD일과2,2024-05-01,S11,3.0,7.0,21.77,16.76,32640,1018.81,13.21,2024-05
JD일과2,2024-06-01,S11,3.14,6.86,21.91,16.89,32144,1013.49,13.21,2024-06
JD일과2,2024-07-01,S11,3.46,6.54,22.23,16.94,25861,1013.07,13.21,2024-07
JD일과2,2024-08-01,S11,3.33,6.67,22.1,17.84,30418,1011.53,13.21,2024-08
JD일과2,2024-09-01,S11,3.05,6.95,21.84,19.28,34762,1016.23,13.17,2024-09
JD일과2,2024-10-01,S11,3.18,6.82,21.97,19.89,35546,1022.53,13.12,2024-10
JD일과2,2024-11-01,S11,3.57,6.43,22.36,19.19,28953,1025.81,13.08,2024-11
JD일과2,2024-12-01,S11,3.3,6.7,22.09,18.74,29677,1028.59,13.05,2024-12
JD일과2,2025-01-01,S11,3.44,6.56,22.23,18.35,28168,1028.96,13.05,2025-01
JD일과2,2025-02-01,S11,3.34,6.66,22.13,18.08,27120,1029.46,13.08,2025-02
JD일과2,2025-03-01,S11,3.43,6.57,22.27,17.8,27633,1218.88,13.1,2025-03
JD일과2,2025-04-01,S11,3.39,6.61,22.26,17.37,30076,1016.8,13.14,2025-04
JD일과2,2025-05-01,S11,3.35,6.65,22.22,17.08,28835,1015.55,13.15,2025-05
JD일과2,2025-06-01,S11,3.39,6.61,22.26,16.94,31869,1012.17,13.17,2025-06
JD일과2,2025-07-01,S11,2.91,7.09,21.78,17.52,34873,1010.55,13.2,2025-07
JD일과2,2025-08-01,S11,2.51,7.49,21.38,19.17,34520,1013.61,13.16,2025-08
JD일과2,2025-09-01,S11,2.38,7.63,21.27,19.91,33789,1016.49,13.14,2025-09
JD일과2,2025-10-01,S11,2.27,7.73,21.26,20.4,33963,1022.5,13.1,2025-10
JD일과2,2025-11-01,S11,2.14,7.86,21.13,20.28,32091,1026.51,13.08,2025-11
JD일과2,2025-12-01,S11,2.1,7.9,21.09,19.66,30658,1027.95,13.04,2025-12
JD일과2,2026-01-01,S11,2.3,7.7,21.29,19.06,30917,1028.38,13.04,2026-01
