관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD판포1,2021-01-01,S11,3.78,11.16,18.7,17.75,227,1026.69,13.09,2021-01
JD판포1,2021-02-01,S11,3.75,11.19,18.67,17.76,227,1024.16,13.13,2021-02
JD판포1,2021-03-01,S11,3.69,11.25,18.61,17.82,225,1022.19,13.16,2021-03
JD판포1,2021-04-01,S11,3.63,11.31,18.55,17.86,224,1021.12,13.22,2021-04
JD판포1,2021-05-01,S11,3.64,11.3,18.56,17.86,224,1013.28,13.24,2021-05
JD판포1,2021-06-01,S11,3.83,11.11,18.75,17.87,224,1010.72,13.25,2021-06
JD판포1,2021-07-01,S11,4.08,10.86,18.95,17.88,223,1010.82,13.22,2021-07
JD판포1,2021-08-01,S11,4.05,10.93,18.82,17.89,225,961.65,13.24,2021-08
JD판포1,2021-09-01,S11,4.17,10.77,18.62,17.92,231,760.09,13.13,2021-09
JD판포1,2021-10-01,S11,3.78,11.16,18.23,17.86,232,766.47,13.14,2021-10
JD판포1,2021-11-01,S11,3.29,11.66,17.74,17.71,239,767.06,13.08,2021-11
JD판포1,2021-12-01,S11,3.38,11.64,17.75,17.73,237,770.64,12.43,2021-12
JD판포1,2022-01-01,S11,3.35,11.67,17.72,17.74,237,770.07,11.93,2022-01
JD판포1,2022-02-01,S11,3.11,11.91,17.55,17.72,238,771.51,12.24,2022-02
JD판포1,2022-03-01,S11,2.83,12.2,17.33,17.66,245,765.23,12.08,2022-03
JD판포1,2022-04-01,S11,2.9,12.12,17.4,17.69,240,764.7,11.84,2022-04
JD판포1,2022-05-01,S11,2.9,12.12,17.4,17.69,241,761.94,13.25,2022-05
JD판포1,2022-06-01,S11,2.88,12.14,17.4,17.67,242,769.27,13.24,2022-06
JD판포1,2022-07-01,S11,3.05,11.97,17.57,17.69,239,1008.49,13.25,2022-07
JD판포1,2022-08-01,S11,3.2,11.82,17.72,17.7,239,1010.7,13.26,2022-08
JD판포1,2022-09-01,S11,3.65,11.37,18.17,17.73,237,1013.56,12.69,2022-09
JD판포1,2022-10-01,S11,2.82,12.2,17.34,17.6,276,1023.95,12.14,2022-10
JD판포1,2022-11-01,S11,2.66,12.36,17.1,17.45,341,1023.52,11.62,2022-11
JD판포1,2022-12-01,S11,2.96,12.06,17.4,17.67,254,1027.86,12.72,2022-12
JD판포1,2023-01-01,S11,2.87,12.15,17.31,17.69,246,1027.94,13.01,2023-01
JD판포1,2023-02-01,S11,2.84,12.18,17.28,17.73,242,1028.31,13.05,2023-02
JD판포1,2023-03-01,S11,2.71,12.31,17.14,17.73,240,1024.17,13.13,2023-03
JD판포1,2023-04-01,S11,2.85,12.17,17.22,17.68,242,1018.87,13.16,2023-04
JD판포1,2023-05-01,S11,3.39,11.63,17.76,17.73,238,1016.82,13.18,2023-05
JD판포1,2023-06-01,S11,3.98,11.04,18.29,17.77,236,1011.91,13.21,2023-06
