관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD하천2,2021-01-01,S11,0.68,58.26,10.1,15.43,112,1026.87,13.14,2021-01
JD하천2,2021-02-01,S11,0.64,58.29,10.06,15.62,116,1024.16,13.18,2021-02
JD하천2,2021-03-01,S11,0.67,58.26,10.09,15.67,120,1022.22,13.18,2021-03
JD하천2,2021-04-01,S11,0.74,58.19,10.15,15.7,119,1021.45,13.2,2021-04
JD하천2,2021-05-01,S11,0.83,58.1,10.24,15.71,115,1013.45,13.18,2021-05
JD하천2,2021-06-01,S11,1.08,57.85,10.46,15.67,113,1011.4,13.14,2021-06
JD하천2,2021-07-01,S11,1.2,57.73,10.57,15.57,111,1011.7,13.08,2021-07
JD하천2,2021-08-01,S11,1.31,57.62,10.68,15.49,113,1011.79,13.06,2021-08
JD하천2,2021-09-01,S11,2.01,56.92,11.38,15.51,115,1015.64,13.04,2021-09
JD하천2,2021-10-01,S11,1.51,57.42,10.89,15.43,115,1023.57,13.08,2021-10
JD하천2,2021-11-01,S11,1.05,57.92,10.63,15.43,112,1023.75,13.09,2021-11
JD하천2,2021-12-01,S11,0.81,58.24,10.85,15.47,108,1027.85,13.02,2021-12
JD하천2,2022-01-01,S11,0.71,58.34,10.75,15.44,110,1026.88,13.03,2022-01
JD하천2,2022-02-01,S11,0.64,58.41,10.68,15.3,108,1028.61,13.09,2022-02
JD하천2,2022-03-01,S11,0.64,58.41,10.68,15.4,109,1020.78,13.13,2022-03
JD하천2,2022-04-01,S11,0.57,58.48,10.63,15.56,113,1020.49,13.19,2022-04
JD하천2,2022-05-01,S11,0.61,58.44,10.68,15.64,114,1016.53,13.23,2022-05
JD하천2,2022-06-01,S11,0.83,58.22,10.9,15.64,113,1011.45,13.21,2022-06
JD하천2,2022-07-01,S11,0.82,58.23,10.89,15.68,113,1009.49,13.21,2022-07
JD하천2,2022-08-01,S11,0.86,58.19,11.08,15.62,113,1010.95,13.15,2022-08
JD하천2,2022-09-01,S11,1.28,57.77,11.53,15.49,134,1013.57,12.99,2022-09
JD하천2,2022-10-01,S11,0.84,58.21,10.87,15.46,301,1023.14,13.05,2022-10
