관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD한동2,2021-01-01,S11,0.79,40.96,27.02,15.74,508,1026.18,13.03,2021-01
JD한동2,2021-02-01,S11,0.79,40.95,27.02,15.75,508,1023.32,13.12,2021-02
JD한동2,2021-03-01,S11,0.83,40.91,27.05,15.75,500,1021.14,13.14,2021-03
JD한동2,2021-04-01,S11,0.86,40.88,27.08,15.74,505,1020.22,13.21,2021-04
JD한동2,2021-05-01,S11,0.94,40.8,27.17,15.74,505,1011.99,13.22,2021-05
JD한동2,2021-06-01,S11,1.06,40.68,27.3,15.74,490,1009.91,13.22,2021-06
JD한동2,2021-07-01,S11,1.09,40.65,27.34,15.74,537,1010.1,13.19,2021-07
JD한동2,2021-08-01,S11,1.28,40.46,27.37,15.77,428,1011.03,13.16,2021-08
JD한동2,2021-09-01,S11,1.57,40.17,27.58,15.8,351,1015.6,13.08,2021-09
JD한동2,2021-10-01,S11,1.25,40.49,27.26,15.8,352,1023.68,13.1,2021-10
JD한동2,2021-11-01,S11,0.96,40.78,27.0,15.8,415,1023.65,13.08,2021-11
JD한동2,2021-12-01,S11,0.78,40.96,26.84,15.79,469,1028.18,13.04,2021-12
JD한동2,2022-01-01,S11,0.77,40.97,26.8,15.78,515,1027.87,13.06,2022-01
JD한동2,2022-02-01,S11,0.74,41.0,26.77,15.78,549,1029.16,13.11,2022-02
JD한동2,2022-03-01,S11,0.82,40.92,26.84,15.77,565,1021.28,13.15,2022-03
JD한동2,2022-04-01,S11,0.85,40.89,26.85,15.77,536,1021.04,13.19,2022-04
JD한동2,2022-05-01,S11,0.9,40.84,26.88,15.77,520,1022.25,13.22,2022-05
JD한동2,2022-06-01,S11,0.99,40.75,26.8,15.77,523,1035.28,13.19,2022-06
JD한동2,2022-07-01,S11,1.03,40.71,26.76,15.77,536,1039.03,13.18,2022-07
JD한동2,2022-08-01,S11,1.11,40.63,26.84,15.77,511,1039.97,13.16,2022-08
