관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD협재,2021-01-01,S11,6.06,6.51,19.3,16.18,281,1027.79,12.71,2021-01
JD협재,2021-02-01,S11,5.87,6.7,19.11,16.19,281,1025.3,12.83,2021-02
JD협재,2021-03-01,S11,5.57,7.0,18.81,16.19,281,1023.33,12.92,2021-03
JD협재,2021-04-01,S11,5.15,7.42,18.39,16.19,281,1022.33,12.98,2021-04
JD협재,2021-05-01,S11,5.21,7.36,18.45,16.19,281,1014.48,13.0,2021-05
JD협재,2021-06-01,S11,5.33,7.24,18.58,16.2,282,1011.98,13.03,2021-06
JD협재,2021-07-01,S11,5.44,7.13,18.69,16.2,289,1012.17,13.0,2021-07
JD협재,2021-08-01,S11,5.32,7.25,18.55,16.21,288,1012.62,12.91,2021-08
JD협재,2021-09-01,S11,5.6,6.97,18.79,16.22,286,1016.6,12.81,2021-09
JD협재,2021-10-01,S11,5.71,6.86,18.72,16.22,298,1024.31,12.86,2021-10
JD협재,2021-11-01,S11,5.31,7.26,18.03,16.23,290,1023.27,12.74,2021-11
JD협재,2021-12-01,S11,5.14,7.43,17.86,16.23,282,1028.05,12.51,2021-12
JD협재,2022-01-01,S11,4.87,7.7,17.59,16.24,277,1027.33,12.47,2022-01
JD협재,2022-02-01,S11,4.68,7.89,17.4,16.24,274,1029.19,12.64,2022-02
JD협재,2022-03-01,S11,4.4,8.17,17.13,16.24,272,1021.07,12.76,2022-03
JD협재,2022-04-01,S11,4.22,8.35,16.95,16.24,271,1020.57,12.92,2022-04
JD협재,2022-05-01,S11,4.05,8.52,16.78,16.25,270,1016.92,12.97,2022-05
JD협재,2022-06-01,S11,4.02,8.55,16.75,16.25,269,1011.22,12.96,2022-06
JD협재,2022-07-01,S11,3.93,8.64,16.65,16.25,270,1009.59,12.94,2022-07
JD협재,2022-08-01,S11,4.06,8.51,16.78,16.24,272,1011.31,12.98,2022-08
JD협재,2022-09-01,S11,4.42,8.15,17.13,16.24,287,1014.76,12.93,2022-09
JD협재,2022-10-01,S11,4.35,8.22,17.06,16.24,295,1024.94,12.93,2022-10
JD협재,2022-11-01,S11,4.13,8.44,16.85,16.25,285,1024.53,12.91,2022-11
JD협재,2022-12-01,S11,4.0,8.57,16.72,16.25,279,1028.8,12.83,2022-12
JD협재,2023-01-01,S11,3.84,8.73,16.55,16.25,274,1028.74,12.82,2023-01
JD협재,2023-02-01,S11,3.84,8.73,16.54,16.26,271,1029.04,12.91,2023-02
JD협재,2023-03-01,S11,3.6,8.97,16.3,16.26,269,1024.71,12.98,2023-03
JD협재,2023-04-01,S11,3.55,9.02,16.26,16.26,268,1019.35,13.01,2023-04
JD협재,2023-05-01,S11,4.12,8.45,16.83,16.27,279,1017.14,13.03,2023-05
JD협재,2023-06-01,S11,4.92,7.65,17.63,16.27,300,1012.21,13.04,2023-06
JD협재,2023-07-01,S11,5.63,6.94,18.34,16.26,312,1012.41,13.02,2023-07
JD협재,2023-08-01,S11,5.98,6.59,18.69,16.25,313,1009.18,13.01,2023-08
JD협재,2023-09-01,S11,6.37,6.2,19.02,16.29,302,1016.23,12.92,2023-09
JD협재,2023-10-01,S11,6.23,6.34,18.88,16.3,296,1023.05,12.91,2023-10
JD협재,2023-11-01,S11,5.81,6.76,18.46,16.3,289,1026.19,12.72,2023-11
JD협재,2023-12-01,S11,5.51,7.06,18.16,16.31,288,1028.49,12.37,2023-12
JD협재,2024-01-01,S11,5.17,7.4,17.82,16.31,287,1028.75,12.48,2024-01
JD협재,2024-02-01,S11,4.91,7.66,17.56,16.31,287,1026.58,12.4,2024-02
JD협재,2024-03-01,S11,4.76,7.81,17.41,16.31,286,1022.75,12.76,2024-03
JD협재,2024-04-01,S11,4.67,7.9,17.34,16.31,285,1017.42,12.87,2024-04
JD협재,2024-05-01,S11,4.95,7.62,17.62,16.31,288,1018.08,12.99,2024-05
JD협재,2024-06-01,S11,5.29,7.28,17.96,16.31,295,1012.69,12.87,2024-06
JD협재,2024-07-01,S11,6.06,6.51,18.73,16.31,296,1011.94,12.9,2024-07
JD협재,2024-08-01,S11,5.96,6.61,18.63,16.32,292,1010.87,12.97,2024-08
JD협재,2024-09-01,S11,5.67,6.9,18.34,16.32,286,1015.58,12.92,2024-09
JD협재,2024-10-01,S11,5.63,6.94,18.29,16.32,288,1022.14,12.81,2024-10
