관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JI오등2,2011-05-01,S11,117.37,144.9,7.0,13.73,86,997.96,12.72,2011-05
JI오등2,2011-06-01,S11,117.54,144.73,8.62,13.95,90,993.53,12.73,2011-06
JI오등2,2011-07-01,S11,119.83,142.44,12.82,13.48,75,993.28,12.73,2011-07
JI오등2,2011-08-01,S11,121.95,140.32,14.94,13.44,73,994.83,12.61,2011-08
JI오등2,2011-09-01,S11,123.11,139.17,16.18,13.35,70,998.39,12.39,2011-09
JI오등2,2011-10-01,S11,122.04,140.23,15.79,13.31,57,1006.0,12.06,2011-10
JI오등2,2011-11-01,S11,121.04,141.23,14.79,13.32,57,1010.02,11.78,2011-11
JI오등2,2011-12-01,S11,120.8,141.47,14.54,13.33,58,1011.44,11.46,2011-12
JI오등2,2012-01-01,S11,120.2,142.08,13.94,13.34,58,1010.07,11.94,2012-01
JI오등2,2012-02-01,S11,119.6,142.67,13.34,13.32,58,1008.56,11.62,2012-02
JI오등2,2012-03-01,S11,119.28,143.0,13.03,13.32,59,1005.75,11.99,2012-03
JI오등2,2012-04-01,S11,119.19,143.08,13.01,13.36,61,1000.47,12.91,2012-04
JI오등2,2012-05-01,S11,120.31,141.96,14.13,13.37,62,998.4,12.89,2012-05
JI오등2,2012-06-01,S11,120.47,141.81,14.29,13.37,61,994.35,12.89,2012-06
JI오등2,2012-07-01,S11,119.94,142.33,13.76,13.37,60,994.28,12.85,2012-07
JI오등2,2012-08-01,S11,120.27,142.0,14.09,13.43,60,995.37,12.85,2012-08
JI오등2,2012-09-01,S11,122.73,139.54,16.55,13.47,63,1000.83,12.82,2012-09
JI오등2,2012-10-01,S11,124.37,137.9,18.19,13.36,62,1005.36,12.74,2012-10
JI오등2,2012-11-01,S11,123.4,138.87,17.22,13.33,59,1005.84,12.2,2012-11
JI오등2,2012-12-01,S11,121.9,140.37,15.75,13.35,58,1008.85,11.72,2012-12
JI오등2,2013-01-01,S11,120.84,141.43,14.77,13.37,59,1003.74,12.04,2013-01
JI오등2,2013-02-01,S11,120.26,142.01,14.19,13.4,59,1009.97,12.5,2013-02
JI오등2,2013-03-01,S11,119.85,142.42,13.78,13.4,59,1004.44,12.88,2013-03
JI오등2,2013-04-01,S11,119.61,142.66,13.54,13.38,60,1000.99,12.93,2013-04
JI오등2,2013-05-01,S11,119.22,143.05,13.15,13.42,60,999.29,12.91,2013-05
JI오등2,2013-06-01,S11,118.86,143.41,12.79,13.41,60,995.35,12.88,2013-06
JI오등2,2013-07-01,S11,118.53,143.74,12.46,13.44,59,994.31,12.84,2013-07
JI오등2,2013-08-01,S11,118.14,144.13,12.07,13.47,57,995.94,12.86,2013-08
JI오등2,2013-09-01,S11,117.66,144.61,11.59,13.51,58,1001.89,12.78,2013-09
JI오등2,2013-10-01,S11,117.4,144.88,11.33,13.52,58,1005.95,12.42,2013-10
JI오등2,2013-11-01,S11,117.38,144.89,11.31,13.53,59,1007.63,11.91,2013-11
JI오등2,2013-12-01,S11,117.22,145.05,11.16,13.53,60,1008.59,11.56,2013-12
JI오등2,2014-01-01,S11,116.97,145.3,11.05,13.54,60,1010.8,12.44,2014-01
JI오등2,2014-02-01,S11,116.85,145.42,10.93,13.55,61,1009.19,12.5,2014-02
JI오등2,2014-03-01,S11,117.21,145.06,11.29,13.57,63,1006.68,12.73,2014-03
JI오등2,2014-04-01,S11,117.26,145.01,11.34,13.56,63,1003.74,12.85,2014-04
JI오등2,2014-05-01,S11,117.06,145.21,11.14,13.57,62,999.39,12.83,2014-05
JI오등2,2014-06-01,S11,116.86,145.41,10.94,13.58,61,994.02,12.86,2014-06
JI오등2,2014-07-01,S11,117.32,144.95,11.4,13.63,62,995.33,12.82,2014-07
JI오등2,2014-08-01,S11,120.03,142.24,14.11,13.67,62,995.15,12.72,2014-08
JI오등2,2014-09-01,S11,121.83,140.44,15.91,13.5,52,1000.11,12.73,2014-09
JI오등2,2014-10-01,S11,121.87,140.4,15.95,13.49,50,1005.45,12.33,2014-10
