관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM신례1,2007-01-01,S11,41.15,60.36,37.62,14.46,54,1022.52,12.87,2007-01
JM신례1,2007-02-01,S11,39.99,61.52,36.46,14.44,54,1017.75,12.88,2007-02
JM신례1,2007-03-01,S11,39.22,62.29,35.69,14.44,54,1016.06,12.97,2007-03
JM신례1,2007-04-01,S11,39.18,62.33,35.65,14.44,55,1014.64,13.01,2007-04
JM신례1,2007-05-01,S11,39.37,62.14,35.84,14.44,55,1007.79,13.04,2007-05
JM신례1,2007-06-01,S11,39.62,61.89,36.09,14.44,57,1006.75,13.01,2007-06
JM신례1,2007-07-01,S11,42.94,58.57,39.41,14.52,85,1003.1,12.97,2007-07
JM신례1,2007-08-01,S11,45.61,55.9,42.08,14.62,82,1007.48,12.99,2007-08
JM신례1,2007-09-01,S11,48.81,52.7,45.28,14.74,92,1008.68,12.89,2007-09
JM신례1,2007-10-01,S11,50.7,50.81,47.17,14.93,82,1016.01,12.9,2007-10
JM신례1,2007-11-01,S11,47.97,53.55,44.44,14.93,68,1019.88,12.87,2007-11
JM신례1,2007-12-01,S11,45.65,55.86,42.12,14.79,63,1018.53,12.78,2007-12
JM신례1,2008-01-01,S11,43.41,58.1,39.88,14.62,58,1020.48,12.76,2008-01
JM신례1,2008-02-01,S11,41.68,59.83,38.15,14.53,56,1021.02,12.9,2008-02
JM신례1,2008-03-01,S11,40.53,60.98,37.0,14.49,55,1015.7,12.98,2008-03
JM신례1,2008-04-01,S11,39.86,61.65,36.33,14.47,55,1013.03,13.02,2008-04
JM신례1,2008-05-01,S11,39.81,61.7,36.28,14.46,56,1008.12,13.03,2008-05
JM신례1,2008-06-01,S11,40.7,60.81,37.19,14.49,65,1006.65,12.62,2008-06
JM신례1,2008-07-01,S11,44.08,57.43,40.61,14.57,83,1006.05,13.08,2008-07
JM신례1,2008-08-01,S11,44.31,57.2,40.84,14.6,69,1005.35,13.23,2008-08
JM신례1,2008-09-01,S11,43.13,58.38,39.66,14.55,63,1009.62,13.16,2008-09
JM신례1,2008-10-01,S11,42.61,58.9,39.14,14.5,63,1015.38,13.1,2008-10
JM신례1,2008-11-01,S11,42.2,59.31,38.73,14.47,61,1018.38,12.98,2008-11
JM신례1,2008-12-01,S11,41.67,59.84,38.2,14.46,59,1018.91,12.9,2008-12
JM신례1,2009-01-01,S11,40.39,61.12,37.71,14.44,57,1020.58,12.73,2009-01
JM신례1,2009-02-01,S11,39.69,61.82,37.01,14.43,57,1016.17,12.76,2009-02
JM신례1,2009-03-01,S11,39.86,61.65,37.18,14.44,61,1016.05,12.89,2009-03
JM신례1,2009-04-01,S11,41.06,60.45,38.38,14.47,66,1013.59,12.87,2009-04
JM신례1,2009-05-01,S11,41.73,59.78,39.06,14.47,66,1010.79,12.89,2009-05
JM신례1,2009-06-01,S11,41.82,59.69,39.17,14.47,60,1004.54,12.86,2009-06
JM신례1,2009-07-01,S11,42.74,58.77,40.08,14.49,66,1004.72,12.81,2009-07
JM신례1,2009-08-01,S11,45.72,55.79,43.06,14.62,81,1006.76,12.77,2009-08
JM신례1,2009-09-01,S11,46.7,54.81,44.04,14.72,72,1010.92,12.87,2009-09
JM신례1,2009-10-01,S11,45.83,55.68,43.17,14.69,64,1014.43,12.88,2009-10
JM신례1,2009-11-01,S11,44.23,57.28,41.57,14.59,58,1019.59,12.74,2009-11
JM신례1,2009-12-01,S11,42.7,58.81,40.04,14.51,55,1018.92,12.76,2009-12
JM신례1,2010-01-01,S11,41.39,60.12,38.73,14.46,53,1020.66,12.73,2010-01
JM신례1,2010-02-01,S11,40.38,61.13,37.72,14.46,53,1017.73,12.67,2010-02
JM신례1,2010-03-01,S11,40.05,61.46,37.42,14.45,53,1017.4,12.69,2010-03
JM신례1,2010-04-01,S11,42.53,58.98,39.89,14.48,65,1015.89,12.81,2010-04
JM신례1,2010-05-01,S11,45.31,56.2,42.62,14.57,73,1009.76,12.86,2010-05
JM신례1,2010-06-01,S11,46.36,55.15,43.66,14.65,69,1007.91,12.83,2010-06
JM신례1,2010-07-01,S11,48.37,53.14,45.67,14.74,81,1007.08,12.83,2010-07
JM신례1,2010-08-01,S11,49.8,51.71,47.1,14.87,74,1009.35,12.83,2010-08
JM신례1,2010-09-01,S11,51.63,49.88,48.97,14.95,74,1011.44,12.78,2010-09
JM신례1,2010-10-01,S11,50.41,51.1,47.75,15.0,64,1016.19,12.81,2010-10
JM신례1,2010-11-01,S11,47.46,54.05,44.8,14.9,58,1019.53,12.79,2010-11
JM신례1,2010-12-01,S11,45.03,56.48,42.37,14.73,54,1015.3,12.67,2010-12
JM신례1,2011-01-01,S11,42.8,58.71,40.14,14.58,51,1023.11,12.69,2011-01
JM신례1,2011-02-01,S11,41.22,60.29,38.56,14.52,51,1018.6,12.71,2011-02
JM신례1,2011-03-01,S11,40.08,61.43,37.42,14.49,51,1020.09,12.71,2011-03
JM신례1,2011-04-01,S11,39.32,62.19,36.66,14.51,51,1014.84,12.86,2011-04
JM신례1,2011-05-01,S11,39.49,62.02,36.83,14.51,52,1013.78,12.77,2011-05
JM신례1,2011-06-01,S11,41.07,60.44,38.37,14.5,56,1012.52,12.72,2011-06
JM신례1,2011-07-01,S11,45.48,56.03,42.78,14.62,78,1014.51,12.7,2011-07
JM신례1,2011-08-01,S11,47.16,54.35,44.46,14.74,67,1017.34,12.72,2011-08
JM신례1,2011-09-01,S11,47.1,54.41,48.26,14.75,71,1017.34,12.71,2011-09
JM신례1,2011-10-01,S11,46.11,55.4,53.22,14.7,76,1023.67,12.65,2011-10
JM신례1,2011-11-01,S11,44.98,56.53,42.27,14.65,60,1021.3,12.5,2011-11
JM신례1,2011-12-01,S11,45.25,56.26,42.54,14.62,65,1025.45,12.58,2011-12
JM신례1,2012-01-01,S11,43.94,57.57,41.23,14.58,57,995.2,12.52,2012-01
JM신례1,2012-02-01,S11,42.36,59.15,39.65,14.54,54,984.63,12.51,2012-02
JM신례1,2012-03-01,S11,41.17,60.34,38.46,14.52,53,980.15,12.54,2012-03
JM신례1,2012-04-01,S11,41.82,59.69,39.14,14.53,61,973.92,12.66,2012-04
JM신례1,2012-05-01,S11,46.69,54.82,44.01,14.67,84,975.59,12.78,2012-05
JM신례1,2012-06-01,S11,47.04,54.47,44.36,14.77,66,1007.5,12.68,2012-06
JM신례1,2012-07-01,S11,45.44,56.07,42.76,14.69,60,1007.34,12.53,2012-07
JM신례1,2012-08-01,S11,46.25,55.26,43.57,14.66,69,1008.39,12.47,2012-08
JM신례1,2012-09-01,S11,51.6,49.91,48.92,14.89,85,1013.35,12.53,2012-09
JM신례1,2012-10-01,S11,50.66,50.85,47.98,15.02,69,1017.81,12.55,2012-10
JM신례1,2012-11-01,S11,47.62,53.9,44.94,14.96,60,1018.7,12.45,2012-11
JM신례1,2012-12-01,S11,45.14,56.37,42.46,14.81,57,1022.0,12.3,2012-12
JM신례1,2013-01-01,S11,43.24,58.27,40.56,14.69,55,987.38,12.54,2013-01
JM신례1,2013-02-01,S11,42.55,58.96,39.87,14.6,55,984.0,12.47,2013-02
JM신례1,2013-03-01,S11,42.52,58.99,39.84,14.52,56,977.55,12.67,2013-03
JM신례1,2013-04-01,S11,42.18,59.33,39.5,14.54,58,975.24,12.69,2013-04
JM신례1,2013-05-01,S11,42.19,59.32,39.51,14.57,61,971.42,12.75,2013-05
JM신례1,2013-06-01,S11,43.61,57.9,40.93,14.56,64,986.09,12.75,2013-06
JM신례1,2013-07-01,S11,44.43,57.08,41.75,14.58,63,971.89,12.74,2013-07
JM신례1,2013-08-01,S11,43.23,58.28,40.55,14.55,57,964.89,12.45,2013-08
JM신례1,2013-09-01,S11,42.07,59.44,39.39,14.53,55,965.03,12.42,2013-09
JM신례1,2013-10-01,S11,41.34,60.18,38.66,14.53,54,1017.75,12.31,2013-10
JM신례1,2013-11-01,S11,40.62,60.89,37.97,14.5,53,1020.12,12.39,2013-11
JM신례1,2013-12-01,S11,39.96,61.55,37.33,14.56,54,1032.18,12.43,2013-12
JM신례1,2014-01-01,S11,39.25,62.26,25.46,14.6,55,1046.03,12.56,2014-01
JM신례1,2014-02-01,S11,39.16,62.35,16.99,14.59,53,1017.98,12.58,2014-02
JM신례1,2014-03-01,S11,38.82,62.69,16.64,14.6,54,1016.61,12.64,2014-03
JM신례1,2014-04-01,S11,39.89,61.62,17.71,14.61,55,1013.8,12.69,2014-04
JM신례1,2014-05-01,S11,41.88,59.63,19.7,14.63,61,1009.07,12.73,2014-05
JM신례1,2014-06-01,S11,45.22,56.29,23.04,14.74,78,1003.69,12.74,2014-06
JM신례1,2014-07-01,S11,46.93,54.58,24.75,14.85,74,1005.24,12.7,2014-07
JM신례1,2014-08-01,S11,48.21,53.3,26.03,15.01,69,1005.41,12.7,2014-08
JM신례1,2014-09-01,S11,48.21,53.3,26.03,15.13,53,1009.44,12.71,2014-09
JM신례1,2014-10-01,S11,48.1,53.41,26.01,15.12,46,1015.74,12.58,2014-10
JM신례1,2014-11-01,S11,46.79,54.72,24.7,14.99,42,1017.49,12.46,2014-11
JM신례1,2014-12-01,S11,44.68,56.83,22.59,14.82,39,1020.13,12.46,2014-12
JM신례1,2015-01-01,S11,42.7,58.81,20.61,14.69,37,1019.54,12.42,2015-01
JM신례1,2015-02-01,S11,41.4,60.11,19.31,14.63,36,1018.05,12.49,2015-02
JM신례1,2015-03-01,S11,40.74,60.77,18.65,14.62,36,1017.68,12.61,2015-03
JM신례1,2015-04-01,S11,41.94,59.57,19.85,14.64,42,1012.64,12.53,2015-04
JM신례1,2015-05-01,S11,45.48,56.03,23.4,14.74,54,1007.48,12.71,2015-05
JM신례1,2015-06-01,S11,46.98,54.53,24.93,14.88,50,1004.56,12.65,2015-06
JM신례1,2015-07-01,S11,47.51,54.0,25.46,14.92,54,1004.52,12.7,2015-07
JM신례1,2015-08-01,S11,48.72,52.79,26.02,14.99,51,1005.69,12.7,2015-08
JM신례1,2015-09-01,S11,47.33,54.18,21.07,14.95,45,1009.78,12.68,2015-09
JM신례1,2015-10-01,S11,46.51,55.0,7.81,14.84,52,1007.47,12.63,2015-10
JM신례1,2015-11-01,S11,45.71,55.8,23.48,14.79,49,1010.48,12.26,2015-11
JM신례1,2015-12-01,S11,44.88,56.63,22.62,14.73,50,1012.99,12.36,2015-12
JM신례1,2016-01-01,S11,44.11,57.4,21.85,14.69,48,1011.55,12.38,2016-01
JM신례1,2016-02-01,S11,43.39,58.12,21.13,14.64,48,1012.86,12.41,2016-02
JM신례1,2016-03-01,S11,44.2,57.31,21.94,14.65,52,1009.66,12.63,2016-03
JM신례1,2016-04-01,S11,44.41,57.1,22.15,14.67,51,1002.48,12.62,2016-04
JM신례1,2016-05-01,S11,46.06,55.45,23.8,14.73,60,1001.5,12.67,2016-05
JM신례1,2016-06-01,S11,46.58,54.93,24.32,14.81,56,981.42,12.55,2016-06
JM신례1,2016-07-01,S11,46.67,54.84,24.41,14.83,59,961.82,12.52,2016-07
JM신례1,2016-08-01,S11,46.95,54.56,24.69,14.87,57,954.24,12.56,2016-08
JM신례1,2016-09-01,S11,45.42,56.1,23.14,14.82,49,964.43,12.57,2016-09
JM신례1,2016-10-01,S11,45.02,56.49,22.74,14.77,52,976.98,12.46,2016-10
JM신례1,2016-11-01,S11,44.79,56.72,22.51,14.75,51,998.91,12.38,2016-11
JM신례1,2016-12-01,S11,43.79,57.72,21.51,14.71,47,971.56,12.41,2016-12
JM신례1,2017-01-01,S11,42.73,58.78,20.45,14.67,45,973.98,12.42,2017-01
JM신례1,2017-02-01,S11,42.08,59.43,19.8,14.65,44,970.26,12.56,2017-02
JM신례1,2017-03-01,S11,41.43,60.08,19.15,14.64,44,998.32,12.68,2017-03
JM신례1,2017-04-01,S11,41.19,60.32,18.91,14.64,44,1002.65,12.74,2017-04
JM신례1,2017-05-01,S11,41.18,60.33,18.92,14.64,45,1001.94,12.74,2017-05
JM신례1,2017-06-01,S11,40.83,60.68,18.57,14.64,45,997.64,12.71,2017-06
JM신례1,2017-07-01,S11,40.59,60.92,18.33,14.59,44,1001.76,12.67,2017-07
JM신례1,2017-08-01,S11,41.05,60.46,18.73,14.5,44,1007.57,12.69,2017-08
JM신례1,2017-09-01,S11,42.14,59.37,19.82,14.53,47,1011.93,12.63,2017-09
JM신례1,2017-10-01,S11,44.17,57.34,21.88,14.6,57,1018.45,12.53,2017-10
JM신례1,2017-11-01,S11,44.58,56.93,22.35,14.65,53,1021.67,12.74,2017-11
JM신례1,2017-12-01,S11,42.97,58.54,20.74,14.59,44,1024.46,12.93,2017-12
JM신례1,2018-01-01,S11,41.38,60.13,19.15,14.53,42,1021.9,12.9,2018-01
JM신례1,2018-02-01,S11,40.2,61.31,18.02,14.52,42,1022.11,12.95,2018-02
JM신례1,2018-03-01,S11,39.57,61.94,17.39,14.51,42,1019.02,12.95,2018-03
JM신례1,2018-04-01,S11,40.45,61.06,18.27,14.52,45,1015.94,13.02,2018-04
JM신례1,2018-05-01,S11,44.4,57.11,22.22,14.63,62,1011.46,13.0,2018-05
JM신례1,2018-06-01,S11,46.19,55.32,24.01,14.77,60,1008.46,13.01,2018-06
JM신례1,2018-07-01,S11,46.05,55.46,23.87,14.78,58,1008.67,12.99,2018-07
JM신례1,2018-08-01,S11,45.02,56.49,22.81,14.69,51,998.49,12.99,2018-08
JM신례1,2018-09-01,S11,45.31,56.2,23.08,14.6,56,998.34,12.86,2018-09
JM신례1,2018-10-01,S11,47.11,54.4,24.88,14.7,61,1004.15,13.0,2018-10
JM신례1,2018-11-01,S11,46.78,54.74,24.56,14.78,57,1021.7,12.97,2018-11
JM신례1,2018-12-01,S11,44.8,56.71,22.58,14.67,52,1024.17,12.92,2018-12
JM신례1,2019-01-01,S11,42.65,58.86,20.43,14.55,51,1023.75,12.96,2019-01
JM신례1,2019-02-01,S11,40.97,60.54,18.82,14.51,51,1022.82,12.96,2019-02
JM신례1,2019-03-01,S11,39.9,61.61,17.75,14.51,44,1019.75,13.03,2019-03
JM신례1,2019-04-01,S11,39.04,62.47,16.89,14.5,43,1019.13,13.04,2019-04
JM신례1,2019-05-01,S11,39.27,62.24,17.12,14.51,46,1019.3,13.01,2019-05
JM신례1,2019-06-01,S11,42.65,58.86,20.5,14.58,60,1015.43,13.02,2019-06
JM신례1,2019-07-01,S11,44.45,57.06,22.3,14.64,62,1017.22,12.94,2019-07
JM신례1,2019-08-01,S11,47.79,53.72,25.64,14.87,68,1019.81,12.92,2019-08
JM신례1,2019-09-01,S11,50.09,51.42,27.94,15.02,69,1030.85,12.89,2019-09
JM신례1,2019-10-01,S11,51.51,50.01,29.26,15.14,63,1039.19,12.9,2019-10
JM신례1,2019-11-01,S11,49.17,52.34,26.68,15.14,54,1050.92,12.91,2019-11
JM신례1,2019-12-01,S11,46.28,55.23,23.79,14.97,50,1064.52,12.86,2019-12
JM신례1,2020-01-01,S11,43.84,57.67,21.3,14.75,50,1060.69,12.82,2020-01
JM신례1,2020-02-01,S11,42.16,59.35,19.62,14.61,52,1049.53,12.98,2020-02
JM신례1,2020-03-01,S11,41.09,60.42,18.71,14.57,52,1042.83,12.97,2020-03
JM신례1,2020-04-01,S11,40.77,60.74,18.5,14.56,51,1028.71,13.06,2020-04
JM신례1,2020-05-01,S11,42.36,59.15,20.19,14.59,57,1015.64,12.98,2020-05
JM신례1,2020-06-01,S11,43.87,57.64,21.72,14.62,58,1009.47,12.91,2020-06
JM신례1,2020-07-01,S11,46.99,54.52,24.89,14.77,68,1004.02,12.48,2020-07
JM신례1,2020-08-01,S11,48.76,52.75,26.66,14.96,62,999.22,12.52,2020-08
JM신례1,2020-09-01,S11,49.71,51.8,27.61,15.0,63,994.12,12.69,2020-09
JM신례1,2020-10-01,S11,49.19,52.32,27.07,15.06,63,1006.9,12.7,2020-10
JM신례1,2020-11-01,S11,46.95,54.56,24.82,14.99,57,995.99,12.51,2020-11
JM신례1,2020-12-01,S11,44.57,56.94,22.44,14.84,52,998.61,12.47,2020-12
JM신례1,2021-01-01,S11,42.38,59.13,20.25,14.72,50,1002.1,12.32,2021-01
JM신례1,2021-02-01,S11,40.94,60.58,18.81,14.67,49,1005.29,12.57,2021-02
JM신례1,2021-03-01,S11,40.09,61.42,17.97,14.69,50,1008.43,12.65,2021-03
JM신례1,2021-04-01,S11,40.9,60.61,18.79,14.73,53,1011.25,12.77,2021-04
JM신례1,2021-05-01,S11,42.84,58.68,20.73,14.76,58,1013.98,12.74,2021-05
JM신례1,2021-06-01,S11,43.76,57.76,21.65,14.78,60,1016.95,12.6,2021-06
JM신례1,2021-07-01,S11,44.87,56.64,22.76,14.85,64,1020.33,11.97,2021-07
JM신례1,2021-08-01,S11,45.68,55.83,23.66,14.85,65,1019.04,12.5,2021-08
JM신례1,2021-09-01,S11,50.14,51.37,28.32,14.93,78,1009.7,12.85,2021-09
JM신례1,2021-10-01,S11,51.74,49.77,29.94,15.15,70,1017.39,12.9,2021-10
JM신례1,2021-11-01,S11,48.45,53.06,26.68,15.14,59,1017.33,12.94,2021-11
JM신례1,2021-12-01,S11,45.72,55.79,23.95,14.96,54,1021.45,12.93,2021-12
JM신례1,2022-01-01,S11,43.36,58.15,21.59,14.77,51,1020.36,12.95,2022-01
JM신례1,2022-02-01,S11,41.6,59.91,19.83,14.67,49,1022.15,12.99,2022-02
JM신례1,2022-03-01,S11,40.33,61.19,18.56,14.63,49,1014.97,13.04,2022-03
JM신례1,2022-04-01,S11,39.44,62.07,17.69,14.62,50,1014.99,13.08,2022-04
JM신례1,2022-05-01,S11,38.99,62.52,17.24,14.62,50,1011.24,13.13,2022-05
JM신례1,2022-06-01,S11,38.81,62.7,17.06,14.63,50,1006.64,13.13,2022-06
JM신례1,2022-07-01,S11,38.98,62.53,17.23,14.64,52,1004.82,13.13,2022-07
JM신례1,2022-08-01,S11,40.59,60.92,18.84,14.67,56,1006.78,13.11,2022-08
JM신례1,2022-09-01,S11,44.2,57.31,22.45,14.74,69,1009.35,13.05,2022-09
JM신례1,2022-10-01,S11,45.63,55.88,23.88,14.82,63,1018.88,13.04,2022-10
JM신례1,2022-11-01,S11,44.1,57.41,22.37,14.76,55,1018.28,13.01,2022-11
JM신례1,2022-12-01,S11,42.15,59.36,20.44,14.66,51,1021.72,12.99,2022-12
JM신례1,2023-01-01,S11,40.72,60.79,19.01,14.61,50,1021.91,12.99,2023-01
JM신례1,2023-02-01,S11,39.87,61.64,18.16,14.6,51,1022.25,13.03,2023-02
JM신례1,2023-03-01,S11,39.3,62.21,17.59,14.6,51,1018.87,13.07,2023-03
