관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ고산1,2019-09-01,S11,15.26,32.74,19.43,16.61,296,1018.66,13.17,2019-09
JQ고산1,2019-10-01,S11,15.7,32.3,19.87,16.59,296,1017.47,13.18,2019-10
JQ고산1,2019-11-01,S11,14.11,33.89,19.31,16.61,291,1028.22,13.14,2019-11
JQ고산1,2019-12-01,S11,13.07,34.93,18.31,16.62,304,1025.7,13.04,2019-12
JQ고산1,2020-01-01,S11,11.37,36.63,16.62,16.61,313,1023.43,13.04,2020-01
JQ고산1,2020-02-01,S11,10.17,37.83,15.42,16.61,321,1025.58,13.08,2020-02
JQ고산1,2020-03-01,S11,9.22,38.78,14.47,16.61,327,1019.51,13.14,2020-03
JQ고산1,2020-04-01,S11,8.12,39.89,13.37,16.61,347,1019.95,13.2,2020-04
JQ고산1,2020-05-01,S11,7.6,40.4,12.85,16.61,372,1012.36,13.24,2020-05
JQ고산1,2020-06-01,S11,8.65,39.35,13.9,16.65,387,1008.55,13.24,2020-06
JQ고산1,2020-07-01,S11,13.09,34.91,18.34,16.73,348,1008.89,13.23,2020-07
JQ고산1,2020-08-01,S11,13.85,34.15,19.1,16.61,305,1011.24,13.24,2020-08
JQ고산1,2020-09-01,S11,15.01,32.99,20.26,16.59,293,1013.29,13.18,2020-09
JQ고산1,2020-10-01,S11,14.28,33.73,19.53,16.59,297,1021.82,13.15,2020-10
JQ고산1,2020-11-01,S11,13.04,34.96,18.29,16.61,319,1026.6,13.1,2020-11
JQ고산1,2020-12-01,S11,11.28,36.72,16.41,16.61,322,1028.08,13.06,2020-12
JQ고산1,2021-01-01,S11,9.7,38.3,14.82,16.62,342,1026.41,13.06,2021-01
JQ고산1,2021-02-01,S11,8.92,39.08,14.04,16.62,354,1023.82,13.11,2021-02
JQ고산1,2021-03-01,S11,8.39,39.62,13.51,16.62,357,1021.91,13.15,2021-03
JQ고산1,2021-04-01,S11,8.96,39.04,14.07,16.65,392,1020.92,13.2,2021-04
JQ고산1,2021-05-01,S11,9.65,38.35,14.75,16.66,406,1013.07,13.21,2021-05
JQ고산1,2021-06-01,S11,10.5,37.5,15.62,16.71,408,1010.51,13.25,2021-06
JQ고산1,2021-07-01,S11,11.46,36.54,16.6,16.69,393,1010.7,13.23,2021-07
JQ고산1,2021-08-01,S11,11.58,36.42,16.72,16.71,400,1011.06,13.2,2021-08
JQ고산1,2021-09-01,S11,13.49,34.51,18.75,16.69,344,1013.8,13.14,2021-09
JQ고산1,2021-10-01,S11,13.19,34.81,18.52,16.65,356,1021.26,13.14,2021-10
JQ고산1,2021-11-01,S11,11.62,36.38,16.94,16.66,369,1021.7,13.1,2021-11
