관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ덕수1,2021-01-01,S11,46.91,38.09,15.0,15.5,173,1019.17,12.97,2021-01
JQ덕수1,2021-02-01,S11,45.26,39.74,13.35,15.49,176,1017.63,12.97,2021-02
JQ덕수1,2021-03-01,S11,43.47,41.53,11.56,15.49,180,1015.78,13.01,2021-03
JQ덕수1,2021-04-01,S11,42.91,42.09,11.02,15.48,196,1014.87,13.04,2021-04
JQ덕수1,2021-05-01,S11,42.29,42.71,10.46,15.48,209,1007.31,13.05,2021-05
JQ덕수1,2021-06-01,S11,42.46,42.54,10.65,15.47,214,1004.94,13.06,2021-06
JQ덕수1,2021-07-01,S11,42.41,42.59,10.61,15.47,212,1005.31,13.04,2021-07
JQ덕수1,2021-08-01,S11,42.73,42.27,10.94,15.47,216,1005.58,13.04,2021-08
JQ덕수1,2021-09-01,S11,46.08,38.92,14.29,15.48,234,1009.09,13.02,2021-09
JQ덕수1,2021-10-01,S11,45.39,39.61,13.6,15.5,218,1017.28,13.03,2021-10
JQ덕수1,2021-11-01,S11,44.13,40.88,12.32,15.51,201,1017.55,12.99,2021-11
JQ덕수1,2021-12-01,S11,42.69,42.31,10.88,15.5,189,1021.95,12.96,2021-12
JQ덕수1,2022-01-01,S11,40.86,44.14,9.05,15.48,177,1020.96,12.96,2022-01
JQ덕수1,2022-02-01,S11,39.13,45.87,7.32,15.46,186,1022.82,12.98,2022-02
JQ덕수1,2022-03-01,S11,37.67,47.33,5.86,15.45,201,1015.14,12.99,2022-03
JQ덕수1,2022-04-01,S11,36.66,48.34,4.87,15.44,217,1014.82,13.05,2022-04
JQ덕수1,2022-05-01,S11,35.91,49.09,4.12,15.44,239,1011.23,13.08,2022-05
JQ덕수1,2022-06-01,S11,35.28,49.72,3.49,15.43,256,1006.13,13.07,2022-06
JQ덕수1,2022-07-01,S11,35.97,49.03,4.18,15.44,275,1004.52,13.08,2022-07
JQ덕수1,2022-08-01,S11,37.74,47.26,5.95,15.46,271,1006.77,13.08,2022-08
JQ덕수1,2022-09-01,S11,40.56,44.44,8.77,15.51,264,1009.12,13.05,2022-09
JQ덕수1,2022-10-01,S11,38.42,46.58,6.64,15.52,240,1019.05,13.08,2022-10
JQ덕수1,2022-11-01,S11,36.83,48.23,5.1,15.48,241,1017.77,13.11,2022-11
JQ덕수1,2022-12-01,S11,35.71,49.29,4.0,15.44,261,1021.1,13.08,2022-12
JQ덕수1,2023-01-01,S11,34.63,50.37,2.92,15.43,285,1021.2,13.08,2023-01
JQ덕수1,2023-02-01,S11,33.88,51.12,2.17,15.42,305,1021.48,13.11,2023-02
JQ덕수1,2023-03-01,S11,33.06,51.94,1.35,15.41,274,1017.68,13.15,2023-03
JQ덕수1,2023-04-01,S11,34.55,50.45,2.83,15.43,277,1012.78,13.17,2023-04
JQ덕수1,2023-05-01,S11,40.05,44.96,8.32,15.51,258,1010.93,13.19,2023-05
JQ덕수1,2023-06-01,S11,41.87,43.13,10.14,15.56,251,1006.26,13.2,2023-06
JQ덕수1,2023-07-01,S11,46.62,38.38,14.89,15.61,252,1007.2,13.19,2023-07
JQ덕수1,2023-08-01,S11,47.84,37.16,16.32,15.64,245,1003.67,13.23,2023-08
JQ덕수1,2023-09-01,S11,51.94,33.06,20.07,15.68,235,1010.02,13.32,2023-09
JQ덕수1,2023-10-01,S11,50.87,34.13,18.99,15.68,205,1016.51,13.29,2023-10
JQ덕수1,2023-11-01,S11,49.38,35.62,17.5,15.68,203,1019.71,13.25,2023-11
JQ덕수1,2023-12-01,S11,47.26,37.74,15.38,15.65,203,1021.95,13.19,2023-12
JQ덕수1,2024-01-01,S11,44.72,40.28,12.84,15.63,202,1022.03,13.21,2024-01
JQ덕수1,2024-02-01,S11,42.78,42.22,10.9,15.62,201,1020.09,13.21,2024-02
JQ덕수1,2024-03-01,S11,41.02,43.98,9.14,15.62,202,1016.38,13.28,2024-03
JQ덕수1,2024-04-01,S11,40.7,44.3,8.83,15.61,226,1011.45,13.31,2024-04
JQ덕수1,2024-05-01,S11,43.12,41.88,11.3,15.61,238,1012.12,13.35,2024-05
JQ덕수1,2024-06-01,S11,44.66,40.34,12.84,15.62,236,1007.09,13.31,2024-06
JQ덕수1,2024-07-01,S11,49.6,35.4,17.78,15.67,226,1006.99,13.32,2024-07
JQ덕수1,2024-08-01,S11,47.87,37.13,16.05,15.68,224,1005.4,13.35,2024-08
JQ덕수1,2024-09-01,S11,46.53,38.48,14.71,15.66,219,1010.1,13.32,2024-09
JQ덕수1,2024-10-01,S11,45.19,39.81,13.38,15.65,212,1016.12,13.27,2024-10
JQ덕수1,2024-11-01,S11,46.04,38.96,14.23,15.65,213,1019.14,13.24,2024-11
JQ덕수1,2024-12-01,S11,44.04,40.96,12.23,15.64,204,1021.68,13.22,2024-12
JQ덕수1,2025-01-01,S11,42.12,42.88,10.31,15.63,193,1021.99,13.22,2025-01
JQ덕수1,2025-02-01,S11,40.8,44.2,8.99,15.63,193,1022.39,13.24,2025-02
JQ덕수1,2025-03-01,S11,39.58,45.42,7.77,15.62,212,1016.69,13.29,2025-03
JQ덕수1,2025-04-01,S11,38.72,46.28,6.91,15.61,255,1011.52,13.34,2025-04
JQ덕수1,2025-05-01,S11,40.1,44.9,8.29,15.61,259,1010.24,13.34,2025-05
JQ덕수1,2025-06-01,S11,40.14,44.86,8.31,15.62,255,1006.96,13.35,2025-06
