관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ덕천11,2024-02-01,S11,1.17,130.83,19.19,16.16,154,1027.93,13.14,2024-02
JQ덕천11,2024-03-01,S11,0.96,131.04,18.98,15.59,134,1021.52,13.26,2024-03
JQ덕천11,2024-04-01,S11,0.43,131.58,18.45,14.91,112,1016.88,13.29,2024-04
JQ덕천11,2024-05-01,S11,0.43,131.57,18.45,15.3,133,1017.47,13.34,2024-05
JQ덕천11,2024-06-01,S11,0.28,131.72,18.31,14.89,114,1012.57,13.34,2024-06
JQ덕천11,2024-07-01,S11,0.64,131.36,18.66,15.56,131,1011.71,13.3,2024-07
JQ덕천11,2024-08-01,S11,0.41,131.59,18.43,15.14,117,1010.95,13.31,2024-08
JQ덕천11,2024-09-01,S11,0.18,131.83,18.19,15.2,119,1016.01,13.26,2024-09
JQ덕천11,2024-10-01,S11,0.27,131.73,18.28,15.25,124,1022.19,13.18,2024-10
JQ덕천11,2024-11-01,S11,1.38,130.62,19.39,15.46,126,1025.01,13.15,2024-11
JQ덕천11,2024-12-01,S11,0.32,131.68,18.33,14.96,112,1027.11,13.2,2024-12
JQ덕천11,2025-01-01,S11,-0.03,132.03,17.98,14.96,109,1027.63,13.18,2025-01
JQ덕천11,2025-02-01,S11,-0.25,132.25,17.76,14.96,110,1028.15,13.19,2025-02
JQ덕천11,2025-03-01,S11,-0.21,132.21,17.8,14.96,112,1022.93,13.25,2025-03
JQ덕천11,2025-04-01,S11,-0.2,132.2,17.81,14.96,109,1017.57,13.3,2025-04
JQ덕천11,2025-05-01,S11,-0.15,132.15,17.8,15.03,111,1016.66,13.27,2025-05
JQ덕천11,2025-06-01,S11,-0.03,132.03,17.92,15.04,112,1013.49,13.3,2025-06
JQ덕천11,2025-07-01,S11,0.02,131.98,17.97,15.03,111,1012.66,13.28,2025-07
JQ덕천11,2025-08-01,S11,-0.09,132.09,17.85,15.03,111,1015.28,13.29,2025-08
JQ덕천11,2025-09-01,S11,0.13,131.87,18.06,15.38,128,1018.31,13.25,2025-09
JQ덕천11,2025-10-01,S11,0.57,131.43,18.5,16.0,149,1023.92,13.21,2025-10
JQ덕천11,2025-11-01,S11,0.22,131.78,18.16,15.22,118,1027.05,13.2,2025-11
JQ덕천11,2025-12-01,S11,-0.11,132.11,17.83,15.04,111,1028.02,13.16,2025-12
JQ덕천11,2026-01-01,S11,-0.27,132.27,17.67,15.03,111,1028.48,13.17,2026-01
JQ덕천11,2026-02-01,S11,-0.34,132.34,17.6,15.04,111,1026.39,13.15,2026-02
JQ덕천11,2026-03-01,S11,-0.23,132.23,17.71,15.03,111,1025.42,13.22,2026-03
JQ덕천11,2026-04-01,S11,0.03,131.97,17.97,15.56,138,1018.35,13.23,2026-04
