관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ성산21,2024-02-01,S11,0.94,139.06,10.38,15.62,137,1026.51,13.22,2024-02
JQ성산21,2024-03-01,S11,1.0,139.0,10.45,15.53,132,1020.19,13.32,2024-03
JQ성산21,2024-04-01,S11,0.7,139.3,10.22,15.53,134,1015.68,13.34,2024-04
JQ성산21,2024-05-01,S11,0.66,139.34,10.24,15.53,135,1016.26,13.38,2024-05
JQ성산21,2024-06-01,S11,0.57,139.43,10.15,15.53,136,1011.46,13.38,2024-06
JQ성산21,2024-07-01,S11,1.24,138.78,10.94,15.62,134,1012.02,13.34,2024-07
JQ성산21,2024-08-01,S11,0.86,139.14,10.58,15.56,132,1010.53,13.33,2024-08
JQ성산21,2024-09-01,S11,0.5,139.5,10.68,15.55,134,1014.71,13.29,2024-09
JQ성산21,2024-10-01,S11,0.54,139.46,10.94,15.56,140,1020.81,13.23,2024-10
JQ성산21,2024-11-01,S11,1.5,138.5,11.9,15.59,136,1023.53,13.19,2024-11
JQ성산21,2024-12-01,S11,0.56,139.44,10.96,15.57,135,1025.52,13.16,2024-12
JQ성산21,2025-01-01,S11,0.25,139.75,10.65,15.56,133,1026.1,13.16,2025-01
JQ성산21,2025-02-01,S11,0.03,139.97,10.43,15.57,135,1026.43,13.17,2025-02
JQ성산21,2025-03-01,S11,0.08,139.92,10.48,15.56,133,1021.19,13.23,2025-03
JQ성산21,2025-04-01,S11,0.11,139.89,10.51,15.55,132,1015.89,13.31,2025-04
JQ성산21,2025-05-01,S11,0.22,139.78,10.61,15.54,139,1015.18,13.37,2025-05
JQ성산21,2025-06-01,S11,0.36,139.64,10.75,15.54,141,1012.17,13.39,2025-06
JQ성산21,2025-07-01,S11,0.37,139.63,10.76,15.53,140,1011.44,13.38,2025-07
JQ성산21,2025-08-01,S11,0.2,139.8,10.59,15.53,136,1014.08,13.35,2025-08
JQ성산21,2025-09-01,S11,0.46,139.54,10.9,15.57,134,1015.88,13.28,2025-09
JQ성산21,2025-10-01,S11,0.76,139.24,11.24,15.57,137,1020.45,13.29,2025-10
JQ성산21,2025-11-01,S11,0.47,139.53,10.95,15.55,134,1023.61,13.26,2025-11
JQ성산21,2025-12-01,S11,0.13,139.87,10.61,15.55,138,1024.57,13.24,2025-12
JQ성산21,2026-01-01,S11,0.02,139.98,10.44,15.57,132,1024.89,13.24,2026-01
JQ성산21,2026-02-01,S11,-0.05,140.05,10.36,15.57,132,1023.05,13.25,2026-02
JQ성산21,2026-03-01,S11,0.01,139.99,10.42,15.57,132,1022.2,13.3,2026-03
JQ성산21,2026-04-01,S11,0.27,139.73,10.68,15.59,133,1015.45,13.32,2026-04
