관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ수산5,2020-07-01,S11,10.42,49.5,18.15,17.48,277,1015.35,13.39,2020-07
JQ수산5,2020-08-01,S11,10.91,49.01,18.65,17.44,277,1010.39,13.37,2020-08
JQ수산5,2020-09-01,S11,14.39,45.53,22.14,17.37,271,1012.65,13.27,2020-09
JQ수산5,2020-10-01,S11,18.93,40.99,26.68,17.29,267,1021.33,13.25,2020-10
JQ수산5,2020-11-01,S11,18.59,41.33,26.34,17.27,259,1025.93,13.21,2020-11
JQ수산5,2020-12-01,S11,16.76,43.16,24.51,17.26,263,1027.44,13.17,2020-12
JQ수산5,2021-01-01,S11,14.6,45.32,22.35,17.25,266,1025.57,13.17,2021-01
JQ수산5,2021-02-01,S11,12.84,47.08,20.59,17.23,267,1023.02,13.21,2021-02
JQ수산5,2021-03-01,S11,11.44,48.48,19.19,17.21,272,1020.96,13.25,2021-03
JQ수산5,2021-04-01,S11,10.27,49.65,18.05,17.18,267,1019.89,13.29,2021-04
JQ수산5,2021-05-01,S11,9.39,50.53,17.19,17.13,269,1011.91,13.33,2021-05
JQ수산5,2021-06-01,S11,9.02,50.9,16.87,17.11,296,1009.51,13.36,2021-06
JQ수산5,2021-07-01,S11,9.04,50.88,16.9,17.1,304,1009.64,13.35,2021-07
JQ수산5,2021-08-01,S11,8.99,50.94,17.03,17.1,276,995.98,13.32,2021-08
JQ수산5,2021-09-01,S11,10.17,49.75,18.28,17.11,262,994.34,13.27,2021-09
JQ수산5,2021-10-01,S11,12.39,47.53,20.37,17.13,264,1007.39,13.26,2021-10
JQ수산5,2021-11-01,S11,12.53,47.39,20.37,17.12,264,1018.31,13.21,2021-11
JQ수산5,2021-12-01,S11,11.62,48.3,19.49,17.1,265,1021.08,13.17,2021-12
JQ수산5,2022-01-01,S11,10.22,49.7,18.09,17.06,262,1025.82,13.17,2022-01
JQ수산5,2022-02-01,S11,8.87,51.05,16.74,17.01,265,1027.24,13.2,2022-02
JQ수산5,2022-03-01,S11,7.85,52.07,15.62,17.02,278,1023.92,13.25,2022-03
JQ수산5,2022-04-01,S11,7.39,52.53,15.14,17.11,265,1016.95,13.31,2022-04
JQ수산5,2022-05-01,S11,6.99,52.93,14.74,17.18,254,1010.72,13.34,2022-05
JQ수산5,2022-06-01,S11,6.43,53.49,14.18,17.22,255,1009.93,13.35,2022-06
JQ수산5,2022-07-01,S11,6.08,53.84,13.83,17.26,254,1008.78,13.34,2022-07
JQ수산5,2022-08-01,S11,5.89,54.04,13.64,17.29,253,1005.79,13.33,2022-08
JQ수산5,2022-09-01,S11,6.55,53.37,14.3,17.35,229,1014.54,13.28,2022-09
JQ수산5,2022-10-01,S11,7.39,52.53,15.14,17.43,226,1022.9,13.25,2022-10
JQ수산5,2022-11-01,S11,7.37,52.55,15.14,17.44,223,1018.21,13.21,2022-11
JQ수산5,2022-12-01,S11,6.92,53.0,14.69,17.43,222,1021.79,13.16,2022-12
JQ수산5,2023-01-01,S11,6.2,53.72,13.97,17.44,224,1030.84,13.17,2023-01
JQ수산5,2023-02-01,S11,5.85,54.07,13.62,17.45,225,1030.47,13.22,2023-02
JQ수산5,2023-03-01,S11,5.58,54.34,13.32,17.47,225,1028.48,13.28,2023-03
JQ수산5,2023-04-01,S11,5.4,54.52,13.11,17.48,227,1025.2,13.31,2023-04
JQ수산5,2023-05-01,S11,6.51,53.41,14.22,17.5,229,1021.8,13.33,2023-05
JQ수산5,2023-06-01,S11,8.3,51.62,16.01,17.49,228,1019.95,13.35,2023-06
JQ수산5,2023-07-01,S11,10.12,49.8,17.83,17.44,227,1020.06,13.34,2023-07
JQ수산5,2023-08-01,S11,12.42,47.5,20.13,17.4,232,1021.16,13.31,2023-08
JQ수산5,2023-09-01,S11,13.73,46.19,21.44,17.38,233,1020.88,13.28,2023-09
JQ수산5,2023-10-01,S11,14.42,45.5,22.13,17.35,230,1021.03,13.25,2023-10
JQ수산5,2023-11-01,S11,13.81,46.11,21.49,17.32,225,1026.65,13.19,2023-11
JQ수산5,2023-12-01,S11,12.56,47.36,20.34,17.3,249,1027.14,13.12,2023-12
JQ수산5,2024-01-01,S11,11.17,48.75,19.0,17.28,259,1026.35,13.16,2024-01
JQ수산5,2024-02-01,S11,10.17,49.75,18.0,17.24,257,1024.44,13.18,2024-02
JQ수산5,2024-03-01,S11,9.78,50.14,17.61,17.23,257,1020.67,13.23,2024-03
JQ수산5,2024-04-01,S11,9.54,50.38,17.4,17.27,260,1015.45,13.14,2024-04
JQ수산5,2024-05-01,S11,9.32,50.6,17.18,17.26,264,1016.24,13.19,2024-05
JQ수산5,2024-06-01,S11,9.33,50.59,17.19,17.26,263,1011.13,13.1,2024-06
JQ수산5,2024-07-01,S11,10.65,49.27,18.51,17.24,255,1010.47,13.13,2024-07
JQ수산5,2024-08-01,S11,11.11,48.82,18.97,17.22,261,1009.8,13.16,2024-08
JQ수산5,2024-09-01,S11,10.79,49.13,18.65,17.2,257,1014.68,13.1,2024-09
JQ수산5,2024-10-01,S11,11.19,48.73,19.05,17.16,252,1021.35,13.02,2024-10
JQ수산5,2024-11-01,S11,12.36,47.56,20.22,17.13,254,1024.57,12.95,2024-11
JQ수산5,2024-12-01,S11,12.67,47.25,20.53,17.1,264,1027.24,12.79,2024-12
JQ수산5,2025-01-01,S11,11.83,48.09,19.69,17.09,263,1027.62,12.82,2025-01
JQ수산5,2025-02-01,S11,10.67,49.25,18.53,17.07,259,1028.36,12.85,2025-02
JQ수산5,2025-03-01,S11,9.55,50.37,17.41,17.04,262,1022.28,12.95,2025-03
JQ수산5,2025-04-01,S11,8.51,51.41,16.38,16.89,271,1017.03,13.2,2025-04
JQ수산5,2025-05-01,S11,7.77,52.15,15.64,16.88,280,1015.98,13.21,2025-05
JQ수산5,2025-06-01,S11,7.35,52.57,15.22,16.91,284,1012.55,13.23,2025-06
JQ수산5,2025-07-01,S11,7.13,52.79,15.0,16.94,287,1011.27,13.23,2025-07
