관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ신도41,2021-12-01,S11,5.95,37.05,10.55,17.53,540,1027.02,13.23,2021-12
JQ신도41,2022-01-01,S11,4.92,38.08,9.52,17.42,487,1024.69,13.11,2022-01
JQ신도41,2022-02-01,S11,3.58,39.42,8.18,17.25,458,1026.54,13.02,2022-02
JQ신도41,2022-03-01,S11,2.48,40.52,7.18,17.21,490,1018.69,13.05,2022-03
JQ신도41,2022-04-01,S11,2.78,40.22,7.52,17.21,474,1018.26,13.13,2022-04
JQ신도41,2022-05-01,S11,2.86,40.14,7.59,17.24,474,1014.59,13.16,2022-05
JQ신도41,2022-06-01,S11,2.85,40.15,7.58,17.25,493,1009.17,13.15,2022-06
JQ신도41,2022-07-01,S11,4.67,38.33,9.4,17.25,502,1007.55,13.15,2022-07
JQ신도41,2022-08-01,S11,7.04,35.96,11.77,17.33,526,1009.8,13.15,2022-08
JQ신도41,2022-09-01,S11,10.1,32.9,14.72,17.52,482,1012.46,13.12,2022-09
JQ신도41,2022-10-01,S11,7.73,35.27,12.35,17.65,550,1022.87,13.04,2022-10
JQ신도41,2022-11-01,S11,4.77,38.23,9.39,17.68,550,1022.46,12.95,2022-11
JQ신도41,2022-12-01,S11,3.91,39.09,8.53,17.51,472,1026.63,12.84,2022-12
JQ신도41,2023-01-01,S11,3.07,39.93,7.69,17.36,437,1026.7,12.8,2023-01
JQ신도41,2023-02-01,S11,2.81,40.19,7.43,17.28,427,1027.02,12.86,2023-02
JQ신도41,2023-03-01,S11,2.27,40.73,6.89,17.26,436,1022.97,12.95,2023-03
JQ신도41,2023-04-01,S11,3.44,39.57,8.06,17.28,482,1017.76,12.97,2023-04
JQ신도41,2023-05-01,S11,7.67,35.33,12.29,17.37,470,1015.72,13.08,2023-05
JQ신도41,2023-06-01,S11,10.74,32.27,15.36,17.47,493,1010.81,13.16,2023-06
JQ신도41,2023-07-01,S11,12.78,30.23,17.4,17.51,508,1011.33,13.15,2023-07
JQ신도41,2023-08-01,S11,12.37,30.63,16.99,17.53,511,1007.9,13.19,2023-08
JQ신도41,2023-09-01,S11,13.17,29.83,17.79,17.58,461,1014.93,13.16,2023-09
JQ신도41,2023-10-01,S11,10.37,32.63,14.99,17.6,524,1021.57,13.14,2023-10
JQ신도41,2023-11-01,S11,8.05,34.95,12.68,17.59,516,1024.73,13.06,2023-11
JQ신도41,2023-12-01,S11,6.76,36.24,11.4,17.48,453,1026.99,12.99,2023-12
JQ신도41,2024-01-01,S11,5.8,37.2,10.44,17.35,417,1027.13,13.01,2024-01
JQ신도41,2024-02-01,S11,5.22,37.79,9.86,17.23,402,1025.04,13.0,2024-02
JQ신도41,2024-03-01,S11,4.88,38.12,9.52,17.17,421,1021.24,13.08,2024-03
JQ신도41,2024-04-01,S11,5.19,37.81,9.83,17.16,456,1016.07,13.13,2024-04
JQ신도41,2024-05-01,S11,7.1,35.9,11.73,17.21,480,1016.75,13.18,2024-05
JQ신도41,2024-06-01,S11,7.71,35.29,12.32,17.28,462,1011.53,13.17,2024-06
JQ신도41,2024-07-01,S11,12.23,30.77,16.84,17.43,429,1011.11,13.16,2024-07
JQ신도41,2024-08-01,S11,11.04,31.96,15.65,17.46,468,1009.73,13.21,2024-08
JQ신도41,2024-09-01,S11,9.46,33.54,14.07,17.52,523,1014.39,13.17,2024-09
JQ신도41,2024-10-01,S11,8.23,34.77,12.84,17.53,516,1020.71,13.09,2024-10
JQ신도41,2024-11-01,S11,10.05,32.95,14.66,17.54,483,1023.88,13.04,2024-11
JQ신도41,2024-12-01,S11,8.67,34.33,13.28,17.51,492,1026.5,12.98,2024-12
JQ신도41,2025-01-01,S11,6.6,36.4,11.21,17.39,435,1026.85,13.01,2025-01
JQ신도41,2025-02-01,S11,5.74,37.26,10.35,17.24,385,1027.34,13.01,2025-02
JQ신도41,2025-03-01,S11,5.16,37.84,9.77,17.16,383,1021.36,13.07,2025-03
JQ신도41,2025-04-01,S11,4.41,38.59,9.02,17.1,423,1016.06,13.15,2025-04
JQ신도41,2025-05-01,S11,5.96,37.04,10.59,17.12,444,1014.72,13.15,2025-05
JQ신도41,2025-06-01,S11,6.98,36.02,11.63,17.18,459,1011.24,13.18,2025-06
JQ신도41,2025-07-01,S11,6.86,36.14,11.51,17.2,455,1009.62,13.21,2025-07
JQ신도41,2025-08-01,S11,6.41,36.59,11.07,17.17,440,1012.52,13.19,2025-08
JQ신도41,2025-09-01,S11,5.99,37.01,10.65,17.2,467,1015.28,13.15,2025-09
JQ신도41,2025-10-01,S11,5.56,37.44,10.22,17.23,488,1021.03,13.11,2025-10
JQ신도41,2025-11-01,S11,3.78,39.22,8.44,17.2,482,1024.62,13.04,2025-11
JQ신도41,2025-12-01,S11,2.55,40.45,7.21,17.11,436,1025.71,12.99,2025-12
JQ신도41,2026-01-01,S11,1.82,41.18,6.48,17.02,392,1026.57,12.98,2026-01
JQ신도41,2026-02-01,S11,1.22,41.78,5.88,16.97,373,1024.11,13.01,2026-02
JQ신도41,2026-03-01,S11,1.94,41.06,6.6,16.95,363,1022.85,13.08,2026-03
JQ신도41,2026-04-01,S11,3.85,39.16,8.51,17.03,419,1015.53,13.1,2026-04
