관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ유수암1,2020-07-01,S11,10.05,201.71,20.32,14.79,83,1016.2,13.31,2020-07
JQ유수암1,2020-08-01,S11,10.67,201.09,20.94,14.79,84,1012.56,13.29,2020-08
JQ유수암1,2020-09-01,S11,14.1,197.66,24.38,14.79,102,1013.56,13.21,2020-09
JQ유수암1,2020-10-01,S11,19.0,192.76,29.28,14.78,88,1021.74,13.18,2020-10
JQ유수암1,2020-11-01,S11,18.81,192.95,29.09,14.78,88,1026.08,13.13,2020-11
JQ유수암1,2020-12-01,S11,16.95,194.81,27.23,14.78,89,1027.19,13.08,2020-12
JQ유수암1,2021-01-01,S11,14.71,197.05,24.99,14.78,89,1025.45,13.07,2021-01
JQ유수암1,2021-02-01,S11,12.88,198.88,23.16,14.79,88,1024.48,13.14,2021-02
JQ유수암1,2021-03-01,S11,11.43,200.33,21.71,14.79,87,1024.5,13.19,2021-03
JQ유수암1,2021-04-01,S11,10.11,201.65,20.7,14.8,78,1021.13,13.24,2021-04
JQ유수암1,2021-05-01,S11,9.1,202.66,19.88,14.8,73,1012.52,13.28,2021-05
JQ유수암1,2021-06-01,S11,8.73,203.03,19.71,14.8,82,1010.31,13.36,2021-06
JQ유수암1,2021-07-01,S11,8.75,203.01,19.79,14.8,86,1010.71,13.37,2021-07
JQ유수암1,2021-08-01,S11,8.81,202.95,20.0,14.8,84,1011.18,13.32,2021-08
JQ유수암1,2021-09-01,S11,10.01,201.75,21.26,14.8,84,1015.01,13.27,2021-09
JQ유수암1,2021-10-01,S11,12.35,199.41,23.61,14.79,80,1023.15,13.27,2021-10
JQ유수암1,2021-11-01,S11,12.35,199.41,23.94,14.78,73,1022.98,13.2,2021-11
JQ유수암1,2021-12-01,S11,11.27,200.49,23.16,14.78,73,1027.4,13.13,2021-12
JQ유수암1,2022-01-01,S11,9.97,201.79,21.86,14.78,73,1026.38,13.17,2022-01
JQ유수암1,2022-02-01,S11,8.64,203.12,20.53,14.79,73,1028.18,13.19,2022-02
JQ유수암1,2022-03-01,S11,7.47,204.29,19.36,14.8,73,1020.53,13.24,2022-03
JQ유수암1,2022-04-01,S11,6.94,204.82,18.89,14.78,82,1020.38,13.32,2022-04
JQ유수암1,2022-05-01,S11,6.42,205.34,18.57,14.78,87,1016.89,13.35,2022-05
JQ유수암1,2022-06-01,S11,5.77,205.99,18.12,14.78,88,1011.41,13.37,2022-06
JQ유수암1,2022-07-01,S11,5.67,206.09,17.75,14.78,89,1010.27,13.35,2022-07
JQ유수암1,2022-08-01,S11,5.23,206.53,17.54,14.78,91,1011.54,13.3,2022-08
JQ유수암1,2022-09-01,S11,5.69,206.07,18.42,14.78,90,1013.89,13.21,2022-09
JQ유수암1,2022-10-01,S11,6.73,205.03,19.46,14.77,89,1023.7,13.22,2022-10
JQ유수암1,2022-11-01,S11,6.82,204.94,19.44,14.76,89,1023.07,13.2,2022-11
JQ유수암1,2022-12-01,S11,6.6,205.16,18.96,14.77,89,1026.63,13.11,2022-12
JQ유수암1,2023-01-01,S11,5.94,205.82,18.3,14.77,88,1026.71,13.1,2023-01
JQ유수암1,2023-02-01,S11,5.54,206.22,17.9,14.77,88,1027.11,13.19,2023-02
JQ유수암1,2023-03-01,S11,5.28,206.48,17.63,14.77,88,1023.24,13.27,2023-03
JQ유수암1,2023-04-01,S11,5.08,206.68,17.42,14.77,89,1018.13,13.3,2023-04
JQ유수암1,2023-05-01,S11,6.07,205.69,18.41,14.87,113,1016.31,13.33,2023-05
JQ유수암1,2023-06-01,S11,8.01,203.75,20.35,14.77,89,1011.69,13.35,2023-06
JQ유수암1,2023-07-01,S11,9.78,201.98,22.12,14.76,89,1012.23,13.35,2023-07
JQ유수암1,2023-08-01,S11,12.3,199.46,24.7,14.76,88,1009.08,13.29,2023-08
JQ유수암1,2023-09-01,S11,13.2,198.56,26.18,14.74,83,1015.36,13.17,2023-09
JQ유수암1,2023-10-01,S11,13.58,198.18,26.98,14.73,82,1021.79,13.13,2023-10
JQ유수암1,2023-11-01,S11,13.37,198.39,26.4,14.73,83,1024.57,13.06,2023-11
JQ유수암1,2023-12-01,S11,12.45,199.32,25.15,14.73,82,1026.64,12.94,2023-12
JQ유수암1,2024-01-01,S11,11.0,200.76,23.7,14.73,82,1026.93,12.98,2024-01
JQ유수암1,2024-02-01,S11,9.92,201.84,22.62,14.74,81,1025.11,13.01,2024-02
JQ유수암1,2024-03-01,S11,9.49,202.27,22.18,14.74,81,1021.41,13.11,2024-03
JQ유수암1,2024-04-01,S11,9.29,202.47,21.93,14.74,81,1016.72,13.16,2024-04
JQ유수암1,2024-05-01,S11,9.01,202.75,21.64,14.74,82,1017.73,13.21,2024-05
JQ유수암1,2024-06-01,S11,9.07,202.69,21.7,14.74,82,1012.91,13.19,2024-06
JQ유수암1,2024-07-01,S11,10.28,201.48,23.01,14.74,83,1012.4,13.21,2024-07
JQ유수암1,2024-08-01,S11,10.87,200.89,23.65,14.74,84,1011.34,13.19,2024-08
JQ유수암1,2024-09-01,S11,10.59,201.17,23.54,14.77,89,1014.49,13.13,2024-09
JQ유수암1,2024-10-01,S11,11.01,200.75,24.02,14.78,89,1021.05,13.1,2024-10
JQ유수암1,2024-11-01,S11,12.14,199.62,25.15,14.78,90,1023.93,13.05,2024-11
JQ유수암1,2024-12-01,S11,12.55,199.21,25.56,14.79,89,1026.07,13.01,2024-12
JQ유수암1,2025-01-01,S11,11.72,200.04,24.73,14.81,89,1026.37,13.01,2025-01
JQ유수암1,2025-02-01,S11,10.52,201.24,23.53,14.81,90,1026.96,13.01,2025-02
JQ유수암1,2025-03-01,S11,9.36,202.4,22.37,14.82,90,1021.3,13.12,2025-03
JQ유수암1,2025-04-01,S11,8.33,203.44,21.34,14.82,90,1016.12,13.18,2025-04
JQ유수암1,2025-05-01,S11,7.54,204.22,20.55,14.82,90,1015.24,13.2,2025-05
JQ유수암1,2025-06-01,S11,7.07,204.69,20.08,14.83,91,1012.24,13.22,2025-06
