관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ청수2,2021-02-01,S11,25.1,54.9,13.02,15.62,1681,1021.21,12.42,2021-02
JQ청수2,2021-03-01,S11,23.13,56.87,12.42,19.84,1193,758.48,11.82,2021-03
JQ청수2,2021-04-01,S11,23.1,56.92,10.82,15.68,1536,1016.42,12.7,2021-04
JQ청수2,2021-05-01,S11,22.56,57.44,10.21,15.69,1717,1007.24,13.29,2021-05
JQ청수2,2021-06-01,S11,22.23,57.77,9.97,15.69,1604,1006.06,13.33,2021-06
JQ청수2,2021-07-01,S11,22.38,57.62,10.18,15.7,1399,1006.39,13.32,2021-07
JQ청수2,2021-08-01,S11,21.94,58.06,9.73,15.7,1149,1006.74,13.3,2021-08
JQ청수2,2021-09-01,S11,23.33,56.68,11.12,15.7,1088,1010.27,13.27,2021-09
JQ청수2,2021-10-01,S11,23.92,56.08,11.71,15.7,1057,1001.11,13.25,2021-10
JQ청수2,2021-11-01,S11,22.97,57.03,10.78,15.71,1103,1018.82,13.2,2021-11
JQ청수2,2021-12-01,S11,21.99,58.01,9.8,15.71,1002,1023.25,13.16,2021-12
JQ청수2,2022-01-01,S11,20.84,59.16,8.65,15.71,1067,1022.34,13.16,2022-01
JQ청수2,2022-02-01,S11,19.69,60.31,7.5,15.62,924,1024.13,13.19,2022-02
JQ청수2,2022-03-01,S11,18.47,61.53,6.28,15.5,492,1016.36,13.22,2022-03
JQ청수2,2022-04-01,S11,17.66,62.35,5.45,15.6,463,1016.0,13.27,2022-04
JQ청수2,2022-05-01,S11,16.94,63.07,4.73,15.66,445,1012.32,13.33,2022-05
JQ청수2,2022-06-01,S11,16.05,63.95,3.86,15.69,444,1006.98,13.33,2022-06
JQ청수2,2022-07-01,S11,16.42,63.58,4.22,15.7,449,1005.28,13.33,2022-07
JQ청수2,2022-08-01,S11,17.45,62.55,5.29,15.7,454,1007.43,13.31,2022-08
JQ청수2,2022-09-01,S11,18.95,61.05,6.8,15.7,460,1009.94,13.26,2022-09
JQ청수2,2022-10-01,S11,18.66,61.34,6.51,15.73,452,1020.02,13.22,2022-10
JQ청수2,2022-11-01,S11,16.9,63.1,4.78,15.76,444,1019.47,13.2,2022-11
JQ청수2,2022-12-01,S11,16.18,63.82,4.09,15.53,438,1023.4,13.16,2022-12
JQ청수2,2023-01-01,S11,15.44,64.56,3.35,15.38,450,1023.5,13.16,2023-01
JQ청수2,2023-02-01,S11,14.8,65.2,2.71,15.44,460,1023.86,13.2,2023-02
JQ청수2,2023-03-01,S11,14.09,65.91,2.0,15.51,453,1020.02,13.26,2023-03
JQ청수2,2023-04-01,S11,14.48,65.52,2.3,15.54,444,1015.0,13.28,2023-04
JQ청수2,2023-05-01,S11,16.96,63.04,4.73,15.55,458,1013.25,13.3,2023-05
JQ청수2,2023-06-01,S11,19.41,60.59,7.18,15.6,395,1008.62,13.31,2023-06
JQ청수2,2023-07-01,S11,21.42,58.58,9.19,15.64,385,1009.4,13.3,2023-07
JQ청수2,2023-08-01,S11,22.81,57.19,10.58,15.69,384,1006.05,13.3,2023-08
JQ청수2,2023-09-01,S11,25.3,54.7,13.07,15.72,380,1013.16,13.27,2023-09
JQ청수2,2023-10-01,S11,25.99,54.01,13.76,15.76,378,1019.72,13.23,2023-10
JQ청수2,2023-11-01,S11,25.59,54.41,13.37,15.83,377,1022.85,13.19,2023-11
JQ청수2,2023-12-01,S11,25.03,54.98,12.81,15.69,378,1025.09,13.14,2023-12
