관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR봉성,2007-01-01,S11,10.13,157.57,6.84,15.1,144,1022.0,12.42,2007-01
JR봉성,2007-02-01,S11,9.14,158.56,5.85,14.93,155,1017.11,12.57,2007-02
JR봉성,2007-03-01,S11,8.41,159.29,5.12,14.94,175,1015.33,12.52,2007-03
JR봉성,2007-04-01,S11,8.15,159.55,4.86,14.6,179,1017.14,12.61,2007-04
JR봉성,2007-05-01,S11,7.28,160.42,4.36,15.28,164,1006.23,12.78,2007-05
JR봉성,2007-06-01,S11,6.85,160.85,3.93,15.67,164,1004.7,12.65,2007-06
JR봉성,2007-07-01,S11,7.09,160.61,4.17,15.7,177,1001.38,12.45,2007-07
JR봉성,2007-08-01,S11,8.08,159.62,5.16,15.77,178,1005.22,12.52,2007-08
JR봉성,2007-09-01,S11,10.08,157.62,7.23,15.34,162,1007.0,12.47,2007-09
JR봉성,2007-10-01,S11,14.16,153.54,11.32,15.29,154,1014.75,12.66,2007-10
JR봉성,2007-11-01,S11,15.2,152.5,12.36,15.39,164,1019.08,12.74,2007-11
JR봉성,2007-12-01,S11,14.99,152.71,12.15,15.45,157,1017.58,12.48,2007-12
JR봉성,2008-01-01,S11,14.01,153.69,11.17,15.45,154,1019.85,12.13,2008-01
JR봉성,2008-02-01,S11,11.87,155.83,9.03,15.41,147,1020.38,12.69,2008-02
JR봉성,2008-03-01,S11,10.51,157.19,7.67,15.33,145,1014.31,12.92,2008-03
JR봉성,2008-04-01,S11,9.44,158.26,6.6,15.23,149,1011.34,12.9,2008-04
JR봉성,2008-05-01,S11,8.54,159.16,5.7,15.32,163,1006.4,12.91,2008-05
JR봉성,2008-06-01,S11,8.18,159.52,5.34,15.48,175,1004.19,12.71,2008-06
JR봉성,2008-07-01,S11,8.94,158.76,6.1,15.32,159,1004.16,12.59,2008-07
JR봉성,2008-08-01,S11,9.14,158.56,6.3,15.3,153,1003.75,12.56,2008-08
JR봉성,2008-09-01,S11,8.7,159.0,5.86,15.45,163,1008.07,12.56,2008-09
JR봉성,2008-10-01,S11,8.06,159.64,5.22,15.42,176,1014.25,12.74,2008-10
JR봉성,2008-11-01,S11,7.36,160.35,4.52,15.02,170,1017.3,12.65,2008-11
JR봉성,2008-12-01,S11,6.69,161.02,3.85,14.79,168,1018.73,12.64,2008-12
JR봉성,2009-01-01,S11,6.03,161.67,3.19,14.69,166,1019.86,12.51,2009-01
JR봉성,2009-02-01,S11,5.49,162.21,2.65,14.59,168,1014.73,12.73,2009-02
JR봉성,2009-03-01,S11,5.26,162.44,2.42,14.64,188,1014.66,12.89,2009-03
JR봉성,2009-04-01,S11,5.13,162.57,2.29,14.87,185,1012.03,12.89,2009-04
JR봉성,2009-05-01,S11,5.16,162.54,2.32,15.26,188,1009.03,12.86,2009-05
JR봉성,2009-06-01,S11,5.37,162.33,2.45,15.5,190,1002.55,12.68,2009-06
JR봉성,2009-07-01,S11,5.74,161.96,2.81,15.69,201,1002.96,12.57,2009-07
JR봉성,2009-08-01,S11,6.23,161.47,3.3,15.71,199,1005.15,12.54,2009-08
JR봉성,2009-09-01,S11,6.5,161.2,3.57,15.69,199,1009.64,12.61,2009-09
JR봉성,2009-10-01,S11,6.77,160.93,3.84,15.4,203,1013.46,12.72,2009-10
JR봉성,2009-11-01,S11,6.79,160.91,3.86,15.0,184,1018.65,12.55,2009-11
JR봉성,2009-12-01,S11,6.9,161.04,3.72,15.23,179,1019.37,12.65,2009-12
JR봉성,2010-01-01,S11,7.1,161.54,3.2,15.66,174,1020.23,12.56,2010-01
JR봉성,2010-02-01,S11,6.63,162.01,2.73,15.67,180,1016.65,12.62,2010-02
JR봉성,2010-03-01,S11,6.47,162.17,2.57,15.68,203,1016.09,12.65,2010-03
JR봉성,2010-04-01,S11,7.02,161.62,3.15,15.67,200,1014.57,12.9,2010-04
JR봉성,2010-05-01,S11,7.81,160.83,3.94,15.68,205,1008.28,12.92,2010-05
JR봉성,2010-06-01,S11,8.07,160.57,4.2,15.68,197,1006.29,12.75,2010-06
JR봉성,2010-07-01,S11,8.96,159.69,5.09,15.59,190,1005.43,12.54,2010-07
JR봉성,2010-08-01,S11,10.43,158.21,6.56,15.39,170,1007.4,12.55,2010-08
JR봉성,2010-09-01,S11,13.22,155.42,9.35,15.29,162,1009.73,12.54,2010-09
JR봉성,2010-10-01,S11,15.49,153.15,11.62,15.3,156,1014.49,12.72,2010-10
JR봉성,2010-11-01,S11,15.76,152.88,11.86,15.35,159,1017.66,12.79,2010-11
JR봉성,2010-12-01,S11,14.72,153.92,10.8,15.33,156,1013.45,12.57,2010-12
JR봉성,2011-01-01,S11,12.59,156.05,8.67,15.3,149,1021.56,12.4,2011-01
JR봉성,2011-02-01,S11,11.17,157.47,7.25,15.29,148,1016.27,12.79,2011-02
JR봉성,2011-03-01,S11,9.91,158.73,5.99,15.42,158,1018.01,12.92,2011-03
JR봉성,2011-04-01,S11,8.86,159.78,4.94,15.62,178,1011.27,13.0,2011-04
JR봉성,2011-05-01,S11,8.07,160.57,4.18,15.64,178,1007.23,12.89,2011-05
JR봉성,2011-06-01,S11,7.61,161.03,3.72,15.64,184,1003.2,12.7,2011-06
JR봉성,2011-07-01,S11,8.31,160.33,4.42,15.64,201,1002.7,12.66,2011-07
JR봉성,2011-08-01,S11,9.43,159.21,5.54,15.54,196,1003.99,12.55,2011-08
JR봉성,2011-09-01,S11,10.48,158.16,6.59,15.36,179,1007.44,12.61,2011-09
JR봉성,2011-10-01,S11,10.65,157.99,6.76,15.31,168,1015.2,12.74,2011-10
JR봉성,2011-11-01,S11,10.58,158.06,6.69,15.29,173,1017.08,12.5,2011-11
JR봉성,2011-12-01,S11,10.69,157.95,6.8,15.31,175,1021.69,12.33,2011-12
JR봉성,2012-01-01,S11,10.21,158.43,6.32,15.47,171,1020.45,12.41,2012-01
JR봉성,2012-02-01,S11,9.48,159.16,5.59,15.73,187,1018.36,12.6,2012-02
JR봉성,2012-03-01,S11,8.94,159.7,5.05,15.78,207,1015.71,12.73,2012-03
JR봉성,2012-04-01,S11,8.81,159.83,4.92,15.72,206,1010.46,12.87,2012-04
JR봉성,2012-05-01,S11,9.81,158.83,5.92,15.5,182,1008.08,12.8,2012-05
JR봉성,2012-06-01,S11,10.27,158.37,6.38,15.47,172,1003.57,12.72,2012-06
JR봉성,2012-07-01,S11,10.35,158.29,6.44,15.44,175,1003.61,12.48,2012-07
JR봉성,2012-08-01,S11,10.77,157.87,6.83,15.43,186,1004.31,12.51,2012-08
JR봉성,2012-09-01,S11,13.99,154.65,10.05,15.49,194,1010.05,12.51,2012-09
JR봉성,2012-10-01,S11,16.82,151.82,12.88,15.67,195,1014.68,12.73,2012-10
JR봉성,2012-11-01,S11,17.46,151.18,13.52,15.73,189,1015.57,12.61,2012-11
JR봉성,2012-12-01,S11,17.18,151.46,13.24,15.78,186,1018.88,12.28,2012-12
JR봉성,2013-01-01,S11,16.55,152.09,12.61,15.78,203,1020.45,11.48,2013-01
JR봉성,2013-02-01,S11,15.75,152.89,11.83,15.66,191,978.01,2.77,2013-02
JR봉성,2013-03-01,S11,13.68,154.96,9.76,15.58,182,992.8,1.85,2013-03
JR봉성,2013-04-01,S11,12.26,156.38,8.34,15.5,168,1006.28,1.41,2013-04
