관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR상가3,2007-01-01,S11,,,,,,,,2007-01
JR상가3,2007-02-01,S11,,,,,,,,2007-02
JR상가3,2007-03-01,S11,,,,,,,,2007-03
JR상가3,2007-04-01,S11,,,,,,,,2007-04
JR상가3,2007-05-01,S11,,,,,,,,2007-05
JR상가3,2007-06-01,S11,,,,,,,,2007-06
JR상가3,2007-07-01,S11,,,,,,,,2007-07
JR상가3,2007-08-01,S11,,,,,,,,2007-08
JR상가3,2007-09-01,S11,,,,,,,,2007-09
JR상가3,2007-10-01,S11,,,,,,,,2007-10
JR상가3,2007-11-01,S11,,,,,,,,2007-11
JR상가3,2007-12-01,S11,,,,,,,,2007-12
JR상가3,2008-01-01,S11,,,,,,,,2008-01
JR상가3,2008-02-01,S11,,,,,,,,2008-02
JR상가3,2008-03-01,S11,,,,,,,,2008-03
JR상가3,2008-04-01,S11,,,,,,,,2008-04
JR상가3,2008-05-01,S11,,,,,,,,2008-05
JR상가3,2008-06-01,S11,,,,,,,,2008-06
JR상가3,2008-07-01,S11,,,,,,,,2008-07
JR상가3,2008-08-01,S11,,,,,,,,2008-08
JR상가3,2008-09-01,S11,,,,,,,,2008-09
JR상가3,2008-10-01,S11,,,,,,,,2008-10
JR상가3,2008-11-01,S11,,,,,,,,2008-11
JR상가3,2008-12-01,S11,4.61,246.84,55.93,15.92,125.0,1028.27,12.72,2008-12
JR상가3,2009-01-01,S11,4.37,247.09,55.69,15.92,124.0,1018.91,12.57,2009-01
JR상가3,2009-02-01,S11,,,,,,989.76,12.78,2009-02
JR상가3,2009-03-01,S11,,,,,,1728.59,12.84,2009-03
JR상가3,2009-04-01,S11,3.83,247.62,55.15,15.79,117.0,1695.59,12.85,2009-04
JR상가3,2009-05-01,S11,4.0,247.45,55.32,15.49,100.0,1019.18,12.82,2009-05
JR상가3,2009-06-01,S11,4.22,247.23,55.54,15.37,97.0,1012.61,12.78,2009-06
JR상가3,2009-07-01,S11,4.6,246.85,55.92,15.36,98.0,1012.88,12.81,2009-07
JR상가3,2009-08-01,S11,5.22,246.23,56.54,15.28,99.0,1015.13,12.75,2009-08
JR상가3,2009-09-01,S11,5.74,245.71,57.06,15.77,127.0,1019.59,12.79,2009-09
JR상가3,2009-10-01,S11,6.15,245.3,57.47,15.91,133.0,1023.24,12.85,2009-10
JR상가3,2009-11-01,S11,6.25,245.2,57.57,15.93,132.0,1028.21,12.66,2009-11
JR상가3,2009-12-01,S11,6.02,245.43,57.34,15.97,137.0,1027.66,12.57,2009-12
JR상가3,2010-01-01,S11,5.48,245.97,56.8,16.01,136.0,1029.32,12.57,2010-01
JR상가3,2010-02-01,S11,4.94,246.51,56.26,16.05,135.0,1025.69,12.61,2010-02
JR상가3,2010-03-01,S11,4.75,246.7,56.07,15.86,126.0,1025.27,12.64,2010-03
JR상가3,2010-04-01,S11,5.35,246.1,56.67,15.31,109.0,1024.1,12.78,2010-04
JR상가3,2010-05-01,S11,6.41,245.04,57.73,15.67,131.0,1017.6,12.72,2010-05
JR상가3,2010-06-01,S11,6.76,244.7,58.08,15.85,133.0,1016.36,12.71,2010-06
JR상가3,2010-07-01,S11,7.37,244.08,58.69,15.87,136.0,1016.24,12.68,2010-07
JR상가3,2010-08-01,S11,8.99,242.46,60.31,15.79,131.0,1017.73,12.69,2010-08
JR상가3,2010-09-01,S11,11.47,239.98,62.79,15.08,98.0,1019.75,12.7,2010-09
JR상가3,2010-10-01,S11,13.74,237.71,65.06,15.52,122.0,1024.72,12.83,2010-10
JR상가3,2010-11-01,S11,13.69,237.76,65.01,15.7,126.0,1027.8,12.84,2010-11
JR상가3,2010-12-01,S11,12.74,238.71,64.06,15.75,128.0,1023.62,12.64,2010-12
JR상가3,2011-01-01,S11,11.41,240.04,62.73,15.81,128.0,1031.69,12.46,2011-01
JR상가3,2011-02-01,S11,9.99,241.46,61.31,15.86,129.0,1026.66,12.72,2011-02
JR상가3,2011-03-01,S11,8.66,242.79,59.98,15.87,121.0,1028.43,12.86,2011-03
JR상가3,2011-04-01,S11,7.52,243.93,58.84,15.91,120.0,1021.72,12.85,2011-04
JR상가3,2011-05-01,S11,6.68,244.77,58.0,15.94,118.0,1017.95,12.82,2011-05
JR상가3,2011-06-01,S11,6.18,245.27,57.5,15.96,118.0,1013.96,12.81,2011-06
JR상가3,2011-07-01,S11,6.9,244.55,58.22,15.9,112.0,1013.72,12.77,2011-07
JR상가3,2011-08-01,S11,8.29,243.16,59.61,15.81,112.0,1014.91,12.75,2011-08
JR상가3,2011-09-01,S11,9.71,241.74,61.03,15.8,116.0,1018.53,12.78,2011-09
JR상가3,2011-10-01,S11,9.98,241.47,61.3,15.85,124.0,1026.12,12.79,2011-10
JR상가3,2011-11-01,S11,9.7,241.75,61.02,15.87,124.0,1027.99,12.68,2011-11
JR상가3,2011-12-01,S11,9.68,241.77,61.0,15.86,124.0,1032.1,12.47,2011-12
JR상가3,2012-01-01,S11,9.27,242.18,60.59,15.87,124.0,1030.16,12.52,2012-01
JR상가3,2012-02-01,S11,8.53,242.92,59.85,15.89,123.0,1028.04,12.67,2012-02
JR상가3,2012-03-01,S11,7.93,243.52,59.25,15.94,124.0,1025.38,12.77,2012-03
JR상가3,2012-04-01,S11,7.72,243.73,59.04,15.97,124.0,1020.31,12.8,2012-04
JR상가3,2012-05-01,S11,8.51,242.94,59.83,15.85,116.0,1017.82,12.81,2012-05
JR상가3,2012-06-01,S11,9.32,242.13,60.64,15.8,116.0,1013.71,12.79,2012-06
