관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR상예3,2008-07-01,S11,,,,,,,,2008-07
JR상예3,2008-08-01,S11,,,,,,,,2008-08
JR상예3,2008-09-01,S11,,,,,,,,2008-09
JR상예3,2008-10-01,S11,,,,,,,,2008-10
JR상예3,2008-11-01,S11,,,,,,,,2008-11
JR상예3,2008-12-01,S11,218.9,152.19,98.63,13.43,46.0,1006.94,12.96,2008-12
JR상예3,2009-01-01,S11,218.89,152.21,98.62,13.43,46.0,999.4,12.95,2009-01
JR상예3,2009-02-01,S11,,,,,,983.33,12.98,2009-02
JR상예3,2009-03-01,S11,,,,,,,13.01,2009-03
JR상예3,2009-04-01,S11,218.53,152.56,98.26,13.44,46.0,980.65,13.01,2009-04
JR상예3,2009-05-01,S11,218.77,152.32,98.5,13.45,47.0,999.62,12.96,2009-05
JR상예3,2009-06-01,S11,218.95,152.14,98.68,13.45,47.0,993.68,12.92,2009-06
JR상예3,2009-07-01,S11,219.23,151.87,98.96,13.45,48.0,994.3,12.84,2009-07
JR상예3,2009-08-01,S11,219.86,151.23,99.59,13.46,49.0,996.2,12.89,2009-08
JR상예3,2009-09-01,S11,219.91,151.18,99.64,13.45,48.0,1000.12,12.92,2009-09
JR상예3,2009-10-01,S11,219.74,151.35,99.47,13.44,48.0,1003.38,12.96,2009-10
JR상예3,2009-11-01,S11,219.55,151.54,99.28,13.45,47.0,1007.7,12.94,2009-11
JR상예3,2009-12-01,S11,219.37,151.72,99.1,13.46,47.0,1006.79,12.95,2009-12
JR상예3,2010-01-01,S11,219.2,151.89,98.93,13.47,47.0,1008.19,12.89,2010-01
JR상예3,2010-02-01,S11,219.06,152.03,98.79,13.48,47.0,1005.53,12.82,2010-02
JR상예3,2010-03-01,S11,218.99,152.1,98.72,13.48,47.0,1005.01,12.89,2010-03
JR상예3,2010-04-01,S11,219.36,151.73,99.09,13.49,48.0,1003.88,12.95,2010-04
JR상예3,2010-05-01,S11,219.7,151.39,99.43,13.49,49.0,998.49,12.83,2010-05
JR상예3,2010-06-01,S11,219.99,151.1,99.72,13.49,49.0,996.93,12.79,2010-06
JR상예3,2010-07-01,S11,220.37,150.72,100.1,13.49,50.0,996.96,12.77,2010-07
JR상예3,2010-08-01,S11,220.73,150.36,100.46,13.49,50.0,998.99,12.85,2010-08
JR상예3,2010-09-01,S11,221.23,149.86,100.96,13.51,51.0,1000.85,12.78,2010-09
JR상예3,2010-10-01,S11,221.01,150.08,100.74,13.51,50.0,1004.7,12.96,2010-10
JR상예3,2010-11-01,S11,220.67,150.42,100.4,13.52,49.0,1007.5,12.97,2010-11
JR상예3,2010-12-01,S11,220.36,150.73,100.09,13.53,48.0,1002.85,12.9,2010-12
JR상예3,2011-01-01,S11,220.06,151.03,99.79,13.53,48.0,1010.14,12.98,2011-01
JR상예3,2011-02-01,S11,219.81,151.28,99.54,13.53,48.0,1005.89,12.97,2011-02
JR상예3,2011-03-01,S11,219.6,151.49,99.33,13.52,48.0,1007.49,13.03,2011-03
JR상예3,2011-04-01,S11,219.41,151.68,99.14,13.52,48.0,1002.04,12.98,2011-04
JR상예3,2011-05-01,S11,219.39,151.7,99.12,13.51,48.0,998.72,12.93,2011-05
JR상예3,2011-06-01,S11,219.54,151.55,99.27,13.51,48.0,995.34,12.88,2011-06
JR상예3,2011-07-01,S11,220.13,150.96,99.86,13.51,50.0,995.45,12.88,2011-07
JR상예3,2011-08-01,S11,220.64,150.45,100.37,13.5,50.0,996.48,12.86,2011-08
JR상예3,2011-09-01,S11,220.7,150.39,100.43,13.48,50.0,999.24,12.9,2011-09
JR상예3,2011-10-01,S11,220.37,150.72,100.1,13.48,49.0,1006.21,12.93,2011-10
JR상예3,2011-11-01,S11,220.06,151.03,99.79,13.48,49.0,1008.12,12.92,2011-11
JR상예3,2011-12-01,S11,219.88,151.21,99.61,13.48,49.0,1011.28,12.88,2011-12
JR상예3,2012-01-01,S11,219.72,151.37,99.45,13.49,49.0,1009.18,12.93,2012-01
JR상예3,2012-02-01,S11,219.54,151.55,99.27,13.49,49.0,1007.01,12.9,2012-02
JR상예3,2012-03-01,S11,219.37,151.72,99.1,13.49,49.0,1005.04,12.92,2012-03
JR상예3,2012-04-01,S11,219.31,151.78,99.04,13.49,49.0,1000.82,12.94,2012-04
JR상예3,2012-05-01,S11,219.99,151.1,99.72,13.5,50.0,998.92,12.94,2012-05
JR상예3,2012-06-01,S11,220.07,151.02,99.8,13.49,50.0,994.86,12.92,2012-06
JR상예3,2012-07-01,S11,219.9,151.19,99.63,13.48,50.0,995.55,12.79,2012-07
JR상예3,2012-08-01,S11,220.08,151.01,99.81,13.48,51.0,996.33,12.85,2012-08
JR상예3,2012-09-01,S11,220.97,150.12,100.7,13.5,53.0,1000.94,12.87,2012-09
JR상예3,2012-10-01,S11,221.05,150.04,100.78,13.5,52.0,1005.11,12.92,2012-10
JR상예3,2012-11-01,S11,220.7,150.39,100.43,13.5,50.0,1005.31,12.92,2012-11
JR상예3,2012-12-01,S11,220.39,150.7,100.12,13.51,50.0,1008.02,12.82,2012-12
JR상예3,2013-01-01,S11,220.12,150.97,99.85,13.52,50.0,1009.99,12.89,2013-01
JR상예3,2013-02-01,S11,219.96,151.13,99.69,13.53,50.0,1008.62,12.88,2013-02
JR상예3,2013-03-01,S11,219.91,151.18,99.64,13.53,50.0,1003.62,12.93,2013-03
JR상예3,2013-04-01,S11,219.91,151.18,99.64,13.53,50.0,1000.95,12.97,2013-04
JR상예3,2013-05-01,S11,219.86,151.23,99.59,13.53,50.0,999.7,12.94,2013-05
JR상예3,2013-06-01,S11,220.15,150.94,99.88,13.53,51.0,995.78,12.96,2013-06
JR상예3,2013-07-01,S11,220.16,150.93,99.89,13.53,51.0,997.21,12.9,2013-07
JR상예3,2013-08-01,S11,219.99,151.1,99.72,13.52,51.0,996.94,12.91,2013-08
JR상예3,2013-09-01,S11,219.85,151.24,99.58,13.52,51.0,1002.0,12.9,2013-09
JR상예3,2013-10-01,S11,219.73,151.36,99.46,13.53,50.0,1005.22,12.95,2013-10
JR상예3,2013-11-01,S11,219.56,151.53,99.29,13.54,50.0,1007.19,12.95,2013-11
JR상예3,2013-12-01,S11,219.4,151.69,99.13,13.53,50.0,1007.64,12.93,2013-12
JR상예3,2014-01-01,S11,219.24,151.85,98.97,13.54,50.0,1009.77,12.97,2014-01
JR상예3,2014-02-01,S11,219.1,151.99,98.83,13.54,50.0,1007.86,12.97,2014-02
JR상예3,2014-03-01,S11,218.98,152.11,98.71,13.54,50.0,1006.21,12.96,2014-03
JR상예3,2014-04-01,S11,219.26,151.83,98.99,13.52,51.0,1003.5,12.96,2014-04
JR상예3,2014-05-01,S11,219.57,151.52,99.33,13.52,51.0,1000.68,12.92,2014-05
JR상예3,2014-06-01,S11,219.94,151.15,99.72,13.52,52.0,994.09,13.0,2014-06
JR상예3,2014-07-01,S11,220.1,150.99,100.25,13.52,51.0,995.78,12.95,2014-07
JR상예3,2014-08-01,S11,220.77,150.32,101.02,13.54,52.0,995.45,12.84,2014-08
JR상예3,2014-09-01,S11,220.89,150.2,101.14,13.54,52.0,999.97,12.88,2014-09
JR상예3,2014-10-01,S11,220.64,150.46,100.89,13.54,51.0,1005.16,12.9,2014-10
JR상예3,2014-11-01,S11,220.39,150.7,100.64,13.56,50.0,1007.31,12.86,2014-11
JR상예3,2014-12-01,S11,220.1,150.99,100.35,13.56,50.0,1008.86,12.91,2014-12
JR상예3,2015-01-01,S11,219.89,151.21,100.14,13.57,50.0,1008.72,12.89,2015-01
JR상예3,2015-02-01,S11,219.68,151.41,99.93,13.57,50.0,1007.04,12.95,2015-02
JR상예3,2015-03-01,S11,219.62,151.47,99.87,13.57,50.0,1006.88,12.97,2015-03
JR상예3,2015-04-01,S11,219.73,151.36,99.98,13.57,50.0,1002.14,12.92,2015-04
JR상예3,2015-05-01,S11,220.22,150.87,100.46,13.58,51.0,997.61,12.95,2015-05
JR상예3,2015-06-01,S11,220.4,150.69,100.64,13.57,52.0,994.79,12.93,2015-06
JR상예3,2015-07-01,S11,220.36,150.73,100.6,13.56,51.0,995.16,12.88,2015-07
JR상예3,2015-08-01,S11,220.59,150.5,100.83,13.57,52.0,996.56,12.89,2015-08
JR상예3,2015-09-01,S11,220.35,150.74,100.59,13.57,51.0,1000.48,12.87,2015-09
JR상예3,2015-10-01,S11,220.12,150.97,100.36,13.58,51.0,1005.7,12.92,2015-10
JR상예3,2015-11-01,S11,219.96,151.13,100.2,13.58,50.0,1008.25,12.82,2015-11
JR상예3,2015-12-01,S11,219.76,151.33,100.0,13.58,50.0,1009.88,12.86,2015-12
JR상예3,2016-01-01,S11,219.56,151.53,99.8,13.58,50.0,1008.81,12.84,2016-01
JR상예3,2016-02-01,S11,219.52,151.57,99.76,13.58,50.0,1009.54,12.95,2016-02
JR상예3,2016-03-01,S11,219.77,151.32,85.88,13.58,51.0,1004.96,12.97,2016-03
JR상예3,2016-04-01,S11,219.85,151.24,40.13,13.56,51.0,992.72,12.92,2016-04
JR상예3,2016-05-01,S11,220.12,150.97,40.4,13.56,52.0,992.06,12.93,2016-05
JR상예3,2016-06-01,S11,220.18,150.91,40.46,13.54,51.0,988.6,12.93,2016-06
JR상예3,2016-07-01,S11,220.26,150.83,40.53,13.54,52.0,989.59,12.81,2016-07
JR상예3,2016-08-01,S11,220.39,150.7,40.66,13.55,52.0,987.0,12.85,2016-08
JR상예3,2016-09-01,S11,220.1,150.99,40.37,13.54,51.0,992.32,12.85,2016-09
JR상예3,2016-10-01,S11,219.84,151.25,40.11,13.54,51.0,996.38,12.83,2016-10
JR상예3,2016-11-01,S11,219.67,151.42,40.08,13.55,51.0,1000.0,12.85,2016-11
JR상예3,2016-12-01,S11,219.48,151.61,40.04,13.55,50.0,1001.61,12.85,2016-12
JR상예3,2017-01-01,S11,219.32,151.77,39.88,13.54,50.0,967.73,12.94,2017-01
JR상예3,2017-02-01,S11,219.17,151.92,39.73,13.54,50.0,965.21,12.96,2017-02
JR상예3,2017-03-01,S11,219.03,152.06,39.59,13.53,50.0,989.08,12.99,2017-03
JR상예3,2017-04-01,S11,218.94,152.15,39.5,13.53,50.0,992.78,12.95,2017-04
JR상예3,2017-05-01,S11,218.98,152.11,39.49,13.54,50.0,992.9,12.95,2017-05
JR상예3,2017-06-01,S11,218.93,152.16,39.44,13.53,50.0,988.97,12.93,2017-06
JR상예3,2017-07-01,S11,218.75,152.34,39.4,13.53,50.0,989.84,12.8,2017-07
JR상예3,2017-08-01,S11,218.55,152.54,39.22,13.52,50.0,988.1,12.86,2017-08
JR상예3,2017-09-01,S11,218.32,152.77,38.99,13.51,50.0,991.75,12.86,2017-09
JR상예3,2017-10-01,S11,218.26,152.83,38.93,13.51,51.0,997.43,12.88,2017-10
JR상예3,2017-11-01,S11,218.2,152.9,38.87,13.5,51.0,1000.15,12.95,2017-11
JR상예3,2017-12-01,S11,218.1,152.99,38.77,13.49,51.0,1002.22,12.95,2017-12
JR상예3,2018-01-01,S11,218.03,153.06,38.7,13.48,51.0,999.81,12.91,2018-01
JR상예3,2018-02-01,S11,217.72,153.37,38.39,13.48,51.0,999.8,13.0,2018-02
JR상예3,2018-03-01,S11,217.45,153.64,38.12,13.48,51.0,997.02,12.94,2018-03
JR상예3,2018-04-01,S11,218.45,152.64,39.12,13.47,51.0,994.43,12.93,2018-04
JR상예3,2018-05-01,S11,219.47,151.62,40.14,13.47,53.0,990.9,12.89,2018-05
JR상예3,2018-06-01,S11,220.03,151.06,40.7,13.48,54.0,987.68,12.85,2018-06
JR상예3,2018-07-01,S11,219.9,151.19,40.57,13.46,53.0,988.25,12.85,2018-07
JR상예3,2018-08-01,S11,219.78,151.31,40.45,13.45,52.0,986.68,12.84,2018-08
JR상예3,2018-09-01,S11,219.77,151.33,40.44,13.44,52.0,991.49,12.85,2018-09
JR상예3,2018-10-01,S11,220.11,150.98,40.78,13.45,53.0,996.34,12.93,2018-10
JR상예3,2018-11-01,S11,220.04,151.05,40.74,13.45,52.0,999.92,12.91,2018-11
JR상예3,2018-12-01,S11,219.73,151.36,40.46,13.45,52.0,1001.89,12.79,2018-12
JR상예3,2019-01-01,S11,219.51,151.58,40.24,13.44,51.0,1001.55,12.93,2019-01
JR상예3,2019-02-01,S11,219.31,151.78,40.04,13.44,51.0,999.2,12.94,2019-02
JR상예3,2019-03-01,S11,219.08,152.02,39.81,13.44,51.0,995.0,13.03,2019-03
JR상예3,2019-04-01,S11,218.79,152.3,39.52,13.44,51.0,992.71,13.03,2019-04
JR상예3,2019-05-01,S11,218.61,152.48,39.23,13.44,51.0,991.02,12.98,2019-05
JR상예3,2019-06-01,S11,218.52,152.57,39.09,13.43,51.0,986.35,12.93,2019-06
JR상예3,2019-07-01,S11,218.83,152.26,39.4,13.44,51.0,985.96,12.83,2019-07
JR상예3,2019-08-01,S11,219.82,151.27,40.39,13.45,53.0,986.88,12.81,2019-08
JR상예3,2019-09-01,S11,220.44,150.65,41.01,13.45,54.0,991.9,12.84,2019-09
JR상예3,2019-10-01,S11,220.85,150.24,41.43,13.45,54.0,995.95,12.92,2019-10
JR상예3,2019-11-01,S11,220.62,150.47,41.21,13.44,52.0,999.33,12.95,2019-11
JR상예3,2019-12-01,S11,220.24,150.85,40.83,13.45,51.0,1001.46,12.86,2019-12
JR상예3,2020-01-01,S11,219.84,151.25,40.48,13.47,51.0,999.12,12.76,2020-01
JR상예3,2020-02-01,S11,219.49,151.6,40.13,13.48,51.0,1001.37,12.93,2020-02
JR상예3,2020-03-01,S11,219.24,151.85,39.88,13.5,51.0,995.83,12.97,2020-03
JR상예3,2020-04-01,S11,219.01,152.08,39.79,13.5,51.0,996.31,13.06,2020-04
JR상예3,2020-05-01,S11,219.12,151.98,39.94,13.51,51.0,989.85,12.97,2020-05
JR상예3,2020-06-01,S11,219.53,151.56,40.35,13.53,51.0,986.8,12.86,2020-06
JR상예3,2020-07-01,S11,219.98,151.11,40.86,13.5,53.0,987.58,12.72,2020-07
JR상예3,2020-08-01,S11,219.87,151.22,40.75,13.5,53.0,991.41,12.67,2020-08
JR상예3,2020-09-01,S11,220.23,150.86,41.11,13.49,53.0,992.36,12.73,2020-09
JR상예3,2020-10-01,S11,220.27,150.82,41.15,13.48,52.0,999.5,12.76,2020-10
JR상예3,2020-11-01,S11,220.31,150.78,40.85,13.47,51.0,1003.62,12.64,2020-11
JR상예3,2020-12-01,S11,220.27,150.82,40.64,13.49,52.0,1003.61,12.6,2020-12
JR상예3,2021-01-01,S11,219.87,151.22,40.21,13.51,62.0,1001.31,12.35,2021-01
JR상예3,2021-02-01,S11,219.68,151.41,40.02,13.51,62.0,998.99,12.86,2021-02
JR상예3,2021-03-01,S11,219.52,151.57,39.86,13.5,62.0,997.79,12.89,2021-03
JR상예3,2021-04-01,S11,219.48,151.61,39.82,13.5,63.0,997.2,12.93,2021-04
JR상예3,2021-05-01,S11,219.69,151.4,40.06,13.5,64.0,990.26,12.94,2021-05
JR상예3,2021-06-01,S11,219.68,151.41,40.15,13.48,64.0,988.57,12.96,2021-06
JR상예3,2021-07-01,S11,219.74,151.35,40.21,13.48,65.0,989.54,12.87,2021-07
JR상예3,2021-08-01,S11,219.8,151.29,40.27,13.47,65.0,989.81,12.86,2021-08
JR상예3,2021-09-01,S11,220.15,150.94,40.82,13.47,65.0,993.02,12.88,2021-09
JR상예3,2021-10-01,S11,220.45,150.64,41.14,13.47,66.0,1000.48,12.88,2021-10
JR상예3,2021-11-01,S11,220.15,150.94,40.84,13.46,65.0,1000.0,12.78,2021-11
JR상예3,2021-12-01,S11,219.86,151.23,40.55,13.46,64.0,1003.57,12.85,2021-12
JR상예3,2022-01-01,S11,219.62,151.47,40.31,13.46,64.0,1002.26,12.93,2022-01
JR상예3,2022-02-01,S11,219.4,151.69,40.09,13.46,64.0,1003.87,12.95,2022-02
JR상예3,2022-03-01,S11,219.2,151.89,39.89,13.47,64.0,997.37,12.96,2022-03
JR상예3,2022-04-01,S11,219.09,152.0,39.68,13.47,64.0,997.71,13.01,2022-04
JR상예3,2022-05-01,S11,219.0,152.09,39.55,13.47,65.0,994.53,13.04,2022-05
JR상예3,2022-06-01,S11,218.9,152.19,39.45,13.46,65.0,990.07,12.99,2022-06
JR상예3,2022-07-01,S11,218.82,152.27,39.37,13.46,65.0,988.98,13.01,2022-07
JR상예3,2022-08-01,S11,218.99,152.1,39.54,13.46,66.0,991.18,13.0,2022-08
JR상예3,2022-09-01,S11,219.5,151.59,40.05,13.46,67.0,992.87,13.0,2022-09
JR상예3,2022-10-01,S11,219.71,151.38,40.26,13.46,67.0,1001.81,12.98,2022-10
JR상예3,2022-11-01,S11,219.5,151.59,40.04,13.45,66.0,1000.93,12.93,2022-11
JR상예3,2022-12-01,S11,219.26,151.83,39.8,13.44,66.0,1003.4,12.86,2022-12
JR상예3,2023-01-01,S11,219.04,152.05,39.58,13.44,66.0,1003.37,12.83,2023-01
JR상예3,2023-02-01,S11,218.89,152.2,39.43,13.45,66.0,1003.66,12.88,2023-02
JR상예3,2023-03-01,S11,218.78,152.32,39.29,13.45,66.0,1000.6,12.94,2023-03
JR상예3,2023-04-01,S11,218.85,152.24,39.34,13.46,66.0,996.01,12.96,2023-04
JR상예3,2023-05-01,S11,219.29,151.8,39.78,13.47,67.0,994.94,12.95,2023-05
JR상예3,2023-06-01,S11,219.65,151.45,40.13,13.48,68.0,990.28,13.0,2023-06
JR상예3,2023-07-01,S11,220.1,150.99,40.58,13.49,69.0,991.59,12.98,2023-07
JR상예3,2023-08-01,S11,220.64,150.45,41.12,13.5,69.0,988.04,13.08,2023-08
JR상예3,2023-09-01,S11,220.62,150.47,41.1,13.49,68.0,994.62,13.06,2023-09
JR상예3,2023-10-01,S11,220.47,150.62,40.97,13.51,67.0,999.94,13.04,2023-10
JR상예3,2023-11-01,S11,220.13,150.96,40.65,13.51,66.0,1002.21,13.0,2023-11
JR상예3,2023-12-01,S11,219.82,151.27,40.34,13.52,66.0,1003.84,12.93,2023-12
JR상예3,2024-01-01,S11,219.58,151.51,40.1,13.52,66.0,1003.54,12.95,2024-01
JR상예3,2024-02-01,S11,219.39,151.7,39.91,13.52,66.0,1001.99,12.92,2024-02
JR상예3,2024-03-01,S11,219.31,151.78,39.83,13.52,66.0,998.32,13.02,2024-03
JR상예3,2024-04-01,S11,219.37,151.72,39.89,13.52,66.0,994.38,13.06,2024-04
JR상예3,2024-05-01,S11,219.73,151.36,40.23,13.52,67.0,995.24,13.08,2024-05
JR상예3,2024-06-01,S11,219.98,151.11,40.48,13.52,68.0,990.82,13.03,2024-06
JR상예3,2024-07-01,S11,220.16,150.93,40.66,13.51,68.0,991.47,12.99,2024-07
JR상예3,2024-08-01,S11,220.28,150.81,40.78,13.51,68.0,989.97,13.08,2024-08
JR상예3,2024-09-01,S11,220.23,150.86,40.71,13.51,68.0,994.31,13.05,2024-09
JR상예3,2024-10-01,S11,220.22,150.87,40.7,13.51,67.0,999.38,13.01,2024-10
JR상예3,2024-11-01,S11,220.07,151.02,40.55,13.52,67.0,1001.54,12.97,2024-11
JR상예3,2024-12-01,S11,219.88,151.21,40.36,13.52,67.0,1002.96,12.96,2024-12
JR상예3,2025-01-01,S11,219.71,151.38,40.19,13.52,66.0,1003.2,12.96,2025-01
JR상예3,2025-02-01,S11,219.55,151.54,40.03,13.53,66.0,1003.14,12.99,2025-02
JR상예3,2025-03-01,S11,219.4,151.69,39.88,13.53,66.0,998.6,13.01,2025-03
JR상예3,2025-04-01,S11,219.29,151.8,39.77,13.54,66.0,994.0,13.06,2025-04
JR상예3,2025-05-01,S11,219.34,151.75,39.83,13.54,66.0,993.28,13.04,2025-05
JR상예3,2025-06-01,S11,219.55,151.54,40.04,13.55,67.0,990.77,13.06,2025-06
JR상예3,2025-07-01,S11,219.58,151.51,40.07,13.54,67.0,989.78,13.09,2025-07
JR상예3,2025-08-01,S11,219.48,151.61,39.97,13.54,67.0,992.81,13.02,2025-08
JR상예3,2025-09-01,S11,219.36,151.73,39.85,13.55,67.0,995.17,13.05,2025-09
JR상예3,2025-10-01,S11,219.34,151.75,39.82,13.57,67.0,999.78,13.01,2025-10
JR상예3,2025-11-01,S11,219.32,151.77,39.79,13.77,66.0,1002.18,12.99,2025-11
JR상예3,2025-12-01,S11,219.24,151.85,39.71,14.28,65.0,1002.46,12.95,2025-12
JR상예3,2026-01-01,S11,219.11,151.98,39.58,14.67,64.0,1002.53,12.96,2026-01
JR상예3,2026-02-01,S11,218.98,152.11,39.54,15.28,64.0,1000.7,13.03,2026-02
JR상예3,2026-03-01,S11,218.79,152.3,39.37,16.2,62.0,999.89,13.08,2026-03
JR상예3,2026-04-01,S11,218.65,152.44,39.23,16.68,62.0,993.66,13.1,2026-04
