관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR조천3,2007-01-01,S11,2.08,107.87,7.85,15.26,136.0,,12.72,2007-01
JR조천3,2007-02-01,S11,1.91,108.04,7.68,15.27,135.0,,12.86,2007-02
JR조천3,2007-03-01,S11,2.07,107.88,7.84,15.27,136.0,,12.89,2007-03
JR조천3,2007-04-01,S11,2.03,107.92,7.8,15.26,132.0,,12.97,2007-04
JR조천3,2007-05-01,S11,1.9,108.05,7.67,15.26,134.0,,12.97,2007-05
JR조천3,2007-06-01,S11,1.85,108.1,7.62,15.26,137.0,,12.92,2007-06
JR조천3,2007-07-01,S11,2.78,107.17,8.55,15.26,168.0,,12.92,2007-07
JR조천3,2007-08-01,S11,3.56,106.39,9.47,15.22,259.0,,12.97,2007-08
JR조천3,2007-09-01,S11,9.77,100.18,15.72,15.14,188.0,,12.83,2007-09
JR조천3,2007-10-01,S11,8.35,101.6,14.3,15.19,171.0,,12.87,2007-10
JR조천3,2007-11-01,S11,4.81,105.14,10.76,15.19,183.0,,12.84,2007-11
JR조천3,2007-12-01,S11,3.25,106.7,9.2,15.21,166.0,,12.74,2007-12
JR조천3,2008-01-01,S11,2.82,107.13,8.77,15.21,149.0,,12.71,2008-01
JR조천3,2008-02-01,S11,3.09,106.86,9.04,15.21,173.0,,12.88,2008-02
JR조천3,2008-03-01,S11,2.36,107.59,8.31,15.22,154.0,,12.94,2008-03
JR조천3,2008-04-01,S11,2.27,107.68,8.22,15.21,138.0,,12.96,2008-04
JR조천3,2008-05-01,S11,2.21,107.74,8.16,15.2,132.0,,12.99,2008-05
JR조천3,2008-06-01,S11,2.55,107.4,8.5,15.2,144.0,,12.91,2008-06
JR조천3,2008-07-01,S11,3.68,106.27,9.63,15.2,171.0,,12.96,2008-07
JR조천3,2008-08-01,S11,2.79,107.16,8.74,15.21,153.0,,12.88,2008-08
JR조천3,2008-09-01,S11,,,,,,,,2008-09
JR조천3,2008-10-01,S11,2.94,107.02,8.77,14.97,160.0,,12.89,2008-10
JR조천3,2008-11-01,S11,2.4,107.55,8.23,14.97,144.0,,12.79,2008-11
JR조천3,2008-12-01,S11,2.02,107.93,7.85,14.97,136.0,,12.77,2008-12
JR조천3,2009-01-01,S11,1.74,108.21,7.57,14.97,136.0,,12.71,2009-01
JR조천3,2009-02-01,S11,1.75,108.2,7.58,14.97,137.0,,12.84,2009-02
JR조천3,2009-03-01,S11,1.9,108.05,7.73,14.97,135.0,,12.92,2009-03
JR조천3,2009-04-01,S11,1.97,107.98,7.8,14.97,131.0,,12.96,2009-04
JR조천3,2009-05-01,S11,2.23,107.72,8.07,14.97,156.0,997.29,12.89,2009-05
JR조천3,2009-06-01,S11,2.1,107.85,7.96,14.97,183.0,992.85,12.75,2009-06
JR조천3,2009-07-01,S11,2.09,107.86,7.96,14.97,176.0,993.75,12.76,2009-07
JR조천3,2009-08-01,S11,3.01,106.94,9.12,14.98,365.0,997.85,12.59,2009-08
JR조천3,2009-09-01,S11,3.02,106.93,9.13,14.98,355.0,1000.36,12.72,2009-09
JR조천3,2009-10-01,S11,3.51,106.44,9.6,14.97,334.0,1003.49,12.83,2009-10
JR조천3,2009-11-01,S11,2.74,107.21,8.83,14.98,322.0,1007.92,12.31,2009-11
JR조천3,2009-12-01,S11,2.32,107.63,8.41,14.99,313.0,1006.45,12.33,2009-12
JR조천3,2010-01-01,S11,1.99,107.96,8.08,14.99,304.0,1007.62,12.41,2010-01
JR조천3,2010-02-01,S11,1.95,108.0,8.04,14.99,296.0,1004.44,12.67,2010-02
