관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR하귀1,2007-01-01,S11,7.18,6.43,50.97,16.08,236.0,,12.48,2007-01
JR하귀1,2007-02-01,S11,6.55,7.06,50.34,16.17,183.0,,12.76,2007-02
JR하귀1,2007-03-01,S11,6.46,7.15,50.25,16.11,280.0,,12.76,2007-03
JR하귀1,2007-04-01,S11,6.16,7.45,49.95,16.2,207.0,,12.8,2007-04
JR하귀1,2007-05-01,S11,5.85,7.76,49.64,16.32,157.0,,12.75,2007-05
JR하귀1,2007-06-01,S11,5.49,8.12,49.28,16.43,161.0,,12.62,2007-06
JR하귀1,2007-07-01,S11,6.72,6.89,50.51,16.28,324.0,,12.44,2007-07
JR하귀1,2007-08-01,S11,7.09,6.52,50.88,16.18,342.0,,12.41,2007-08
JR하귀1,2007-09-01,S11,9.2,4.41,52.99,16.14,340.0,,12.41,2007-09
JR하귀1,2007-10-01,S11,11.25,2.36,55.04,16.01,228.0,,12.57,2007-10
JR하귀1,2007-11-01,S11,11.4,2.21,55.19,15.95,189.0,,12.63,2007-11
JR하귀1,2007-12-01,S11,10.48,3.13,54.27,15.94,183.0,,12.48,2007-12
JR하귀1,2008-01-01,S11,9.42,4.19,53.21,15.98,205.0,,12.41,2008-01
JR하귀1,2008-02-01,S11,8.4,5.21,52.19,16.02,245.0,,12.63,2008-02
JR하귀1,2008-03-01,S11,7.56,6.05,51.35,16.07,206.0,,12.8,2008-03
JR하귀1,2008-04-01,S11,7.04,6.57,50.83,16.13,194.0,,12.78,2008-04
JR하귀1,2008-05-01,S11,6.58,7.03,50.37,16.2,246.0,,12.73,2008-05
JR하귀1,2008-06-01,S11,6.88,6.73,50.67,16.13,357.0,,12.56,2008-06
JR하귀1,2008-07-01,S11,7.38,6.23,51.17,16.11,375.0,,12.25,2008-07
JR하귀1,2008-08-01,S11,7.13,6.48,50.92,16.11,583.0,,12.44,2008-08
JR하귀1,2008-09-01,S11,6.78,6.83,50.57,16.14,1010.0,,12.66,2008-09
JR하귀1,2008-10-01,S11,6.18,7.43,49.97,16.17,1380.0,,12.45,2008-10
JR하귀1,2008-11-01,S11,5.76,7.85,49.55,16.3,4832.0,,11.87,2008-11
JR하귀1,2008-12-01,S11,5.56,8.05,49.35,16.28,9559.0,,11.85,2008-12
JR하귀1,2009-01-01,S11,,,,,,,,2009-01
JR하귀1,2009-02-01,S11,,,,,,,,2009-02
JR하귀1,2009-03-01,S11,,,,,,,,2009-03
JR하귀1,2009-04-01,S11,4.68,9.69,50.25,16.43,1789.0,,12.64,2009-04
JR하귀1,2009-05-01,S11,4.77,9.6,50.33,16.38,1066.0,1008.73,12.66,2009-05
JR하귀1,2009-06-01,S11,4.93,9.44,50.49,16.4,2137.0,1004.1,12.78,2009-06
JR하귀1,2009-07-01,S11,5.63,8.74,51.22,16.53,4799.0,1004.09,12.72,2009-07
JR하귀1,2009-08-01,S11,6.06,8.31,52.26,17.04,3821.0,1006.67,12.73,2009-08
JR하귀1,2009-09-01,S11,6.52,7.86,62.47,16.5,741.0,1010.61,12.76,2009-09
JR하귀1,2009-10-01,S11,6.87,7.5,62.77,16.42,574.0,1014.21,12.8,2009-10
JR하귀1,2009-11-01,S11,6.63,7.74,62.5,16.36,805.0,1019.38,12.63,2009-11
JR하귀1,2009-12-01,S11,6.17,8.2,62.04,16.32,1162.0,1018.78,12.62,2009-12
JR하귀1,2010-01-01,S11,5.54,8.83,61.41,16.37,632.0,1020.4,12.64,2010-01
JR하귀1,2010-02-01,S11,5.3,9.07,61.18,16.42,769.0,1016.68,12.71,2010-02
JR하귀1,2010-03-01,S11,5.7,8.67,61.61,16.31,1214.0,1016.03,12.67,2010-03
JR하귀1,2010-04-01,S11,6.65,7.72,62.56,16.31,512.0,1014.41,12.83,2010-04
JR하귀1,2010-05-01,S11,6.76,7.61,62.68,16.31,818.0,1007.9,12.84,2010-05
JR하귀1,2010-06-01,S11,6.62,7.75,62.58,16.31,1379.0,1005.82,12.81,2010-06
JR하귀1,2010-07-01,S11,7.59,6.78,63.57,16.38,425.0,1004.58,12.77,2010-07
JR하귀1,2010-08-01,S11,7.94,6.43,63.91,16.38,368.0,1006.41,12.73,2010-08
JR하귀1,2010-09-01,S11,9.88,4.49,65.85,16.46,364.0,1008.9,12.73,2010-09
JR하귀1,2010-10-01,S11,10.94,3.43,66.86,16.41,247.0,1013.99,12.79,2010-10
JR하귀1,2010-11-01,S11,10.72,3.65,66.64,16.36,211.0,1017.08,12.81,2010-11
