관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR회수2,2007-01-01,S11,85.07,160.75,30.01,15.94,108.0,1015.99,12.39,2007-01
JR회수2,2007-02-01,S11,81.33,164.49,26.27,15.94,106.0,1010.97,12.67,2007-02
JR회수2,2007-03-01,S11,81.4,164.42,26.34,15.92,106.0,1009.35,12.88,2007-03
JR회수2,2007-04-01,S11,81.02,164.8,25.96,15.92,106.0,1008.04,12.91,2007-04
JR회수2,2007-05-01,S11,80.79,165.03,25.73,15.91,106.0,1001.48,12.89,2007-05
JR회수2,2007-06-01,S11,80.65,165.17,25.59,15.91,106.0,1000.23,12.89,2007-06
JR회수2,2007-07-01,S11,96.07,149.75,41.01,15.89,117.0,996.92,12.87,2007-07
JR회수2,2007-08-01,S11,89.9,155.92,34.84,15.9,117.0,1001.32,12.84,2007-08
JR회수2,2007-09-01,S11,109.64,136.18,54.58,15.86,116.0,1002.16,12.77,2007-09
JR회수2,2007-10-01,S11,111.81,134.01,56.75,15.84,113.0,1009.18,12.72,2007-10
JR회수2,2007-11-01,S11,103.19,142.63,48.13,15.85,115.0,1012.67,12.63,2007-11
JR회수2,2007-12-01,S11,93.67,152.15,38.61,15.87,113.0,1011.05,12.34,2007-12
JR회수2,2008-01-01,S11,88.04,157.78,32.98,15.86,112.0,1012.85,12.09,2008-01
JR회수2,2008-02-01,S11,81.66,164.16,26.6,15.86,110.0,1013.37,12.54,2008-02
JR회수2,2008-03-01,S11,75.68,170.14,20.62,15.86,109.0,1008.04,12.83,2008-03
JR회수2,2008-04-01,S11,74.11,171.71,19.05,15.86,108.0,1005.52,12.91,2008-04
JR회수2,2008-05-01,S11,72.71,173.11,17.65,15.86,108.0,1000.87,12.9,2008-05
JR회수2,2008-06-01,S11,76.92,168.9,21.86,15.85,111.0,999.09,12.78,2008-06
JR회수2,2008-07-01,S11,83.39,162.43,28.33,15.85,120.0,999.59,12.83,2008-07
JR회수2,2008-08-01,S11,74.57,171.25,19.51,15.86,114.0,998.63,12.87,2008-08
JR회수2,2008-09-01,S11,72.68,173.15,17.62,15.85,111.0,1002.55,12.83,2008-09
JR회수2,2008-10-01,S11,71.09,174.73,16.03,15.84,109.0,1008.29,12.73,2008-10
JR회수2,2008-11-01,S11,70.0,175.82,14.94,15.83,108.0,1010.75,12.46,2008-11
JR회수2,2008-12-01,S11,69.0,176.82,13.94,15.81,108.0,1011.86,12.04,2008-12
JR회수2,2009-01-01,S11,67.75,178.07,12.69,15.8,108.0,1012.82,10.88,2009-01
JR회수2,2009-02-01,S11,66.66,179.16,12.06,15.8,108.0,1006.18,12.62,2009-02
JR회수2,2009-03-01,S11,66.63,179.19,12.03,15.79,109.0,1007.74,12.77,2009-03
JR회수2,2009-04-01,S11,67.42,178.4,12.82,15.79,112.0,1005.45,12.81,2009-04
JR회수2,2009-05-01,S11,67.87,177.95,13.27,15.8,112.0,1002.87,13.13,2009-05
JR회수2,2009-06-01,S11,68.1,177.72,13.79,15.78,102.0,996.63,12.81,2009-06
JR회수2,2009-07-01,S11,75.36,170.46,21.0,15.77,108.0,997.06,12.57,2009-07
JR회수2,2009-08-01,S11,87.29,158.54,32.93,15.72,109.0,998.78,12.76,2009-08
JR회수2,2009-09-01,S11,75.6,170.22,21.24,15.73,106.0,1002.66,12.72,2009-09
JR회수2,2009-10-01,S11,72.32,173.5,17.96,15.72,103.0,1006.02,12.65,2009-10
JR회수2,2009-11-01,S11,70.34,175.48,15.98,15.7,102.0,1010.58,13.55,2009-11
JR회수2,2009-12-01,S11,68.63,177.25,14.31,15.7,101.0,1009.5,12.11,2009-12
JR회수2,2010-01-01,S11,67.59,178.37,13.33,15.69,100.0,1010.96,11.94,2010-01
JR회수2,2010-02-01,S11,67.05,178.91,12.73,15.69,98.0,1007.95,12.17,2010-02
JR회수2,2010-03-01,S11,67.78,178.18,13.37,15.67,95.0,1007.56,12.69,2010-03
JR회수2,2010-04-01,S11,73.66,172.3,19.25,15.67,101.0,1006.1,12.75,2010-04
JR회수2,2010-05-01,S11,78.37,167.59,24.0,15.66,102.0,1000.52,12.86,2010-05
JR회수2,2010-06-01,S11,79.65,166.31,25.45,15.66,102.0,998.78,13.09,2010-06
JR회수2,2010-07-01,S11,102.42,143.54,48.22,15.59,105.0,998.19,12.82,2010-07
JR회수2,2010-08-01,S11,103.09,142.87,48.89,15.57,103.0,1000.36,12.74,2010-08
JR회수2,2010-09-01,S11,112.9,133.06,58.7,15.53,94.0,1001.96,13.38,2010-09
JR회수2,2010-10-01,S11,110.64,135.32,56.44,15.5,94.0,1005.93,16.56,2010-10
JR회수2,2010-11-01,S11,94.08,151.88,39.79,15.55,99.0,1009.03,12.46,2010-11
JR회수2,2010-12-01,S11,82.0,163.96,27.71,15.59,100.0,1004.63,12.14,2010-12
JR회수2,2011-01-01,S11,77.23,168.73,22.94,15.6,100.0,1010.5,12.07,2011-01
JR회수2,2011-02-01,S11,74.24,171.72,19.73,14.34,96.0,1009.44,11.9,2011-02
JR회수2,2011-03-01,S11,72.45,173.51,17.94,14.34,95.0,1010.18,13.84,2011-03
JR회수2,2011-04-01,S11,71.24,174.72,16.73,14.33,94.0,1004.5,12.99,2011-04
JR회수2,2011-05-01,S11,70.39,175.57,15.95,14.32,94.0,1000.94,13.53,2011-05
JR회수2,2011-06-01,S11,69.87,176.09,15.72,14.57,94.0,998.35,14.73,2011-06
JR회수2,2011-07-01,S11,90.35,155.61,37.22,15.9,104.0,999.93,13.16,2011-07
JR회수2,2011-08-01,S11,88.5,157.46,35.37,15.92,102.0,1001.48,13.16,2011-08
