관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW고성,2007-01-01,S11,0.7,27.76,11.95,15.85,2450,,14.12,2007-01
JW고성,2007-02-01,S11,0.61,27.85,11.86,15.86,2583,,14.27,2007-02
JW고성,2007-03-01,S11,0.71,27.75,11.96,15.86,2702,,14.28,2007-03
JW고성,2007-04-01,S11,0.66,27.8,11.91,15.84,2706,,14.37,2007-04
JW고성,2007-05-01,S11,0.64,27.82,11.89,15.86,2853,,14.37,2007-05
JW고성,2007-06-01,S11,0.66,27.8,11.91,15.86,3047,,14.33,2007-06
JW고성,2007-07-01,S11,0.86,27.6,12.11,15.88,2699,,14.37,2007-07
JW고성,2007-08-01,S11,0.94,27.52,12.19,15.87,2614,,14.43,2007-08
JW고성,2007-09-01,S11,1.63,26.83,12.88,16.0,1732,,14.31,2007-09
JW고성,2007-10-01,S11,1.07,27.39,12.32,15.95,1857,,14.34,2007-10
JW고성,2007-11-01,S11,0.94,27.52,12.21,15.92,1916,,13.86,2007-11
JW고성,2007-12-01,S11,0.8,27.66,12.1,15.9,2148,,12.97,2007-12
JW고성,2008-01-01,S11,0.74,27.72,12.04,15.92,2292,,12.93,2008-01
JW고성,2008-02-01,S11,0.7,27.76,12.0,15.9,2405,,12.88,2008-02
JW고성,2008-03-01,S11,0.66,27.8,11.96,15.9,2614,,13.19,2008-03
JW고성,2008-04-01,S11,0.71,27.75,12.01,15.9,2664,,12.98,2008-04
JW고성,2008-05-01,S11,0.68,27.78,11.98,15.9,2749,,12.85,2008-05
JW고성,2008-06-01,S11,0.96,27.5,12.13,15.9,2678,,12.57,2008-06
JW고성,2008-07-01,S11,1.02,27.44,12.16,15.92,2612,,12.62,2008-07
JW고성,2008-08-01,S11,1.03,27.43,12.17,15.92,2563,,12.53,2008-08
JW고성,2008-09-01,S11,0.96,27.5,12.1,15.91,2523,,12.48,2008-09
JW고성,2008-10-01,S11,0.96,27.5,12.1,15.91,2502,,12.72,2008-10
JW고성,2008-11-01,S11,0.92,27.54,12.06,15.92,2534,,12.73,2008-11
JW고성,2008-12-01,S11,0.83,27.63,11.97,15.92,2618,,12.76,2008-12
JW고성,2009-01-01,S11,0.74,27.72,11.88,15.92,2742,,12.75,2009-01
JW고성,2009-02-01,S11,0.76,27.7,11.9,15.93,2841,,12.77,2009-02
JW고성,2009-03-01,S11,0.77,27.69,11.91,15.93,2714,,12.95,2009-03
JW고성,2009-04-01,S11,0.8,27.66,11.94,15.93,2687,,12.92,2009-04
JW고성,2009-05-01,S11,0.81,27.65,11.95,15.92,2621,,12.81,2009-05
JW고성,2009-06-01,S11,0.8,27.66,11.94,15.92,2612,,12.71,2009-06
JW고성,2009-07-01,S11,0.95,27.51,12.09,15.95,2398,,12.42,2009-07
JW고성,2009-08-01,S11,1.02,27.44,12.16,15.94,2355,,12.35,2009-08
JW고성,2009-09-01,S11,0.95,27.51,10.97,15.78,1732,1012.08,12.44,2009-09
JW고성,2009-10-01,S11,1.02,27.45,10.05,15.85,1650,1017.69,12.61,2009-10
JW고성,2009-11-01,S11,0.82,27.64,9.85,15.78,1799,1023.21,12.62,2009-11
JW고성,2009-12-01,S11,0.73,27.73,9.76,15.78,1823,1022.84,12.73,2009-12
JW고성,2010-01-01,S11,0.58,27.88,9.61,15.78,1890,1024.67,12.7,2010-01
JW고성,2010-02-01,S11,0.67,27.79,9.7,15.78,2017,1021.53,12.72,2010-02
JW고성,2010-03-01,S11,0.73,27.73,9.75,15.79,3039,1021.03,12.68,2010-03
JW고성,2010-04-01,S11,0.87,27.59,9.88,15.8,3381,1019.57,12.78,2010-04
JW고성,2010-05-01,S11,0.9,27.56,9.91,15.78,3544,1013.04,12.8,2010-05
JW고성,2010-06-01,S11,0.88,27.58,9.89,15.77,3473,1011.13,12.65,2010-06
JW고성,2010-07-01,S11,1.06,27.4,10.07,15.81,3144,1009.97,12.43,2010-07
JW고성,2010-08-01,S11,1.04,27.42,10.05,15.82,2800,1012.12,12.41,2010-08
JW고성,2010-09-01,S11,1.18,27.28,10.19,15.86,1378,1014.43,12.38,2010-09
JW고성,2010-10-01,S11,0.97,27.49,9.98,15.82,1464,1019.44,12.61,2010-10
JW고성,2010-11-01,S11,0.89,27.57,9.85,15.8,1521,1022.95,12.74,2010-11
JW고성,2010-12-01,S11,0.76,27.7,9.71,15.79,1650,1019.16,12.69,2010-12
JW고성,2011-01-01,S11,0.63,27.83,9.58,15.77,1806,1027.59,12.79,2011-01
JW고성,2011-02-01,S11,0.63,27.83,9.58,15.76,1954,1022.41,12.78,2011-02
JW고성,2011-03-01,S11,0.59,27.87,9.54,15.76,1982,1023.85,12.9,2011-03
