관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW김녕1,2007-01-01,S11,1.06,34.79,9.93,16.0,1642.0,,12.0,2007-01
JW김녕1,2007-02-01,S11,0.96,34.89,9.83,16.0,1611.0,,12.3,2007-02
JW김녕1,2007-03-01,S11,1.07,34.78,9.94,16.0,1575.0,,12.29,2007-03
JW김녕1,2007-04-01,S11,1.02,34.83,9.89,16.0,1561.0,,12.33,2007-04
JW김녕1,2007-05-01,S11,1.0,34.85,9.87,16.0,1533.0,,12.37,2007-05
JW김녕1,2007-06-01,S11,1.02,34.84,9.89,16.0,1512.0,,12.34,2007-06
JW김녕1,2007-07-01,S11,1.22,34.63,10.09,16.06,1462.0,,12.35,2007-07
JW김녕1,2007-08-01,S11,1.2,34.65,10.07,16.02,1581.0,,12.4,2007-08
JW김녕1,2007-10-01,S11,1.54,34.31,10.5,15.21,790.0,1021.43,13.83,2007-10
JW김녕1,2007-11-01,S11,1.32,34.53,10.28,15.08,896.0,1025.25,13.93,2007-11
JW김녕1,2007-12-01,S11,,,,,,,13.5,2007-12
JW김녕1,2008-01-01,S11,1.25,34.6,10.81,15.34,837.0,1025.31,13.07,2008-01
JW김녕1,2008-02-01,S11,1.26,34.6,10.9,15.33,838.0,1023.83,13.25,2008-02
JW김녕1,2008-03-01,S11,1.24,34.61,10.88,15.33,784.0,1017.65,13.29,2008-03
JW김녕1,2008-04-01,S11,1.31,34.54,10.95,15.33,764.0,1014.59,13.24,2008-04
JW김녕1,2008-05-01,S11,1.36,34.49,11.0,15.33,752.0,1009.43,13.2,2008-05
JW김녕1,2008-06-01,S11,1.42,34.43,11.06,15.34,723.0,1008.78,13.09,2008-06
JW김녕1,2008-07-01,S11,1.33,34.52,10.53,15.39,654.0,1005.71,12.9,2008-07
JW김녕1,2008-08-01,S11,1.41,34.44,10.61,17.03,615.0,1005.94,12.69,2008-08
JW김녕1,2008-09-01,S11,1.29,34.56,10.49,15.52,601.0,1010.74,12.51,2008-09
JW김녕1,2008-10-01,S11,1.17,34.68,10.37,15.73,615.0,1016.94,12.61,2008-10
JW김녕1,2008-11-01,S11,1.03,34.82,10.23,15.55,576.0,1020.14,12.29,2008-11
JW김녕1,2008-12-01,S11,0.95,34.9,10.15,15.49,553.0,1020.62,12.23,2008-12
JW김녕1,2009-02-01,S11,1.01,35.44,11.15,15.19,733.0,1015.42,12.88,2009-02
JW김녕1,2009-03-01,S11,0.97,35.48,11.14,15.21,759.0,1015.75,13.01,2009-03
JW김녕1,2009-04-01,S11,0.99,35.46,11.21,15.19,761.0,1012.59,13.0,2009-04
JW김녕1,2009-05-01,S11,1.08,35.37,11.3,15.2,755.0,1009.27,13.07,2009-05
JW김녕1,2009-06-01,S11,1.16,35.29,11.38,15.18,751.0,1002.35,13.12,2009-06
JW김녕1,2009-07-01,S11,1.23,35.22,11.46,15.2,740.0,1002.45,13.13,2009-07
JW김녕1,2009-08-01,S11,1.32,35.13,11.55,15.21,763.0,1004.92,13.02,2009-08
JW김녕1,2009-09-01,S11,1.09,35.36,11.4,14.42,794.0,1009.42,13.23,2009-09
JW김녕1,2009-10-01,S11,1.18,35.27,11.42,14.43,765.0,1013.14,13.28,2009-10
JW김녕1,2009-11-01,S11,0.96,35.49,11.17,14.41,750.0,1018.82,13.18,2009-11
JW김녕1,2009-12-01,S11,0.87,35.58,11.07,14.4,742.0,1018.62,13.16,2009-12
JW김녕1,2010-01-01,S11,0.69,35.76,10.89,14.4,737.0,1020.53,13.16,2010-01
JW김녕1,2010-02-01,S11,0.82,35.63,11.03,14.4,736.0,1017.09,13.19,2010-02
JW김녕1,2010-03-01,S11,0.93,35.53,11.08,14.42,741.0,1016.3,13.2,2010-03
JW김녕1,2010-04-01,S11,1.08,35.37,11.18,14.43,733.0,1014.7,13.27,2010-04
JW김녕1,2010-05-01,S11,1.2,35.25,11.33,14.43,736.0,1007.78,13.34,2010-05
JW김녕1,2010-06-01,S11,1.17,35.29,11.32,14.41,735.0,1005.68,13.33,2010-06
JW김녕1,2010-07-01,S11,1.39,35.06,11.55,14.44,715.0,1004.4,13.32,2010-07
JW김녕1,2010-08-01,S11,1.25,35.2,11.53,14.44,746.0,1006.43,13.3,2010-08
JW김녕1,2010-09-01,S11,1.46,34.99,11.69,14.48,751.0,1009.08,13.17,2010-09
JW김녕1,2010-10-01,S11,1.22,35.23,11.39,14.44,774.0,1014.4,13.24,2010-10
JW김녕1,2010-11-01,S11,1.13,35.32,11.19,14.43,781.0,1017.91,13.25,2010-11
