관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW예래,2007-01-01,S11,24.93,37.21,17.37,17.36,175,,13.21,2007-01
JW예래,2007-02-01,S11,24.84,37.3,17.28,17.35,174,,13.28,2007-02
JW예래,2007-03-01,S11,24.83,37.31,17.27,17.34,189,,13.28,2007-03
JW예래,2007-04-01,S11,24.79,37.35,17.23,17.35,182,,13.33,2007-04
JW예래,2007-05-01,S11,24.75,37.39,17.19,17.25,211,,13.33,2007-05
JW예래,2007-06-01,S11,24.73,37.41,17.17,17.31,206,,13.29,2007-06
JW예래,2007-07-01,S11,24.84,37.3,17.28,17.94,274,,13.23,2007-07
JW예래,2007-08-01,S11,24.97,37.17,17.41,17.88,250,,13.3,2007-08
JW예래,2007-09-01,S11,24.98,37.16,17.42,18.69,258,,13.25,2007-09
JW예래,2007-10-01,S11,25.06,37.08,16.85,18.1,209,,13.29,2007-10
JW예래,2007-11-01,S11,25.1,37.05,16.74,17.69,177,,13.28,2007-11
JW예래,2007-12-01,S11,25.01,37.13,16.65,17.42,155,,13.19,2007-12
JW예래,2008-01-01,S11,24.98,37.16,16.62,17.47,168,,13.13,2008-01
JW예래,2008-02-01,S11,24.91,37.23,16.86,17.38,160,,13.37,2008-02
JW예래,2008-03-01,S11,24.83,37.31,16.71,17.34,168,,13.47,2008-03
JW예래,2008-04-01,S11,24.8,37.34,16.68,17.31,167,,13.51,2008-04
JW예래,2008-05-01,S11,24.7,37.44,16.58,17.35,166,,13.52,2008-05
JW예래,2008-06-01,S11,24.72,37.42,16.6,17.57,235,,13.45,2008-06
JW예래,2008-07-01,S11,24.82,37.32,16.7,17.5,204,,13.52,2008-07
JW예래,2008-08-01,S11,24.74,37.4,16.62,17.56,193,,13.55,2008-08
JW예래,2008-09-01,S11,24.7,37.44,16.58,17.67,190,,13.53,2008-09
JW예래,2008-10-01,S11,24.77,37.37,16.65,17.54,171,,13.5,2008-10
JW예래,2008-11-01,S11,24.76,37.39,16.64,17.6,188,,13.44,2008-11
JW예래,2008-12-01,S11,24.74,37.4,16.62,17.5,176,,13.41,2008-12
JW예래,2009-01-01,S11,,,,17.39,159,,13.38,2009-01
JW예래,2009-02-01,S11,,,,17.31,160,,13.4,2009-02
JW예래,2009-03-01,S11,24.77,37.37,26.6,16.79,171,1017.49,13.78,2009-03
JW예래,2009-04-01,S11,24.8,37.34,26.63,16.85,155,1015.74,14.01,2009-04
JW예래,2009-05-01,S11,24.76,37.38,26.69,16.9,158,1012.71,14.01,2009-05
JW예래,2009-06-01,S11,24.7,37.44,26.68,17.03,175,1006.27,13.98,2009-06
JW예래,2009-07-01,S11,24.76,37.38,26.74,17.89,228,1006.42,13.74,2009-07
JW예래,2009-08-01,S11,24.79,37.35,26.77,17.67,185,1008.18,13.97,2009-08
JW예래,2009-09-01,S11,24.69,37.45,26.67,17.16,136,1012.39,13.97,2009-09
JW예래,2009-10-01,S11,24.59,37.55,26.57,17.28,145,1016.33,13.96,2009-10
JW예래,2009-11-01,S11,24.48,37.66,26.46,17.27,148,1021.5,13.82,2009-11
JW예래,2009-12-01,S11,24.41,37.73,26.39,17.07,126,1021.21,13.77,2009-12
JW예래,2010-01-01,S11,24.37,37.77,26.35,17.05,127,1023.01,13.7,2010-01
JW예래,2010-02-01,S11,24.4,37.74,26.39,17.06,135,1019.58,13.71,2010-02
JW예래,2010-03-01,S11,24.46,37.68,26.45,16.8,159,1019.28,13.76,2010-03
JW예래,2010-04-01,S11,24.61,37.53,26.6,16.2,187,1017.71,13.94,2010-04
JW예래,2010-05-01,S11,24.67,37.47,26.66,16.68,178,1011.79,14.05,2010-05
JW예래,2010-06-01,S11,24.69,37.45,26.68,17.14,169,1009.61,14.01,2010-06
