관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW일도,2018-06-01,S11,2.01,2.14,14.37,15.03,155,871.08,11.27,2018-06
JW일도,2018-07-01,S11,2.07,2.08,14.45,15.13,160,864.38,13.42,2018-07
JW일도,2018-08-01,S11,2.24,1.91,14.62,15.14,156,1007.95,13.42,2018-08
JW일도,2018-09-01,S11,2.54,1.61,14.92,15.35,163,1014.13,13.41,2018-09
JW일도,2018-10-01,S11,2.78,1.37,15.16,15.41,160,1020.26,13.42,2018-10
JW일도,2018-11-01,S11,2.68,1.47,15.06,15.24,156,1024.61,13.42,2018-11
JW일도,2018-12-01,S11,2.61,1.54,14.99,15.13,142,1028.13,13.41,2018-12
JW일도,2019-01-01,S11,2.34,1.81,14.72,15.13,131,1028.18,13.41,2019-01
JW일도,2019-02-01,S11,2.18,1.97,14.56,15.12,128,1025.67,13.41,2019-02
JW일도,2019-03-01,S11,2.07,2.08,14.45,15.14,130,1020.28,13.41,2019-03
JW일도,2019-04-01,S11,2.02,2.13,14.4,15.15,131,1017.1,13.42,2019-04
JW일도,2019-05-01,S11,1.97,2.18,14.35,15.15,131,1014.48,13.42,2019-05
JW일도,2019-06-01,S11,1.82,2.33,14.2,15.23,134,1009.28,13.42,2019-06
JW일도,2019-07-01,S11,2.26,1.89,14.64,15.33,141,1008.07,13.42,2019-07
JW일도,2019-08-01,S11,2.48,1.67,14.86,15.53,152,1008.66,13.43,2019-08
JW일도,2019-09-01,S11,2.86,1.29,15.24,15.68,161,1014.93,13.43,2019-09
JW일도,2019-10-01,S11,2.96,1.19,15.33,15.97,178,1020.12,13.41,2019-10
JW일도,2019-11-01,S11,2.93,1.22,15.3,15.47,154,1024.33,13.42,2019-11
JW일도,2019-12-01,S11,2.75,1.4,15.12,15.39,140,1027.48,13.41,2019-12
JW일도,2020-01-01,S11,2.5,1.65,14.87,15.39,129,1025.11,13.41,2020-01
JW일도,2020-02-01,S11,2.32,1.83,14.69,15.4,123,1027.09,13.42,2020-02
JW일도,2020-03-01,S11,2.26,1.89,14.59,15.39,121,1020.87,13.42,2020-03
JW일도,2020-04-01,S11,2.19,1.96,14.49,15.35,120,1021.15,13.41,2020-04
JW일도,2020-05-01,S11,2.07,2.08,14.37,15.34,121,1013.18,13.42,2020-05
JW일도,2020-06-01,S11,2.11,2.04,14.41,15.32,122,1009.12,13.12,2020-06
JW일도,2020-07-01,S11,2.23,1.92,14.53,15.43,123,1009.19,12.62,2020-07
JW일도,2020-08-01,S11,2.23,1.92,14.53,15.42,130,1011.24,13.43,2020-08
JW일도,2020-09-01,S11,2.81,1.34,15.09,15.7,144,1013.7,13.42,2020-09
JW일도,2020-10-01,S11,2.81,1.34,15.07,15.48,145,1022.51,13.42,2020-10
JW일도,2020-11-01,S11,2.67,1.48,14.98,15.21,130,1026.92,13.42,2020-11
JW일도,2020-12-01,S11,2.44,1.71,14.78,15.08,118,1028.47,13.41,2020-12
JW일도,2021-01-01,S11,2.32,1.83,14.66,15.06,116,1026.58,13.42,2021-01
JW일도,2021-02-01,S11,2.24,1.91,14.58,15.06,120,1024.03,13.42,2021-02
JW일도,2021-03-01,S11,2.2,1.95,14.54,15.05,120,1021.93,13.42,2021-03
JW일도,2021-04-01,S11,2.11,2.04,14.45,15.04,122,1020.9,13.42,2021-04
JW일도,2021-05-01,S11,2.07,2.08,14.41,15.04,124,1012.63,13.41,2021-05
JW일도,2021-06-01,S11,2.13,2.02,14.47,15.06,127,1010.16,13.42,2021-06
JW일도,2021-07-01,S11,2.11,2.04,14.45,15.12,133,1010.29,13.41,2021-07
JW일도,2021-08-01,S11,2.25,1.9,14.59,15.23,138,1010.66,12.7,2021-08
JW일도,2021-09-01,S11,2.58,1.57,14.92,15.5,156,1014.85,13.42,2021-09
JW일도,2021-10-01,S11,2.74,1.41,15.08,15.48,153,1023.39,13.41,2021-10
JW일도,2021-11-01,S11,2.64,1.51,14.99,15.19,139,1023.66,13.41,2021-11
JW일도,2021-12-01,S11,2.29,1.86,14.68,15.17,131,1028.53,13.62,2021-12
JW일도,2022-01-01,S11,1.95,2.2,14.34,15.19,127,1027.98,13.7,2022-01
JW일도,2022-02-01,S11,1.74,2.41,14.13,15.2,127,1029.73,13.7,2022-02
JW일도,2022-03-01,S11,1.8,2.35,14.19,15.19,128,1021.49,13.72,2022-03
JW일도,2022-04-01,S11,1.85,2.3,14.22,15.19,129,1020.99,13.74,2022-04
JW일도,2022-05-01,S11,1.85,2.3,14.2,15.19,130,1017.09,13.76,2022-05
JW일도,2022-06-01,S11,1.83,2.32,14.19,15.18,131,1011.24,13.78,2022-06
JW일도,2022-07-01,S11,1.76,2.39,14.17,15.23,134,1009.53,13.79,2022-07
JW일도,2022-08-01,S11,1.86,2.29,14.28,15.3,139,1011.47,13.79,2022-08
JW일도,2022-09-01,S11,2.22,1.93,14.58,15.5,155,1015.04,13.76,2022-09
JW일도,2022-10-01,S11,2.14,2.01,14.5,15.33,143,1025.18,13.75,2022-10
JW일도,2022-11-01,S11,2.01,2.14,14.38,15.16,135,1024.64,13.73,2022-11
JW일도,2022-12-01,S11,1.72,2.43,14.12,15.18,135,1028.7,13.7,2022-12
JW일도,2023-01-01,S11,1.6,2.55,14.0,15.19,137,1028.58,13.7,2023-01
JW일도,2023-02-01,S11,1.61,2.55,14.01,15.19,139,1029.01,13.7,2023-02
JW일도,2023-03-01,S11,1.76,2.39,14.16,15.16,139,1024.48,13.71,2023-03
JW일도,2023-04-01,S11,1.77,2.38,14.17,15.14,139,1019.15,13.73,2023-04
JW일도,2023-05-01,S11,1.96,2.19,14.36,15.2,141,1016.86,13.75,2023-05
JW일도,2023-06-01,S11,2.06,2.09,14.46,15.25,143,1011.65,13.64,2023-06
JW일도,2023-07-01,S11,2.26,1.89,14.66,15.35,149,1011.72,11.98,2023-07
JW일도,2023-08-01,S11,2.25,1.9,14.66,15.34,151,1008.85,12.09,2023-08
JW일도,2023-09-01,S11,2.3,1.86,14.71,15.32,147,1015.98,13.16,2023-09
JW일도,2023-10-01,S11,2.18,1.97,14.59,15.25,141,1022.87,13.75,2023-10
JW일도,2023-11-01,S11,2.03,2.12,14.44,15.17,136,1025.93,13.72,2023-11
JW일도,2023-12-01,S11,1.8,2.35,14.21,15.18,136,1028.22,13.71,2023-12
JW일도,2024-01-01,S11,1.76,2.39,14.17,15.19,138,1028.6,13.7,2024-01
JW일도,2024-02-01,S11,1.9,2.25,14.31,15.23,140,1026.62,13.7,2024-02
JW일도,2024-03-01,S11,2.0,2.15,14.41,15.25,142,1022.48,13.71,2024-03
JW일도,2024-04-01,S11,2.02,2.13,14.43,15.17,140,1017.12,13.74,2024-04
JW일도,2024-05-01,S11,2.0,2.15,14.39,15.12,139,1017.62,13.75,2024-05
JW일도,2024-06-01,S11,2.07,2.08,14.42,15.1,136,1012.23,13.78,2024-06
JW일도,2024-07-01,S11,2.18,1.97,14.53,15.25,140,1011.2,13.79,2024-07
JW일도,2024-08-01,S11,2.1,2.05,14.45,15.23,141,1010.49,13.09,2024-08
JW일도,2024-09-01,S11,1.98,2.17,14.35,15.18,141,1015.46,13.55,2024-09
JW일도,2024-10-01,S11,2.0,2.15,14.37,15.25,144,1022.15,13.7,2024-10
JW일도,2024-11-01,S11,2.33,1.82,14.7,15.42,152,1025.29,13.7,2024-11
JW일도,2024-12-01,S11,2.12,2.03,14.49,15.28,148,1027.78,13.7,2024-12
JW일도,2025-01-01,S11,1.95,2.21,14.32,15.19,138,1028.14,13.7,2025-01
JW일도,2025-02-01,S11,1.78,2.38,14.15,15.17,135,1028.77,13.7,2025-02
JW일도,2025-03-01,S11,1.8,2.35,14.17,15.18,133,1022.62,13.7,2025-03
JW일도,2025-04-01,S11,1.95,2.21,14.32,15.16,129,1016.67,13.7,2025-04
JW일도,2025-05-01,S11,1.96,2.23,14.32,15.17,130,1015.39,13.7,2025-05
JW일도,2025-06-01,S11,1.85,2.3,14.22,15.2,131,1011.69,13.71,2025-06
JW일도,2025-07-01,S11,1.86,2.29,14.24,15.26,134,1010.35,13.72,2025-07
JW일도,2025-08-01,S11,1.63,2.52,14.01,15.39,143,1012.88,13.73,2025-08
JW일도,2025-09-01,S11,1.79,2.36,14.17,15.4,150,1016.05,13.7,2025-09
JW일도,2025-10-01,S11,1.91,2.24,14.26,15.57,161,1022.12,13.7,2025-10
JW일도,2025-11-01,S11,1.8,2.36,14.13,15.46,147,1025.75,13.7,2025-11
JW일도,2025-12-01,S11,1.58,2.57,13.94,15.41,145,1026.37,13.7,2025-12
JW일도,2026-01-01,S11,1.45,2.7,13.88,15.36,143,1026.9,13.7,2026-01
JW일도,2026-02-01,S11,1.42,2.73,13.85,15.36,144,1024.52,13.7,2026-02
JW일도,2026-03-01,S11,1.52,2.63,13.95,15.36,146,1023.37,13.7,2026-03
JW일도,2026-04-01,S11,1.6,2.55,14.03,15.39,148,1015.92,13.7,2026-04
