관측소명,날짜,EL
JD무릉2,2016-01-01,11.69
JD무릉2,2016-01-02,11.68
JD무릉2,2016-01-03,11.7
JD무릉2,2016-01-04,11.66
JD무릉2,2016-01-05,11.59
JD무릉2,2016-01-06,11.51
JD무릉2,2016-01-07,11.45
JD무릉2,2016-01-08,11.4
JD무릉2,2016-01-09,11.33
JD무릉2,2016-01-10,11.27
JD무릉2,2016-01-11,11.23
JD무릉2,2016-01-12,11.18
JD무릉2,2016-01-13,11.15
JD무릉2,2016-01-14,11.12
JD무릉2,2016-01-15,11.1
JD무릉2,2016-01-16,11.05
JD무릉2,2016-01-17,11.09
JD무릉2,2016-01-18,11.18
JD무릉2,2016-01-19,11.05
JD무릉2,2016-01-20,10.93
JD무릉2,2016-01-21,10.87
JD무릉2,2016-01-22,10.78
JD무릉2,2016-01-23,10.72
JD무릉2,2016-01-24,10.68
JD무릉2,2016-01-25,10.5
JD무릉2,2016-01-26,9.9
JD무릉2,2016-01-27,10.73
JD무릉2,2016-01-28,11.07
JD무릉2,2016-01-29,11.77
JD무릉2,2016-01-30,11.88
JD무릉2,2016-01-31,11.58
JD무릉2,2016-02-01,11.38
JD무릉2,2016-02-02,11.25
JD무릉2,2016-02-03,11.17
JD무릉2,2016-02-04,11.09
JD무릉2,2016-02-05,11.07
JD무릉2,2016-02-06,11.08
JD무릉2,2016-02-07,11.05
JD무릉2,2016-02-08,11.04
JD무릉2,2016-02-09,11.03
JD무릉2,2016-02-10,10.94
JD무릉2,2016-02-11,10.86
JD무릉2,2016-02-12,11.12
JD무릉2,2016-02-13,12.27
JD무릉2,2016-02-14,12.57
JD무릉2,2016-02-15,12.26
JD무릉2,2016-02-16,12.04
JD무릉2,2016-02-17,11.91
JD무릉2,2016-02-18,11.78
JD무릉2,2016-02-19,11.7
JD무릉2,2016-02-20,11.67
JD무릉2,2016-02-21,11.6
JD무릉2,2016-02-22,11.54
JD무릉2,2016-02-23,11.52
JD무릉2,2016-02-24,11.45
JD무릉2,2016-02-25,11.4
JD무릉2,2016-02-26,11.37
JD무릉2,2016-02-27,11.35
JD무릉2,2016-02-28,11.34
JD무릉2,2016-02-29,11.29
JD무릉2,2016-03-01,11.23
JD무릉2,2016-03-02,11.2
JD무릉2,2016-03-03,11.17
JD무릉2,2016-03-04,11.15
JD무릉2,2016-03-05,11.15
JD무릉2,2016-03-06,12.23
JD무릉2,2016-03-07,12.69
JD무릉2,2016-03-08,12.52
JD무릉2,2016-03-09,12.78
JD무릉2,2016-03-10,12.83
JD무릉2,2016-03-11,12.58
JD무릉2,2016-03-12,12.43
JD무릉2,2016-03-13,12.36
JD무릉2,2016-03-14,12.33
JD무릉2,2016-03-15,12.13
JD무릉2,2016-03-16,11.76
JD무릉2,2016-03-17,11.62
JD무릉2,2016-03-18,11.67
JD무릉2,2016-03-19,11.65
JD무릉2,2016-03-20,11.5
JD무릉2,2016-03-21,11.38
JD무릉2,2016-03-22,11.33
JD무릉2,2016-03-23,11.38
JD무릉2,2016-03-24,11.52
JD무릉2,2016-03-25,11.52
JD무릉2,2016-03-26,11.43
JD무릉2,2016-03-27,11.26
JD무릉2,2016-03-28,11.07
JD무릉2,2016-03-29,11.05
JD무릉2,2016-03-30,11.13
JD무릉2,2016-03-31,11.07
JD무릉2,2016-04-01,10.91
JD무릉2,2016-04-02,10.79
JD무릉2,2016-04-03,11.01
JD무릉2,2016-04-04,11.53
JD무릉2,2016-04-05,11.59
JD무릉2,2016-04-06,11.53
JD무릉2,2016-04-07,11.95
JD무릉2,2016-04-08,12.2
JD무릉2,2016-04-09,12.02
JD무릉2,2016-04-10,11.91
JD무릉2,2016-04-11,11.76
JD무릉2,2016-04-12,11.65
JD무릉2,2016-04-13,12.09
JD무릉2,2016-04-14,12.59
JD무릉2,2016-04-15,12.3
JD무릉2,2016-04-16,12.22
JD무릉2,2016-04-17,12.79
JD무릉2,2016-04-18,12.63
JD무릉2,2016-04-19,12.36
JD무릉2,2016-04-20,12.24
JD무릉2,2016-04-21,12.49
JD무릉2,2016-04-22,12.64
JD무릉2,2016-04-23,12.56
JD무릉2,2016-04-24,12.46
JD무릉2,2016-04-25,12.34
JD무릉2,2016-04-26,12.29
JD무릉2,2016-04-27,12.4
JD무릉2,2016-04-28,12.4
JD무릉2,2016-04-29,12.17
JD무릉2,2016-04-30,12.02
JD무릉2,2016-05-01,11.98
JD무릉2,2016-05-02,11.96
JD무릉2,2016-05-03,12.65
JD무릉2,2016-05-04,13.1
JD무릉2,2016-05-05,12.88
JD무릉2,2016-05-06,12.91
JD무릉2,2016-05-07,12.94
JD무릉2,2016-05-08,12.83
JD무릉2,2016-05-09,12.8
JD무릉2,2016-05-10,13.11
JD무릉2,2016-05-11,13.35
JD무릉2,2016-05-12,13.05
JD무릉2,2016-05-13,12.84
JD무릉2,2016-05-14,12.69
JD무릉2,2016-05-15,12.71
JD무릉2,2016-05-16,12.73
JD무릉2,2016-05-17,12.44
JD무릉2,2016-05-18,12.2
JD무릉2,2016-05-19,11.81
JD무릉2,2016-05-20,11.46
JD무릉2,2016-05-21,11.38
JD무릉2,2016-05-22,11.53
JD무릉2,2016-05-23,11.74
JD무릉2,2016-05-24,11.91
JD무릉2,2016-05-25,11.98
JD무릉2,2016-05-26,11.97
JD무릉2,2016-05-27,11.92
JD무릉2,2016-05-28,12.01
JD무릉2,2016-05-29,12.23
JD무릉2,2016-05-30,12.39
JD무릉2,2016-05-31,12.35
JD무릉2,2016-06-01,12.3
JD무릉2,2016-06-02,12.19
JD무릉2,2016-06-03,12.06
JD무릉2,2016-06-04,12.05
JD무릉2,2016-06-05,12.01
JD무릉2,2016-06-06,11.91
JD무릉2,2016-06-07,11.76
JD무릉2,2016-06-08,11.72
JD무릉2,2016-06-09,11.71
JD무릉2,2016-06-10,11.68
JD무릉2,2016-06-11,11.66
JD무릉2,2016-06-12,11.69
JD무릉2,2016-06-13,11.74
JD무릉2,2016-06-14,11.72
JD무릉2,2016-06-15,11.66
JD무릉2,2016-06-16,11.67
JD무릉2,2016-06-17,11.57
JD무릉2,2016-06-18,11.48
JD무릉2,2016-06-19,11.45
JD무릉2,2016-06-20,11.48
JD무릉2,2016-06-21,11.61
JD무릉2,2016-06-22,12.21
JD무릉2,2016-06-23,12.95
JD무릉2,2016-06-24,12.92
JD무릉2,2016-06-25,12.65
JD무릉2,2016-06-26,12.43
JD무릉2,2016-06-27,12.43
JD무릉2,2016-06-28,12.68
JD무릉2,2016-06-29,13.47
JD무릉2,2016-06-30,13.73
JD무릉2,2016-07-01,13.73
JD무릉2,2016-07-02,13.8
JD무릉2,2016-07-03,13.84
JD무릉2,2016-07-04,13.77
JD무릉2,2016-07-05,13.64
JD무릉2,2016-07-06,13.52
JD무릉2,2016-07-07,13.42
JD무릉2,2016-07-08,13.36
JD무릉2,2016-07-09,13.36
