관측소명,날짜,EL
JD상모2,2016-01-01,8.18
JD상모2,2016-01-02,8.14
JD상모2,2016-01-03,7.98
JD상모2,2016-01-04,8.02
JD상모2,2016-01-05,8.04
JD상모2,2016-01-06,8.01
JD상모2,2016-01-07,8.03
JD상모2,2016-01-08,8.03
JD상모2,2016-01-09,8.01
JD상모2,2016-01-10,8.0
JD상모2,2016-01-11,8.0
JD상모2,2016-01-12,7.91
JD상모2,2016-01-13,7.8
JD상모2,2016-01-14,7.77
JD상모2,2016-01-15,7.74
JD상모2,2016-01-16,7.67
JD상모2,2016-01-17,7.7
JD상모2,2016-01-18,7.67
JD상모2,2016-01-19,7.7
JD상모2,2016-01-20,7.75
JD상모2,2016-01-21,7.79
JD상모2,2016-01-22,7.78
JD상모2,2016-01-23,7.79
JD상모2,2016-01-24,7.8
JD상모2,2016-01-25,7.77
JD상모2,2016-01-26,7.64
JD상모2,2016-01-27,7.64
JD상모2,2016-01-28,7.71
JD상모2,2016-01-29,7.85
JD상모2,2016-01-30,7.88
JD상모2,2016-01-31,7.9
JD상모2,2016-02-01,7.97
JD상모2,2016-02-02,7.97
JD상모2,2016-02-03,7.95
JD상모2,2016-02-04,7.92
JD상모2,2016-02-05,7.82
JD상모2,2016-02-06,7.75
JD상모2,2016-02-07,7.74
JD상모2,2016-02-08,7.73
JD상모2,2016-02-09,7.72
JD상모2,2016-02-10,7.7
JD상모2,2016-02-11,7.71
JD상모2,2016-02-12,7.78
JD상모2,2016-02-13,8.1
JD상모2,2016-02-14,8.35
JD상모2,2016-02-15,8.46
JD상모2,2016-02-16,8.52
JD상모2,2016-02-17,8.48
JD상모2,2016-02-18,8.42
JD상모2,2016-02-19,8.33
JD상모2,2016-02-20,8.34
JD상모2,2016-02-21,8.25
JD상모2,2016-02-22,8.17
JD상모2,2016-02-23,8.12
JD상모2,2016-02-24,8.05
JD상모2,2016-02-25,7.98
JD상모2,2016-02-26,7.96
JD상모2,2016-02-27,7.94
JD상모2,2016-02-28,7.86
JD상모2,2016-02-29,7.76
JD상모2,2016-03-01,7.75
JD상모2,2016-03-02,7.69
JD상모2,2016-03-03,7.66
JD상모2,2016-03-04,7.7
JD상모2,2016-03-05,7.76
JD상모2,2016-03-06,7.93
JD상모2,2016-03-07,8.22
JD상모2,2016-03-08,8.42
JD상모2,2016-03-09,8.54
JD상모2,2016-03-10,8.57
JD상모2,2016-03-11,8.57
JD상모2,2016-03-12,8.58
JD상모2,2016-03-13,8.58
JD상모2,2016-03-14,8.46
JD상모2,2016-03-15,8.32
JD상모2,2016-03-16,8.3
JD상모2,2016-03-17,8.28
JD상모2,2016-03-18,8.28
JD상모2,2016-03-19,8.21
JD상모2,2016-03-20,8.16
JD상모2,2016-03-21,8.09
JD상모2,2016-03-22,8.04
JD상모2,2016-03-23,7.99
JD상모2,2016-03-24,7.94
JD상모2,2016-03-25,7.87
JD상모2,2016-03-26,7.82
JD상모2,2016-03-27,7.77
JD상모2,2016-03-28,7.76
JD상모2,2016-03-29,7.69
JD상모2,2016-03-30,7.75
JD상모2,2016-03-31,7.59
JD상모2,2016-04-01,7.34
JD상모2,2016-04-02,7.46
JD상모2,2016-04-03,7.59
JD상모2,2016-04-04,7.76
JD상모2,2016-04-05,7.86
JD상모2,2016-04-06,7.9
JD상모2,2016-04-07,7.96
JD상모2,2016-04-08,8.04
JD상모2,2016-04-09,8.08
JD상모2,2016-04-10,8.03
JD상모2,2016-04-11,8.0
JD상모2,2016-04-12,8.03
JD상모2,2016-04-13,8.1
JD상모2,2016-04-14,8.14
JD상모2,2016-04-15,8.18
JD상모2,2016-04-16,8.23
JD상모2,2016-04-17,8.24
JD상모2,2016-04-18,8.28
JD상모2,2016-04-19,8.3
JD상모2,2016-04-20,8.31
JD상모2,2016-04-21,8.36
JD상모2,2016-04-22,8.41
JD상모2,2016-04-23,8.43
JD상모2,2016-04-24,8.32
JD상모2,2016-04-25,8.28
JD상모2,2016-04-26,8.26
JD상모2,2016-04-27,8.33
JD상모2,2016-04-28,8.26
JD상모2,2016-04-29,8.21
JD상모2,2016-04-30,8.15
JD상모2,2016-05-01,8.09
JD상모2,2016-05-02,8.12
JD상모2,2016-05-03,8.27
JD상모2,2016-05-04,8.39
JD상모2,2016-05-05,8.47
JD상모2,2016-05-06,8.61
JD상모2,2016-05-07,8.63
JD상모2,2016-05-08,8.64
JD상모2,2016-05-09,8.68
JD상모2,2016-05-10,8.72
JD상모2,2016-05-11,8.76
JD상모2,2016-05-12,8.73
JD상모2,2016-05-13,8.72
JD상모2,2016-05-14,8.72
JD상모2,2016-05-15,8.69
JD상모2,2016-05-16,8.6
JD상모2,2016-05-17,8.4
JD상모2,2016-05-18,8.23
JD상모2,2016-05-19,8.07
JD상모2,2016-05-20,7.98
JD상모2,2016-05-21,7.96
JD상모2,2016-05-22,7.89
JD상모2,2016-05-23,8.02
JD상모2,2016-05-24,8.18
JD상모2,2016-05-25,8.22
JD상모2,2016-05-26,8.22
JD상모2,2016-05-27,8.18
JD상모2,2016-05-28,8.24
JD상모2,2016-05-29,8.29
JD상모2,2016-05-30,8.22
JD상모2,2016-05-31,8.21
JD상모2,2016-06-01,8.26
JD상모2,2016-06-02,8.19
JD상모2,2016-06-03,8.16
JD상모2,2016-06-04,8.22
JD상모2,2016-06-05,8.18
JD상모2,2016-06-06,8.18
JD상모2,2016-06-07,8.21
JD상모2,2016-06-08,8.18
JD상모2,2016-06-09,8.16
JD상모2,2016-06-10,8.08
JD상모2,2016-06-11,8.08
JD상모2,2016-06-12,8.1
