관측소명,날짜,EL
JD수산4,2005-01-01,2.4
JD수산4,2005-01-02,2.39
JD수산4,2005-01-03,2.37
JD수산4,2005-01-04,2.35
JD수산4,2005-01-05,2.34
JD수산4,2005-01-06,2.33
JD수산4,2005-01-07,2.32
JD수산4,2005-01-08,2.31
JD수산4,2005-01-09,2.3
JD수산4,2005-01-10,2.29
JD수산4,2005-01-11,2.27
JD수산4,2005-01-12,2.27
JD수산4,2005-01-13,2.26
JD수산4,2005-01-14,2.26
JD수산4,2005-01-15,2.26
JD수산4,2005-01-16,2.25
JD수산4,2005-01-17,2.25
JD수산4,2005-01-18,2.25
JD수산4,2005-01-19,2.24
JD수산4,2005-01-20,2.23
JD수산4,2005-01-21,2.22
JD수산4,2005-01-22,2.21
JD수산4,2005-01-23,2.2
JD수산4,2005-01-24,2.21
JD수산4,2005-01-25,2.22
JD수산4,2005-01-26,2.23
JD수산4,2005-01-27,2.24
JD수산4,2005-01-28,2.25
JD수산4,2005-01-29,2.25
JD수산4,2005-01-30,2.25
JD수산4,2005-01-31,2.25
JD수산4,2005-02-01,2.23
JD수산4,2005-02-02,2.21
JD수산4,2005-02-03,2.19
JD수산4,2005-02-04,2.18
JD수산4,2005-02-05,2.18
JD수산4,2005-02-06,2.17
JD수산4,2005-02-07,2.18
JD수산4,2005-02-08,2.17
JD수산4,2005-02-09,2.17
JD수산4,2005-02-10,2.16
JD수산4,2005-02-11,2.16
JD수산4,2005-02-12,2.15
JD수산4,2005-02-13,2.14
JD수산4,2005-02-14,2.14
JD수산4,2005-02-15,2.14
JD수산4,2005-02-16,2.15
JD수산4,2005-02-17,2.17
JD수산4,2005-02-18,2.18
JD수산4,2005-02-19,2.19
JD수산4,2005-02-20,2.19
JD수산4,2005-02-21,2.17
JD수산4,2005-02-22,2.16
JD수산4,2005-02-23,2.14
JD수산4,2005-02-24,2.14
JD수산4,2005-02-25,2.15
JD수산4,2005-02-26,2.16
JD수산4,2005-02-27,2.16
JD수산4,2005-02-28,2.14
JD수산4,2005-03-01,2.13
JD수산4,2005-03-02,2.12
JD수산4,2005-03-03,2.11
JD수산4,2005-03-04,2.1
JD수산4,2005-03-05,2.08
JD수산4,2005-03-06,2.07
JD수산4,2005-03-07,2.06
JD수산4,2005-03-08,2.05
JD수산4,2005-03-09,2.05
JD수산4,2005-03-10,2.05
JD수산4,2005-03-11,2.06
JD수산4,2005-03-12,2.07
JD수산4,2005-03-13,2.07
JD수산4,2005-03-14,2.07
JD수산4,2005-03-15,2.06
JD수산4,2005-03-16,2.07
JD수산4,2005-03-17,2.07
JD수산4,2005-03-18,2.06
JD수산4,2005-03-19,2.06
JD수산4,2005-03-20,2.05
JD수산4,2005-03-21,2.05
JD수산4,2005-03-22,2.05
JD수산4,2005-03-23,2.07
JD수산4,2005-03-24,2.09
JD수산4,2005-03-25,2.09
JD수산4,2005-03-26,2.09
JD수산4,2005-03-27,2.11
JD수산4,2005-03-28,2.13
JD수산4,2005-03-29,2.16
JD수산4,2005-03-30,2.19
JD수산4,2005-03-31,2.21
JD수산4,2005-04-01,2.24
JD수산4,2005-04-02,2.26
JD수산4,2005-04-03,2.26
JD수산4,2005-04-04,2.26
JD수산4,2005-04-05,2.25
JD수산4,2005-04-06,2.25
JD수산4,2005-04-07,2.25
JD수산4,2005-04-08,2.26
JD수산4,2005-04-09,2.27
JD수산4,2005-04-10,2.28
JD수산4,2005-04-11,2.29
JD수산4,2005-04-12,2.3
JD수산4,2005-04-13,2.31
JD수산4,2005-04-14,2.3
JD수산4,2005-04-15,2.29
JD수산4,2005-04-16,2.27
JD수산4,2005-04-17,2.26
JD수산4,2005-04-18,2.24
JD수산4,2005-04-19,2.24
JD수산4,2005-04-20,2.23
JD수산4,2005-04-21,2.24
JD수산4,2005-04-22,2.26
JD수산4,2005-04-23,2.28
JD수산4,2005-04-24,2.3
JD수산4,2005-04-25,2.32
JD수산4,2005-04-26,2.33
JD수산4,2005-04-27,2.36
JD수산4,2005-04-28,2.37
JD수산4,2005-04-29,2.39
JD수산4,2005-04-30,2.41
JD수산4,2005-05-01,2.44
JD수산4,2005-05-02,2.47
JD수산4,2005-05-03,2.49
JD수산4,2005-05-04,2.5
JD수산4,2005-05-05,2.51
JD수산4,2005-05-06,2.52
JD수산4,2005-05-07,2.54
JD수산4,2005-05-08,2.57
JD수산4,2005-05-09,2.59
JD수산4,2005-05-10,2.6
JD수산4,2005-05-11,2.61
JD수산4,2005-05-12,2.61
JD수산4,2005-05-13,2.61
JD수산4,2005-05-14,2.61
JD수산4,2005-05-15,2.6
JD수산4,2005-05-16,2.58
JD수산4,2005-05-17,2.57
JD수산4,2005-05-18,2.56
JD수산4,2005-05-19,2.56
JD수산4,2005-05-20,2.56
JD수산4,2005-05-21,2.57
JD수산4,2005-05-22,2.58
JD수산4,2005-05-23,2.59
JD수산4,2005-05-24,2.61
JD수산4,2005-05-25,2.62
JD수산4,2005-05-26,2.62
JD수산4,2005-05-27,2.63
JD수산4,2005-05-28,2.62
JD수산4,2005-05-29,2.62
JD수산4,2005-05-30,2.62
