관측소명,날짜,EL
JD영락2,2019-11-26,1.78
JD영락2,2019-11-27,1.74
JD영락2,2019-11-28,1.64
JD영락2,2019-11-29,1.84
JD영락2,2019-12-02,1.8
JD영락2,2019-12-03,1.74
JD영락2,2019-12-04,1.7
JD영락2,2019-12-05,1.65
JD영락2,2019-12-06,1.62
JD영락2,2019-12-07,1.6
JD영락2,2019-12-10,1.72
JD영락2,2019-12-11,1.6
JD영락2,2019-12-13,1.66
JD영락2,2019-12-14,1.64
JD영락2,2019-12-15,1.64
JD영락2,2019-12-16,1.61
JD영락2,2019-12-17,1.63
JD영락2,2019-12-18,1.6
JD영락2,2019-12-19,1.56
JD영락2,2019-12-20,1.54
JD영락2,2019-12-21,1.53
JD영락2,2019-12-22,1.57
JD영락2,2019-12-23,1.55
JD영락2,2019-12-24,1.54
JD영락2,2019-12-25,1.67
JD영락2,2019-12-26,1.81
JD영락2,2019-12-27,1.81
JD영락2,2019-12-28,1.83
JD영락2,2019-12-29,1.9
JD영락2,2019-12-30,1.98
JD영락2,2019-12-31,1.84
JD영락2,2020-01-01,1.83
JD영락2,2020-01-02,1.83
JD영락2,2020-01-03,1.83
JD영락2,2020-01-04,1.81
JD영락2,2020-01-08,1.89
JD영락2,2020-01-10,1.84
JD영락2,2020-01-11,1.84
JD영락2,2020-01-12,1.84
JD영락2,2020-01-13,1.84
JD영락2,2020-01-14,1.84
JD영락2,2020-01-15,1.77
JD영락2,2020-01-16,1.73
JD영락2,2020-01-17,1.68
JD영락2,2020-01-18,1.66
JD영락2,2020-01-19,1.66
JD영락2,2020-01-20,1.63
JD영락2,2020-01-21,1.62
JD영락2,2020-01-22,1.65
JD영락2,2020-01-23,1.73
JD영락2,2020-01-24,1.69
JD영락2,2020-01-25,1.69
JD영락2,2020-01-26,1.73
JD영락2,2020-01-27,1.95
JD영락2,2020-01-28,1.99
JD영락2,2020-01-29,1.94
JD영락2,2020-01-30,1.94
JD영락2,2020-01-31,1.93
JD영락2,2020-02-01,1.9
JD영락2,2020-02-02,1.85
JD영락2,2020-02-03,1.8
JD영락2,2020-02-04,1.77
JD영락2,2020-02-05,1.73
JD영락2,2020-02-06,1.7
JD영락2,2020-02-07,1.69
JD영락2,2020-02-08,1.67
JD영락2,2020-02-09,1.67
JD영락2,2020-02-10,1.67
JD영락2,2020-02-11,1.68
JD영락2,2020-02-12,1.73
JD영락2,2020-02-13,1.73
JD영락2,2020-02-14,1.75
JD영락2,2020-02-15,1.78
JD영락2,2020-02-16,1.73
JD영락2,2020-02-17,1.68
JD영락2,2020-02-18,1.67
JD영락2,2020-02-19,1.69
JD영락2,2020-02-20,1.65
JD영락2,2020-02-21,1.61
JD영락2,2020-02-22,1.6
JD영락2,2020-02-23,1.6
JD영락2,2020-02-24,1.66
JD영락2,2020-02-25,1.73
JD영락2,2020-02-26,1.74
JD영락2,2020-02-27,1.74
JD영락2,2020-02-28,1.79
JD영락2,2020-02-29,1.85
JD영락2,2020-03-01,1.89
JD영락2,2020-03-02,1.87
JD영락2,2020-03-03,1.86
JD영락2,2020-03-04,1.83
JD영락2,2020-03-05,1.79
JD영락2,2020-03-06,1.8
JD영락2,2020-03-07,1.86
JD영락2,2020-03-08,1.87
JD영락2,2020-03-09,1.9
JD영락2,2020-03-10,2.0
JD영락2,2020-03-11,1.95
JD영락2,2020-03-12,1.97
JD영락2,2020-03-13,1.97
JD영락2,2020-03-14,1.92
JD영락2,2020-03-15,1.92
JD영락2,2020-03-16,1.91
JD영락2,2020-03-17,1.94
JD영락2,2020-03-18,1.95
JD영락2,2020-03-19,1.96
JD영락2,2020-03-20,1.92
JD영락2,2020-03-21,1.94
JD영락2,2020-03-22,2.0
JD영락2,2020-03-23,1.98
JD영락2,2020-03-24,1.96
JD영락2,2020-03-25,1.96
JD영락2,2020-03-26,2.06
JD영락2,2020-03-27,2.13
JD영락2,2020-03-28,2.12
JD영락2,2020-03-29,2.13
JD영락2,2020-03-30,2.12
JD영락2,2020-03-31,2.13
JD영락2,2020-04-01,2.13
JD영락2,2020-04-02,2.04
JD영락2,2020-04-03,2.0
JD영락2,2020-04-04,1.98
JD영락2,2020-04-05,1.95
JD영락2,2020-04-06,1.93
JD영락2,2020-04-07,1.91
JD영락2,2020-04-08,1.87
JD영락2,2020-04-09,1.83
JD영락2,2020-04-10,1.74
JD영락2,2020-04-11,1.76
JD영락2,2020-04-12,1.89
JD영락2,2020-04-13,1.97
JD영락2,2020-04-14,1.91
JD영락2,2020-04-15,1.9
JD영락2,2020-04-16,1.92
JD영락2,2020-04-17,1.95
JD영락2,2020-04-18,1.91
JD영락2,2020-04-19,1.95
JD영락2,2020-04-20,1.94
JD영락2,2020-04-21,1.88
JD영락2,2020-04-22,1.83
JD영락2,2020-04-23,1.79
JD영락2,2020-04-24,1.79
JD영락2,2020-04-25,1.81
JD영락2,2020-04-26,1.81
JD영락2,2020-04-27,1.79
JD영락2,2020-04-28,1.73
JD영락2,2020-04-29,1.71
JD영락2,2020-04-30,1.78
JD영락2,2020-05-01,1.81
JD영락2,2020-05-02,1.84
JD영락2,2020-05-03,1.89
JD영락2,2020-05-04,1.81
JD영락2,2020-05-05,1.77
JD영락2,2020-05-06,1.8
JD영락2,2020-05-07,1.89
JD영락2,2020-05-08,1.93
JD영락2,2020-05-09,2.13
JD영락2,2020-05-10,2.23
JD영락2,2020-05-11,2.24
JD영락2,2020-05-12,2.27
JD영락2,2020-05-13,2.22
JD영락2,2020-05-14,2.23
JD영락2,2020-05-15,2.3
JD영락2,2020-05-16,2.34
JD영락2,2020-05-17,2.36
