관측소명,날짜,EL
JD용담2,2005-01-01,40.63
JD용담2,2005-01-02,40.6
JD용담2,2005-01-03,40.55
JD용담2,2005-01-04,40.47
JD용담2,2005-01-05,40.42
JD용담2,2005-01-06,40.42
JD용담2,2005-01-07,40.37
JD용담2,2005-01-08,40.34
JD용담2,2005-01-09,40.31
JD용담2,2005-01-10,40.28
JD용담2,2005-01-11,40.26
JD용담2,2005-01-12,40.21
JD용담2,2005-01-13,40.19
JD용담2,2005-01-14,40.16
JD용담2,2005-01-15,40.14
JD용담2,2005-01-16,40.11
JD용담2,2005-01-17,40.05
JD용담2,2005-01-18,40.02
JD용담2,2005-01-19,39.97
JD용담2,2005-01-20,39.92
JD용담2,2005-01-21,39.9
JD용담2,2005-01-22,39.92
JD용담2,2005-01-23,39.91
JD용담2,2005-01-24,39.88
JD용담2,2005-01-25,39.88
JD용담2,2005-01-26,39.81
JD용담2,2005-01-27,39.8
JD용담2,2005-01-28,39.78
JD용담2,2005-01-29,39.76
JD용담2,2005-01-30,39.72
JD용담2,2005-01-31,39.72
JD용담2,2005-02-01,39.68
JD용담2,2005-02-02,39.66
JD용담2,2005-02-03,39.62
JD용담2,2005-02-04,39.61
JD용담2,2005-02-05,39.57
JD용담2,2005-02-06,39.55
JD용담2,2005-02-07,39.55
JD용담2,2005-02-08,39.51
JD용담2,2005-02-09,39.5
JD용담2,2005-02-10,39.46
JD용담2,2005-02-11,39.43
JD용담2,2005-02-12,39.42
JD용담2,2005-02-13,39.37
JD용담2,2005-02-14,39.37
JD용담2,2005-02-15,39.39
JD용담2,2005-02-16,39.36
JD용담2,2005-02-17,39.31
JD용담2,2005-02-18,39.32
JD용담2,2005-02-19,39.29
JD용담2,2005-02-20,39.28
JD용담2,2005-02-21,39.26
JD용담2,2005-02-22,39.29
JD용담2,2005-02-23,39.27
JD용담2,2005-02-24,39.29
JD용담2,2005-02-25,39.19
JD용담2,2005-02-26,39.17
JD용담2,2005-02-27,39.19
JD용담2,2005-02-28,39.19
JD용담2,2005-03-01,39.15
JD용담2,2005-03-02,39.03
JD용담2,2005-03-03,38.88
JD용담2,2005-03-04,38.65
JD용담2,2005-03-05,38.62
JD용담2,2005-03-06,38.57
JD용담2,2005-03-07,38.54
JD용담2,2005-03-08,38.43
JD용담2,2005-03-09,38.29
JD용담2,2005-03-10,38.34
JD용담2,2005-03-11,38.33
JD용담2,2005-03-12,38.31
JD용담2,2005-03-13,38.33
JD용담2,2005-03-14,38.3
JD용담2,2005-03-15,38.27
JD용담2,2005-03-16,38.32
JD용담2,2005-03-17,38.38
JD용담2,2005-03-18,38.32
JD용담2,2005-03-19,38.31
JD용담2,2005-03-20,38.39
JD용담2,2005-03-21,38.44
JD용담2,2005-03-22,38.46
JD용담2,2005-03-23,38.37
JD용담2,2005-03-24,38.38
JD용담2,2005-03-25,38.41
JD용담2,2005-03-26,38.44
JD용담2,2005-03-27,38.51
JD용담2,2005-03-28,38.52
JD용담2,2005-03-29,38.47
JD용담2,2005-03-30,38.47
JD용담2,2005-03-31,38.44
JD용담2,2005-04-01,38.47
JD용담2,2005-04-02,38.49
JD용담2,2005-04-03,38.49
JD용담2,2005-04-04,38.45
JD용담2,2005-04-05,38.45
JD용담2,2005-04-06,38.51
JD용담2,2005-04-07,38.46
JD용담2,2005-04-08,38.42
JD용담2,2005-04-09,38.43
JD용담2,2005-04-10,38.42
JD용담2,2005-04-11,38.4
JD용담2,2005-04-12,38.4
JD용담2,2005-04-13,38.39
JD용담2,2005-04-14,38.37
JD용담2,2005-04-15,38.35
JD용담2,2005-04-16,38.35
JD용담2,2005-04-17,38.36
JD용담2,2005-04-18,38.33
JD용담2,2005-04-19,38.35
JD용담2,2005-04-20,38.36
JD용담2,2005-04-21,38.34
JD용담2,2005-04-22,38.3
JD용담2,2005-04-23,38.31
JD용담2,2005-04-24,38.32
JD용담2,2005-04-25,38.31
JD용담2,2005-04-26,38.27
JD용담2,2005-04-27,38.27
JD용담2,2005-04-28,38.23
JD용담2,2005-04-29,38.16
JD용담2,2005-04-30,38.21
JD용담2,2005-05-01,38.27
JD용담2,2005-05-02,38.24
JD용담2,2005-05-03,38.23
JD용담2,2005-05-04,38.24
JD용담2,2005-05-05,38.32
JD용담2,2005-05-06,38.3
JD용담2,2005-05-07,38.26
JD용담2,2005-05-08,38.32
JD용담2,2005-05-09,38.3
JD용담2,2005-05-10,38.24
JD용담2,2005-05-11,38.23
JD용담2,2005-05-12,38.18
JD용담2,2005-05-13,38.17
JD용담2,2005-05-14,38.18
JD용담2,2005-05-15,38.18
JD용담2,2005-05-16,38.14
JD용담2,2005-05-17,38.19
JD용담2,2005-05-18,38.18
JD용담2,2005-05-19,38.13
JD용담2,2005-05-20,38.12
JD용담2,2005-05-21,38.15
JD용담2,2005-05-22,38.18
JD용담2,2005-05-23,38.13
JD용담2,2005-05-24,38.07
JD용담2,2005-05-25,38.07
JD용담2,2005-05-26,38.05
JD용담2,2005-05-27,38.02
JD용담2,2005-05-28,37.99
JD용담2,2005-05-29,37.96
JD용담2,2005-05-30,37.96
JD용담2,2005-05-31,37.96
JD용담2,2005-06-01,38.02
JD용담2,2005-06-02,38.02
JD용담2,2005-06-03,37.97
JD용담2,2005-06-04,37.93
JD용담2,2005-06-05,37.92
JD용담2,2005-06-06,37.92
JD용담2,2005-06-07,38.05
JD용담2,2005-06-08,38.87
JD용담2,2005-06-09,37.98
JD용담2,2005-06-10,37.98
JD용담2,2005-06-11,37.95
JD용담2,2005-06-12,37.92
JD용담2,2005-06-13,37.89
JD용담2,2005-06-14,37.89
JD용담2,2005-06-15,37.88
JD용담2,2005-06-16,37.82
JD용담2,2005-06-17,37.81
JD용담2,2005-06-18,37.84
JD용담2,2005-06-19,37.85
JD용담2,2005-06-20,37.84
JD용담2,2005-06-21,37.78
JD용담2,2005-06-22,37.77
JD용담2,2005-06-23,37.73
JD용담2,2005-06-24,37.73
JD용담2,2005-06-25,37.73
JD용담2,2005-06-26,37.77
JD용담2,2005-06-27,37.74
JD용담2,2005-06-28,37.7
JD용담2,2005-06-29,37.65
JD용담2,2005-06-30,37.63
JD용담2,2005-07-01,37.61
JD용담2,2005-07-02,37.56
JD용담2,2005-07-03,37.52
JD용담2,2005-07-04,37.51
JD용담2,2005-07-05,37.62
JD용담2,2005-07-06,37.66
JD용담2,2005-07-07,37.66
JD용담2,2005-07-08,37.69
JD용담2,2005-07-09,37.71
JD용담2,2005-07-10,37.68
JD용담2,2005-07-11,37.69
JD용담2,2005-07-12,37.65
JD용담2,2005-07-13,37.65
JD용담2,2005-07-14,37.63
JD용담2,2005-07-15,37.63
JD용담2,2005-07-16,37.63
JD용담2,2005-07-17,37.63
JD용담2,2005-07-18,37.63
JD용담2,2005-07-19,37.62
JD용담2,2005-07-20,37.62
JD용담2,2005-07-21,37.59
JD용담2,2005-07-22,37.58
JD용담2,2005-07-23,37.57
JD용담2,2005-07-24,37.56
JD용담2,2005-07-25,37.54
JD용담2,2005-07-26,37.51
JD용담2,2005-07-27,37.5
JD용담2,2005-07-28,37.5
JD용담2,2005-07-29,37.48
JD용담2,2005-07-30,37.52
JD용담2,2005-07-31,37.96
JD용담2,2005-08-01,37.62
JD용담2,2005-08-02,37.6
JD용담2,2005-08-03,37.5
JD용담2,2005-08-04,37.44
JD용담2,2005-08-05,37.41
JD용담2,2005-08-06,37.39
JD용담2,2005-08-07,37.4
JD용담2,2005-08-08,37.4
JD용담2,2005-08-09,37.38
JD용담2,2005-08-10,37.39
JD용담2,2005-08-11,37.39
JD용담2,2005-08-12,37.38
JD용담2,2005-08-13,37.41
JD용담2,2005-08-14,37.43
JD용담2,2005-08-15,37.47
JD용담2,2005-08-16,37.5
JD용담2,2005-08-17,37.48
JD용담2,2005-08-18,37.47
JD용담2,2005-08-19,37.48
JD용담2,2005-08-20,37.51
JD용담2,2005-08-21,37.51
JD용담2,2005-08-22,37.49
JD용담2,2005-08-23,37.52
JD용담2,2005-08-24,37.56
JD용담2,2005-08-25,37.54
JD용담2,2005-08-26,37.51
JD용담2,2005-08-27,37.52
JD용담2,2005-08-28,37.52
JD용담2,2005-08-29,37.52
JD용담2,2005-08-30,37.52
JD용담2,2005-08-31,37.5
JD용담2,2005-09-01,37.46
JD용담2,2005-09-02,37.47
JD용담2,2005-09-03,37.52
JD용담2,2005-09-04,37.56
JD용담2,2005-09-05,37.56
JD용담2,2005-09-06,37.57
JD용담2,2005-09-07,37.5
JD용담2,2005-09-08,37.44
JD용담2,2005-09-09,37.43
JD용담2,2005-09-10,37.47
JD용담2,2005-09-11,37.51
JD용담2,2005-09-12,37.51
JD용담2,2005-09-13,37.5
JD용담2,2005-09-14,37.47
JD용담2,2005-09-15,37.43
JD용담2,2005-09-16,37.51
JD용담2,2005-09-17,37.45
JD용담2,2005-09-18,37.47
JD용담2,2005-09-19,37.46
JD용담2,2005-09-20,37.45
JD용담2,2005-09-21,37.44
JD용담2,2005-09-22,37.41
JD용담2,2005-09-23,37.41
JD용담2,2005-09-24,37.42
JD용담2,2005-09-25,37.42
JD용담2,2005-09-26,37.4
JD용담2,2005-09-27,37.37
JD용담2,2005-09-28,37.33
JD용담2,2005-09-29,37.34
JD용담2,2005-09-30,37.35
JD용담2,2005-10-01,37.39
JD용담2,2005-10-02,37.43
JD용담2,2005-10-03,37.42
JD용담2,2005-10-04,37.42
JD용담2,2005-10-05,37.41
JD용담2,2005-10-06,37.41
JD용담2,2005-10-07,37.41
