관측소명,날짜,EL
JD용수2,2016-01-01,15.49
JD용수2,2016-01-02,15.44
JD용수2,2016-01-03,15.37
JD용수2,2016-01-04,15.28
JD용수2,2016-01-05,15.18
JD용수2,2016-01-06,15.09
JD용수2,2016-01-07,14.99
JD용수2,2016-01-08,14.9
JD용수2,2016-01-09,14.79
JD용수2,2016-01-10,14.69
JD용수2,2016-01-11,14.6
JD용수2,2016-01-12,14.51
JD용수2,2016-01-13,14.43
JD용수2,2016-01-14,14.35
JD용수2,2016-01-15,14.29
JD용수2,2016-01-16,14.23
JD용수2,2016-01-17,14.24
JD용수2,2016-01-18,14.3
JD용수2,2016-01-19,14.24
JD용수2,2016-01-20,14.15
JD용수2,2016-01-21,14.1
JD용수2,2016-01-22,14.01
JD용수2,2016-01-23,13.93
JD용수2,2016-01-24,13.86
JD용수2,2016-01-25,13.77
JD용수2,2016-01-26,13.7
JD용수2,2016-01-27,13.7
JD용수2,2016-01-28,13.88
JD용수2,2016-01-29,14.84
JD용수2,2016-01-30,15.43
JD용수2,2016-01-31,15.6
JD용수2,2016-02-01,15.64
JD용수2,2016-02-02,15.62
JD용수2,2016-02-03,15.55
JD용수2,2016-02-04,15.46
JD용수2,2016-02-05,15.37
JD용수2,2016-02-06,15.28
JD용수2,2016-02-07,15.19
JD용수2,2016-02-08,15.12
JD용수2,2016-02-09,15.03
JD용수2,2016-02-10,14.93
JD용수2,2016-02-11,14.84
JD용수2,2016-02-12,15.01
JD용수2,2016-02-13,16.13
JD용수2,2016-02-14,16.71
JD용수2,2016-02-15,16.85
JD용수2,2016-02-16,16.9
JD용수2,2016-02-17,16.87
JD용수2,2016-02-18,16.84
JD용수2,2016-02-19,16.78
JD용수2,2016-02-20,16.72
JD용수2,2016-02-21,16.58
JD용수2,2016-02-22,16.5
JD용수2,2016-02-23,16.41
JD용수2,2016-02-24,16.29
JD용수2,2016-02-25,16.16
JD용수2,2016-02-26,16.06
JD용수2,2016-02-27,15.97
JD용수2,2016-02-28,15.87
JD용수2,2016-02-29,15.73
JD용수2,2016-03-01,15.59
JD용수2,2016-03-02,15.48
JD용수2,2016-03-03,15.38
JD용수2,2016-03-04,15.29
JD용수2,2016-03-05,15.22
JD용수2,2016-03-06,15.83
JD용수2,2016-03-07,16.26
JD용수2,2016-03-08,16.35
JD용수2,2016-03-09,16.61
JD용수2,2016-03-10,16.83
JD용수2,2016-03-11,16.88
JD용수2,2016-03-12,16.87
JD용수2,2016-03-13,16.85
JD용수2,2016-03-14,16.81
JD용수2,2016-03-15,16.73
JD용수2,2016-03-16,16.67
JD용수2,2016-03-17,16.61
JD용수2,2016-03-18,16.62
JD용수2,2016-03-19,16.56
JD용수2,2016-03-20,16.46
JD용수2,2016-03-21,16.39
JD용수2,2016-03-22,16.32
JD용수2,2016-03-23,16.24
JD용수2,2016-03-24,16.12
JD용수2,2016-03-25,16.0
JD용수2,2016-03-26,15.89
JD용수2,2016-03-27,15.79
JD용수2,2016-03-28,15.67
JD용수2,2016-03-29,15.56
JD용수2,2016-03-30,15.48
JD용수2,2016-03-31,15.41
JD용수2,2016-04-01,15.32
JD용수2,2016-04-02,15.24
JD용수2,2016-04-03,15.22
JD용수2,2016-04-04,15.45
JD용수2,2016-04-05,15.52
JD용수2,2016-04-06,15.53
JD용수2,2016-04-07,15.77
JD용수2,2016-04-08,16.07
JD용수2,2016-04-09,16.15
JD용수2,2016-04-10,16.16
JD용수2,2016-04-14,16.86
JD용수2,2016-04-15,16.88
JD용수2,2016-04-16,16.97
JD용수2,2016-04-17,17.22
JD용수2,2016-04-18,17.29
JD용수2,2016-04-19,17.24
JD용수2,2016-04-20,17.24
JD용수2,2016-04-21,17.3
JD용수2,2016-04-22,17.32
JD용수2,2016-04-23,17.29
JD용수2,2016-04-24,17.24
JD용수2,2016-04-25,17.17
JD용수2,2016-04-26,17.12
JD용수2,2016-04-27,17.12
JD용수2,2016-04-28,17.05
JD용수2,2016-04-29,16.95
JD용수2,2016-04-30,16.87
JD용수2,2016-05-01,16.77
JD용수2,2016-05-02,16.7
JD용수2,2016-05-03,17.24
JD용수2,2016-05-04,17.73
JD용수2,2016-05-05,17.77
JD용수2,2016-05-06,17.79
JD용수2,2016-05-07,17.71
JD용수2,2016-05-08,17.65
JD용수2,2016-05-09,17.62
JD용수2,2016-05-10,17.7
JD용수2,2016-05-11,17.83
JD용수2,2016-05-12,17.82
JD용수2,2016-05-13,17.74
JD용수2,2016-05-14,17.65
JD용수2,2016-05-15,17.63
JD용수2,2016-05-16,17.56
JD용수2,2016-05-17,17.47
JD용수2,2016-05-18,17.39
JD용수2,2016-05-19,17.28
JD용수2,2016-05-20,17.19
JD용수2,2016-05-21,17.1
JD용수2,2016-05-22,17.03
JD용수2,2016-05-23,16.97
JD용수2,2016-05-24,16.93
JD용수2,2016-05-25,16.87
JD용수2,2016-05-26,16.8
JD용수2,2016-05-27,16.74
JD용수2,2016-05-28,16.72
JD용수2,2016-05-29,16.78
JD용수2,2016-05-30,16.8
JD용수2,2016-05-31,16.8
JD용수2,2016-06-03,16.67
JD용수2,2016-06-04,16.66
JD용수2,2016-06-05,16.59
JD용수2,2016-06-06,16.52
JD용수2,2016-06-07,16.44
JD용수2,2016-06-08,16.37
JD용수2,2016-06-09,16.3
JD용수2,2016-06-10,16.22
JD용수2,2016-06-11,16.15
JD용수2,2016-06-12,16.11
JD용수2,2016-06-13,16.08
JD용수2,2016-06-14,16.03
JD용수2,2016-06-15,15.99
JD용수2,2016-06-16,15.94
JD용수2,2016-06-17,15.83
JD용수2,2016-06-18,15.75
JD용수2,2016-06-19,15.69
JD용수2,2016-06-20,15.65
JD용수2,2016-06-21,15.62
JD용수2,2016-06-22,16.01
JD용수2,2016-06-23,16.86
JD용수2,2016-06-24,17.09
JD용수2,2016-06-25,17.1
JD용수2,2016-06-26,17.09
JD용수2,2016-06-27,17.08
JD용수2,2016-06-28,17.14
JD용수2,2016-06-29,17.82
JD용수2,2016-06-30,18.34
