관측소명,날짜,EL
JD월평,2016-01-01,12.83
JD월평,2016-01-02,12.63
JD월평,2016-01-03,12.71
JD월평,2016-01-04,12.82
JD월평,2016-01-05,12.88
JD월평,2016-01-06,12.91
JD월평,2016-01-07,12.79
JD월평,2016-01-08,12.43
JD월평,2016-01-09,12.42
JD월평,2016-01-10,12.42
JD월평,2016-01-11,12.86
JD월평,2016-01-12,12.76
JD월평,2016-01-13,12.78
JD월평,2016-01-14,12.41
JD월평,2016-01-15,12.38
JD월평,2016-01-16,12.05
JD월평,2016-01-17,12.14
JD월평,2016-01-18,12.23
JD월평,2016-01-19,12.49
JD월평,2016-01-20,12.48
JD월평,2016-01-21,12.12
JD월평,2016-01-22,11.83
JD월평,2016-01-23,11.97
JD월평,2016-01-24,11.95
JD월평,2016-01-25,12.0
JD월평,2016-01-26,11.82
JD월평,2016-01-27,11.39
JD월평,2016-01-28,11.67
JD월평,2016-01-29,12.17
JD월평,2016-01-30,12.39
JD월평,2016-01-31,12.34
JD월평,2016-02-01,12.53
JD월평,2016-02-02,12.67
JD월평,2016-02-03,12.55
JD월평,2016-02-04,12.31
JD월평,2016-02-05,11.95
JD월평,2016-02-06,12.27
JD월평,2016-02-07,12.49
JD월평,2016-02-08,12.51
JD월평,2016-02-09,12.16
JD월평,2016-02-10,11.72
JD월평,2016-02-11,11.25
JD월평,2016-02-12,11.62
JD월평,2016-02-13,13.19
JD월평,2016-02-14,14.26
JD월평,2016-02-15,14.56
JD월평,2016-02-16,14.68
JD월평,2016-02-17,14.09
JD월평,2016-02-18,13.9
JD월평,2016-02-19,13.65
JD월평,2016-02-20,13.77
JD월평,2016-02-21,13.42
JD월평,2016-02-22,13.1
JD월평,2016-02-23,13.21
JD월평,2016-02-24,13.15
JD월평,2016-02-25,12.9
JD월평,2016-02-26,12.36
JD월평,2016-02-27,12.22
JD월평,2016-02-28,12.17
JD월평,2016-02-29,12.32
JD월평,2016-03-01,12.63
JD월평,2016-03-02,12.25
JD월평,2016-03-03,11.89
JD월평,2016-03-04,12.3
JD월평,2016-03-05,12.98
JD월평,2016-03-06,13.84
JD월평,2016-03-07,14.15
JD월평,2016-03-08,14.4
JD월평,2016-03-09,14.55
JD월평,2016-03-10,14.54
JD월평,2016-03-11,14.53
JD월평,2016-03-12,14.37
JD월평,2016-03-13,14.33
JD월평,2016-03-14,14.24
JD월평,2016-03-15,13.87
JD월평,2016-03-16,13.9
JD월평,2016-03-17,13.93
JD월평,2016-03-18,14.47
JD월평,2016-03-19,14.12
JD월평,2016-03-20,13.66
JD월평,2016-03-21,13.44
JD월평,2016-03-22,13.34
JD월평,2016-03-23,13.26
JD월평,2016-03-24,13.09
JD월평,2016-03-25,12.81
JD월평,2016-03-26,12.67
JD월평,2016-03-27,12.72
JD월평,2016-03-28,12.58
JD월평,2016-03-29,12.59
JD월평,2016-03-30,12.55
JD월평,2016-03-31,12.78
JD월평,2016-04-01,12.56
JD월평,2016-04-02,12.5
JD월평,2016-04-03,13.09
JD월평,2016-04-04,13.49
JD월평,2016-04-05,13.28
JD월평,2016-04-06,13.4
JD월평,2016-04-07,14.16
JD월평,2016-04-08,13.98
JD월평,2016-04-09,13.44
JD월평,2016-04-10,13.35
JD월평,2016-04-11,13.22
JD월평,2016-04-12,13.44
JD월평,2016-04-13,13.77
JD월평,2016-04-14,13.37
JD월평,2016-04-15,13.45
JD월평,2016-04-16,14.12
JD월평,2016-04-17,13.83
JD월평,2016-04-18,13.72
JD월평,2016-04-19,13.95
JD월평,2016-04-20,14.03
JD월평,2016-04-21,14.77
JD월평,2016-04-22,14.32
JD월평,2016-04-23,14.73
JD월평,2016-04-24,14.6
JD월평,2016-04-25,14.27
JD월평,2016-04-26,14.12
JD월평,2016-04-27,14.51
JD월평,2016-04-28,14.45
JD월평,2016-04-29,14.18
JD월평,2016-04-30,13.72
JD월평,2016-05-01,13.53
JD월평,2016-05-02,14.28
JD월평,2016-05-03,14.81
JD월평,2016-05-04,14.67
JD월평,2016-05-05,14.62
JD월평,2016-05-06,15.0
JD월평,2016-05-07,14.99
JD월평,2016-05-08,15.06
JD월평,2016-05-09,15.45
JD월평,2016-05-10,15.88
