관측소명,날짜,EL
JD일과,2007-11-09,5.0
JD일과,2007-11-10,4.94
JD일과,2007-11-11,4.87
JD일과,2007-11-12,4.84
JD일과,2007-11-13,4.82
JD일과,2007-11-14,4.78
JD일과,2007-11-15,4.75
JD일과,2007-11-16,4.76
JD일과,2007-11-17,4.77
JD일과,2007-11-18,4.75
JD일과,2007-11-19,4.77
JD일과,2007-11-20,4.71
JD일과,2007-11-21,4.64
JD일과,2007-11-22,4.58
JD일과,2007-11-23,4.52
JD일과,2007-11-24,4.5
JD일과,2007-11-25,4.5
JD일과,2007-11-26,4.49
JD일과,2007-11-27,4.51
JD일과,2007-11-28,4.55
JD일과,2007-11-29,4.55
JD일과,2007-11-30,4.5
JD일과,2007-12-01,4.49
JD일과,2007-12-02,4.52
JD일과,2007-12-03,4.48
JD일과,2007-12-04,4.41
JD일과,2007-12-05,4.37
JD일과,2007-12-06,4.38
JD일과,2007-12-07,4.39
JD일과,2007-12-08,4.35
JD일과,2007-12-09,4.36
JD일과,2007-12-10,4.41
JD일과,2007-12-11,4.46
JD일과,2007-12-12,4.53
JD일과,2007-12-13,4.55
JD일과,2007-12-14,4.57
JD일과,2007-12-15,4.58
JD일과,2007-12-16,4.56
JD일과,2007-12-17,4.55
JD일과,2007-12-18,4.54
JD일과,2007-12-19,4.55
JD일과,2007-12-20,4.55
JD일과,2007-12-21,4.58
JD일과,2007-12-22,4.64
JD일과,2007-12-23,4.6
JD일과,2007-12-24,4.58
JD일과,2007-12-25,4.62
JD일과,2007-12-26,4.61
JD일과,2007-12-27,4.66
JD일과,2007-12-28,5.24
JD일과,2007-12-29,5.07
JD일과,2007-12-30,4.8
JD일과,2007-12-31,4.77
JD일과,2008-01-01,4.72
JD일과,2008-01-02,4.69
JD일과,2008-01-03,4.68
JD일과,2008-01-04,4.67
JD일과,2008-01-05,4.65
JD일과,2008-01-06,4.64
JD일과,2008-01-07,4.64
JD일과,2008-01-08,4.62
JD일과,2008-01-09,4.61
JD일과,2008-01-10,4.59
JD일과,2008-01-11,4.6
JD일과,2008-01-12,4.59
JD일과,2008-01-13,4.52
JD일과,2008-01-14,4.51
JD일과,2008-01-15,4.51
JD일과,2008-01-16,4.47
JD일과,2008-01-17,4.48
JD일과,2008-01-18,4.47
JD일과,2008-01-19,4.48
JD일과,2008-01-20,4.52
JD일과,2008-01-21,4.54
JD일과,2008-01-22,4.53
JD일과,2008-01-23,4.48
JD일과,2008-01-24,4.44
JD일과,2008-01-25,4.45
JD일과,2008-01-26,4.45
JD일과,2008-01-27,4.44
JD일과,2008-01-28,4.44
JD일과,2008-01-29,4.46
JD일과,2008-01-30,4.43
JD일과,2008-01-31,4.42
JD일과,2008-02-01,4.41
JD일과,2008-02-02,4.42
JD일과,2008-02-03,4.42
JD일과,2008-02-04,4.39
JD일과,2008-02-05,4.38
JD일과,2008-02-06,4.37
JD일과,2008-02-07,4.35
JD일과,2008-02-08,4.34
JD일과,2008-02-09,4.32
JD일과,2008-02-10,4.3
JD일과,2008-02-11,4.3
JD일과,2008-02-12,4.25
JD일과,2008-02-13,4.24
JD일과,2008-02-14,4.24
JD일과,2008-02-15,4.22
JD일과,2008-02-16,4.22
JD일과,2008-02-17,4.19
JD일과,2008-02-18,4.17
JD일과,2008-02-19,4.13
JD일과,2008-02-20,4.12
JD일과,2008-02-21,4.12
JD일과,2008-02-22,4.1
JD일과,2008-02-23,4.05
JD일과,2008-02-24,4.04
JD일과,2008-02-25,4.06
JD일과,2008-02-26,4.07
JD일과,2008-02-27,4.06
JD일과,2008-02-28,4.09
JD일과,2008-02-29,4.13
JD일과,2008-03-01,4.11
JD일과,2008-03-02,4.14
JD일과,2008-03-03,4.1
JD일과,2008-03-04,4.08
JD일과,2008-03-05,4.08
JD일과,2008-03-06,4.05
JD일과,2008-03-07,4.02
JD일과,2008-03-08,4.01
JD일과,2008-03-09,4.01
JD일과,2008-03-10,4.01
JD일과,2008-03-11,4.03
JD일과,2008-03-12,4.06
JD일과,2008-03-13,4.07
JD일과,2008-03-14,4.05
JD일과,2008-03-15,4.08
JD일과,2008-03-16,4.06
JD일과,2008-03-17,4.06
JD일과,2008-03-18,4.07
JD일과,2008-03-19,4.12
JD일과,2008-03-20,4.11
JD일과,2008-03-21,4.09
JD일과,2008-03-22,4.1
JD일과,2008-03-23,4.27
JD일과,2008-03-24,4.26
JD일과,2008-03-25,4.27
JD일과,2008-03-26,4.27
JD일과,2008-03-27,4.29
JD일과,2008-03-28,4.26
JD일과,2008-03-29,4.26
JD일과,2008-03-30,4.28
JD일과,2008-03-31,4.23
JD일과,2008-04-01,4.19
JD일과,2008-04-02,4.18
JD일과,2008-04-03,4.15
JD일과,2008-04-04,4.13
JD일과,2008-04-05,4.13
JD일과,2008-04-06,4.14
JD일과,2008-04-07,4.13
JD일과,2008-04-08,4.14
JD일과,2008-04-09,4.24
JD일과,2008-04-10,4.23
JD일과,2008-04-11,4.23
JD일과,2008-04-12,4.21
JD일과,2008-04-13,4.19
JD일과,2008-04-14,4.16
JD일과,2008-04-15,4.14
JD일과,2008-04-16,4.13
JD일과,2008-04-17,4.12
JD일과,2008-04-18,4.09
JD일과,2008-04-19,4.05
JD일과,2008-04-20,4.07
JD일과,2008-04-21,4.07
JD일과,2008-04-22,4.04
JD일과,2008-04-23,4.03
JD일과,2008-04-24,4.01
JD일과,2008-04-25,4.03
JD일과,2008-04-26,4.02
JD일과,2008-04-27,4.0
JD일과,2008-04-28,4.01
JD일과,2008-04-29,3.98
JD일과,2008-04-30,3.97
JD일과,2008-05-01,3.97
JD일과,2008-05-02,3.96
JD일과,2008-05-03,3.94
JD일과,2008-05-04,3.97
JD일과,2008-05-05,3.95
JD일과,2008-05-06,3.94
JD일과,2008-05-07,3.94
JD일과,2008-05-08,3.96
JD일과,2008-05-09,3.99
JD일과,2008-05-10,4.03
JD일과,2008-05-11,3.98
JD일과,2008-05-12,3.84
JD일과,2008-05-13,3.66
JD일과,2008-05-14,3.54
JD일과,2008-05-15,3.44
JD일과,2008-05-16,3.39
JD일과,2008-05-17,3.34
JD일과,2008-05-18,3.35
JD일과,2008-05-19,3.41
JD일과,2008-05-20,3.49
JD일과,2008-05-21,3.53
JD일과,2008-05-22,3.51
JD일과,2008-05-23,3.48
JD일과,2008-05-24,3.56
JD일과,2008-05-25,3.6
JD일과,2008-05-26,3.61
JD일과,2008-05-27,3.63
JD일과,2008-05-28,3.85
JD일과,2008-05-29,4.47
JD일과,2008-05-30,4.53
JD일과,2008-05-31,4.17
JD일과,2008-06-01,4.11
JD일과,2008-06-02,4.08
JD일과,2008-06-03,4.06
JD일과,2008-06-04,4.04
JD일과,2008-06-05,4.0
JD일과,2008-06-06,3.96
JD일과,2008-06-07,3.94
JD일과,2008-06-08,3.93
JD일과,2008-06-09,3.89
JD일과,2008-06-10,3.87
JD일과,2008-06-11,3.88
JD일과,2008-06-12,3.88
JD일과,2008-06-13,3.82
JD일과,2008-06-14,3.75
JD일과,2008-06-15,3.83
JD일과,2008-06-16,3.86
JD일과,2008-06-17,3.88
JD일과,2008-06-18,4.42
JD일과,2008-06-19,4.79
JD일과,2008-06-20,4.97
JD일과,2008-06-21,5.32
JD일과,2008-06-22,5.74
JD일과,2008-06-23,5.82
JD일과,2008-06-24,5.76
JD일과,2008-06-25,5.68
JD일과,2008-06-26,5.57
JD일과,2008-06-27,5.44
JD일과,2008-06-28,5.42
JD일과,2008-06-29,5.62
JD일과,2008-06-30,5.54
JD일과,2008-07-01,5.45
JD일과,2008-07-02,5.45
JD일과,2008-07-03,5.53
JD일과,2008-07-04,5.53
JD일과,2008-07-05,5.46
JD일과,2008-07-06,5.22
JD일과,2008-07-07,5.1
JD일과,2008-07-08,5.04
JD일과,2008-07-09,4.99
JD일과,2008-07-10,4.95
JD일과,2008-07-11,4.9
JD일과,2008-07-12,4.88
JD일과,2008-07-13,4.84
JD일과,2008-07-14,4.78
JD일과,2008-07-15,4.74
JD일과,2008-07-16,4.7
JD일과,2008-07-17,4.65
JD일과,2008-07-18,4.6
JD일과,2008-07-19,4.6
JD일과,2008-07-20,4.6
JD일과,2008-07-21,4.55
JD일과,2008-07-22,4.52
JD일과,2008-07-23,4.49
JD일과,2008-07-24,4.46
JD일과,2008-07-25,4.43
JD일과,2008-07-26,4.38
JD일과,2008-07-27,4.33
JD일과,2008-07-28,4.3
JD일과,2008-07-29,4.29
JD일과,2008-07-30,4.29
JD일과,2008-07-31,4.26
JD일과,2008-08-01,4.22
JD일과,2008-08-02,4.17
JD일과,2008-08-03,4.13
JD일과,2008-08-04,4.1
JD일과,2008-08-05,4.08
JD일과,2008-08-06,4.04
JD일과,2008-08-07,4.03
JD일과,2008-08-08,4.03
JD일과,2008-08-09,4.02
JD일과,2008-08-10,4.09
JD일과,2008-08-11,4.16
JD일과,2008-08-12,4.41
JD일과,2008-08-13,4.37
JD일과,2008-08-14,4.39
JD일과,2008-08-15,4.39
JD일과,2008-08-16,4.4
JD일과,2008-08-17,4.39
JD일과,2008-08-18,4.35
JD일과,2008-08-19,4.3
JD일과,2008-08-20,4.29
JD일과,2008-08-21,4.28
JD일과,2008-08-22,4.54
JD일과,2008-08-23,4.4
JD일과,2008-08-24,4.4
JD일과,2008-08-25,4.37
JD일과,2008-08-26,4.35
JD일과,2008-08-27,4.31
JD일과,2008-08-28,4.22
JD일과,2008-08-29,4.17
JD일과,2008-08-30,4.15
JD일과,2008-08-31,4.14
JD일과,2008-09-01,4.11
JD일과,2008-09-02,4.08
JD일과,2008-09-03,4.06
JD일과,2008-09-04,4.02
JD일과,2008-09-05,3.94
JD일과,2008-09-06,3.87
JD일과,2008-09-07,3.8
JD일과,2008-09-08,3.7
JD일과,2008-09-09,3.58
JD일과,2008-09-10,3.45
JD일과,2008-09-11,3.39
JD일과,2008-09-12,3.42
JD일과,2008-09-13,3.51
JD일과,2008-09-14,3.62
JD일과,2008-09-15,3.72
JD일과,2008-09-16,3.81
JD일과,2008-09-17,3.86
JD일과,2008-09-18,3.93
JD일과,2008-09-19,3.95
JD일과,2008-09-20,3.93
JD일과,2008-09-21,4.07
JD일과,2008-09-22,4.09
JD일과,2008-09-23,4.1
JD일과,2008-09-24,4.06
JD일과,2008-09-25,3.99
JD일과,2008-09-26,3.93
JD일과,2008-09-27,3.92
JD일과,2008-09-28,3.85
JD일과,2008-09-29,3.81
JD일과,2008-09-30,3.83
JD일과,2008-10-01,3.83
JD일과,2008-10-02,3.81
JD일과,2008-10-03,3.77
JD일과,2008-10-04,3.7
JD일과,2008-10-05,3.68
JD일과,2008-10-06,3.69
JD일과,2008-10-07,3.69
JD일과,2008-10-08,3.65
JD일과,2008-10-09,3.58
JD일과,2008-10-10,3.52
JD일과,2008-10-11,3.45
JD일과,2008-10-12,3.41
JD일과,2008-10-13,3.37
JD일과,2008-10-14,3.29
JD일과,2008-10-15,3.26
JD일과,2008-10-16,3.23
JD일과,2008-10-17,3.25
JD일과,2008-10-18,3.25
JD일과,2008-10-19,3.25
JD일과,2008-10-20,3.36
JD일과,2008-10-21,3.48
JD일과,2008-10-22,3.63
JD일과,2008-10-23,3.72
JD일과,2008-10-24,3.73
JD일과,2008-10-25,3.74
JD일과,2008-10-26,3.74
JD일과,2008-10-27,3.73
JD일과,2008-10-28,3.72
JD일과,2008-10-29,3.73
JD일과,2008-10-30,3.72
JD일과,2008-10-31,3.72
JD일과,2008-11-01,3.7
JD일과,2008-11-02,3.7
JD일과,2008-11-03,3.69
JD일과,2008-11-04,3.66
JD일과,2008-11-05,3.66
JD일과,2008-11-06,3.69
JD일과,2008-11-07,3.69
JD일과,2008-11-08,3.76
JD일과,2008-11-09,3.77
JD일과,2008-11-10,3.76
JD일과,2008-11-11,3.8
JD일과,2008-11-12,3.76
JD일과,2008-11-13,3.74
JD일과,2008-11-14,3.73
JD일과,2008-11-15,3.75
JD일과,2008-11-16,3.74
JD일과,2008-11-17,3.73
JD일과,2008-11-18,3.7
JD일과,2008-11-19,3.66
JD일과,2008-11-20,3.64
JD일과,2008-11-21,3.61
JD일과,2008-11-22,3.6
JD일과,2008-11-23,3.62
JD일과,2008-11-24,3.64
JD일과,2008-11-25,3.62
JD일과,2008-11-26,3.61
JD일과,2008-11-27,3.61
JD일과,2008-11-28,3.58
JD일과,2008-11-29,3.58
JD일과,2008-11-30,3.57
JD일과,2008-12-01,3.59
JD일과,2008-12-02,3.58
JD일과,2008-12-03,3.57
JD일과,2008-12-04,3.59
JD일과,2008-12-05,3.55
JD일과,2008-12-06,3.53
JD일과,2008-12-07,3.56
JD일과,2008-12-08,3.57
JD일과,2008-12-09,3.57
JD일과,2008-12-10,3.56
JD일과,2008-12-11,3.55
JD일과,2008-12-12,3.55
JD일과,2008-12-13,3.55
JD일과,2008-12-14,3.5
JD일과,2008-12-15,3.48
JD일과,2008-12-16,3.47
JD일과,2008-12-17,3.48
JD일과,2008-12-18,3.44
JD일과,2008-12-19,3.44
