관측소명,날짜,EL
JD하천3,2016-01-01,2.69
JD하천3,2016-01-02,2.68
JD하천3,2016-01-03,2.68
JD하천3,2016-01-04,2.67
JD하천3,2016-01-05,2.67
JD하천3,2016-01-06,2.66
JD하천3,2016-01-07,2.65
JD하천3,2016-01-08,2.63
JD하천3,2016-01-09,2.62
JD하천3,2016-01-10,2.62
JD하천3,2016-01-11,2.62
JD하천3,2016-01-12,2.62
JD하천3,2016-01-13,2.62
JD하천3,2016-01-14,2.62
JD하천3,2016-01-15,2.61
JD하천3,2016-01-16,2.61
JD하천3,2016-01-17,2.63
JD하천3,2016-01-18,2.64
JD하천3,2016-01-19,2.61
JD하천3,2016-01-20,2.57
JD하천3,2016-01-21,2.57
JD하천3,2016-01-22,2.55
JD하천3,2016-01-23,2.52
JD하천3,2016-01-24,2.48
JD하천3,2016-01-25,2.43
JD하천3,2016-01-26,2.4
JD하천3,2016-01-27,2.38
JD하천3,2016-01-28,2.38
JD하천3,2016-01-29,2.41
JD하천3,2016-01-30,2.47
JD하천3,2016-01-31,2.51
JD하천3,2016-02-01,2.52
JD하천3,2016-02-02,2.52
JD하천3,2016-02-03,2.52
JD하천3,2016-02-04,2.52
JD하천3,2016-02-05,2.53
JD하천3,2016-02-06,2.54
JD하천3,2016-02-07,2.56
JD하천3,2016-02-08,2.57
JD하천3,2016-02-09,2.59
JD하천3,2016-02-10,2.6
JD하천3,2016-02-11,2.6
JD하천3,2016-02-12,2.62
JD하천3,2016-02-13,2.65
JD하천3,2016-02-14,2.68
JD하천3,2016-02-15,2.7
JD하천3,2016-02-16,2.73
JD하천3,2016-02-17,2.74
JD하천3,2016-02-18,2.75
JD하천3,2016-02-19,2.75
JD하천3,2016-02-20,2.75
JD하천3,2016-02-21,2.74
JD하천3,2016-02-22,2.72
JD하천3,2016-02-23,2.72
JD하천3,2016-02-24,2.69
JD하천3,2016-02-25,2.66
JD하천3,2016-02-26,2.64
JD하천3,2016-02-27,2.63
JD하천3,2016-02-28,2.63
JD하천3,2016-02-29,2.62
JD하천3,2016-03-01,2.6
JD하천3,2016-03-02,2.58
JD하천3,2016-03-03,2.58
JD하천3,2016-03-04,2.58
JD하천3,2016-03-05,2.59
JD하천3,2016-03-06,2.62
JD하천3,2016-03-07,2.68
JD하천3,2016-03-08,2.75
JD하천3,2016-03-09,2.81
JD하천3,2016-03-10,2.85
JD하천3,2016-03-11,2.87
JD하천3,2016-03-12,2.88
JD하천3,2016-03-13,2.9
JD하천3,2016-03-14,2.91
JD하천3,2016-03-15,2.91
JD하천3,2016-03-16,2.9
JD하천3,2016-03-17,2.9
JD하천3,2016-03-18,2.92
JD하천3,2016-03-19,2.94
JD하천3,2016-03-20,2.95
JD하천3,2016-03-21,2.94
JD하천3,2016-03-22,2.93
JD하천3,2016-03-23,2.93
JD하천3,2016-03-24,2.91
JD하천3,2016-03-25,2.9
JD하천3,2016-03-26,2.88
JD하천3,2016-03-27,2.86
JD하천3,2016-03-28,2.83
JD하천3,2016-03-29,2.81
JD하천3,2016-03-30,2.8
JD하천3,2016-03-31,2.79
JD하천3,2016-04-01,2.79
JD하천3,2016-04-02,2.78
JD하천3,2016-04-03,2.78
JD하천3,2016-04-04,2.77
JD하천3,2016-04-05,2.77
JD하천3,2016-04-06,2.76
JD하천3,2016-04-07,2.79
JD하천3,2016-04-08,2.86
JD하천3,2016-04-09,2.91
JD하천3,2016-04-10,2.95
JD하천3,2016-04-11,2.98
JD하천3,2016-04-12,3.0
JD하천3,2016-04-13,3.02
JD하천3,2016-04-14,3.04
JD하천3,2016-04-15,3.05
JD하천3,2016-04-16,3.09
JD하천3,2016-04-17,3.11
JD하천3,2016-04-18,3.11
JD하천3,2016-04-19,3.12
JD하천3,2016-04-20,3.13
JD하천3,2016-04-21,3.16
JD하천3,2016-04-22,3.18
JD하천3,2016-04-23,3.2
JD하천3,2016-04-24,3.21
JD하천3,2016-04-25,3.22
JD하천3,2016-04-26,3.22
JD하천3,2016-04-27,3.24
JD하천3,2016-04-28,3.28
JD하천3,2016-04-29,3.31
JD하천3,2016-04-30,3.32
JD하천3,2016-05-01,3.31
JD하천3,2016-05-02,3.31
JD하천3,2016-05-03,3.33
JD하천3,2016-05-04,3.38
JD하천3,2016-05-05,3.42
JD하천3,2016-05-06,3.5
JD하천3,2016-05-07,3.56
JD하천3,2016-05-08,3.6
JD하천3,2016-05-09,3.63
JD하천3,2016-05-10,3.67
JD하천3,2016-05-11,3.69
JD하천3,2016-05-12,3.7
JD하천3,2016-05-13,3.67
JD하천3,2016-05-14,3.64
JD하천3,2016-05-15,3.62
JD하천3,2016-05-16,3.59
JD하천3,2016-05-17,3.55
JD하천3,2016-05-18,3.52
JD하천3,2016-05-19,3.48
JD하천3,2016-05-20,3.45
JD하천3,2016-05-21,3.42
JD하천3,2016-05-22,3.39
JD하천3,2016-05-23,3.37
JD하천3,2016-05-24,3.37
JD하천3,2016-05-25,3.36
JD하천3,2016-05-26,3.35
JD하천3,2016-05-27,3.34
JD하천3,2016-05-28,3.32
JD하천3,2016-05-29,3.32
JD하천3,2016-05-30,3.31
JD하천3,2016-05-31,3.29
JD하천3,2016-06-01,3.28
JD하천3,2016-06-02,3.26
JD하천3,2016-06-03,3.25
JD하천3,2016-06-04,3.24
JD하천3,2016-06-05,3.23
JD하천3,2016-06-06,3.22
JD하천3,2016-06-07,3.2
JD하천3,2016-06-08,3.18
JD하천3,2016-06-09,3.16
JD하천3,2016-06-10,3.14
JD하천3,2016-06-11,3.12
JD하천3,2016-06-12,3.1
JD하천3,2016-06-13,3.09
JD하천3,2016-06-14,3.08
JD하천3,2016-06-15,3.08
JD하천3,2016-06-16,3.07
JD하천3,2016-06-17,3.04
JD하천3,2016-06-18,3.02
JD하천3,2016-06-19,3.01
JD하천3,2016-06-20,3.01
JD하천3,2016-06-21,2.99
JD하천3,2016-06-22,2.99
JD하천3,2016-06-23,3.06
JD하천3,2016-06-24,3.14
JD하천3,2016-06-25,3.19
JD하천3,2016-06-26,3.21
JD하천3,2016-06-27,3.22
JD하천3,2016-06-28,3.22
JD하천3,2016-06-29,3.21
JD하천3,2016-06-30,3.21
JD하천3,2016-07-01,3.22
JD하천3,2016-07-02,3.24
JD하천3,2016-07-03,3.26
JD하천3,2016-07-04,3.28
JD하천3,2016-07-05,3.29
JD하천3,2016-07-06,3.28
JD하천3,2016-07-07,3.27
JD하천3,2016-07-08,3.27
JD하천3,2016-07-09,3.27
JD하천3,2016-07-10,3.27
JD하천3,2016-07-11,3.27
JD하천3,2016-07-12,3.28
JD하천3,2016-07-13,3.36
JD하천3,2016-07-14,3.56
JD하천3,2016-07-15,3.74
JD하천3,2016-07-16,3.91
JD하천3,2016-07-17,4.02
JD하천3,2016-07-18,4.08
JD하천3,2016-07-19,4.11
JD하천3,2016-07-20,4.11
JD하천3,2016-07-21,4.1
JD하천3,2016-07-22,4.07
JD하천3,2016-07-23,4.03
JD하천3,2016-07-24,3.99
JD하천3,2016-07-25,3.93
JD하천3,2016-07-26,3.88
JD하천3,2016-07-27,3.83
JD하천3,2016-07-28,3.78
JD하천3,2016-07-29,3.72
JD하천3,2016-07-30,3.67
JD하천3,2016-07-31,3.62
JD하천3,2016-08-01,3.58
JD하천3,2016-08-02,3.53
JD하천3,2016-08-03,3.49
JD하천3,2016-08-04,3.45
JD하천3,2016-08-05,3.41
JD하천3,2016-08-06,3.37
JD하천3,2016-08-07,3.34
JD하천3,2016-08-08,3.31
JD하천3,2016-08-09,3.28
JD하천3,2016-08-10,3.25
JD하천3,2016-08-11,3.21
JD하천3,2016-08-12,3.18
JD하천3,2016-08-13,3.15
JD하천3,2016-08-14,3.12
JD하천3,2016-08-15,3.1
JD하천3,2016-08-16,3.09
JD하천3,2016-08-17,3.07
JD하천3,2016-08-18,3.05
JD하천3,2016-08-19,3.02
JD하천3,2016-08-20,3.0
JD하천3,2016-08-21,2.99
JD하천3,2016-08-22,2.97
JD하천3,2016-08-23,2.95
JD하천3,2016-08-24,2.93
JD하천3,2016-08-25,2.91
JD하천3,2016-08-26,2.89
JD하천3,2016-08-27,2.89
JD하천3,2016-08-28,2.88
JD하천3,2016-08-29,2.86
JD하천3,2016-08-30,2.86
JD하천3,2016-08-31,2.85
JD하천3,2016-09-01,2.84
JD하천3,2016-09-02,2.84
JD하천3,2016-09-03,2.84
JD하천3,2016-09-04,2.83
JD하천3,2016-09-05,2.81
JD하천3,2016-09-06,2.72
JD하천3,2016-09-07,2.5
JD하천3,2016-09-08,2.5
JD하천3,2016-09-09,2.52
JD하천3,2016-09-10,2.52
JD하천3,2016-09-11,2.51
JD하천3,2016-09-12,2.5
JD하천3,2016-09-13,2.5
JD하천3,2016-09-14,2.48
JD하천3,2016-09-15,2.45
JD하천3,2016-09-16,2.42
JD하천3,2016-09-17,2.35
JD하천3,2016-09-18,2.35
JD하천3,2016-09-19,2.36
JD하천3,2016-09-20,2.43
JD하천3,2016-09-21,2.48
JD하천3,2016-09-22,2.46
JD하천3,2016-09-23,2.45
JD하천3,2016-09-24,2.44
JD하천3,2016-09-25,2.44
JD하천3,2016-09-26,2.42
JD하천3,2016-09-27,2.43
JD하천3,2016-09-28,2.39
JD하천3,2016-09-29,2.42
JD하천3,2016-09-30,2.43
JD하천3,2016-10-01,2.48
JD하천3,2016-10-02,2.51
JD하천3,2016-10-03,2.52
JD하천3,2016-10-04,2.58
JD하천3,2016-10-05,2.62
JD하천3,2016-10-06,2.89
JD하천3,2016-10-07,3.11
JD하천3,2016-10-08,3.27
JD하천3,2016-10-09,3.37
JD하천3,2016-10-10,3.44
JD하천3,2016-10-11,3.49
JD하천3,2016-10-12,3.49
JD하천3,2016-10-13,3.46
JD하천3,2016-10-14,3.44
JD하천3,2016-10-15,3.38
JD하천3,2016-10-16,3.36
JD하천3,2016-10-17,3.32
JD하천3,2016-10-18,3.27
JD하천3,2016-10-19,3.25
JD하천3,2016-10-20,3.21
JD하천3,2016-10-21,3.17
JD하천3,2016-10-22,3.13
JD하천3,2016-10-23,3.1
JD하천3,2016-10-24,3.06
JD하천3,2016-10-25,3.03
JD하천3,2016-10-26,2.99
JD하천3,2016-10-27,2.95
JD하천3,2016-10-28,2.95
JD하천3,2016-10-29,2.89
JD하천3,2016-10-30,2.85
JD하천3,2016-10-31,2.81
JD하천3,2016-11-01,2.77
JD하천3,2016-11-02,2.73
JD하천3,2016-11-03,2.71
JD하천3,2016-11-04,2.7
JD하천3,2016-11-05,2.7
JD하천3,2016-11-06,2.69
JD하천3,2016-11-07,2.7
JD하천3,2016-11-08,2.68
JD하천3,2016-11-09,2.63
JD하천3,2016-11-10,2.62
JD하천3,2016-11-11,2.6
JD하천3,2016-11-12,2.59
JD하천3,2016-11-13,2.59
JD하천3,2016-11-14,2.6
JD하천3,2016-11-15,2.6
JD하천3,2016-11-16,2.6
JD하천3,2016-11-17,2.59
JD하천3,2016-11-18,2.59
JD하천3,2016-11-19,2.59
JD하천3,2016-11-20,2.58
JD하천3,2016-11-21,2.58
JD하천3,2016-11-22,2.57
JD하천3,2016-11-23,2.54
JD하천3,2016-11-24,2.5
JD하천3,2016-11-25,2.47
JD하천3,2016-11-26,2.45
JD하천3,2016-11-27,2.44
JD하천3,2016-11-28,2.43
JD하천3,2016-11-29,2.4
JD하천3,2016-11-30,2.39
JD하천3,2016-12-01,2.38
JD하천3,2016-12-02,2.34
JD하천3,2016-12-03,2.32
JD하천3,2016-12-04,2.32
JD하천3,2016-12-05,2.31
JD하천3,2016-12-06,2.3
JD하천3,2016-12-07,2.32
JD하천3,2016-12-08,2.3
JD하천3,2016-12-09,2.29
JD하천3,2016-12-10,2.27
JD하천3,2016-12-11,2.25
JD하천3,2016-12-12,2.25
JD하천3,2016-12-13,2.26
JD하천3,2016-12-14,2.26
JD하천3,2016-12-15,2.24
JD하천3,2016-12-16,2.21
JD하천3,2016-12-17,2.18
JD하천3,2016-12-18,2.16
JD하천3,2016-12-19,2.14
JD하천3,2016-12-20,2.14
JD하천3,2016-12-21,2.15
JD하천3,2016-12-22,2.16
JD하천3,2016-12-23,2.16
JD하천3,2016-12-24,2.16
JD하천3,2016-12-25,2.17
JD하천3,2016-12-26,2.18
JD하천3,2016-12-27,2.18
JD하천3,2016-12-28,2.18
JD하천3,2016-12-29,2.19
JD하천3,2016-12-30,2.18
JD하천3,2016-12-31,2.18
