관측소명,날짜,EL
JD하효,2016-01-01,2.01
JD하효,2016-01-02,2.0
JD하효,2016-01-03,2.02
JD하효,2016-01-04,2.01
JD하효,2016-01-05,2.01
JD하효,2016-01-06,2.02
JD하효,2016-01-07,1.98
JD하효,2016-01-08,1.99
JD하효,2016-01-09,2.02
JD하효,2016-01-10,2.03
JD하효,2016-01-11,2.05
JD하효,2016-01-12,2.03
JD하효,2016-01-13,2.01
JD하효,2016-01-14,2.02
JD하효,2016-01-15,2.02
JD하효,2016-01-16,2.0
JD하효,2016-01-17,2.03
JD하효,2016-01-18,1.97
JD하효,2016-01-19,1.87
JD하효,2016-01-20,1.94
JD하효,2016-01-21,1.95
JD하효,2016-01-22,1.94
JD하효,2016-01-23,1.9
JD하효,2016-01-24,1.78
JD하효,2016-01-25,1.81
JD하효,2016-01-26,1.84
JD하효,2016-01-27,1.83
JD하효,2016-01-28,1.86
JD하효,2016-01-29,1.96
JD하효,2016-01-30,1.94
JD하효,2016-01-31,1.82
JD하효,2016-02-01,1.79
JD하효,2016-02-02,1.76
JD하효,2016-02-03,1.75
JD하효,2016-02-04,1.74
JD하효,2016-02-05,1.77
JD하효,2016-02-06,1.78
JD하효,2016-02-07,1.81
JD하효,2016-02-08,1.84
JD하효,2016-02-09,1.85
JD하효,2016-02-10,1.87
JD하효,2016-02-11,1.9
JD하효,2016-02-12,2.01
JD하효,2016-02-13,2.11
JD하효,2016-02-14,2.04
JD하효,2016-02-15,1.93
JD하효,2016-02-16,1.87
JD하효,2016-02-17,1.83
JD하효,2016-02-18,1.81
JD하효,2016-02-19,1.79
JD하효,2016-02-20,1.83
JD하효,2016-02-21,1.78
JD하효,2016-02-22,1.83
JD하효,2016-02-23,1.84
JD하효,2016-02-24,1.81
JD하효,2016-02-25,1.78
JD하효,2016-02-26,1.79
JD하효,2016-02-27,1.81
JD하효,2016-02-28,1.84
JD하효,2016-02-29,1.76
JD하효,2016-03-01,1.76
JD하효,2016-03-02,1.76
JD하효,2016-03-03,1.78
JD하효,2016-03-04,1.84
JD하효,2016-03-05,1.92
JD하효,2016-03-06,2.08
JD하효,2016-03-07,2.09
JD하효,2016-03-08,2.09
JD하효,2016-03-09,2.17
JD하효,2016-03-10,2.09
JD하효,2016-03-11,2.05
JD하효,2016-03-12,2.05
JD하효,2016-03-13,2.06
JD하효,2016-03-14,2.03
JD하효,2016-03-15,1.98
JD하효,2016-03-16,1.95
JD하효,2016-03-17,1.95
JD하효,2016-03-18,2.04
JD하효,2016-03-19,2.05
JD하효,2016-03-20,2.04
JD하효,2016-03-21,2.03
JD하효,2016-03-22,2.03
JD하효,2016-03-23,2.09
JD하효,2016-03-24,2.09
JD하효,2016-03-25,2.08
JD하효,2016-03-26,2.06
JD하효,2016-03-27,2.03
JD하효,2016-03-28,2.01
JD하효,2016-03-29,2.01
JD하효,2016-03-30,2.0
JD하효,2016-03-31,2.01
JD하효,2016-04-01,2.02
JD하효,2016-04-02,2.01
JD하효,2016-04-03,2.04
JD하효,2016-04-04,2.1
JD하효,2016-04-05,2.06
JD하효,2016-04-06,2.11
JD하효,2016-04-07,2.32
JD하효,2016-04-08,2.31
JD하효,2016-04-09,2.29
JD하효,2016-04-10,2.3
JD하효,2016-04-11,2.26
JD하효,2016-04-12,2.22
JD하효,2016-04-13,2.27
JD하효,2016-04-14,2.23
JD하효,2016-04-15,2.18
JD하효,2016-04-16,2.22
JD하효,2016-04-17,2.19
JD하효,2016-04-18,2.18
JD하효,2016-04-19,2.17
JD하효,2016-04-20,2.1
JD하효,2016-04-21,2.23
JD하효,2016-04-22,2.25
JD하효,2016-04-23,2.26
JD하효,2016-04-24,2.28
JD하효,2016-04-25,2.28
JD하효,2016-04-26,2.27
JD하효,2016-04-27,2.37
JD하효,2016-04-28,2.37
JD하효,2016-04-29,2.29
JD하효,2016-04-30,2.24
JD하효,2016-05-01,2.23
JD하효,2016-05-02,2.26
JD하효,2016-05-03,2.57
JD하효,2016-05-04,2.54
JD하효,2016-05-05,2.52
JD하효,2016-05-06,2.71
JD하효,2016-05-07,2.7
JD하효,2016-05-08,2.66
JD하효,2016-05-09,2.67
JD하효,2016-05-10,2.73
JD하효,2016-05-11,2.71
JD하효,2016-05-12,2.65
JD하효,2016-05-13,2.59
JD하효,2016-05-14,2.56
JD하효,2016-05-15,2.57
JD하효,2016-05-16,2.57
JD하효,2016-05-17,2.57
JD하효,2016-05-18,2.56
JD하효,2016-05-19,2.57
JD하효,2016-05-20,2.58
JD하효,2016-05-21,2.6
JD하효,2016-05-22,2.63
JD하효,2016-05-23,2.64
JD하효,2016-05-24,2.68
JD하효,2016-05-25,2.68
JD하효,2016-05-26,2.67
JD하효,2016-05-27,2.66
JD하효,2016-05-28,2.66
JD하효,2016-05-29,2.68
JD하효,2016-05-30,2.66
JD하효,2016-05-31,2.64
JD하효,2016-06-01,2.67
JD하효,2016-06-02,2.69
JD하효,2016-06-03,2.68
JD하효,2016-06-04,2.75
JD하효,2016-06-05,2.79
JD하효,2016-06-06,2.78
JD하효,2016-06-07,2.72
JD하효,2016-06-08,2.72
JD하효,2016-06-09,2.7
JD하효,2016-06-10,2.65
JD하효,2016-06-11,2.61
JD하효,2016-06-12,2.6
JD하효,2016-06-13,2.6
JD하효,2016-06-14,2.59
JD하효,2016-06-15,2.57
JD하효,2016-06-16,2.57
JD하효,2016-06-17,2.52
JD하효,2016-06-18,2.54
JD하효,2016-06-19,2.54
JD하효,2016-06-20,2.55
JD하효,2016-06-21,2.57
JD하효,2016-06-22,2.88
JD하효,2016-06-23,2.95
JD하효,2016-06-24,2.83
JD하효,2016-06-25,2.7
JD하효,2016-06-26,2.62
JD하효,2016-06-27,2.6
JD하효,2016-06-28,2.63
JD하효,2016-06-29,2.72
JD하효,2016-06-30,2.7
JD하효,2016-07-01,2.67
JD하효,2016-07-02,2.66
JD하효,2016-07-03,2.68
JD하효,2016-07-04,2.71
JD하효,2016-07-05,2.71
JD하효,2016-07-06,2.64
JD하효,2016-07-07,2.61
JD하효,2016-07-08,2.64
JD하효,2016-07-09,2.63
JD하효,2016-07-10,2.61
JD하효,2016-07-11,2.66
JD하효,2016-07-12,2.85
JD하효,2016-07-13,3.49
JD하효,2016-07-14,3.33
JD하효,2016-07-15,3.18
JD하효,2016-07-16,3.1
JD하효,2016-07-17,2.98
JD하효,2016-07-18,2.94
JD하효,2016-07-19,2.93
JD하효,2016-07-20,2.92
JD하효,2016-07-21,2.91
JD하효,2016-07-22,2.9
JD하효,2016-07-23,2.89
JD하효,2016-07-24,2.86
JD하효,2016-07-25,2.83
JD하효,2016-07-26,2.82
JD하효,2016-07-27,2.8
JD하효,2016-07-28,2.79
JD하효,2016-07-29,2.77
JD하효,2016-07-30,2.77
JD하효,2016-07-31,2.77
JD하효,2016-08-01,2.78
JD하효,2016-08-02,2.79
JD하효,2016-08-03,2.79
JD하효,2016-08-04,2.84
JD하효,2016-08-05,2.87
