관측소명,날짜,EL
JD함덕2,2016-01-01,2.6
JD함덕2,2016-01-02,2.58
JD함덕2,2016-01-03,2.56
JD함덕2,2016-01-04,2.53
JD함덕2,2016-01-05,2.5
JD함덕2,2016-01-06,2.48
JD함덕2,2016-01-07,2.45
JD함덕2,2016-01-08,2.44
JD함덕2,2016-01-09,2.43
JD함덕2,2016-01-10,2.42
JD함덕2,2016-01-11,2.41
JD함덕2,2016-01-12,2.39
JD함덕2,2016-01-13,2.38
JD함덕2,2016-01-14,2.36
JD함덕2,2016-01-15,2.36
JD함덕2,2016-01-16,2.34
JD함덕2,2016-01-17,2.35
JD함덕2,2016-01-18,2.37
JD함덕2,2016-01-19,2.32
JD함덕2,2016-01-20,2.3
JD함덕2,2016-01-21,2.28
JD함덕2,2016-01-22,2.25
JD함덕2,2016-01-23,2.23
JD함덕2,2016-01-24,2.2
JD함덕2,2016-01-25,2.19
JD함덕2,2016-01-26,2.19
JD함덕2,2016-01-27,2.19
JD함덕2,2016-01-28,2.2
JD함덕2,2016-01-29,2.36
JD함덕2,2016-01-30,2.5
JD함덕2,2016-01-31,2.48
JD함덕2,2016-02-01,2.44
JD함덕2,2016-02-02,2.4
JD함덕2,2016-02-03,2.37
JD함덕2,2016-02-04,2.35
JD함덕2,2016-02-05,2.34
JD함덕2,2016-02-06,2.33
JD함덕2,2016-02-07,2.33
JD함덕2,2016-02-08,2.34
JD함덕2,2016-02-09,2.34
JD함덕2,2016-02-10,2.34
JD함덕2,2016-02-11,2.35
JD함덕2,2016-02-12,2.39
JD함덕2,2016-02-13,2.46
JD함덕2,2016-02-14,2.46
JD함덕2,2016-02-15,2.43
JD함덕2,2016-02-16,2.42
JD함덕2,2016-02-17,2.38
JD함덕2,2016-02-18,2.36
JD함덕2,2016-02-19,2.35
JD함덕2,2016-02-20,2.34
JD함덕2,2016-02-21,2.31
JD함덕2,2016-02-22,2.31
JD함덕2,2016-02-23,2.31
JD함덕2,2016-02-24,2.28
JD함덕2,2016-02-25,2.25
JD함덕2,2016-02-26,2.24
JD함덕2,2016-02-27,2.24
JD함덕2,2016-02-28,2.24
JD함덕2,2016-02-29,2.2
JD함덕2,2016-03-01,2.18
JD함덕2,2016-03-02,2.16
JD함덕2,2016-03-03,2.16
JD함덕2,2016-03-04,2.16
JD함덕2,2016-03-05,2.19
JD함덕2,2016-03-06,2.4
JD함덕2,2016-03-07,2.48
JD함덕2,2016-03-08,2.48
JD함덕2,2016-03-09,2.6
JD함덕2,2016-03-10,2.65
JD함덕2,2016-03-11,2.65
JD함덕2,2016-03-12,2.65
JD함덕2,2016-03-13,2.66
JD함덕2,2016-03-14,2.7
JD함덕2,2016-03-15,2.71
JD함덕2,2016-03-16,2.69
JD함덕2,2016-03-17,2.68
JD함덕2,2016-03-18,2.7
JD함덕2,2016-03-19,2.7
JD함덕2,2016-03-20,2.68
JD함덕2,2016-03-21,2.66
JD함덕2,2016-03-22,2.65
JD함덕2,2016-03-23,2.65
JD함덕2,2016-03-24,2.63
JD함덕2,2016-03-25,2.61
JD함덕2,2016-03-26,2.59
JD함덕2,2016-03-27,2.57
JD함덕2,2016-03-28,2.55
JD함덕2,2016-03-29,2.54
JD함덕2,2016-03-30,2.51
JD함덕2,2016-03-31,2.5
JD함덕2,2016-04-01,2.49
JD함덕2,2016-04-02,2.48
JD함덕2,2016-04-03,2.47
JD함덕2,2016-04-04,2.51
JD함덕2,2016-04-05,2.52
JD함덕2,2016-04-06,2.52
JD함덕2,2016-04-07,2.57
JD함덕2,2016-04-08,2.58
JD함덕2,2016-04-09,2.57
JD함덕2,2016-04-10,2.57
JD함덕2,2016-04-11,2.55
JD함덕2,2016-04-12,2.53
JD함덕2,2016-04-13,2.57
JD함덕2,2016-04-18,2.78
JD함덕2,2016-04-19,2.77
JD함덕2,2016-04-20,2.78
JD함덕2,2016-04-21,2.81
JD함덕2,2016-04-22,2.82
JD함덕2,2016-04-23,2.84
JD함덕2,2016-04-24,2.84
JD함덕2,2016-04-25,2.84
JD함덕2,2016-04-26,2.84
JD함덕2,2016-04-27,2.89
JD함덕2,2016-04-28,2.94
JD함덕2,2016-04-29,2.94
JD함덕2,2016-04-30,2.92
JD함덕2,2016-05-01,2.91
JD함덕2,2016-05-02,2.91
JD함덕2,2016-05-03,2.95
JD함덕2,2016-05-04,2.94
JD함덕2,2016-05-05,2.93
JD함덕2,2016-05-06,2.95
JD함덕2,2016-05-07,2.93
JD함덕2,2016-05-08,2.91
JD함덕2,2016-05-09,2.91
JD함덕2,2016-05-10,2.96
JD함덕2,2016-05-11,2.96
JD함덕2,2016-05-12,2.91
JD함덕2,2016-05-13,2.86
JD함덕2,2016-05-14,2.81
JD함덕2,2016-05-15,2.8
JD함덕2,2016-05-16,2.77
JD함덕2,2016-05-17,2.76
JD함덕2,2016-05-18,2.74
JD함덕2,2016-05-19,2.71
JD함덕2,2016-05-20,2.7
JD함덕2,2016-05-21,2.68
JD함덕2,2016-05-22,2.67
JD함덕2,2016-05-23,2.67
JD함덕2,2016-05-24,2.68
JD함덕2,2016-05-25,2.68
JD함덕2,2016-05-26,2.67
JD함덕2,2016-05-27,2.65
JD함덕2,2016-05-28,2.65
JD함덕2,2016-05-29,2.67
JD함덕2,2016-05-30,2.68
JD함덕2,2016-05-31,2.66
JD함덕2,2016-06-01,2.65
JD함덕2,2016-06-02,2.65
JD함덕2,2016-06-03,2.66
JD함덕2,2016-06-04,2.67
JD함덕2,2016-06-05,2.69
JD함덕2,2016-06-06,2.69
JD함덕2,2016-06-07,2.69
JD함덕2,2016-06-08,2.69
JD함덕2,2016-06-09,2.67
JD함덕2,2016-06-10,2.64
JD함덕2,2016-06-11,2.61
JD함덕2,2016-06-12,2.6
JD함덕2,2016-06-13,2.59
JD함덕2,2016-06-14,2.57
JD함덕2,2016-06-15,2.56
JD함덕2,2016-06-16,2.55
JD함덕2,2016-06-17,2.52
JD함덕2,2016-06-18,2.45
JD함덕2,2016-06-19,2.44
JD함덕2,2016-06-20,2.48
JD함덕2,2016-06-21,2.59
JD함덕2,2016-06-22,2.68
JD함덕2,2016-06-23,2.82
JD함덕2,2016-06-24,2.85
JD함덕2,2016-06-25,2.81
JD함덕2,2016-06-26,2.77
JD함덕2,2016-06-27,2.74
JD함덕2,2016-06-28,2.71
JD함덕2,2016-06-29,2.85
JD함덕2,2016-06-30,2.96
JD함덕2,2016-07-01,2.98
JD함덕2,2016-07-02,3.07
JD함덕2,2016-07-03,3.12
JD함덕2,2016-07-04,3.15
JD함덕2,2016-07-05,3.15
JD함덕2,2016-07-06,3.12
JD함덕2,2016-07-07,3.1
JD함덕2,2016-07-08,3.08
JD함덕2,2016-07-09,3.06
JD함덕2,2016-07-10,3.04
JD함덕2,2016-07-11,3.03
JD함덕2,2016-07-12,3.06
JD함덕2,2016-07-13,3.25
JD함덕2,2016-07-14,3.28
JD함덕2,2016-07-15,3.26
JD함덕2,2016-07-16,3.25
JD함덕2,2016-07-17,3.21
JD함덕2,2016-07-18,3.18
JD함덕2,2016-07-19,3.15
JD함덕2,2016-07-20,3.15
JD함덕2,2016-07-21,3.13
JD함덕2,2016-07-22,3.12
JD함덕2,2016-07-23,3.11
JD함덕2,2016-07-24,3.08
JD함덕2,2016-07-25,3.05
JD함덕2,2016-07-26,3.03
JD함덕2,2016-07-27,3.0
JD함덕2,2016-07-28,2.97
JD함덕2,2016-07-29,2.93
JD함덕2,2016-07-30,2.87
JD함덕2,2016-07-31,2.84
JD함덕2,2016-08-01,2.82
JD함덕2,2016-08-02,2.79
JD함덕2,2016-08-03,2.78
JD함덕2,2016-08-04,2.75
JD함덕2,2016-08-05,2.74
JD함덕2,2016-08-06,2.72
JD함덕2,2016-08-07,2.7
JD함덕2,2016-08-08,2.69
JD함덕2,2016-08-09,2.66
JD함덕2,2016-08-10,2.62
JD함덕2,2016-08-11,2.58
JD함덕2,2016-08-12,2.56
JD함덕2,2016-08-13,2.54
JD함덕2,2016-08-14,2.52
JD함덕2,2016-08-15,2.51
JD함덕2,2016-08-16,2.51
JD함덕2,2016-08-17,2.5
JD함덕2,2016-08-18,2.48
JD함덕2,2016-08-19,2.48
JD함덕2,2016-08-20,2.48
JD함덕2,2016-08-21,2.47
JD함덕2,2016-08-22,2.46
JD함덕2,2016-08-23,2.44
JD함덕2,2016-08-24,2.41
JD함덕2,2016-08-25,2.39
JD함덕2,2016-08-26,2.36
JD함덕2,2016-08-27,2.35
JD함덕2,2016-08-28,2.4
JD함덕2,2016-08-29,2.43
JD함덕2,2016-08-30,2.42
JD함덕2,2016-08-31,2.41
JD함덕2,2016-09-01,2.4
JD함덕2,2016-09-02,2.44
JD함덕2,2016-09-03,2.45
JD함덕2,2016-09-04,2.41
JD함덕2,2016-09-05,2.38
JD함덕2,2016-09-06,2.36
JD함덕2,2016-09-07,2.34
JD함덕2,2016-09-08,2.32
JD함덕2,2016-09-09,2.3
JD함덕2,2016-09-10,2.27
JD함덕2,2016-09-11,2.25
JD함덕2,2016-09-12,2.24
JD함덕2,2016-09-13,2.22
JD함덕2,2016-09-14,2.21
JD함덕2,2016-09-15,2.21
JD함덕2,2016-09-16,2.22
JD함덕2,2016-09-17,2.27
JD함덕2,2016-09-18,2.31
JD함덕2,2016-09-19,2.35
JD함덕2,2016-09-20,2.38
JD함덕2,2016-09-21,2.34
JD함덕2,2016-09-22,2.3
JD함덕2,2016-09-23,2.26
JD함덕2,2016-09-24,2.24
JD함덕2,2016-09-25,2.23
JD함덕2,2016-09-26,2.23
JD함덕2,2016-09-27,2.22
JD함덕2,2016-09-28,2.31
JD함덕2,2016-09-29,2.51
JD함덕2,2016-09-30,2.63
JD함덕2,2016-10-01,2.71
JD함덕2,2016-10-02,2.74
JD함덕2,2016-10-03,2.72
JD함덕2,2016-10-04,2.72
JD함덕2,2016-10-05,3.82
JD함덕2,2016-10-06,5.19
JD함덕2,2016-10-07,5.66
JD함덕2,2016-10-08,5.71
JD함덕2,2016-10-09,5.73
JD함덕2,2016-10-10,5.74
JD함덕2,2016-10-11,5.74
JD함덕2,2016-10-12,5.72
JD함덕2,2016-10-13,5.68
JD함덕2,2016-10-14,5.62
JD함덕2,2016-10-15,5.55
JD함덕2,2016-10-16,5.49
JD함덕2,2016-10-17,5.4
JD함덕2,2016-10-18,5.29
JD함덕2,2016-10-19,5.18
JD함덕2,2016-10-20,5.07
JD함덕2,2016-10-21,4.96
JD함덕2,2016-10-22,4.9
JD함덕2,2016-10-23,4.85
JD함덕2,2016-10-24,4.73
JD함덕2,2016-10-25,4.62
JD함덕2,2016-10-26,4.52
JD함덕2,2016-10-27,4.41
JD함덕2,2016-10-28,4.36
JD함덕2,2016-10-29,4.29
JD함덕2,2016-10-30,4.16
JD함덕2,2016-10-31,4.05
JD함덕2,2016-11-01,3.99
JD함덕2,2016-11-02,3.89
JD함덕2,2016-11-03,3.79
JD함덕2,2016-11-04,3.73
JD함덕2,2016-11-05,3.69
JD함덕2,2016-11-06,3.68
JD함덕2,2016-11-07,3.62
JD함덕2,2016-11-08,3.54
JD함덕2,2016-11-09,3.5
JD함덕2,2016-11-10,3.41
JD함덕2,2016-11-11,3.38
JD함덕2,2016-11-12,3.36
JD함덕2,2016-11-13,3.32
JD함덕2,2016-11-14,3.34
JD함덕2,2016-11-15,3.51
JD함덕2,2016-11-16,3.48
JD함덕2,2016-11-17,3.36
JD함덕2,2016-11-18,3.29
JD함덕2,2016-11-19,3.29
JD함덕2,2016-11-20,3.29
JD함덕2,2016-11-21,3.27
JD함덕2,2016-11-22,3.2
JD함덕2,2016-11-23,3.11
JD함덕2,2016-11-24,3.05
JD함덕2,2016-11-25,3.0
JD함덕2,2016-11-26,2.93
JD함덕2,2016-11-27,2.93
JD함덕2,2016-11-28,2.97
JD함덕2,2016-11-29,2.97
JD함덕2,2016-11-30,2.87
JD함덕2,2016-12-01,2.81
JD함덕2,2016-12-02,2.8
JD함덕2,2016-12-03,2.73
JD함덕2,2016-12-04,2.65
JD함덕2,2016-12-05,2.63
JD함덕2,2016-12-06,2.66
JD함덕2,2016-12-07,2.61
JD함덕2,2016-12-08,2.59
JD함덕2,2016-12-09,2.56
JD함덕2,2016-12-10,2.57
JD함덕2,2016-12-11,2.56
JD함덕2,2016-12-12,2.53
JD함덕2,2016-12-13,2.49
JD함덕2,2016-12-14,2.5
JD함덕2,2016-12-15,2.51
JD함덕2,2016-12-16,2.51
JD함덕2,2016-12-17,2.5
JD함덕2,2016-12-18,2.45
JD함덕2,2016-12-19,2.38
JD함덕2,2016-12-20,2.34
JD함덕2,2016-12-21,2.33
JD함덕2,2016-12-22,2.35
JD함덕2,2016-12-23,2.32
JD함덕2,2016-12-24,2.3
JD함덕2,2016-12-25,2.27
JD함덕2,2016-12-26,2.3
JD함덕2,2016-12-27,2.34
JD함덕2,2016-12-28,2.33
JD함덕2,2016-12-29,2.29
JD함덕2,2016-12-30,2.27
JD함덕2,2016-12-31,2.25
JD함덕2,2017-01-01,2.24
JD함덕2,2017-01-02,2.23
JD함덕2,2017-01-03,2.22
JD함덕2,2017-01-04,2.21
JD함덕2,2017-01-05,2.21
JD함덕2,2017-01-06,2.24
JD함덕2,2017-01-07,2.24
JD함덕2,2017-01-08,2.33
JD함덕2,2017-01-09,2.35
JD함덕2,2017-01-10,2.32
JD함덕2,2017-01-11,2.28
JD함덕2,2017-01-12,2.28
JD함덕2,2017-01-13,2.31
JD함덕2,2017-01-14,2.31
JD함덕2,2017-01-15,2.29
JD함덕2,2017-01-16,2.26
JD함덕2,2017-01-17,2.23
