관측소명,날짜,EL
JH중문3,2008-10-22,351.48
JH중문3,2008-10-23,351.09
JH중문3,2008-10-24,350.45
JH중문3,2008-10-25,350.38
JH중문3,2008-10-26,350.66
JH중문3,2008-10-27,350.6
JH중문3,2008-10-28,350.63
JH중문3,2008-10-29,350.5
JH중문3,2008-10-30,350.29
JH중문3,2008-10-31,350.43
JH중문3,2008-11-01,350.35
JH중문3,2008-11-02,350.35
JH중문3,2008-11-03,350.21
JH중문3,2008-11-04,349.99
JH중문3,2008-11-05,350.07
JH중문3,2008-11-06,350.21
JH중문3,2008-11-07,350.1
JH중문3,2008-11-08,349.94
JH중문3,2008-11-09,349.74
JH중문3,2008-11-10,349.42
JH중문3,2008-11-11,349.37
JH중문3,2008-11-12,349.36
JH중문3,2008-11-13,349.24
JH중문3,2008-11-14,349.15
JH중문3,2008-11-15,349.28
JH중문3,2008-11-16,349.41
JH중문3,2008-11-17,349.18
JH중문3,2008-11-18,348.97
JH중문3,2008-11-19,348.76
JH중문3,2008-11-20,348.68
JH중문3,2008-11-21,348.62
JH중문3,2008-11-22,348.58
JH중문3,2008-11-23,348.7
JH중문3,2008-11-24,348.7
JH중문3,2008-11-25,348.38
JH중문3,2008-11-26,348.37
JH중문3,2008-11-27,348.73
JH중문3,2008-11-28,348.42
JH중문3,2008-11-29,348.29
JH중문3,2008-11-30,348.04
JH중문3,2008-12-01,348.22
JH중문3,2008-12-02,348.31
JH중문3,2008-12-03,348.18
JH중문3,2008-12-04,348.21
JH중문3,2008-12-05,347.96
JH중문3,2008-12-06,347.79
JH중문3,2008-12-07,347.78
JH중문3,2008-12-08,347.95
JH중문3,2008-12-09,347.94
JH중문3,2008-12-10,347.84
JH중문3,2008-12-11,347.98
JH중문3,2008-12-12,347.75
JH중문3,2008-12-13,347.7
JH중문3,2008-12-14,347.61
JH중문3,2008-12-15,347.27
JH중문3,2008-12-16,347.12
JH중문3,2008-12-17,347.1
JH중문3,2008-12-18,346.89
JH중문3,2008-12-19,346.72
JH중문3,2008-12-20,346.76
JH중문3,2008-12-21,346.69
JH중문3,2008-12-22,346.31
JH중문3,2008-12-23,346.39
JH중문3,2008-12-24,346.67
JH중문3,2008-12-25,346.64
JH중문3,2008-12-26,346.17
JH중문3,2008-12-27,346.27
JH중문3,2008-12-28,346.29
JH중문3,2008-12-29,346.46
JH중문3,2008-12-30,346.4
JH중문3,2008-12-31,346.28
JH중문3,2009-01-01,346.32
JH중문3,2009-01-02,346.3
JH중문3,2009-01-03,346.67
JH중문3,2009-01-04,347.01
JH중문3,2009-01-05,346.93
JH중문3,2009-01-06,347.08
JH중문3,2009-01-07,347.18
JH중문3,2009-01-08,347.32
JH중문3,2009-01-09,347.47
JH중문3,2009-01-10,347.79
JH중문3,2009-01-11,347.87
JH중문3,2009-01-12,347.8
JH중문3,2009-01-13,347.82
JH중문3,2009-01-14,347.95
JH중문3,2009-01-15,347.69
JH중문3,2009-01-16,347.77
JH중문3,2009-01-17,347.88
JH중문3,2009-01-18,348.41
JH중문3,2009-01-19,348.13
JH중문3,2009-01-20,348.25
JH중문3,2009-01-21,348.43
JH중문3,2009-01-22,348.6
