관측소명,날짜,EL
JI오등1,2011-05-18,101.47
JI오등1,2011-05-19,101.49
JI오등1,2011-05-20,101.4
JI오등1,2011-05-21,101.38
JI오등1,2011-05-22,101.35
JI오등1,2011-05-23,101.15
JI오등1,2011-05-24,101.12
JI오등1,2011-05-25,101.17
JI오등1,2011-05-26,101.21
JI오등1,2011-05-27,101.21
JI오등1,2011-05-28,101.13
JI오등1,2011-05-29,101.14
JI오등1,2011-05-30,101.17
JI오등1,2011-05-31,101.18
JI오등1,2011-06-01,101.18
JI오등1,2011-06-02,101.15
JI오등1,2011-06-03,101.13
JI오등1,2011-06-04,101.12
JI오등1,2011-06-05,101.1
JI오등1,2011-06-06,101.06
JI오등1,2011-06-07,101.05
JI오등1,2011-06-08,101.03
JI오등1,2011-06-09,101.03
JI오등1,2011-06-10,100.99
JI오등1,2011-06-11,100.96
JI오등1,2011-06-12,100.95
JI오등1,2011-06-13,101.04
JI오등1,2011-06-14,101.14
JI오등1,2011-06-15,101.22
JI오등1,2011-06-16,101.27
JI오등1,2011-06-17,101.25
JI오등1,2011-06-18,101.42
JI오등1,2011-06-19,101.46
JI오등1,2011-06-20,101.44
JI오등1,2011-06-21,101.49
JI오등1,2011-06-22,101.67
JI오등1,2011-06-23,101.82
JI오등1,2011-06-24,102.02
JI오등1,2011-06-25,102.38
JI오등1,2011-06-26,104.72
JI오등1,2011-06-27,110.55
JI오등1,2011-06-28,108.52
JI오등1,2011-06-29,104.72
JI오등1,2011-06-30,103.2
JI오등1,2011-07-01,102.93
JI오등1,2011-07-02,102.79
JI오등1,2011-07-03,102.89
JI오등1,2011-07-04,102.69
JI오등1,2011-07-05,102.68
JI오등1,2011-07-06,102.7
JI오등1,2011-07-07,102.53
JI오등1,2011-07-08,102.71
JI오등1,2011-07-09,102.72
JI오등1,2011-07-10,102.7
JI오등1,2011-07-11,102.87
JI오등1,2011-07-12,103.06
JI오등1,2011-07-13,103.28
JI오등1,2011-07-14,103.39
JI오등1,2011-07-15,103.39
JI오등1,2011-07-16,103.41
JI오등1,2011-07-17,103.43
JI오등1,2011-07-18,103.54
JI오등1,2011-07-19,103.65
JI오등1,2011-07-20,103.71
JI오등1,2011-07-21,103.74
JI오등1,2011-07-22,103.78
JI오등1,2011-07-23,103.8
JI오등1,2011-07-24,103.8
JI오등1,2011-07-25,103.81
JI오등1,2011-07-26,103.86
JI오등1,2011-07-27,103.88
JI오등1,2011-07-28,103.91
JI오등1,2011-07-29,103.95
JI오등1,2011-07-30,103.99
JI오등1,2011-07-31,104.06
JI오등1,2011-08-01,104.11
JI오등1,2011-08-02,104.4
JI오등1,2011-08-03,104.45
JI오등1,2011-08-04,104.55
JI오등1,2011-08-05,104.57
JI오등1,2011-08-06,104.61
JI오등1,2011-08-07,104.66
JI오등1,2011-08-08,108.74
JI오등1,2011-08-09,112.21
JI오등1,2011-08-10,110.76
JI오등1,2011-08-11,107.75
JI오등1,2011-08-12,106.54
JI오등1,2011-08-13,106.26
JI오등1,2011-08-14,106.18
JI오등1,2011-08-15,106.18
JI오등1,2011-08-16,106.18
JI오등1,2011-08-17,106.13
JI오등1,2011-08-18,106.07
JI오등1,2011-08-19,106.04
JI오등1,2011-08-20,106.0
JI오등1,2011-08-21,105.99
JI오등1,2011-08-22,105.96
JI오등1,2011-08-23,105.98
JI오등1,2011-08-24,105.95
JI오등1,2011-08-25,105.9
JI오등1,2011-08-26,105.97
JI오등1,2011-08-27,106.05
JI오등1,2011-08-28,106.18
JI오등1,2011-08-29,106.27
JI오등1,2011-08-30,106.44
JI오등1,2011-08-31,106.48
JI오등1,2011-09-01,106.46
JI오등1,2011-09-02,106.47
JI오등1,2011-09-03,106.47
JI오등1,2011-09-04,106.46
JI오등1,2011-09-05,106.49
JI오등1,2011-09-06,106.51
JI오등1,2011-09-07,106.52
JI오등1,2011-09-08,106.53
JI오등1,2011-09-09,106.45
JI오등1,2011-09-10,106.45
JI오등1,2011-09-11,106.45
JI오등1,2011-09-12,106.44
JI오등1,2011-09-13,106.39
JI오등1,2011-09-14,106.35
JI오등1,2011-09-15,106.37
JI오등1,2011-09-16,106.38
JI오등1,2011-09-17,106.38
JI오등1,2011-09-18,106.27
JI오등1,2011-09-19,106.26
JI오등1,2011-09-20,106.28
JI오등1,2011-09-21,106.26
JI오등1,2011-09-22,106.23
JI오등1,2011-09-23,106.19
JI오등1,2011-09-24,106.15
JI오등1,2011-09-25,106.07
JI오등1,2011-09-26,106.03
JI오등1,2011-09-27,106.02
JI오등1,2011-09-28,106.05
JI오등1,2011-09-29,106.18
JI오등1,2011-09-30,106.09
JI오등1,2011-10-01,106.05
JI오등1,2011-10-02,106.01
JI오등1,2011-10-03,105.99
JI오등1,2011-10-04,105.96
JI오등1,2011-10-05,105.91
JI오등1,2011-10-06,105.86
JI오등1,2011-10-07,105.81
JI오등1,2011-10-08,105.75
JI오등1,2011-10-09,105.75
