관측소명,날짜,EL
JM도남2,2016-01-01,17.93
JM도남2,2016-01-02,17.89
JM도남2,2016-01-03,17.82
JM도남2,2016-01-04,17.75
JM도남2,2016-01-05,17.71
JM도남2,2016-01-06,17.61
JM도남2,2016-01-07,17.55
JM도남2,2016-01-08,17.49
JM도남2,2016-01-09,17.41
JM도남2,2016-01-10,17.34
JM도남2,2016-01-11,17.27
JM도남2,2016-01-12,17.21
JM도남2,2016-01-13,17.14
JM도남2,2016-01-14,17.06
JM도남2,2016-01-15,16.99
JM도남2,2016-01-16,16.92
JM도남2,2016-01-17,16.89
JM도남2,2016-01-18,16.8
JM도남2,2016-01-19,16.75
JM도남2,2016-01-20,16.7
JM도남2,2016-01-21,16.65
JM도남2,2016-01-22,16.57
JM도남2,2016-01-23,16.54
JM도남2,2016-01-24,16.46
JM도남2,2016-01-25,16.37
JM도남2,2016-01-26,16.3
JM도남2,2016-01-27,16.25
JM도남2,2016-01-28,16.21
JM도남2,2016-01-29,16.19
JM도남2,2016-01-30,16.18
JM도남2,2016-01-31,16.18
JM도남2,2016-02-01,16.19
JM도남2,2016-02-02,16.18
JM도남2,2016-02-03,16.18
JM도남2,2016-02-04,16.17
JM도남2,2016-02-05,16.17
JM도남2,2016-02-06,16.17
JM도남2,2016-02-07,16.17
JM도남2,2016-02-08,16.18
JM도남2,2016-02-09,16.17
JM도남2,2016-02-10,16.17
JM도남2,2016-02-11,16.17
JM도남2,2016-02-12,16.17
JM도남2,2016-02-13,16.19
JM도남2,2016-02-14,16.18
JM도남2,2016-02-15,16.21
JM도남2,2016-02-16,16.22
JM도남2,2016-02-17,16.21
JM도남2,2016-02-18,16.2
JM도남2,2016-02-19,16.18
JM도남2,2016-02-20,16.18
JM도남2,2016-02-21,16.17
JM도남2,2016-02-22,16.17
JM도남2,2016-02-23,16.16
JM도남2,2016-02-24,16.14
JM도남2,2016-02-25,16.13
JM도남2,2016-02-26,16.13
JM도남2,2016-02-27,16.11
JM도남2,2016-02-28,16.09
JM도남2,2016-02-29,16.06
JM도남2,2016-03-01,16.04
JM도남2,2016-03-02,16.02
JM도남2,2016-03-03,15.99
JM도남2,2016-03-04,15.96
JM도남2,2016-03-05,15.93
JM도남2,2016-03-06,15.91
JM도남2,2016-03-07,15.92
JM도남2,2016-03-08,15.92
JM도남2,2016-03-09,15.93
JM도남2,2016-03-10,15.98
JM도남2,2016-03-11,16.02
JM도남2,2016-03-12,16.07
JM도남2,2016-03-13,16.13
JM도남2,2016-03-14,16.18
JM도남2,2016-03-15,16.23
JM도남2,2016-03-16,16.29
JM도남2,2016-03-17,16.35
JM도남2,2016-03-18,16.41
JM도남2,2016-03-19,16.44
JM도남2,2016-03-20,16.48
JM도남2,2016-03-21,16.52
JM도남2,2016-03-22,16.55
JM도남2,2016-03-23,16.57
JM도남2,2016-03-24,16.58
JM도남2,2016-03-25,16.59
JM도남2,2016-03-26,16.6
JM도남2,2016-03-27,16.6
JM도남2,2016-03-28,16.6
JM도남2,2016-03-29,16.6
JM도남2,2016-03-30,16.59
JM도남2,2016-03-31,16.58
JM도남2,2016-04-01,16.56
JM도남2,2016-04-02,16.54
JM도남2,2016-04-03,16.52
JM도남2,2016-04-04,16.51
JM도남2,2016-04-05,16.51
JM도남2,2016-04-06,16.51
JM도남2,2016-04-07,16.49
JM도남2,2016-04-08,16.48
JM도남2,2016-04-09,16.49
JM도남2,2016-04-10,16.48
JM도남2,2016-04-11,16.45
JM도남2,2016-04-12,16.44
JM도남2,2016-04-13,16.43
JM도남2,2016-04-14,16.4
JM도남2,2016-04-15,16.39
JM도남2,2016-04-16,16.4
JM도남2,2016-04-17,16.35
JM도남2,2016-04-18,16.34
JM도남2,2016-04-19,16.33
JM도남2,2016-04-20,16.34
JM도남2,2016-04-21,16.34
JM도남2,2016-04-22,16.32
JM도남2,2016-04-23,16.31
JM도남2,2016-04-24,16.31
JM도남2,2016-04-25,16.31
JM도남2,2016-04-26,16.32
JM도남2,2016-04-27,16.34
JM도남2,2016-04-28,16.33
JM도남2,2016-04-29,16.33
JM도남2,2016-04-30,16.32
JM도남2,2016-05-01,16.3
JM도남2,2016-05-02,16.29
JM도남2,2016-05-03,16.28
JM도남2,2016-05-04,16.26
JM도남2,2016-05-05,16.25
JM도남2,2016-05-06,16.24
JM도남2,2016-05-07,16.21
JM도남2,2016-05-08,16.19
JM도남2,2016-05-09,16.17
JM도남2,2016-05-10,16.17
JM도남2,2016-05-11,16.17
JM도남2,2016-05-12,16.17
JM도남2,2016-05-13,16.15
JM도남2,2016-05-14,16.15
JM도남2,2016-05-15,16.15
JM도남2,2016-05-16,16.13
JM도남2,2016-05-17,16.12
JM도남2,2016-05-18,16.11
JM도남2,2016-05-19,16.1
JM도남2,2016-05-20,16.08
JM도남2,2016-05-21,16.06
JM도남2,2016-05-22,16.05
JM도남2,2016-05-23,16.03
JM도남2,2016-05-24,16.02
JM도남2,2016-05-25,16.01
JM도남2,2016-05-26,16.01
JM도남2,2016-05-27,15.99
JM도남2,2016-05-28,15.98
JM도남2,2016-05-29,15.98
JM도남2,2016-05-30,15.98
JM도남2,2016-05-31,15.97
JM도남2,2016-06-01,15.96
JM도남2,2016-06-02,15.94
JM도남2,2016-06-03,15.93
JM도남2,2016-06-04,15.91
JM도남2,2016-06-05,15.88
JM도남2,2016-06-06,15.87
JM도남2,2016-06-07,15.86
JM도남2,2016-06-08,15.83
JM도남2,2016-06-09,15.8
JM도남2,2016-06-10,15.77
JM도남2,2016-06-11,15.75
JM도남2,2016-06-12,15.71
JM도남2,2016-06-13,15.68
JM도남2,2016-06-14,15.65
JM도남2,2016-06-15,15.62
JM도남2,2016-06-16,15.57
JM도남2,2016-06-17,15.52
JM도남2,2016-06-18,15.48
JM도남2,2016-06-19,15.45
JM도남2,2016-06-20,15.41
JM도남2,2016-06-21,15.38
JM도남2,2016-06-22,15.38
JM도남2,2016-06-23,15.4
JM도남2,2016-06-24,15.43
JM도남2,2016-06-25,15.43
JM도남2,2016-06-26,15.43
JM도남2,2016-06-27,15.43
JM도남2,2016-06-28,15.42
JM도남2,2016-06-29,15.44
JM도남2,2016-06-30,15.48
JM도남2,2016-07-01,15.54
JM도남2,2016-07-02,15.58
JM도남2,2016-07-03,15.64
JM도남2,2016-07-04,15.71
JM도남2,2016-07-05,15.78
JM도남2,2016-07-06,15.84
