관측소명,날짜,EL
JM신엄,2016-01-01,9.91
JM신엄,2016-01-02,9.92
JM신엄,2016-01-03,9.9
JM신엄,2016-01-04,9.86
JM신엄,2016-01-05,9.82
JM신엄,2016-01-06,9.8
JM신엄,2016-01-07,9.76
JM신엄,2016-01-08,9.74
JM신엄,2016-01-09,9.7
JM신엄,2016-01-10,9.67
JM신엄,2016-01-11,9.65
JM신엄,2016-01-12,9.63
JM신엄,2016-01-13,9.6
JM신엄,2016-01-14,9.57
JM신엄,2016-01-15,9.55
JM신엄,2016-01-16,9.52
JM신엄,2016-01-17,9.54
JM신엄,2016-01-18,9.5
JM신엄,2016-01-19,9.44
JM신엄,2016-01-20,9.4
JM신엄,2016-01-21,9.38
JM신엄,2016-01-22,9.35
JM신엄,2016-01-23,9.31
JM신엄,2016-01-24,9.28
JM신엄,2016-01-25,9.25
JM신엄,2016-01-26,9.21
JM신엄,2016-01-27,9.18
JM신엄,2016-01-28,9.19
JM신엄,2016-01-29,9.23
JM신엄,2016-01-30,9.2
JM신엄,2016-01-31,9.17
JM신엄,2016-02-01,9.15
JM신엄,2016-02-02,9.15
JM신엄,2016-02-03,9.13
JM신엄,2016-02-04,9.12
JM신엄,2016-02-05,9.12
JM신엄,2016-02-06,9.11
JM신엄,2016-02-07,9.1
JM신엄,2016-02-08,9.1
JM신엄,2016-02-09,9.06
JM신엄,2016-02-10,9.04
JM신엄,2016-02-11,9.04
JM신엄,2016-02-12,9.05
JM신엄,2016-02-13,9.07
JM신엄,2016-02-14,9.01
JM신엄,2016-02-15,9.0
JM신엄,2016-02-16,8.99
JM신엄,2016-02-17,8.96
JM신엄,2016-02-18,8.95
JM신엄,2016-02-19,8.94
JM신엄,2016-02-20,8.93
JM신엄,2016-02-21,8.88
JM신엄,2016-02-22,8.88
JM신엄,2016-02-23,8.86
JM신엄,2016-02-24,8.83
JM신엄,2016-02-25,8.81
JM신엄,2016-02-26,8.82
JM신엄,2016-02-27,8.82
JM신엄,2016-02-28,8.81
JM신엄,2016-02-29,8.76
JM신엄,2016-03-01,8.75
JM신엄,2016-03-02,8.74
JM신엄,2016-03-03,8.73
JM신엄,2016-03-04,8.72
JM신엄,2016-03-05,8.73
JM신엄,2016-03-06,8.75
JM신엄,2016-03-07,8.74
JM신엄,2016-03-08,8.73
JM신엄,2016-03-09,8.76
JM신엄,2016-03-10,8.75
JM신엄,2016-03-11,8.76
JM신엄,2016-03-12,8.78
JM신엄,2016-03-13,8.8
JM신엄,2016-03-14,8.8
JM신엄,2016-03-15,8.8
JM신엄,2016-03-16,8.81
JM신엄,2016-03-17,8.82
JM신엄,2016-03-18,8.87
JM신엄,2016-03-19,8.84
JM신엄,2016-03-20,8.82
JM신엄,2016-03-21,8.82
JM신엄,2016-03-22,8.83
JM신엄,2016-03-23,8.83
JM신엄,2016-03-24,8.82
JM신엄,2016-03-25,8.83
JM신엄,2016-03-26,8.83
JM신엄,2016-03-27,8.83
JM신엄,2016-03-28,8.82
JM신엄,2016-03-29,8.83
JM신엄,2016-03-30,8.84
JM신엄,2016-03-31,8.86
JM신엄,2016-04-01,8.86
JM신엄,2016-04-02,8.85
JM신엄,2016-04-03,8.88
JM신엄,2016-04-04,8.9
JM신엄,2016-04-05,8.88
