관측소명,날짜,EL
JM용흥,2016-01-01,34.56
JM용흥,2016-01-02,34.58
JM용흥,2016-01-03,34.67
JM용흥,2016-01-04,34.46
JM용흥,2016-01-05,34.41
JM용흥,2016-01-06,34.47
JM용흥,2016-01-07,34.35
JM용흥,2016-01-08,34.53
JM용흥,2016-01-09,34.27
JM용흥,2016-01-10,34.2
JM용흥,2016-01-11,34.17
JM용흥,2016-01-12,34.15
JM용흥,2016-01-13,34.31
JM용흥,2016-01-14,34.07
JM용흥,2016-01-15,34.02
JM용흥,2016-01-16,33.97
JM용흥,2016-01-17,33.99
JM용흥,2016-01-18,34.05
JM용흥,2016-01-19,33.88
JM용흥,2016-01-20,33.82
JM용흥,2016-01-21,33.8
JM용흥,2016-01-22,33.75
JM용흥,2016-01-23,33.71
JM용흥,2016-01-24,33.95
JM용흥,2016-01-25,33.67
JM용흥,2016-01-26,33.6
JM용흥,2016-01-27,33.55
JM용흥,2016-01-28,33.57
JM용흥,2016-01-29,33.83
JM용흥,2016-01-30,33.54
JM용흥,2016-01-31,33.64
JM용흥,2016-02-01,34.05
JM용흥,2016-02-02,33.49
JM용흥,2016-02-03,33.74
JM용흥,2016-02-04,33.99
JM용흥,2016-02-05,33.75
JM용흥,2016-02-06,33.66
JM용흥,2016-02-07,33.67
JM용흥,2016-02-08,33.51
JM용흥,2016-02-09,33.55
JM용흥,2016-02-10,33.58
JM용흥,2016-02-11,33.65
JM용흥,2016-02-12,33.2
JM용흥,2016-02-13,33.24
JM용흥,2016-02-14,33.36
JM용흥,2016-02-15,33.57
JM용흥,2016-02-16,33.81
JM용흥,2016-02-17,33.92
JM용흥,2016-02-18,34.18
JM용흥,2016-02-19,33.78
JM용흥,2016-02-20,33.93
JM용흥,2016-02-21,33.93
JM용흥,2016-02-22,33.86
JM용흥,2016-02-23,33.88
JM용흥,2016-02-24,34.0
JM용흥,2016-02-25,34.34
JM용흥,2016-02-26,34.29
JM용흥,2016-02-27,34.55
JM용흥,2016-02-28,34.51
JM용흥,2016-02-29,34.19
JM용흥,2016-03-01,34.58
JM용흥,2016-03-02,34.5
JM용흥,2016-03-03,34.86
JM용흥,2016-03-04,34.97
JM용흥,2016-03-05,34.62
JM용흥,2016-03-06,34.66
JM용흥,2016-03-07,35.08
JM용흥,2016-03-08,35.16
JM용흥,2016-03-09,35.27
JM용흥,2016-03-10,35.22
JM용흥,2016-03-11,35.45
JM용흥,2016-03-12,35.33
JM용흥,2016-03-13,35.38
JM용흥,2016-03-14,35.44
JM용흥,2016-03-15,35.78
JM용흥,2016-03-16,35.88
JM용흥,2016-03-17,35.84
JM용흥,2016-03-18,35.9
JM용흥,2016-03-19,35.86
JM용흥,2016-03-20,35.72
JM용흥,2016-03-21,35.82
JM용흥,2016-03-22,35.91
JM용흥,2016-03-23,35.69
JM용흥,2016-03-24,35.8
JM용흥,2016-03-25,35.64
JM용흥,2016-03-26,35.83
JM용흥,2016-03-27,36.0
JM용흥,2016-03-28,35.89
JM용흥,2016-03-29,35.8
JM용흥,2016-03-30,36.14
JM용흥,2016-03-31,36.19
JM용흥,2016-04-01,36.08
JM용흥,2016-04-02,35.72
JM용흥,2016-04-06,35.88
JM용흥,2016-04-07,35.97
JM용흥,2016-04-08,35.82
JM용흥,2016-04-09,35.82
JM용흥,2016-04-10,35.94
JM용흥,2016-04-11,35.79
JM용흥,2016-04-12,35.99
JM용흥,2016-04-13,35.9
JM용흥,2016-04-14,35.82
JM용흥,2016-04-15,35.95
JM용흥,2016-04-16,35.87
JM용흥,2016-04-17,35.87
JM용흥,2016-04-18,35.93
JM용흥,2016-04-19,35.83
JM용흥,2016-04-20,35.92
JM용흥,2016-04-21,36.11
JM용흥,2016-04-22,36.05
JM용흥,2016-04-23,36.37
JM용흥,2016-04-24,36.26
JM용흥,2016-04-25,36.18
JM용흥,2016-04-26,36.14
JM용흥,2016-04-27,36.42
JM용흥,2016-04-28,36.39
JM용흥,2016-04-29,36.15
JM용흥,2016-04-30,36.15
JM용흥,2016-05-01,36.31
JM용흥,2016-05-02,36.48
JM용흥,2016-05-03,36.42
JM용흥,2016-05-04,36.51
JM용흥,2016-05-05,36.65
JM용흥,2016-05-06,36.89
JM용흥,2016-05-07,36.99
JM용흥,2016-05-08,37.09
JM용흥,2016-05-09,37.4
JM용흥,2016-05-10,37.43
JM용흥,2016-05-11,37.57
JM용흥,2016-05-12,37.56
JM용흥,2016-05-13,37.57
JM용흥,2016-05-14,37.69
JM용흥,2016-05-15,37.79
JM용흥,2016-05-16,37.94
JM용흥,2016-05-17,37.95
JM용흥,2016-05-18,38.08
JM용흥,2016-05-19,38.28
JM용흥,2016-05-20,38.21
JM용흥,2016-05-21,38.33
JM용흥,2016-05-22,38.45
JM용흥,2016-05-23,38.64
JM용흥,2016-05-24,38.7
JM용흥,2016-05-25,38.75
JM용흥,2016-05-26,38.81
JM용흥,2016-05-27,38.84
JM용흥,2016-05-28,38.94
JM용흥,2016-05-29,39.19
JM용흥,2016-05-30,39.18
JM용흥,2016-05-31,39.15
JM용흥,2016-06-01,39.3
JM용흥,2016-06-02,39.28
JM용흥,2016-06-03,39.18
JM용흥,2016-06-04,39.38
JM용흥,2016-06-05,39.19
JM용흥,2016-06-06,39.19
JM용흥,2016-06-07,39.16
JM용흥,2016-06-08,39.12
JM용흥,2016-06-09,39.12
JM용흥,2016-06-10,39.01
JM용흥,2016-06-11,38.97
JM용흥,2016-06-12,39.09
JM용흥,2016-06-13,38.96
JM용흥,2016-06-14,38.78
JM용흥,2016-06-15,38.71
JM용흥,2016-06-16,38.82
JM용흥,2016-06-17,38.62
JM용흥,2016-06-18,38.51
JM용흥,2016-06-19,38.59
JM용흥,2016-06-20,38.46
JM용흥,2016-06-21,38.28
JM용흥,2016-06-22,38.22
JM용흥,2016-06-23,38.27
JM용흥,2016-06-24,38.41
JM용흥,2016-06-25,38.34
JM용흥,2016-06-26,38.31
JM용흥,2016-06-27,38.29
JM용흥,2016-06-28,38.46
JM용흥,2016-06-29,38.35
JM용흥,2016-06-30,38.41
JM용흥,2016-07-01,38.56
JM용흥,2016-07-02,38.46
JM용흥,2016-07-03,38.5
JM용흥,2016-07-04,38.37
JM용흥,2016-07-05,38.35
JM용흥,2016-07-06,38.35
JM용흥,2016-07-07,38.32
JM용흥,2016-07-08,38.43
JM용흥,2016-07-09,38.43
JM용흥,2016-07-10,38.53
JM용흥,2016-07-11,38.55
JM용흥,2016-07-12,38.54
JM용흥,2016-07-13,38.61
JM용흥,2016-07-14,38.84
JM용흥,2016-07-15,39.02
JM용흥,2016-07-16,39.33
JM용흥,2016-07-17,39.34
JM용흥,2016-07-18,39.45
JM용흥,2016-07-19,39.65
JM용흥,2016-07-20,39.7
JM용흥,2016-07-21,39.86
JM용흥,2016-07-22,40.05
JM용흥,2016-07-23,40.15
JM용흥,2016-07-24,40.15
JM용흥,2016-07-25,40.3
JM용흥,2016-07-26,40.41
JM용흥,2016-07-27,40.63
JM용흥,2016-07-28,40.68
JM용흥,2016-07-29,40.78
JM용흥,2016-07-30,40.89
JM용흥,2016-07-31,40.97
JM용흥,2016-08-01,41.02
JM용흥,2016-08-02,41.08
JM용흥,2016-08-03,41.31
JM용흥,2016-08-04,41.41
JM용흥,2016-08-05,41.34
JM용흥,2016-08-06,41.49
JM용흥,2016-08-07,41.4
JM용흥,2016-08-08,41.37
JM용흥,2016-08-09,41.39
JM용흥,2016-08-10,41.31
JM용흥,2016-08-11,41.23
JM용흥,2016-08-12,41.16
JM용흥,2016-08-13,41.11
JM용흥,2016-08-14,41.04
JM용흥,2016-08-15,40.96
JM용흥,2016-08-16,40.85
JM용흥,2016-08-17,40.76
JM용흥,2016-08-18,40.63
JM용흥,2016-08-19,40.49
JM용흥,2016-08-20,40.38
JM용흥,2016-08-21,40.24
