관측소명,날짜,EL
JQ가시11,2023-02-22,29.6
JQ가시11,2023-02-23,29.6
JQ가시11,2023-02-24,29.59
JQ가시11,2023-02-25,29.59
JQ가시11,2023-02-26,29.6
JQ가시11,2023-02-27,29.59
JQ가시11,2023-02-28,29.59
JQ가시11,2023-03-01,29.59
JQ가시11,2023-03-02,29.58
JQ가시11,2023-03-03,29.57
JQ가시11,2023-03-04,29.56
JQ가시11,2023-03-05,29.56
JQ가시11,2023-03-06,29.56
JQ가시11,2023-03-07,29.56
JQ가시11,2023-03-08,29.56
JQ가시11,2023-03-09,29.56
JQ가시11,2023-03-10,29.56
JQ가시11,2023-03-11,29.56
JQ가시11,2023-03-12,29.56
JQ가시11,2023-03-13,29.56
JQ가시11,2023-03-14,29.56
JQ가시11,2023-03-15,29.56
JQ가시11,2023-03-16,29.56
JQ가시11,2023-03-17,29.56
JQ가시11,2023-03-18,29.56
JQ가시11,2023-03-19,29.56
JQ가시11,2023-03-20,29.56
JQ가시11,2023-03-21,29.55
JQ가시11,2023-03-22,29.55
JQ가시11,2023-03-23,29.56
JQ가시11,2023-03-24,29.57
JQ가시11,2023-03-25,29.57
JQ가시11,2023-03-26,29.58
JQ가시11,2023-03-27,29.59
JQ가시11,2023-03-28,29.59
JQ가시11,2023-03-29,29.59
JQ가시11,2023-03-30,29.59
JQ가시11,2023-03-31,29.59
JQ가시11,2023-04-01,29.59
JQ가시11,2023-04-02,29.6
JQ가시11,2023-04-03,29.6
JQ가시11,2023-04-04,29.6
JQ가시11,2023-04-05,29.6
JQ가시11,2023-04-06,29.63
JQ가시11,2023-04-07,29.68
JQ가시11,2023-04-08,29.7
JQ가시11,2023-04-09,29.72
JQ가시11,2023-04-10,29.72
JQ가시11,2023-04-11,29.73
JQ가시11,2023-04-12,29.71
JQ가시11,2023-04-13,29.71
JQ가시11,2023-04-14,29.71
JQ가시11,2023-04-15,29.71
JQ가시11,2023-04-16,29.71
JQ가시11,2023-04-17,29.7
JQ가시11,2023-04-18,29.7
JQ가시11,2023-04-19,29.69
JQ가시11,2023-04-20,29.69
JQ가시11,2023-04-21,29.69
JQ가시11,2023-04-22,29.68
JQ가시11,2023-04-23,29.68
JQ가시11,2023-04-24,29.67
JQ가시11,2023-04-25,29.66
JQ가시11,2023-04-26,29.65
JQ가시11,2023-04-27,29.65
JQ가시11,2023-04-28,29.65
JQ가시11,2023-04-29,29.65
JQ가시11,2023-04-30,29.64
JQ가시11,2023-05-01,29.64
JQ가시11,2023-05-02,29.64
JQ가시11,2023-05-03,29.64
JQ가시11,2023-05-04,29.64
JQ가시11,2023-05-05,29.66
JQ가시11,2023-05-06,29.73
JQ가시11,2023-05-07,29.77
JQ가시11,2023-05-08,29.79
JQ가시11,2023-05-09,29.82
JQ가시11,2023-05-10,29.83
JQ가시11,2023-05-11,29.83
JQ가시11,2023-05-12,29.84
JQ가시11,2023-05-13,29.84
JQ가시11,2023-05-14,29.84
JQ가시11,2023-05-15,29.83
JQ가시11,2023-05-16,29.83
JQ가시11,2023-05-17,29.83
JQ가시11,2023-05-18,29.82
JQ가시11,2023-05-19,29.83
JQ가시11,2023-05-20,29.85
JQ가시11,2023-05-21,29.87
JQ가시11,2023-05-22,29.87
JQ가시11,2023-05-23,29.87
JQ가시11,2023-05-24,29.87
JQ가시11,2023-05-25,29.87
JQ가시11,2023-05-26,29.86
JQ가시11,2023-05-27,29.86
JQ가시11,2023-05-28,29.86
JQ가시11,2023-05-29,29.85
JQ가시11,2023-05-30,29.86
JQ가시11,2023-05-31,29.86
JQ가시11,2023-06-01,29.86
JQ가시11,2023-06-02,29.86
JQ가시11,2023-06-03,29.86
JQ가시11,2023-06-04,29.87
JQ가시11,2023-06-05,29.87
JQ가시11,2023-06-06,29.87
JQ가시11,2023-06-07,29.87
JQ가시11,2023-06-08,29.87
JQ가시11,2023-06-09,29.87
JQ가시11,2023-06-10,29.87
JQ가시11,2023-06-11,29.87
JQ가시11,2023-06-12,29.87
JQ가시11,2023-06-13,29.87
JQ가시11,2023-06-14,29.87
JQ가시11,2023-06-15,29.87
JQ가시11,2023-06-16,29.86
JQ가시11,2023-06-17,29.85
