관측소명,날짜,EL
JQ상명1,2005-01-01,13.53
JQ상명1,2005-01-02,13.46
JQ상명1,2005-01-03,13.4
JQ상명1,2005-01-04,13.31
JQ상명1,2005-01-05,13.24
JQ상명1,2005-01-06,13.21
JQ상명1,2005-01-07,13.11
JQ상명1,2005-01-08,12.89
JQ상명1,2005-01-09,12.78
JQ상명1,2005-01-10,12.77
JQ상명1,2005-01-11,12.81
JQ상명1,2005-01-12,12.75
JQ상명1,2005-01-13,12.68
JQ상명1,2005-01-14,12.63
JQ상명1,2005-01-15,12.56
JQ상명1,2005-01-16,12.48
JQ상명1,2005-01-17,12.43
JQ상명1,2005-01-18,12.36
JQ상명1,2005-01-19,12.29
JQ상명1,2005-01-20,12.21
JQ상명1,2005-01-21,12.14
JQ상명1,2005-01-22,12.08
JQ상명1,2005-01-23,12.08
JQ상명1,2005-01-24,12.02
JQ상명1,2005-01-25,12.03
JQ상명1,2005-01-26,11.99
JQ상명1,2005-01-27,11.94
JQ상명1,2005-01-28,11.87
JQ상명1,2005-01-29,11.78
JQ상명1,2005-01-30,11.71
JQ상명1,2005-01-31,11.68
JQ상명1,2005-02-01,11.62
JQ상명1,2005-02-02,11.56
JQ상명1,2005-02-03,11.51
JQ상명1,2005-02-04,11.46
JQ상명1,2005-02-05,11.41
JQ상명1,2005-02-06,11.34
JQ상명1,2005-02-07,11.32
JQ상명1,2005-02-08,11.29
JQ상명1,2005-02-09,11.3
JQ상명1,2005-02-10,11.28
JQ상명1,2005-02-11,11.2
JQ상명1,2005-02-12,11.16
JQ상명1,2005-02-13,11.1
JQ상명1,2005-02-14,11.07
JQ상명1,2005-02-15,11.2
JQ상명1,2005-02-16,11.26
JQ상명1,2005-02-17,11.2
JQ상명1,2005-02-18,11.23
JQ상명1,2005-02-19,11.23
JQ상명1,2005-02-20,11.16
JQ상명1,2005-02-21,11.13
JQ상명1,2005-02-22,11.09
JQ상명1,2005-02-23,11.03
JQ상명1,2005-02-24,11.04
JQ상명1,2005-02-25,10.99
JQ상명1,2005-02-26,10.95
JQ상명1,2005-02-27,10.93
JQ상명1,2005-02-28,10.9
JQ상명1,2005-03-01,10.86
JQ상명1,2005-03-02,10.85
JQ상명1,2005-03-03,10.82
JQ상명1,2005-03-04,10.79
JQ상명1,2005-03-05,10.76
JQ상명1,2005-03-06,10.71
JQ상명1,2005-03-07,10.71
JQ상명1,2005-03-08,10.69
JQ상명1,2005-03-09,10.68
JQ상명1,2005-03-10,10.67
JQ상명1,2005-03-11,10.63
JQ상명1,2005-03-12,10.59
JQ상명1,2005-03-13,10.56
JQ상명1,2005-03-14,10.55
JQ상명1,2005-03-15,10.54
JQ상명1,2005-03-16,10.52
JQ상명1,2005-03-17,10.68
JQ상명1,2005-03-18,10.58
JQ상명1,2005-03-19,10.55
JQ상명1,2005-03-20,10.5
JQ상명1,2005-03-21,10.48
JQ상명1,2005-03-22,10.63
JQ상명1,2005-03-23,10.59
JQ상명1,2005-03-24,10.59
JQ상명1,2005-03-25,10.57
JQ상명1,2005-03-26,10.53
JQ상명1,2005-03-27,10.56
JQ상명1,2005-03-28,10.58
JQ상명1,2005-03-29,10.55
JQ상명1,2005-03-30,10.53
JQ상명1,2005-03-31,10.51
JQ상명1,2005-04-01,10.48
JQ상명1,2005-04-02,10.47
JQ상명1,2005-04-03,10.41
JQ상명1,2005-04-04,10.4
JQ상명1,2005-04-05,10.38
JQ상명1,2005-04-06,10.38
JQ상명1,2005-04-07,10.37
JQ상명1,2005-04-08,10.34
JQ상명1,2005-04-09,10.34
JQ상명1,2005-04-10,10.41
JQ상명1,2005-04-11,10.38
JQ상명1,2005-04-12,10.36
JQ상명1,2005-04-13,10.33
JQ상명1,2005-04-14,10.3
JQ상명1,2005-04-15,10.27
JQ상명1,2005-04-16,10.24
JQ상명1,2005-04-17,10.22
JQ상명1,2005-04-18,10.19
JQ상명1,2005-04-19,10.2
JQ상명1,2005-04-20,10.18
JQ상명1,2005-04-21,10.17
JQ상명1,2005-04-22,10.14
JQ상명1,2005-04-23,10.13
JQ상명1,2005-04-24,10.11
JQ상명1,2005-04-25,10.11
JQ상명1,2005-04-26,10.1
JQ상명1,2005-04-27,10.09
JQ상명1,2005-04-28,10.08
JQ상명1,2005-04-29,10.06
JQ상명1,2005-04-30,10.05
JQ상명1,2005-05-01,10.23
JQ상명1,2005-05-02,10.14
JQ상명1,2005-05-03,10.12
JQ상명1,2005-05-04,10.09
JQ상명1,2005-05-05,10.23
JQ상명1,2005-05-06,10.17
JQ상명1,2005-05-07,10.16
JQ상명1,2005-05-08,10.12
JQ상명1,2005-05-09,10.11
JQ상명1,2005-05-10,10.07
JQ상명1,2005-05-11,10.07
JQ상명1,2005-05-12,10.04
JQ상명1,2005-05-13,10.04
JQ상명1,2005-05-14,9.99
JQ상명1,2005-05-15,9.98
JQ상명1,2005-05-16,9.96
JQ상명1,2005-05-17,9.96
JQ상명1,2005-05-18,10.01
JQ상명1,2005-05-19,10.0
JQ상명1,2005-05-20,9.97
JQ상명1,2005-05-21,9.96
JQ상명1,2005-05-22,9.94
JQ상명1,2005-05-23,9.93
JQ상명1,2005-05-24,9.91
JQ상명1,2005-05-25,9.89
JQ상명1,2005-05-26,9.89
JQ상명1,2005-05-27,9.87
JQ상명1,2005-05-28,9.84
JQ상명1,2005-05-29,9.82
JQ상명1,2005-05-30,9.83
JQ상명1,2005-05-31,9.82
JQ상명1,2005-06-01,9.8
JQ상명1,2005-06-02,9.86
JQ상명1,2005-06-03,9.81
JQ상명1,2005-06-04,9.78
JQ상명1,2005-06-05,9.76
JQ상명1,2005-06-06,9.74
JQ상명1,2005-06-07,9.73
JQ상명1,2005-06-08,9.71
JQ상명1,2005-06-09,9.7
JQ상명1,2005-06-10,9.71
JQ상명1,2005-06-11,9.68
JQ상명1,2005-06-12,9.66
JQ상명1,2005-06-13,9.65
JQ상명1,2005-06-14,9.63
JQ상명1,2005-06-15,9.62
JQ상명1,2005-06-16,9.58
JQ상명1,2005-06-17,9.56
JQ상명1,2005-06-18,9.54
JQ상명1,2005-06-19,9.52
JQ상명1,2005-06-20,9.51
JQ상명1,2005-06-21,9.5
JQ상명1,2005-06-22,9.47
JQ상명1,2005-06-23,9.46
JQ상명1,2005-06-24,9.44
JQ상명1,2005-06-25,9.43
JQ상명1,2005-06-26,9.4
JQ상명1,2005-06-27,9.38
JQ상명1,2005-06-28,9.36
JQ상명1,2005-06-29,9.34
JQ상명1,2005-06-30,9.32
JQ상명1,2005-07-01,9.3
JQ상명1,2005-07-02,9.27
JQ상명1,2005-07-03,9.26
JQ상명1,2005-07-04,9.24
JQ상명1,2005-07-05,9.44
JQ상명1,2005-07-06,9.41
JQ상명1,2005-07-07,9.32
JQ상명1,2005-07-08,9.29
JQ상명1,2005-07-09,9.26
JQ상명1,2005-07-10,9.3
JQ상명1,2005-07-11,9.3
JQ상명1,2005-07-12,9.24
JQ상명1,2005-07-13,9.44
JQ상명1,2005-07-14,9.41
JQ상명1,2005-07-15,9.4
JQ상명1,2005-07-16,9.34
JQ상명1,2005-07-17,9.29
JQ상명1,2005-07-18,9.25
JQ상명1,2005-07-19,9.22
JQ상명1,2005-07-20,9.19
JQ상명1,2005-07-21,9.14
JQ상명1,2005-07-22,9.11
JQ상명1,2005-07-23,9.09
JQ상명1,2005-07-24,9.06
JQ상명1,2005-07-25,9.05
JQ상명1,2005-07-26,9.03
JQ상명1,2005-07-27,9.0
JQ상명1,2005-07-28,8.99
JQ상명1,2005-07-29,9.0
JQ상명1,2005-07-30,8.94
JQ상명1,2005-07-31,9.06
JQ상명1,2005-08-01,8.97
JQ상명1,2005-08-02,9.03
JQ상명1,2005-08-03,8.95
JQ상명1,2005-08-04,8.9
JQ상명1,2005-08-05,8.91
JQ상명1,2005-08-06,8.88
JQ상명1,2005-08-07,9.36
JQ상명1,2005-08-08,9.36
JQ상명1,2005-08-09,9.2
JQ상명1,2005-08-10,9.16
JQ상명1,2005-08-11,9.11
JQ상명1,2005-08-12,9.1
JQ상명1,2005-08-13,9.06
JQ상명1,2005-08-14,9.0
JQ상명1,2005-08-15,9.0
JQ상명1,2005-08-16,8.96
JQ상명1,2005-08-17,8.95
JQ상명1,2005-08-18,8.93
JQ상명1,2005-08-19,8.94
JQ상명1,2005-08-20,9.16
JQ상명1,2005-08-21,9.03
JQ상명1,2005-08-22,9.0
JQ상명1,2005-08-23,9.06
JQ상명1,2005-08-24,9.24
JQ상명1,2005-08-25,9.24
JQ상명1,2005-08-26,9.14
JQ상명1,2005-08-27,9.14
JQ상명1,2005-08-28,9.11
JQ상명1,2005-08-29,9.1
JQ상명1,2005-08-30,9.07
JQ상명1,2005-08-31,9.06
JQ상명1,2005-09-01,9.04
JQ상명1,2005-09-02,9.05
JQ상명1,2005-09-03,9.02
JQ상명1,2005-09-04,9.03
JQ상명1,2005-09-05,9.04
JQ상명1,2005-09-06,9.07
JQ상명1,2005-09-07,9.04
JQ상명1,2005-09-08,9.06
JQ상명1,2005-09-09,9.06
JQ상명1,2005-09-10,8.99
JQ상명1,2005-09-11,9.03
JQ상명1,2005-09-12,9.03
JQ상명1,2005-09-13,9.03
JQ상명1,2005-09-14,9.03
JQ상명1,2005-09-15,9.02
JQ상명1,2005-09-16,9.01
JQ상명1,2005-09-17,9.04
JQ상명1,2005-09-18,9.07
JQ상명1,2005-09-19,9.07
JQ상명1,2005-09-20,9.05
JQ상명1,2005-09-21,9.05
JQ상명1,2005-09-22,9.08
JQ상명1,2005-09-23,9.09
JQ상명1,2005-09-24,9.07
JQ상명1,2005-09-25,9.09
JQ상명1,2005-09-26,9.09
JQ상명1,2005-09-27,9.1
JQ상명1,2005-09-28,9.07
JQ상명1,2005-09-29,9.09
JQ상명1,2005-09-30,9.09
JQ상명1,2005-10-01,9.08
JQ상명1,2005-10-02,9.04
JQ상명1,2005-10-03,9.06
JQ상명1,2005-10-04,9.17
JQ상명1,2005-10-05,9.15
JQ상명1,2005-10-06,9.11
JQ상명1,2005-10-07,9.11
JQ상명1,2005-10-08,9.09
JQ상명1,2005-10-09,9.07
JQ상명1,2005-10-10,9.05
JQ상명1,2005-10-11,9.06
JQ상명1,2005-10-12,9.05
JQ상명1,2005-10-13,9.03
JQ상명1,2005-10-14,9.02
JQ상명1,2005-10-15,9.01
JQ상명1,2005-10-16,8.99
JQ상명1,2005-10-17,8.96
JQ상명1,2005-10-18,8.96
JQ상명1,2005-10-19,8.93
JQ상명1,2005-10-20,8.94
JQ상명1,2005-10-21,8.9
JQ상명1,2005-10-22,8.89
JQ상명1,2005-10-23,8.87
JQ상명1,2005-10-24,8.84
JQ상명1,2005-10-25,8.82
JQ상명1,2005-10-26,8.78
JQ상명1,2005-10-27,8.78
JQ상명1,2005-10-28,8.83
JQ상명1,2005-10-29,8.78
JQ상명1,2005-10-30,8.74
JQ상명1,2005-10-31,8.7
JQ상명1,2005-11-01,8.69
JQ상명1,2005-11-02,8.67
JQ상명1,2005-11-03,8.63
JQ상명1,2005-11-04,8.64
JQ상명1,2005-11-05,8.79
JQ상명1,2005-11-06,8.93
JQ상명1,2005-11-07,8.72
JQ상명1,2005-11-08,8.67
JQ상명1,2005-11-09,8.65
JQ상명1,2005-11-10,8.65
JQ상명1,2005-11-11,9.13
JQ상명1,2005-11-12,8.95
JQ상명1,2005-11-13,8.87
JQ상명1,2005-11-14,8.85
JQ상명1,2005-11-15,8.8
JQ상명1,2005-11-16,8.68
JQ상명1,2005-11-17,8.73
JQ상명1,2005-11-18,8.7
JQ상명1,2005-11-19,8.64
JQ상명1,2005-11-20,8.61
JQ상명1,2005-11-21,8.6
