관측소명,날짜,EL
JQ성산11,2024-02-23,65.71
JQ성산11,2024-02-24,65.4
JQ성산11,2024-02-25,65.2
JQ성산11,2024-02-26,64.87
JQ성산11,2024-02-27,64.48
JQ성산11,2024-02-28,64.19
JQ성산11,2024-02-29,63.99
JQ성산11,2024-03-01,63.89
JQ성산11,2024-03-02,63.69
JQ성산11,2024-03-03,63.5
JQ성산11,2024-03-04,63.33
JQ성산11,2024-03-05,63.27
JQ성산11,2024-03-06,63.52
JQ성산11,2024-03-07,63.49
JQ성산11,2024-03-08,63.34
JQ성산11,2024-03-09,63.18
JQ성산11,2024-03-10,62.98
JQ성산11,2024-03-11,62.78
JQ성산11,2024-03-12,62.68
JQ성산11,2024-03-13,62.6
JQ성산11,2024-03-14,62.5
JQ성산11,2024-03-15,62.38
JQ성산11,2024-03-16,62.28
JQ성산11,2024-03-17,62.23
JQ성산11,2024-03-18,62.17
JQ성산11,2024-03-19,62.12
JQ성산11,2024-03-20,62.06
JQ성산11,2024-03-21,62.02
JQ성산11,2024-03-22,61.98
JQ성산11,2024-03-23,61.95
JQ성산11,2024-03-24,61.92
JQ성산11,2024-03-25,61.91
JQ성산11,2024-03-26,62.02
JQ성산11,2024-03-27,62.4
JQ성산11,2024-03-28,62.38
JQ성산11,2024-03-29,63.35
JQ성산11,2024-03-30,63.34
JQ성산11,2024-03-31,63.16
JQ성산11,2024-04-01,63.05
JQ성산11,2024-04-02,62.89
JQ성산11,2024-04-03,66.16
JQ성산11,2024-04-04,65.48
JQ성산11,2024-04-05,64.67
JQ성산11,2024-04-06,64.27
JQ성산11,2024-04-07,64.0
JQ성산11,2024-04-08,63.77
JQ성산11,2024-04-09,63.54
JQ성산11,2024-04-10,63.28
JQ성산11,2024-04-11,63.03
JQ성산11,2024-04-12,62.8
JQ성산11,2024-04-13,62.62
JQ성산11,2024-04-14,62.5
JQ성산11,2024-04-15,62.42
JQ성산11,2024-04-16,62.4
JQ성산11,2024-04-17,62.35
JQ성산11,2024-04-18,62.3
JQ성산11,2024-04-19,62.25
JQ성산11,2024-04-20,62.2
JQ성산11,2024-04-21,62.4
JQ성산11,2024-04-22,62.29
JQ성산11,2024-04-23,62.17
JQ성산11,2024-04-24,62.16
JQ성산11,2024-04-25,62.15
JQ성산11,2024-04-26,62.09
JQ성산11,2024-04-27,62.05
JQ성산11,2024-04-28,62.0
JQ성산11,2024-04-29,62.25
JQ성산11,2024-04-30,63.32
JQ성산11,2024-05-01,63.37
JQ성산11,2024-05-02,63.14
JQ성산11,2024-05-03,62.91
JQ성산11,2024-05-04,62.73
JQ성산11,2024-05-05,62.63
JQ성산11,2024-05-06,64.64
JQ성산11,2024-05-07,64.82
JQ성산11,2024-05-08,64.41
JQ성산11,2024-05-09,64.1
JQ성산11,2024-05-10,63.82
JQ성산11,2024-05-11,63.57
JQ성산11,2024-05-12,63.36
JQ성산11,2024-05-13,63.19
JQ성산11,2024-05-14,62.98
JQ성산11,2024-05-15,62.77
JQ성산11,2024-05-16,62.6
JQ성산11,2024-05-17,62.48
JQ성산11,2024-05-18,62.38
JQ성산11,2024-05-19,62.29
JQ성산11,2024-05-20,62.22
JQ성산11,2024-05-21,62.15
JQ성산11,2024-05-22,62.08
JQ성산11,2024-05-23,62.03
JQ성산11,2024-05-24,61.99
JQ성산11,2024-05-25,61.95
JQ성산11,2024-05-26,61.91
JQ성산11,2024-05-27,61.89
JQ성산11,2024-05-28,61.89
JQ성산11,2024-05-29,61.88
JQ성산11,2024-05-30,61.85
JQ성산11,2024-05-31,61.81
JQ성산11,2024-06-01,61.78
JQ성산11,2024-06-02,61.73
JQ성산11,2024-06-03,61.39
JQ성산11,2024-06-04,59.34
JQ성산11,2024-06-05,57.39
JQ성산11,2024-06-06,56.5
JQ성산11,2024-06-07,56.09
JQ성산11,2024-06-08,56.0
JQ성산11,2024-06-09,62.16
JQ성산11,2024-06-10,62.13
JQ성산11,2024-06-11,61.91
JQ성산11,2024-06-12,61.82
JQ성산11,2024-06-13,61.77
JQ성산11,2024-06-14,61.74
JQ성산11,2024-06-15,61.64
JQ성산11,2024-06-16,60.5
JQ성산11,2024-06-17,58.85
JQ성산11,2024-06-18,57.59
JQ성산11,2024-06-19,56.72
JQ성산11,2024-06-20,57.85
JQ성산11,2024-06-21,64.93
JQ성산11,2024-06-22,64.49
JQ성산11,2024-06-23,64.58
JQ성산11,2024-06-24,64.74
JQ성산11,2024-06-25,64.35
JQ성산11,2024-06-26,64.0
JQ성산11,2024-06-27,63.73
JQ성산11,2024-06-28,64.0
JQ성산11,2024-06-29,65.22
JQ성산11,2024-06-30,67.06
JQ성산11,2024-07-01,66.29
JQ성산11,2024-07-02,65.22
JQ성산11,2024-07-03,64.59
JQ성산11,2024-07-04,64.23
JQ성산11,2024-07-05,64.0
JQ성산11,2024-07-06,63.81
JQ성산11,2024-07-07,63.59
JQ성산11,2024-07-08,63.36
JQ성산11,2024-07-09,63.17
JQ성산11,2024-07-10,62.99
JQ성산11,2024-07-11,62.84
JQ성산11,2024-07-12,62.71
JQ성산11,2024-07-13,62.59
JQ성산11,2024-07-14,62.5
JQ성산11,2024-07-15,62.88
JQ성산11,2024-07-16,63.74
JQ성산11,2024-07-17,64.11
JQ성산11,2024-07-18,64.01
JQ성산11,2024-07-19,63.89
JQ성산11,2024-07-20,63.8
JQ성산11,2024-07-21,63.64
JQ성산11,2024-07-22,63.45
JQ성산11,2024-07-23,63.28
JQ성산11,2024-07-24,63.13
JQ성산11,2024-07-25,62.99
JQ성산11,2024-07-26,63.08
