관측소명,날짜,EL
JQ유수암1,2020-07-29,10.02
JQ유수암1,2020-07-30,10.04
JQ유수암1,2020-07-31,10.09
JQ유수암1,2020-08-01,10.15
JQ유수암1,2020-08-02,10.19
JQ유수암1,2020-08-03,10.23
JQ유수암1,2020-08-04,10.26
JQ유수암1,2020-08-05,10.3
JQ유수암1,2020-08-06,10.34
JQ유수암1,2020-08-07,10.39
JQ유수암1,2020-08-08,10.44
JQ유수암1,2020-08-09,10.47
JQ유수암1,2020-08-10,10.51
JQ유수암1,2020-08-11,10.52
JQ유수암1,2020-08-12,10.56
JQ유수암1,2020-08-13,10.61
JQ유수암1,2020-08-14,10.64
JQ유수암1,2020-08-15,10.66
JQ유수암1,2020-08-16,10.73
JQ유수암1,2020-08-17,10.76
JQ유수암1,2020-08-18,10.76
JQ유수암1,2020-08-19,10.81
JQ유수암1,2020-08-20,10.84
JQ유수암1,2020-08-21,10.86
JQ유수암1,2020-08-22,10.88
JQ유수암1,2020-08-23,10.89
JQ유수암1,2020-08-24,10.88
JQ유수암1,2020-08-25,10.88
JQ유수암1,2020-08-26,10.91
JQ유수암1,2020-08-27,11.0
JQ유수암1,2020-08-28,11.03
JQ유수암1,2020-08-29,11.05
JQ유수암1,2020-08-30,11.08
JQ유수암1,2020-08-31,11.12
JQ유수암1,2020-09-01,11.17
JQ유수암1,2020-09-02,11.28
JQ유수암1,2020-09-03,11.23
JQ유수암1,2020-09-04,11.28
JQ유수암1,2020-09-05,11.4
JQ유수암1,2020-09-06,11.55
JQ유수암1,2020-09-07,11.7
JQ유수암1,2020-09-08,11.83
JQ유수암1,2020-09-09,12.06
JQ유수암1,2020-09-10,12.31
JQ유수암1,2020-09-11,12.56
JQ유수암1,2020-09-12,12.84
JQ유수암1,2020-09-13,13.15
JQ유수암1,2020-09-14,13.48
JQ유수암1,2020-09-15,13.82
JQ유수암1,2020-09-16,14.16
JQ유수암1,2020-09-17,14.47
JQ유수암1,2020-09-18,14.76
JQ유수암1,2020-09-19,15.06
JQ유수암1,2020-09-20,15.37
JQ유수암1,2020-09-21,15.66
JQ유수암1,2020-09-22,15.93
JQ유수암1,2020-09-23,16.19
JQ유수암1,2020-09-24,16.46
JQ유수암1,2020-09-25,16.7
JQ유수암1,2020-09-26,16.91
JQ유수암1,2020-09-27,17.12
JQ유수암1,2020-09-28,17.33
JQ유수암1,2020-09-29,17.55
JQ유수암1,2020-09-30,17.72
JQ유수암1,2020-10-01,17.86
JQ유수암1,2020-10-02,18.01
JQ유수암1,2020-10-03,18.16
JQ유수암1,2020-10-04,18.3
JQ유수암1,2020-10-05,18.39
JQ유수암1,2020-10-06,18.49
JQ유수암1,2020-10-07,18.59
JQ유수암1,2020-10-08,18.69
JQ유수암1,2020-10-09,18.78
JQ유수암1,2020-10-10,18.87
JQ유수암1,2020-10-11,18.96
JQ유수암1,2020-10-12,19.01
JQ유수암1,2020-10-13,19.05
JQ유수암1,2020-10-14,19.09
JQ유수암1,2020-10-15,19.14
JQ유수암1,2020-10-16,19.19
JQ유수암1,2020-10-17,19.22
JQ유수암1,2020-10-18,19.26
JQ유수암1,2020-10-19,19.29
JQ유수암1,2020-10-20,19.31
JQ유수암1,2020-10-21,19.36
JQ유수암1,2020-10-22,19.39
JQ유수암1,2020-10-23,19.39
JQ유수암1,2020-10-24,19.39
JQ유수암1,2020-10-25,19.4
JQ유수암1,2020-10-26,19.41
JQ유수암1,2020-10-27,19.41
JQ유수암1,2020-10-28,19.39
JQ유수암1,2020-10-29,19.39
JQ유수암1,2020-10-30,19.37
JQ유수암1,2020-10-31,19.36
JQ유수암1,2020-11-01,19.36
JQ유수암1,2020-11-02,19.33
JQ유수암1,2020-11-03,19.3
JQ유수암1,2020-11-04,19.27
JQ유수암1,2020-11-05,19.24
JQ유수암1,2020-11-06,19.24
JQ유수암1,2020-11-07,19.21
JQ유수암1,2020-11-08,19.16
JQ유수암1,2020-11-09,19.12
JQ유수암1,2020-11-10,19.07
JQ유수암1,2020-11-11,19.02
JQ유수암1,2020-11-12,18.99
JQ유수암1,2020-11-13,18.96
JQ유수암1,2020-11-14,18.92
JQ유수암1,2020-11-15,18.89
JQ유수암1,2020-11-16,18.86
JQ유수암1,2020-11-17,18.81
JQ유수암1,2020-11-18,18.79
JQ유수암1,2020-11-19,18.76
