관측소명,날짜,EL
JQ저지1,2021-01-14,74.08
JQ저지1,2021-01-15,74.09
JQ저지1,2021-01-16,74.1
JQ저지1,2021-01-17,74.07
JQ저지1,2021-01-18,74.04
JQ저지1,2021-01-19,74.01
JQ저지1,2021-01-20,73.98
JQ저지1,2021-01-21,73.97
JQ저지1,2021-01-22,73.97
JQ저지1,2021-01-23,74.01
JQ저지1,2021-01-24,74.08
JQ저지1,2021-01-25,74.09
JQ저지1,2021-01-26,74.12
JQ저지1,2021-01-27,74.15
JQ저지1,2021-01-28,74.16
JQ저지1,2021-01-29,74.16
JQ저지1,2021-01-30,74.14
JQ저지1,2021-01-31,74.11
JQ저지1,2021-03-08,74.27
JQ저지1,2021-03-09,74.28
JQ저지1,2021-03-10,74.27
JQ저지1,2021-03-11,74.25
JQ저지1,2021-03-12,74.29
JQ저지1,2021-03-13,74.34
JQ저지1,2021-03-14,74.37
JQ저지1,2021-03-15,74.41
JQ저지1,2021-03-16,74.47
JQ저지1,2021-03-17,74.51
JQ저지1,2021-03-18,74.52
JQ저지1,2021-03-19,74.53
JQ저지1,2021-03-20,74.59
JQ저지1,2021-03-21,74.65
JQ저지1,2021-03-22,74.65
JQ저지1,2021-03-23,74.62
JQ저지1,2021-03-24,74.6
JQ저지1,2021-03-25,74.58
JQ저지1,2021-03-26,74.56
JQ저지1,2021-03-27,74.56
JQ저지1,2021-03-28,74.76
JQ저지1,2021-03-29,74.93
JQ저지1,2021-03-30,75.04
JQ저지1,2021-03-31,75.09
JQ저지1,2021-04-01,75.11
JQ저지1,2021-04-02,75.14
JQ저지1,2021-04-03,75.19
JQ저지1,2021-04-04,75.3
JQ저지1,2021-04-05,75.36
JQ저지1,2021-04-06,75.38
JQ저지1,2021-04-07,75.37
JQ저지1,2021-04-08,75.36
JQ저지1,2021-04-09,75.34
JQ저지1,2021-04-10,75.29
JQ저지1,2021-04-11,75.24
JQ저지1,2021-04-12,75.24
JQ저지1,2021-04-13,75.6
JQ저지1,2021-04-14,75.85
JQ저지1,2021-04-15,75.99
JQ저지1,2021-04-16,76.08
JQ저지1,2021-04-17,76.13
JQ저지1,2021-04-18,76.14
JQ저지1,2021-04-19,76.13
JQ저지1,2021-04-20,76.11
JQ저지1,2021-04-21,76.07
JQ저지1,2021-04-22,76.04
JQ저지1,2021-04-23,76.03
JQ저지1,2021-04-24,76.01
JQ저지1,2021-04-25,75.96
JQ저지1,2021-04-26,75.9
JQ저지1,2021-04-27,75.85
JQ저지1,2021-04-28,75.81
JQ저지1,2021-04-29,75.81
JQ저지1,2021-04-30,75.86
JQ저지1,2021-05-01,75.93
JQ저지1,2021-05-02,75.91
JQ저지1,2021-05-03,75.86
JQ저지1,2021-05-04,75.85
JQ저지1,2021-05-05,76.18
JQ저지1,2021-05-06,76.35
JQ저지1,2021-05-07,76.47
JQ저지1,2021-05-08,76.58
JQ저지1,2021-05-09,76.64
JQ저지1,2021-05-10,76.65
JQ저지1,2021-05-11,76.65
JQ저지1,2021-05-12,76.65
JQ저지1,2021-05-13,76.62
JQ저지1,2021-05-14,76.57
JQ저지1,2021-05-15,76.55
JQ저지1,2021-05-16,76.58
JQ저지1,2021-05-17,76.66
JQ저지1,2021-05-18,76.68
JQ저지1,2021-05-19,76.67
JQ저지1,2021-05-20,76.7
JQ저지1,2021-05-21,76.75
JQ저지1,2021-05-22,76.74
JQ저지1,2021-05-23,76.71
JQ저지1,2021-05-24,76.68
JQ저지1,2021-05-25,76.63
JQ저지1,2021-05-26,76.59
JQ저지1,2021-05-27,76.62
JQ저지1,2021-05-28,76.63
JQ저지1,2021-05-29,76.62
JQ저지1,2021-05-30,76.57
JQ저지1,2021-05-31,76.51
JQ저지1,2021-06-01,76.44
JQ저지1,2021-06-02,76.36
JQ저지1,2021-06-03,76.33
JQ저지1,2021-06-04,76.33
JQ저지1,2021-06-05,76.29
JQ저지1,2021-06-06,76.25
JQ저지1,2021-06-07,76.16
JQ저지1,2021-06-08,76.06
JQ저지1,2021-06-09,75.95
JQ저지1,2021-06-10,75.88
JQ저지1,2021-06-11,76.21
JQ저지1,2021-06-12,77.04
JQ저지1,2021-06-13,77.41
JQ저지1,2021-06-14,77.62
JQ저지1,2021-06-15,77.8
JQ저지1,2021-06-16,78.04
JQ저지1,2021-06-17,78.15
JQ저지1,2021-06-18,78.24
JQ저지1,2021-06-19,78.26
JQ저지1,2021-06-20,78.25
JQ저지1,2021-06-21,78.19
JQ저지1,2021-06-22,78.1
JQ저지1,2021-06-23,78.0
JQ저지1,2021-06-24,77.88
JQ저지1,2021-06-25,77.77
JQ저지1,2021-06-26,77.66
JQ저지1,2021-06-27,77.57
JQ저지1,2021-06-28,77.49
JQ저지1,2021-06-29,77.41
JQ저지1,2021-06-30,77.32
JQ저지1,2021-07-01,77.23
JQ저지1,2021-07-02,77.13
JQ저지1,2021-07-03,77.05
JQ저지1,2021-07-04,77.01
JQ저지1,2021-07-05,77.06
JQ저지1,2021-07-06,77.08
JQ저지1,2021-07-07,77.11
JQ저지1,2021-07-08,77.26
JQ저지1,2021-07-09,77.36
JQ저지1,2021-07-10,77.4
JQ저지1,2021-07-11,77.38
JQ저지1,2021-07-12,77.35
JQ저지1,2021-07-13,77.3
JQ저지1,2021-07-14,77.24
JQ저지1,2021-07-15,77.16
JQ저지1,2021-07-16,77.08
JQ저지1,2021-07-17,77.03
JQ저지1,2021-07-18,77.02
JQ저지1,2021-07-19,77.03
JQ저지1,2021-07-20,77.01
JQ저지1,2021-07-21,76.98
JQ저지1,2021-07-22,76.95
JQ저지1,2021-07-23,76.93
JQ저지1,2021-07-24,76.9
JQ저지1,2021-07-25,76.88
JQ저지1,2021-07-26,76.88
JQ저지1,2021-07-27,76.86
JQ저지1,2021-07-28,76.83
JQ저지1,2021-07-29,76.79
JQ저지1,2021-07-30,76.74
JQ저지1,2021-07-31,76.7
JQ저지1,2021-08-01,76.66
JQ저지1,2021-08-02,76.62
JQ저지1,2021-08-03,76.55
JQ저지1,2021-08-04,76.48
JQ저지1,2021-08-05,76.41
JQ저지1,2021-08-06,76.35
JQ저지1,2021-08-07,76.29
JQ저지1,2021-08-08,76.24
JQ저지1,2021-08-09,76.19
JQ저지1,2021-08-10,76.12
JQ저지1,2021-08-11,76.06
JQ저지1,2021-08-12,76.02
JQ저지1,2021-08-13,76.04
JQ저지1,2021-08-14,76.17
JQ저지1,2021-08-15,76.34
JQ저지1,2021-08-16,76.41
JQ저지1,2021-08-17,76.45
JQ저지1,2021-08-18,76.46
JQ저지1,2021-08-19,76.44
JQ저지1,2021-08-20,76.4
JQ저지1,2021-08-21,76.37
JQ저지1,2021-08-22,76.39
JQ저지1,2021-08-23,76.61
JQ저지1,2021-08-24,76.83
JQ저지1,2021-08-25,76.93
JQ저지1,2021-08-26,76.95
JQ저지1,2021-08-27,76.94
JQ저지1,2021-08-28,76.91
JQ저지1,2021-08-29,76.86
JQ저지1,2021-08-30,76.8
JQ저지1,2021-08-31,76.74
JQ저지1,2021-09-01,76.69
JQ저지1,2021-09-02,76.68
JQ저지1,2021-09-03,77.2
JQ저지1,2021-09-04,77.65
JQ저지1,2021-09-05,77.78
JQ저지1,2021-09-06,77.82
JQ저지1,2021-09-07,77.85
JQ저지1,2021-09-08,77.87
JQ저지1,2021-09-09,77.83
JQ저지1,2021-09-10,77.79
JQ저지1,2021-09-11,77.75
JQ저지1,2021-09-12,77.71
JQ저지1,2021-09-13,77.65
JQ저지1,2021-09-14,77.73
JQ저지1,2021-09-15,78.15
JQ저지1,2021-09-16,78.45
JQ저지1,2021-09-17,79.0
JQ저지1,2021-09-18,79.4
JQ저지1,2021-09-19,79.51
JQ저지1,2021-09-20,79.56
JQ저지1,2021-09-21,79.6
JQ저지1,2021-09-22,79.59
JQ저지1,2021-09-23,79.5
JQ저지1,2021-09-24,79.38
JQ저지1,2021-09-25,79.27
JQ저지1,2021-09-26,79.16
JQ저지1,2021-09-27,79.06
JQ저지1,2021-09-28,78.98
JQ저지1,2021-09-29,78.9
JQ저지1,2021-09-30,78.84
JQ저지1,2021-10-01,78.76
JQ저지1,2021-10-02,78.63
JQ저지1,2021-10-03,78.48
JQ저지1,2021-10-04,78.33
JQ저지1,2021-10-05,78.18
JQ저지1,2021-10-06,78.05
JQ저지1,2021-10-07,77.93
JQ저지1,2021-10-08,77.79
JQ저지1,2021-10-09,77.66
JQ저지1,2021-10-10,77.55
JQ저지1,2021-10-11,77.44
JQ저지1,2021-10-12,77.33
JQ저지1,2021-10-13,77.21
JQ저지1,2021-10-14,77.1
JQ저지1,2021-10-15,77.01
JQ저지1,2021-10-16,76.92
JQ저지1,2021-10-17,76.82
JQ저지1,2021-10-18,76.73
JQ저지1,2021-10-19,76.64
JQ저지1,2021-10-20,76.55
JQ저지1,2021-10-21,76.47
JQ저지1,2021-10-22,76.39
JQ저지1,2021-10-23,76.29
JQ저지1,2021-10-24,76.21
JQ저지1,2021-10-25,76.13
JQ저지1,2021-10-26,76.07
JQ저지1,2021-10-27,76.0
JQ저지1,2021-10-28,75.93
JQ저지1,2021-10-29,75.83
JQ저지1,2021-10-30,75.75
JQ저지1,2021-10-31,75.68
JQ저지1,2021-11-01,75.61
JQ저지1,2021-11-02,75.55
JQ저지1,2021-11-03,75.5
JQ저지1,2021-11-04,75.45
JQ저지1,2021-11-05,75.41
JQ저지1,2021-11-06,75.37
JQ저지1,2021-11-07,75.33
JQ저지1,2021-11-08,75.34
JQ저지1,2021-11-09,75.38
JQ저지1,2021-11-10,75.42
JQ저지1,2021-11-11,75.44
JQ저지1,2021-11-12,75.42
JQ저지1,2021-11-13,75.38
JQ저지1,2021-11-14,75.34
JQ저지1,2021-11-15,75.29
JQ저지1,2021-11-16,75.24
