관측소명,날짜,EL
JQ청수1,2019-09-24,25.58
JQ청수1,2019-09-25,25.63
JQ청수1,2019-09-26,25.7
JQ청수1,2019-09-27,25.8
JQ청수1,2019-09-28,25.9
JQ청수1,2019-09-29,25.99
JQ청수1,2019-09-30,26.1
JQ청수1,2019-10-01,26.21
JQ청수1,2019-10-02,26.38
JQ청수1,2019-10-03,26.46
JQ청수1,2019-10-04,26.56
JQ청수1,2019-10-05,26.66
JQ청수1,2019-10-06,26.76
JQ청수1,2019-10-07,26.88
JQ청수1,2019-10-08,26.98
JQ청수1,2019-10-09,27.08
JQ청수1,2019-10-10,27.18
JQ청수1,2019-10-11,27.28
JQ청수1,2019-10-12,27.36
JQ청수1,2019-10-13,27.42
JQ청수1,2019-10-14,27.49
JQ청수1,2019-10-15,27.57
JQ청수1,2019-10-16,27.66
JQ청수1,2019-10-17,27.75
JQ청수1,2019-10-18,27.85
JQ청수1,2019-10-19,27.9
JQ청수1,2019-10-20,27.98
JQ청수1,2019-10-21,28.06
JQ청수1,2019-10-22,28.14
JQ청수1,2019-10-23,28.21
JQ청수1,2019-10-24,28.26
JQ청수1,2019-10-25,28.31
JQ청수1,2019-10-26,28.36
JQ청수1,2019-10-27,28.42
JQ청수1,2019-10-28,28.49
JQ청수1,2019-10-29,28.54
JQ청수1,2019-10-30,28.56
JQ청수1,2019-10-31,28.61
JQ청수1,2019-11-01,28.66
JQ청수1,2019-11-02,28.72
JQ청수1,2019-11-03,28.77
JQ청수1,2019-11-04,28.82
JQ청수1,2019-11-05,28.88
JQ청수1,2019-11-06,28.94
JQ청수1,2019-11-07,28.97
JQ청수1,2019-11-08,29.0
JQ청수1,2019-11-09,29.04
JQ청수1,2019-11-10,29.11
JQ청수1,2019-11-11,29.13
JQ청수1,2019-11-12,29.13
JQ청수1,2019-11-13,29.17
JQ청수1,2019-11-14,29.18
JQ청수1,2019-11-15,29.23
JQ청수1,2019-11-16,29.25
JQ청수1,2019-11-17,29.29
JQ청수1,2019-11-18,29.3
JQ청수1,2019-11-19,29.31
JQ청수1,2019-11-20,29.32
JQ청수1,2019-11-21,29.36
JQ청수1,2019-11-22,29.4
JQ청수1,2019-11-23,29.43
JQ청수1,2019-11-24,29.46
JQ청수1,2019-11-25,29.44
JQ청수1,2019-11-26,29.46
JQ청수1,2019-11-27,29.47
JQ청수1,2019-11-28,29.48
JQ청수1,2019-11-29,29.49
JQ청수1,2019-11-30,29.52
JQ청수1,2019-12-01,29.58
JQ청수1,2019-12-02,29.56
JQ청수1,2019-12-03,29.55
JQ청수1,2019-12-04,29.53
JQ청수1,2019-12-05,29.53
JQ청수1,2019-12-06,29.55
JQ청수1,2019-12-07,29.59
JQ청수1,2019-12-08,29.6
JQ청수1,2019-12-09,29.63
JQ청수1,2019-12-10,29.65
JQ청수1,2019-12-11,29.66
JQ청수1,2019-12-12,29.62
JQ청수1,2019-12-13,29.64
JQ청수1,2019-12-14,29.65
JQ청수1,2019-12-15,29.66
JQ청수1,2019-12-16,29.68
JQ청수1,2019-12-17,29.71
JQ청수1,2019-12-18,29.67
JQ청수1,2019-12-19,29.67
JQ청수1,2019-12-20,29.65
JQ청수1,2019-12-21,29.68
JQ청수1,2019-12-22,29.71
JQ청수1,2019-12-23,29.69
JQ청수1,2019-12-24,29.68
JQ청수1,2019-12-25,29.71
JQ청수1,2019-12-26,29.73
JQ청수1,2019-12-27,29.66
JQ청수1,2019-12-28,29.66
JQ청수1,2019-12-30,29.67
JQ청수1,2019-12-31,29.63
JQ청수1,2020-01-01,29.64
JQ청수1,2020-01-02,29.66
JQ청수1,2020-01-03,29.67
JQ청수1,2020-01-04,29.67
JQ청수1,2020-01-05,29.64
JQ청수1,2020-01-06,29.67
JQ청수1,2020-01-07,29.7
JQ청수1,2020-01-08,29.65
JQ청수1,2020-01-09,29.63
JQ청수1,2020-01-10,29.64
JQ청수1,2020-01-11,29.64
JQ청수1,2020-01-12,29.63
JQ청수1,2020-01-13,29.6
JQ청수1,2020-01-14,29.59
JQ청수1,2020-01-15,29.56
JQ청수1,2020-01-16,29.58
JQ청수1,2020-01-17,29.58
JQ청수1,2020-01-18,29.57
JQ청수1,2020-01-19,29.55
JQ청수1,2020-01-20,29.52
JQ청수1,2020-01-21,29.49
JQ청수1,2020-01-22,29.52
JQ청수1,2020-01-23,29.5
JQ청수1,2020-01-24,29.47
JQ청수1,2020-01-25,29.47
JQ청수1,2020-01-26,29.48
JQ청수1,2020-01-27,29.51
JQ청수1,2020-01-28,29.46
JQ청수1,2020-01-29,29.46
JQ청수1,2020-01-30,29.46
JQ청수1,2020-01-31,29.41
JQ청수1,2020-02-01,29.39
JQ청수1,2020-02-02,29.38
JQ청수1,2020-02-03,29.37
JQ청수1,2020-02-04,29.36
JQ청수1,2020-02-05,29.34
JQ청수1,2020-02-06,29.32
JQ청수1,2020-02-07,29.33
JQ청수1,2020-02-08,29.31
JQ청수1,2020-02-09,29.3
JQ청수1,2020-02-10,29.29
JQ청수1,2020-02-11,29.27
JQ청수1,2020-02-12,29.31
JQ청수1,2020-02-13,29.27
JQ청수1,2020-02-14,29.25
JQ청수1,2020-02-15,29.24
JQ청수1,2020-02-16,29.22
JQ청수1,2020-02-17,29.19
JQ청수1,2020-02-18,29.14
JQ청수1,2020-02-19,29.13
JQ청수1,2020-02-20,29.11
JQ청수1,2020-02-21,29.11
JQ청수1,2020-02-22,29.1
JQ청수1,2020-02-23,29.08
JQ청수1,2020-02-24,29.09
JQ청수1,2020-02-25,29.11
JQ청수1,2020-02-26,29.04
JQ청수1,2020-02-27,29.01
JQ청수1,2020-02-28,29.03
JQ청수1,2020-02-29,29.03
JQ청수1,2020-03-01,28.99
JQ청수1,2020-03-02,28.94
JQ청수1,2020-03-03,28.93
JQ청수1,2020-03-04,28.91
JQ청수1,2020-03-05,28.88
JQ청수1,2020-03-06,28.89
JQ청수1,2020-03-07,28.89
JQ청수1,2020-03-08,28.85
JQ청수1,2020-03-09,28.87
JQ청수1,2020-03-10,28.84
JQ청수1,2020-03-11,28.76
JQ청수1,2020-03-12,28.74
JQ청수1,2020-03-13,28.74
JQ청수1,2020-03-14,28.73
JQ청수1,2020-03-15,28.72
JQ청수1,2020-03-16,28.65
JQ청수1,2020-03-17,28.66
JQ청수1,2020-03-18,28.66
JQ청수1,2020-03-19,28.64
JQ청수1,2020-03-20,28.59
JQ청수1,2020-03-21,28.58
JQ청수1,2020-03-22,28.56
JQ청수1,2020-03-23,28.5
JQ청수1,2020-03-24,28.48
JQ청수1,2020-03-25,28.47
JQ청수1,2020-03-26,28.47
JQ청수1,2020-03-27,28.43
JQ청수1,2020-03-28,28.39
JQ청수1,2020-03-29,28.37
JQ청수1,2020-03-30,28.36
JQ청수1,2020-03-31,28.35
JQ청수1,2020-04-01,28.31
JQ청수1,2020-04-02,28.26
JQ청수1,2020-04-03,28.25
JQ청수1,2020-04-04,28.23
JQ청수1,2020-04-05,28.19
JQ청수1,2020-04-06,28.18
JQ청수1,2020-04-07,28.17
JQ청수1,2020-04-08,28.13
JQ청수1,2020-04-09,28.09
JQ청수1,2020-04-10,28.06
JQ청수1,2020-04-11,28.06
JQ청수1,2020-04-12,28.07
JQ청수1,2020-04-13,28.01
JQ청수1,2020-04-14,27.97
JQ청수1,2020-04-15,27.96
JQ청수1,2020-04-16,27.92
JQ청수1,2020-04-17,27.91
JQ청수1,2020-04-18,27.86
JQ청수1,2020-04-19,27.88
JQ청수1,2020-04-20,27.81
JQ청수1,2020-04-21,27.77
JQ청수1,2020-04-22,27.74
JQ청수1,2020-04-23,27.72
JQ청수1,2020-04-24,27.7
JQ청수1,2020-04-25,27.68
JQ청수1,2020-04-26,27.64
JQ청수1,2020-04-27,27.59
JQ청수1,2020-04-28,27.56
JQ청수1,2020-04-29,27.54
JQ청수1,2020-04-30,27.52
JQ청수1,2020-05-01,27.5
JQ청수1,2020-05-02,27.48
JQ청수1,2020-05-03,27.48
JQ청수1,2020-05-04,27.41
JQ청수1,2020-05-05,27.37
JQ청수1,2020-05-06,27.34
JQ청수1,2020-05-07,27.29
JQ청수1,2020-05-08,27.28
JQ청수1,2020-05-09,27.28
JQ청수1,2020-05-10,27.24
JQ청수1,2020-05-11,27.21
JQ청수1,2020-05-12,27.2
JQ청수1,2020-05-13,27.14
JQ청수1,2020-05-14,27.15
JQ청수1,2020-05-15,27.17
JQ청수1,2020-05-16,27.15
JQ청수1,2020-05-17,27.13
JQ청수1,2020-05-18,27.14
JQ청수1,2020-05-19,27.1
JQ청수1,2020-05-20,27.06
JQ청수1,2020-05-21,27.05
JQ청수1,2020-05-22,27.04
JQ청수1,2020-05-23,27.04
JQ청수1,2020-05-24,27.02
JQ청수1,2020-05-25,27.0
JQ청수1,2020-05-26,26.99
JQ청수1,2020-05-27,26.97
JQ청수1,2020-05-28,26.96
JQ청수1,2020-05-29,26.92
JQ청수1,2020-05-30,26.9
JQ청수1,2020-05-31,26.92
JQ청수1,2020-06-01,26.88
JQ청수1,2020-06-02,26.88
JQ청수1,2020-06-03,26.86
JQ청수1,2020-06-04,26.83
JQ청수1,2020-06-05,26.8
JQ청수1,2020-06-06,26.78
JQ청수1,2020-06-07,26.74
JQ청수1,2020-06-08,26.72
JQ청수1,2020-06-09,26.7
JQ청수1,2020-06-10,26.71
JQ청수1,2020-06-11,26.7
JQ청수1,2020-06-12,26.67
JQ청수1,2020-06-13,26.64
JQ청수1,2020-06-14,26.63
JQ청수1,2020-06-15,26.64
JQ청수1,2020-06-16,26.64
JQ청수1,2020-06-17,26.65
JQ청수1,2020-06-18,26.68
JQ청수1,2020-06-19,26.65
JQ청수1,2020-06-20,26.64
JQ청수1,2020-06-21,26.68
JQ청수1,2020-06-22,26.68
JQ청수1,2020-06-23,26.7
JQ청수1,2020-06-24,26.73
JQ청수1,2020-06-25,26.75
JQ청수1,2020-06-26,26.76
JQ청수1,2020-06-27,26.81
JQ청수1,2020-06-28,26.83
JQ청수1,2020-06-29,26.89
JQ청수1,2020-06-30,26.92
JQ청수1,2020-07-01,26.92
JQ청수1,2020-07-02,26.95
JQ청수1,2020-07-03,27.02
JQ청수1,2020-07-04,27.06
JQ청수1,2020-07-05,27.1
JQ청수1,2020-07-06,27.15
JQ청수1,2020-07-07,27.19
JQ청수1,2020-07-08,27.29
JQ청수1,2020-07-09,27.39
JQ청수1,2020-07-10,27.46
JQ청수1,2020-07-11,27.5
JQ청수1,2020-07-12,27.58
JQ청수1,2020-07-13,27.68
JQ청수1,2020-07-14,27.74
JQ청수1,2020-07-15,27.8
JQ청수1,2020-07-16,27.87
JQ청수1,2020-07-17,27.93
JQ청수1,2020-07-18,28.01
JQ청수1,2020-07-19,28.08
JQ청수1,2020-07-20,28.13
JQ청수1,2020-07-21,28.18
JQ청수1,2020-07-22,28.25
JQ청수1,2020-07-23,28.33
JQ청수1,2020-07-24,28.4
JQ청수1,2020-07-25,28.43
JQ청수1,2020-07-26,28.46
JQ청수1,2020-07-27,28.51
JQ청수1,2020-07-28,28.55
JQ청수1,2020-07-29,28.59
JQ청수1,2020-07-30,28.63
JQ청수1,2020-07-31,28.68
JQ청수1,2020-08-01,28.74
JQ청수1,2020-08-02,28.78
JQ청수1,2020-08-03,28.82
JQ청수1,2020-08-04,28.85
JQ청수1,2020-08-05,28.89
JQ청수1,2020-08-06,28.93
JQ청수1,2020-08-07,28.97
JQ청수1,2020-08-08,29.02
JQ청수1,2020-08-09,29.05
JQ청수1,2020-08-10,29.08
JQ청수1,2020-08-11,29.07
JQ청수1,2020-08-12,29.09
JQ청수1,2020-08-13,29.13
JQ청수1,2020-08-14,29.16
JQ청수1,2020-08-15,29.17
JQ청수1,2020-08-16,29.19
JQ청수1,2020-08-17,29.2
JQ청수1,2020-08-18,29.22
JQ청수1,2020-08-19,29.24
JQ청수1,2020-08-20,29.25
JQ청수1,2020-08-21,29.25
JQ청수1,2020-08-22,29.27
JQ청수1,2020-08-23,29.29
JQ청수1,2020-08-24,29.31
JQ청수1,2020-08-25,29.33
JQ청수1,2020-08-26,29.37
JQ청수1,2020-08-27,29.33
JQ청수1,2020-08-28,29.34
JQ청수1,2020-08-29,29.35
JQ청수1,2020-08-30,29.37
JQ청수1,2020-08-31,29.39
JQ청수1,2020-09-01,29.42
JQ청수1,2020-09-02,29.52
JQ청수1,2020-09-03,29.52
JQ청수1,2020-09-04,29.57
JQ청수1,2020-09-05,29.65
JQ청수1,2020-09-06,29.72
JQ청수1,2020-09-07,29.84
JQ청수1,2020-09-08,29.86
JQ청수1,2020-09-09,29.95
JQ청수1,2020-09-10,30.04
JQ청수1,2020-09-11,30.1
JQ청수1,2020-09-12,30.16
JQ청수1,2020-09-13,30.22
JQ청수1,2020-09-14,30.29
JQ청수1,2020-09-15,30.36
JQ청수1,2020-09-16,30.44
JQ청수1,2020-09-17,30.5
JQ청수1,2020-09-18,30.54
JQ청수1,2020-09-19,30.61
JQ청수1,2020-09-20,30.69
JQ청수1,2020-09-21,30.77
JQ청수1,2020-09-22,30.84
JQ청수1,2020-09-23,30.91
JQ청수1,2020-09-24,30.98
JQ청수1,2020-09-25,31.04
JQ청수1,2020-09-26,31.09
JQ청수1,2020-09-27,31.14
JQ청수1,2020-09-28,31.19
JQ청수1,2020-09-29,31.28
JQ청수1,2020-09-30,31.32
JQ청수1,2020-10-01,31.35
JQ청수1,2020-10-02,31.39
JQ청수1,2020-10-03,31.44
JQ청수1,2020-10-04,31.5
JQ청수1,2020-10-05,31.52
JQ청수1,2020-10-06,31.55
JQ청수1,2020-10-07,31.58
JQ청수1,2020-10-08,31.64
JQ청수1,2020-10-09,31.68
JQ청수1,2020-10-10,31.72
JQ청수1,2020-10-11,31.76
JQ청수1,2020-10-12,31.79
JQ청수1,2020-10-13,31.8
JQ청수1,2020-10-14,31.81
JQ청수1,2020-10-15,31.84
JQ청수1,2020-10-16,31.87
JQ청수1,2020-10-17,31.89
JQ청수1,2020-10-18,31.92
JQ청수1,2020-10-19,31.94
JQ청수1,2020-10-20,31.96
JQ청수1,2020-10-21,32.02
JQ청수1,2020-10-22,32.05
JQ청수1,2020-10-23,32.05
JQ청수1,2020-10-24,32.05
JQ청수1,2020-10-25,32.07
JQ청수1,2020-10-26,32.09
JQ청수1,2020-10-27,32.1
JQ청수1,2020-10-28,32.1
JQ청수1,2020-10-29,32.12
JQ청수1,2020-10-30,32.11
JQ청수1,2020-10-31,32.13
JQ청수1,2020-11-01,32.17
JQ청수1,2020-11-02,32.18
JQ청수1,2020-11-03,32.17
JQ청수1,2020-11-04,32.17
JQ청수1,2020-11-05,32.18
JQ청수1,2020-11-06,32.21
JQ청수1,2020-11-07,32.22
JQ청수1,2020-11-08,32.2
JQ청수1,2020-11-09,32.19
JQ청수1,2020-11-10,32.17
JQ청수1,2020-11-11,32.16
JQ청수1,2020-11-12,32.18
JQ청수1,2020-11-13,32.19
JQ청수1,2020-11-14,32.19
JQ청수1,2020-11-15,32.19
JQ청수1,2020-11-16,32.2
JQ청수1,2020-11-17,32.21
JQ청수1,2020-11-18,32.23
JQ청수1,2020-11-19,32.24
JQ청수1,2020-11-20,32.2
JQ청수1,2020-11-21,32.18
JQ청수1,2020-11-22,32.18
JQ청수1,2020-11-23,32.15
JQ청수1,2020-11-24,32.15
JQ청수1,2020-11-25,32.16
JQ청수1,2020-11-26,32.16
JQ청수1,2020-11-27,32.14
JQ청수1,2020-11-28,32.13
JQ청수1,2020-11-29,32.12
JQ청수1,2020-11-30,32.09
JQ청수1,2020-12-01,32.09
JQ청수1,2020-12-02,32.09
JQ청수1,2020-12-03,32.09
JQ청수1,2020-12-04,32.07
JQ청수1,2020-12-05,32.06
JQ청수1,2020-12-06,32.04
JQ청수1,2020-12-07,32.04
JQ청수1,2020-12-08,32.03
JQ청수1,2020-12-09,32.03
JQ청수1,2020-12-10,32.02
JQ청수1,2020-12-11,32.02
JQ청수1,2020-12-12,32.0
JQ청수1,2020-12-13,31.98
JQ청수1,2020-12-14,31.92
JQ청수1,2020-12-15,31.9
JQ청수1,2020-12-16,31.89
JQ청수1,2020-12-17,31.88
