관측소명,날짜,EL
JR금악2,2005-01-01,73.62
JR금악2,2005-01-02,73.6
JR금악2,2005-01-03,73.56
JR금악2,2005-01-04,73.51
JR금악2,2005-01-05,73.5
JR금악2,2005-01-06,73.48
JR금악2,2005-01-07,73.44
JR금악2,2005-01-08,73.43
JR금악2,2005-01-09,73.4
JR금악2,2005-01-10,73.36
JR금악2,2005-01-11,73.33
JR금악2,2005-01-12,73.29
JR금악2,2005-01-13,73.25
JR금악2,2005-01-14,73.21
JR금악2,2005-01-15,73.16
JR금악2,2005-01-16,73.1
JR금악2,2005-01-17,73.07
JR금악2,2005-01-18,73.06
JR금악2,2005-01-19,73.02
JR금악2,2005-01-20,73.01
JR금악2,2005-01-21,73.01
JR금악2,2005-01-22,72.99
JR금악2,2005-01-23,72.91
JR금악2,2005-01-24,72.85
JR금악2,2005-01-25,72.8
JR금악2,2005-01-26,72.73
JR금악2,2005-01-27,72.71
JR금악2,2005-01-28,72.67
JR금악2,2005-01-29,72.61
JR금악2,2005-01-30,72.58
JR금악2,2005-01-31,72.59
JR금악2,2005-02-01,72.53
JR금악2,2005-02-02,72.5
JR금악2,2005-02-03,72.47
JR금악2,2005-02-04,72.49
JR금악2,2005-02-05,72.46
JR금악2,2005-02-06,72.43
JR금악2,2005-02-07,72.41
JR금악2,2005-02-08,72.37
JR금악2,2005-02-09,72.36
JR금악2,2005-02-10,72.32
JR금악2,2005-02-11,72.32
JR금악2,2005-02-12,72.31
JR금악2,2005-02-13,72.26
JR금악2,2005-02-14,72.24
JR금악2,2005-02-15,72.18
JR금악2,2005-02-16,72.04
JR금악2,2005-02-17,72.0
JR금악2,2005-02-18,72.0
JR금악2,2005-02-19,71.96
JR금악2,2005-02-20,71.95
JR금악2,2005-02-21,71.96
JR금악2,2005-02-22,71.93
JR금악2,2005-02-23,71.86
JR금악2,2005-02-24,71.81
JR금악2,2005-02-25,71.73
JR금악2,2005-02-26,71.75
JR금악2,2005-03-07,71.31
JR금악2,2005-03-08,71.28
JR금악2,2005-03-09,71.23
JR금악2,2005-03-10,71.17
JR금악2,2005-03-11,71.07
JR금악2,2005-03-12,71.04
JR금악2,2005-03-13,71.05
JR금악2,2005-03-14,71.02
JR금악2,2005-03-15,70.99
JR금악2,2005-03-16,70.96
JR금악2,2005-03-17,70.92
JR금악2,2005-03-18,70.85
JR금악2,2005-03-19,70.88
JR금악2,2005-03-20,70.86
JR금악2,2005-03-21,70.84
JR금악2,2005-03-22,70.79
JR금악2,2005-03-23,70.67
JR금악2,2005-03-24,70.67
JR금악2,2005-03-25,70.68
JR금악2,2005-03-26,70.68
JR금악2,2005-03-27,70.68
JR금악2,2005-03-28,70.57
JR금악2,2005-03-29,70.53
JR금악2,2005-03-30,70.51
JR금악2,2005-03-31,70.49
JR금악2,2005-04-01,70.5
JR금악2,2005-04-02,70.51
JR금악2,2005-04-03,70.44
JR금악2,2005-04-04,70.4
JR금악2,2005-04-05,70.38
JR금악2,2005-04-06,70.36
JR금악2,2005-04-07,70.26
JR금악2,2005-04-08,70.2
JR금악2,2005-04-09,70.2
JR금악2,2005-04-10,70.02
JR금악2,2005-04-11,69.86
JR금악2,2005-04-12,69.85
JR금악2,2005-04-13,69.82
JR금악2,2005-04-14,69.81
JR금악2,2005-04-15,69.79
JR금악2,2005-04-16,69.76
JR금악2,2005-04-17,69.69
JR금악2,2005-04-18,69.62
JR금악2,2005-04-19,69.64
JR금악2,2005-04-20,69.54
JR금악2,2005-04-21,69.48
JR금악2,2005-04-22,69.47
JR금악2,2005-04-23,69.46
JR금악2,2005-04-24,69.43
JR금악2,2005-04-25,69.41
JR금악2,2005-04-26,69.4
JR금악2,2005-04-27,69.36
JR금악2,2005-04-28,69.22
JR금악2,2005-04-29,69.19
JR금악2,2005-04-30,69.16
JR금악2,2005-05-01,69.1
JR금악2,2005-05-02,69.11
JR금악2,2005-05-03,69.14
JR금악2,2005-05-04,69.15
JR금악2,2005-05-05,69.11
JR금악2,2005-05-06,69.05
JR금악2,2005-05-07,69.05
JR금악2,2005-05-08,69.06
JR금악2,2005-05-09,69.05
JR금악2,2005-05-10,69.06
JR금악2,2005-05-11,69.07
JR금악2,2005-05-12,69.04
JR금악2,2005-05-13,69.05
JR금악2,2005-05-14,69.07
JR금악2,2005-05-15,69.08
JR금악2,2005-05-16,69.09
JR금악2,2005-05-17,69.07
JR금악2,2005-05-18,69.03
JR금악2,2005-05-19,69.04
JR금악2,2005-05-20,69.05
JR금악2,2005-05-21,69.05
JR금악2,2005-05-22,69.01
JR금악2,2005-05-23,69.0
JR금악2,2005-05-24,69.03
JR금악2,2005-05-25,69.05
JR금악2,2005-05-26,69.05
JR금악2,2005-05-27,69.05
JR금악2,2005-05-28,69.05
JR금악2,2005-05-29,69.07
JR금악2,2005-05-30,69.07
JR금악2,2005-05-31,69.03
JR금악2,2005-06-01,69.01
JR금악2,2005-06-02,68.97
JR금악2,2005-06-03,68.97
JR금악2,2005-06-04,69.0
JR금악2,2005-06-05,69.03
JR금악2,2005-06-06,69.06
JR금악2,2005-06-07,69.09
JR금악2,2005-06-08,69.1
JR금악2,2005-06-09,69.1
JR금악2,2005-06-10,69.09
JR금악2,2005-06-11,69.03
JR금악2,2005-06-12,69.04
JR금악2,2005-06-13,69.06
JR금악2,2005-06-14,69.11
JR금악2,2005-06-15,69.14
JR금악2,2005-06-16,69.16
JR금악2,2005-06-17,69.22
JR금악2,2005-06-18,69.26
JR금악2,2005-06-19,69.27
JR금악2,2005-06-20,69.26
JR금악2,2005-06-21,69.32
JR금악2,2005-06-22,69.31
JR금악2,2005-06-23,69.35
JR금악2,2005-06-24,69.39
JR금악2,2005-06-25,69.49
JR금악2,2005-06-26,69.52
JR금악2,2005-06-27,69.5
JR금악2,2005-06-28,69.49
JR금악2,2005-06-29,69.51
JR금악2,2005-06-30,69.52
JR금악2,2005-07-01,69.57
JR금악2,2005-07-02,69.58
JR금악2,2005-07-03,69.61
JR금악2,2005-07-04,69.62
JR금악2,2005-07-05,69.61
JR금악2,2005-07-06,69.58
JR금악2,2005-07-07,69.57
JR금악2,2005-07-08,69.61
JR금악2,2005-07-09,69.65
JR금악2,2005-07-10,69.59
JR금악2,2005-07-11,69.63
JR금악2,2005-07-12,69.58
JR금악2,2005-07-13,69.59
JR금악2,2005-07-14,69.57
JR금악2,2005-07-15,69.57
JR금악2,2005-07-16,69.59
JR금악2,2005-07-17,69.6
JR금악2,2005-07-18,69.58
JR금악2,2005-07-19,69.6
JR금악2,2005-07-20,69.61
JR금악2,2005-07-21,69.57
JR금악2,2005-07-22,69.56
JR금악2,2005-07-23,69.56
JR금악2,2005-07-24,69.55
JR금악2,2005-07-25,69.56
JR금악2,2005-07-26,69.54
JR금악2,2005-07-27,69.49
JR금악2,2005-07-28,69.51
JR금악2,2005-07-29,69.46
JR금악2,2005-07-30,69.45
JR금악2,2005-07-31,69.45
JR금악2,2005-08-01,69.45
JR금악2,2005-08-02,69.42
JR금악2,2005-08-03,69.38
JR금악2,2005-08-04,69.34
JR금악2,2005-08-05,69.33
JR금악2,2005-08-06,69.33
JR금악2,2005-08-07,69.3
JR금악2,2005-08-08,69.27
JR금악2,2005-08-09,69.23
JR금악2,2005-08-10,69.23
JR금악2,2005-08-11,69.21
JR금악2,2005-08-12,69.16
JR금악2,2005-08-13,69.14
JR금악2,2005-08-14,69.15
JR금악2,2005-08-15,69.16
JR금악2,2005-08-16,69.13
JR금악2,2005-08-17,69.07
JR금악2,2005-08-18,69.05
JR금악2,2005-08-19,69.06
JR금악2,2005-08-20,69.06
JR금악2,2005-08-21,69.03
JR금악2,2005-08-22,69.0
JR금악2,2005-08-23,69.01
JR금악2,2005-08-24,69.03
JR금악2,2005-08-25,68.99
JR금악2,2005-08-26,68.94
JR금악2,2005-08-27,68.94
JR금악2,2005-08-28,68.95
